,note_name,start_time,duration,velocity,tempo
0,G4,0.0,0.375,95,100.0
1,G1,0.0,0.375,95,100.0
2,G3,0.0,0.375,95,100.0
3,G3,0.0,0.375,95,100.0
4,C3,0.0,0.25,95,100.0
5,A3,0.0,0.25,95,100.0
6,E4,0.375,0.125,95,100.0
7,E1,0.375,0.125,95,100.0
8,E3,0.375,0.125,95,100.0
9,E3,0.375,0.125,95,100.0
10,B2,0.375,0.125,95,100.0
11,C5,0.5,0.5,95,100.0
12,C2,0.5,0.5,95,100.0
13,C4,0.5,0.5,95,100.0
14,C4,0.5,0.5,95,100.0
15,A2,0.5,0.25,95,100.0
16,A4,1.0,0.375,95,100.0
17,A1,1.0,0.375,95,100.0
18,A3,1.0,0.375,95,100.0
19,A3,1.0,0.375,95,100.0
20,A3,1.0,0.25,95,100.0
21,B2,1.0,0.25,95,100.0
22,E4,1.375,0.125,95,100.0
23,E2,1.375,0.125,95,100.0
24,E3,1.375,0.125,95,100.0
25,E3,1.375,0.125,95,100.0
26,C3,1.375,0.125,95,100.0
27,D4,1.5,0.5,95,100.0
28,D2,1.5,0.5,95,100.0
29,D3,1.5,0.5,95,100.0
30,D3,1.5,0.5,95,100.0
31,A2,1.5,0.25,95,100.0
32,D4,2.0,0.375,95,100.0
33,D2,2.0,0.375,95,100.0
34,D3,2.0,0.375,95,100.0
35,D3,2.0,0.375,95,100.0
36,A3,2.0,0.125,95,100.0
37,D3,2.0,0.125,95,100.0
38,C3,2.125,0.125,95,100.0
39,B2,2.25,0.125,95,100.0
40,C4,2.375,0.125,95,100.0
41,C2,2.375,0.125,95,100.0
42,C3,2.375,0.125,95,100.0
43,C3,2.375,0.125,95,100.0
44,A2,2.375,0.125,95,100.0
45,A1,2.5,1.0,95,100.0
46,A2,2.5,1.0,95,100.0
47,A2,2.5,1.0,95,100.0
48,G2,2.5,0.125,95,100.0
49,A3,2.5,1.0,95,100.0
50,E3,2.5,1.0,95,100.0
51,A3,3.0,0.125,95,100.0
52,E2,3.0,0.125,95,100.0
53,B-2,3.0,0.125,95,100.0
54,E2,3.125,0.125,95,100.0
55,E2,3.25,0.125,95,100.0
56,E2,3.375,0.125,95,100.0
57,E2,3.5,0.5,95,100.0
58,E3,3.5,0.5,95,100.0
59,E3,3.5,0.5,95,100.0
60,C#3,3.5,0.25,95,100.0
61,E4,3.5,0.5,95,100.0
62,A3,3.5,0.5,95,100.0
63,E2,4.0,0.5,95,100.0
64,E3,4.0,0.5,95,100.0
65,E3,4.0,0.5,95,100.0
66,A3,4.0,0.25,95,100.0
67,A2,4.0,0.25,95,100.0
68,B-2,4.0,0.25,95,100.0
69,B-2,4.25,0.25,95,100.0
70,D2,4.5,1.5,95,100.0
71,D4,4.5,1.5,95,100.0
72,D3,4.5,1.375,95,100.0
73,E4,4.5,0.5,95,100.0
74,A3,4.5,0.5,95,100.0
75,B-2,4.5,0.25,95,100.0
76,E3,4.5,0.25,95,100.0
77,D4,5.0,1.5,95,100.0
78,G3,5.0,1.5,95,100.0
79,A3,5.0,0.25,95,100.0
80,E2,5.0,0.25,95,100.0
81,C#3,5.25,0.25,95,100.0
82,D5,5.875,0.125,95,100.0
83,G1,6.0,0.375,95,100.0
84,G3,6.0,0.375,95,100.0
85,G5,6.0,0.375,95,100.0
86,A3,6.0,0.25,95,100.0
87,C3,6.0,0.25,95,100.0
88,E1,6.375,0.125,95,100.0
89,E3,6.375,0.125,95,100.0
90,E5,6.375,0.125,95,100.0
91,B2,6.375,0.125,95,100.0
92,G4,6.5,0.375,95,100.0
93,C2,6.5,0.5,95,100.0
94,C4,6.5,0.5,95,100.0
95,C6,6.5,0.5,95,100.0
96,A2,6.5,0.25,95,100.0
97,E4,6.875,0.125,95,100.0
98,C5,7.0,0.5,95,100.0
99,A1,7.0,0.375,95,100.0
100,A3,7.0,0.375,95,100.0
101,A5,7.0,0.375,95,100.0
102,A3,7.0,0.25,95,100.0
103,B2,7.0,0.25,95,100.0
104,E2,7.375,0.125,95,100.0
105,E3,7.375,0.125,95,100.0
106,E5,7.375,0.125,95,100.0
107,C3,7.375,0.125,95,100.0
108,A4,7.5,0.375,95,100.0
109,D2,7.5,0.5,95,100.0
110,D3,7.5,0.5,95,100.0
111,D5,7.5,0.5,95,100.0
112,A2,7.5,0.25,95,100.0
113,E4,7.875,0.125,95,100.0
114,D4,8.0,0.5,95,100.0
115,D2,8.0,0.375,95,100.0
116,D3,8.0,0.375,95,100.0
117,D5,8.0,0.375,95,100.0
118,A3,8.0,0.125,95,100.0
119,D3,8.0,0.125,95,100.0
120,C3,8.125,0.125,95,100.0
121,B2,8.25,0.125,95,100.0
122,C2,8.375,0.125,95,100.0
123,C3,8.375,0.125,95,100.0
124,C5,8.375,0.125,95,100.0
125,A2,8.375,0.125,95,100.0
126,D4,8.5,0.375,95,100.0
127,A1,8.5,1.0,95,100.0
128,A2,8.5,1.0,95,100.0
129,A4,8.5,0.5,95,100.0
130,G2,8.5,0.125,95,100.0
131,C4,8.875,0.125,95,100.0
132,A3,9.0,1.0,95,100.0
133,E3,9.0,1.0,95,100.0
134,A3,9.0,0.125,95,100.0
135,E2,9.0,0.125,95,100.0
136,B-2,9.0,0.125,95,100.0
137,E2,9.125,0.125,95,100.0
138,E2,9.25,0.125,95,100.0
139,E2,9.375,0.125,95,100.0
140,E1,9.5,1.0,95,100.0
141,C#3,9.5,0.25,95,100.0
142,D5,9.5,1.0,127,100.0
143,A4,9.5,1.0,127,100.0
