,note_name,start_time,duration,velocity,tempo
0,G1,7.5,0.25,70,109.0
1,E2,7.5,0.25,79,109.0
2,B-4,7.5,233/1000,73,109.0
3,D4,7.5,233/1000,73,109.0
4,F4,7.5,233/1000,73,109.0
5,B-4,7.5,0.25,99,109.0
6,D4,7.5,0.25,99,109.0
7,F4,7.5,0.25,99,109.0
8,G1,7.75,0.25,70,109.0
9,E2,7.75,0.25,80,109.0
10,B-4,7.75,233/1000,73,109.0
11,D4,7.75,233/1000,73,109.0
12,F4,7.75,233/1000,73,109.0
13,B-4,7.75,0.25,99,109.0
14,D4,7.75,0.25,99,109.0
15,F4,7.75,0.25,99,109.0
16,F#2,8.0,0.25,70,109.0
17,F#2,8.25,0.25,50,109.0
18,G1,8.5,333/1000,70,109.0
19,C2,8.5,0.5,67,109.0
20,F#2,8.5,0.25,47,109.0
21,F4,8.5,167/1000,69,109.0
22,D4,8.5,167/1000,69,109.0
23,B-3,8.5,167/1000,69,109.0
24,F4,8.5,167/1000,99,109.0
25,D4,8.5,167/1000,99,109.0
26,B-3,8.5,167/1000,99,109.0
27,F#2,8.75,0.25,47,109.0
28,F#2,9.0,0.25,70,109.0
29,E2,9.0,0.5,79,109.0
30,A1,9.25,333/1000,70,109.0
31,C2,9.25,0.5,67,109.0
32,F#2,9.25,0.25,70,109.0
33,G4,9.25,167/1000,69,109.0
34,E4,9.25,167/1000,69,109.0
35,C4,9.25,167/1000,69,109.0
36,G4,9.25,167/1000,99,109.0
37,E4,9.25,167/1000,99,109.0
38,C4,9.25,167/1000,99,109.0
39,F#2,9.5,0.25,47,109.0
40,F#2,9.75,0.25,47,109.0
41,B-1,10.0,333/1000,70,109.0
42,C2,10.0,0.5,67,109.0
43,F#2,10.0,0.25,70,109.0
44,A4,10.0,167/1000,69,109.0
45,F4,10.0,167/1000,69,109.0
46,D4,10.0,167/1000,69,109.0
47,A4,10.0,167/1000,99,109.0
48,F4,10.0,167/1000,99,109.0
49,D4,10.0,167/1000,99,109.0
50,F#2,10.25,0.25,50,109.0
51,F#2,10.5,0.25,50,109.0
52,A5,10.5,1.5,50,109.0
53,B-4,10.5,1.5,50,109.0
54,D5,10.5,1.5,50,109.0
55,F5,10.5,1.5,50,109.0
56,F#2,10.75,0.25,50,109.0
57,C3,11.0,79/500,82,109.0
58,F#2,11.0,0.25,70,109.0
