,note_name,start_time,duration,velocity,tempo
0,B3,8.783,19/20,127,120.0
1,B3,10.075,567/1000,119,120.0
2,B3,10.992,177/250,115,120.0
3,D4,11.692,77/250,127,120.0
4,D4,12.0,4.0,127,120.0
5,B1,12.0,26/125,86,120.0
6,F#2,12.0,26/125,86,120.0
7,G#2,12.008,73/40,100,120.0
8,D4,12.017,79/40,102,120.0
9,B3,12.017,79/40,102,120.0
10,A3,12.017,79/40,102,120.0
11,F#4,12.017,79/40,102,120.0
12,F#3,12.017,79/40,102,120.0
13,D3,12.025,267/1000,107,120.0
14,F#3,12.025,267/1000,107,120.0
15,B3,12.025,267/1000,107,120.0
16,D4,12.025,267/1000,107,120.0
17,B3,12.983,3/5,101,120.0
18,D4,12.983,3/5,101,120.0
19,F#3,12.983,3/5,101,120.0
20,A3,12.983,3/5,101,120.0
21,D2,13.0,26/125,80,120.0
22,F#2,13.0,26/125,80,120.0
23,A3,13.633,317/1000,78,120.0
24,D3,13.633,317/1000,78,120.0
25,F#3,13.633,317/1000,78,120.0
26,B3,13.633,317/1000,78,120.0
27,F#2,13.667,26/125,70,120.0
28,B1,14.0,26/125,81,120.0
29,F#2,14.0,26/125,81,120.0
30,C#2,14.008,73/40,100,120.0
31,F4,14.008,249/125,85,120.0
32,G#4,14.008,249/125,85,120.0
33,G#3,14.008,249/125,85,120.0
34,G#3,14.025,267/1000,107,120.0
35,B3,14.025,267/1000,107,120.0
36,F4,14.025,267/1000,107,120.0
37,G#4,14.025,267/1000,107,120.0
38,B3,14.075,77/40,84,120.0
39,F4,14.983,3/5,101,120.0
40,G#4,14.983,3/5,101,120.0
41,B3,14.983,3/5,101,120.0
42,D4,14.983,3/5,101,120.0
43,D2,15.0,26/125,75,120.0
44,F#2,15.0,26/125,75,120.0
45,D4,15.633,317/1000,78,120.0
46,G#3,15.633,317/1000,78,120.0
47,B3,15.633,317/1000,78,120.0
48,F4,15.633,317/1000,78,120.0
49,F#2,15.667,26/125,70,120.0
50,D4,16.0,3/10,127,120.0
51,B1,16.0,26/125,86,120.0
52,F#2,16.0,26/125,86,120.0
53,C#3,16.017,1917/1000,96,120.0
54,A3,16.017,1917/1000,96,120.0
55,C#4,16.017,1917/1000,96,120.0
56,G#3,16.017,1917/1000,96,120.0
57,E3,16.017,1917/1000,96,120.0
58,F#2,16.075,477/250,92,120.0
59,D2,17.0,26/125,76,120.0
60,F#2,17.0,26/125,76,120.0
61,C#4,17.042,99/125,127,120.0
62,F#2,17.667,26/125,70,120.0
63,B1,18.0,26/125,99,120.0
64,F#2,18.0,26/125,99,120.0
65,A3,18.017,779/500,95,120.0
66,E3,18.017,779/500,95,120.0
67,A2,18.017,779/500,95,120.0
68,C#3,18.017,779/500,95,120.0
69,F#3,18.017,779/500,95,120.0
70,C#2,18.033,77/40,78,120.0
71,C#4,18.117,0.625,127,120.0
72,A2,18.692,317/1000,92,120.0
73,A3,18.692,317/1000,92,120.0
74,D2,19.0,26/125,75,120.0
75,F#2,19.0,26/125,75,120.0
76,B2,19.042,7/20,95,120.0
77,B3,19.042,7/20,95,120.0
78,C#4,19.067,27/40,112,120.0
79,F#2,19.667,26/125,70,120.0
80,A3,19.675,13/40,98,120.0
81,A4,19.675,13/40,98,120.0
82,E-4,19.675,13/40,98,120.0
83,C#4,19.675,13/40,98,120.0
84,F#4,19.675,13/40,98,120.0
85,G#4,19.792,26/125,121,120.0
86,G#4,20.0,4.0,121,120.0
87,A3,20.0,3933/1000,98,120.0
88,A4,20.0,3933/1000,98,120.0
89,E-4,20.0,3933/1000,98,120.0
90,C#4,20.0,3933/1000,98,120.0
91,F#4,20.0,3933/1000,98,120.0
92,B1,20.0,26/125,82,120.0
93,F#2,20.0,26/125,82,120.0
94,B1,20.008,73/40,100,120.0
95,E-4,20.033,129/500,103,120.0
96,F#3,20.033,129/500,103,120.0
97,A3,20.033,129/500,103,120.0
98,F#4,20.033,129/500,103,120.0
99,E-4,20.983,3/5,101,120.0
100,F#4,20.983,3/5,101,120.0
101,A3,20.983,3/5,101,120.0
102,C#4,20.983,3/5,101,120.0
103,D2,21.0,26/125,81,120.0
104,F#2,21.0,26/125,81,120.0
105,C#4,21.633,317/1000,78,120.0
106,F#3,21.633,317/1000,78,120.0
107,A3,21.633,317/1000,78,120.0
108,E-4,21.633,317/1000,78,120.0
109,F#2,21.667,26/125,70,120.0
110,C#4,21.983,74/125,91,120.0
111,A3,21.983,74/125,91,120.0
112,F#4,21.983,74/125,91,120.0
113,B1,22.0,26/125,92,120.0
114,F#2,22.0,26/125,92,120.0
115,F#2,22.008,39/20,88,120.0
116,A3,22.65,9/40,104,120.0
117,F#3,22.65,9/40,104,120.0
118,E-4,22.65,9/40,104,120.0
119,C#4,22.65,9/40,104,120.0
120,D2,23.0,26/125,78,120.0
121,F#2,23.0,26/125,78,120.0
122,F#2,23.667,26/125,70,120.0
123,F#4,23.675,0.25,103,120.0
124,E-4,23.675,0.25,103,120.0
125,C#4,23.675,0.25,103,120.0
126,A3,23.675,0.25,103,120.0
127,G#4,24.0,0.25,121,120.0
128,G#4,24.0,0.625,96,120.0
129,C#4,24.0,0.625,96,120.0
130,F#4,24.0,0.625,96,120.0
131,B4,24.0,0.625,96,120.0
132,B1,24.0,26/125,86,120.0
133,F#2,24.0,26/125,86,120.0
134,E2,24.008,2.0,80,120.0
135,B3,24.017,1917/1000,96,120.0
136,G#4,24.017,1917/1000,96,120.0
137,B4,24.017,1917/1000,96,120.0
138,F#4,24.017,1917/1000,96,120.0
139,C#4,24.017,1917/1000,96,120.0
140,B3,24.65,77/250,66,120.0
141,C#4,24.675,383/1000,72,120.0
142,D2,25.0,26/125,76,120.0
143,F#2,25.0,26/125,76,120.0
144,F#4,25.008,21/500,92,120.0
145,G#4,25.008,321/500,96,120.0
146,B4,25.008,533/1000,98,120.0
147,E4,25.092,1333/1000,127,120.0
148,B3,25.658,274/125,104,120.0
149,G#4,25.658,274/125,104,120.0
150,C#4,25.658,274/125,104,120.0
151,F#4,25.658,274/125,104,120.0
152,F#2,25.667,26/125,70,120.0
153,B1,26.0,26/125,99,120.0
154,F#2,26.0,26/125,99,120.0
155,G#4,26.017,477/250,95,120.0
156,C#4,26.017,477/250,95,120.0
157,G#3,26.017,477/250,95,120.0
158,B3,26.017,477/250,95,120.0
159,E4,26.017,477/250,95,120.0
160,B1,26.033,77/40,82,120.0
161,E4,26.792,521/500,127,120.0
162,D2,27.0,26/125,78,120.0
163,F#2,27.0,26/125,78,120.0
164,F#2,27.667,26/125,70,120.0
165,B1,28.0,26/125,86,120.0
