,note_name,start_time,duration,velocity,tempo
0,F4,7.983,17/1000,112,94.0
1,F4,8.0,277/250,112,94.0
2,F4,9.308,127/250,95,94.0
3,F4,10.017,1983/1000,115,94.0
4,E-2,12.0,2117/1000,96,94.0
5,F4,12.0,1633/1000,115,94.0
6,E-2,12.0,129/500,47,94.0
7,G3,12.0,171/500,52,94.0
8,B1,12.0,26/125,65,94.0
9,F#2,12.0,26/125,65,94.0
10,C#4,12.083,121/500,53,94.0
11,G4,12.125,971/500,61,94.0
12,C#4,12.125,77/20,62,94.0
13,B-3,12.125,77/20,62,94.0
14,G5,12.15,583/1000,96,94.0
15,E-4,12.175,2567/1000,57,94.0
16,F5,12.733,123/250,67,94.0
17,G3,12.967,24/125,56,94.0
18,E-2,12.967,24/125,56,94.0
19,F#2,13.0,26/125,80,94.0
20,C#4,13.025,1/5,71,94.0
21,E-5,13.158,221/500,66,94.0
22,G4,13.558,23/40,108,94.0
23,F#2,13.7,26/125,60,94.0
24,C#5,13.717,123/250,107,94.0
25,B-2,14.0,2.0,81,94.0
26,B1,14.0,26/125,60,94.0
27,F#2,14.0,26/125,60,94.0
28,E-2,14.008,26/125,48,94.0
29,G3,14.008,26/125,48,94.0
30,C5,14.083,23/40,97,94.0
31,C#4,14.092,3/20,34,94.0
32,B-4,14.208,127/250,50,94.0
33,B-4,14.583,533/1000,90,94.0
34,G4,14.742,533/1000,89,94.0
35,F#2,15.0,26/125,80,94.0
36,C#2,15.0,26/125,80,94.0
37,G3,15.008,26/125,72,94.0
38,E-2,15.008,26/125,72,94.0
39,G4,15.058,3/5,101,94.0
40,C#4,15.067,1/5,68,94.0
41,F4,15.208,99/125,76,94.0
42,F4,15.6,2/5,110,94.0
43,E-4,15.7,3/10,90,94.0
44,F#2,15.7,26/125,60,94.0
45,G#2,16.0,2.0,86,94.0
46,F4,16.0,171/500,110,94.0
47,G#2,16.0,129/500,47,94.0
48,C4,16.0,171/500,52,94.0
49,C4,16.0,33/20,70,94.0
50,E-4,16.0,33/20,70,94.0
51,G#3,16.0,33/20,70,94.0
52,F4,16.0,33/20,70,94.0
53,B1,16.0,26/125,65,94.0
54,F#2,16.0,26/125,65,94.0
55,F4,16.083,121/500,53,94.0
56,E-4,16.242,1879/500,86,94.0
57,C4,16.967,24/125,56,94.0
58,G#2,16.967,24/125,56,94.0
59,F#2,17.0,26/125,80,94.0
60,F4,17.025,1/5,71,94.0
61,F#2,17.683,26/125,60,94.0
62,C#2,18.0,2.0,86,94.0
63,C#3,18.0,129/500,47,94.0
64,B3,18.0,171/500,52,94.0
65,B3,18.0,2.0,70,94.0
66,E-4,18.0,2.0,70,94.0
67,F4,18.0,2.0,70,94.0
68,G#3,18.0,2.0,70,94.0
69,B1,18.0,26/125,60,94.0
70,F#2,18.0,26/125,60,94.0
71,F4,18.083,121/500,53,94.0
72,B3,18.967,24/125,56,94.0
73,C#3,18.967,24/125,56,94.0
74,F#2,19.0,26/125,80,94.0
75,F4,19.025,1/5,71,94.0
76,F#2,19.683,26/125,60,94.0
77,C2,20.0,2.0,86,94.0
78,E-4,20.0,7/5,86,94.0
79,C3,20.0,129/500,47,94.0
80,B-3,20.0,171/500,52,94.0
81,B-3,20.0,33/20,70,94.0
82,C4,20.0,33/20,70,94.0
83,G3,20.0,33/20,70,94.0
84,E-4,20.0,33/20,70,94.0
85,B1,20.0,26/125,65,94.0
86,F#2,20.0,26/125,65,94.0
87,E-4,20.083,121/500,53,94.0
88,B-3,20.967,24/125,56,94.0
89,C3,20.967,24/125,56,94.0
90,F#2,21.0,26/125,80,94.0
91,E-4,21.025,1/5,71,94.0
92,F4,21.35,329/500,112,94.0
93,F#2,21.667,26/125,60,94.0
94,F2,22.0,2.0,86,94.0
95,F2,22.0,129/500,47,94.0
96,G#3,22.0,171/500,52,94.0
97,G#3,22.0,19/10,79,94.0
98,C5,22.0,19/10,79,94.0
99,F2,22.0,19/10,79,94.0
100,B1,22.0,26/125,60,94.0
101,F#2,22.0,26/125,60,94.0
102,G#4,22.05,783/1000,110,94.0
103,E-4,22.083,121/500,53,94.0
104,F4,22.667,1233/1000,79,94.0
105,G4,22.75,371/500,101,94.0
106,G#3,22.967,24/125,56,94.0
107,F2,22.967,24/125,56,94.0
108,F#2,23.0,26/125,80,94.0
109,C#2,23.0,26/125,80,94.0
110,E-4,23.025,1/5,71,94.0
111,F4,23.417,123/250,101,94.0
112,F#2,23.667,26/125,60,94.0
113,E-4,23.825,7/40,103,94.0
114,B-1,24.0,2117/1000,96,94.0
115,G#3,24.0,1917/1000,81,94.0
116,E-4,24.0,333/1000,103,94.0
117,B-2,24.0,129/500,47,94.0
118,G#3,24.0,171/500,52,94.0
119,B-3,24.0,251/125,66,94.0
120,F3,24.0,251/125,66,94.0
121,C#4,24.0,251/125,66,94.0
122,B1,24.0,26/125,65,94.0
123,F#2,24.0,26/125,65,94.0
124,C#4,24.083,121/500,53,94.0
125,C#4,24.325,483/1000,110,94.0
126,G#3,24.967,24/125,56,94.0
127,B-2,24.967,24/125,56,94.0
128,C#4,24.992,483/1000,95,94.0
129,F#2,25.0,26/125,80,94.0
130,C#4,25.025,1/5,71,94.0
131,F#2,25.683,26/125,60,94.0
132,C#4,25.733,2267/1000,103,94.0
133,F2,26.0,2.0,81,94.0
134,B1,26.0,26/125,60,94.0
135,F#2,26.0,26/125,60,94.0
136,B-2,26.008,26/125,48,94.0
137,G#3,26.008,26/125,48,94.0
138,C#4,26.092,3/20,34,94.0
139,G#3,26.667,47/40,70,94.0
140,B-3,26.667,47/40,70,94.0
141,C#4,26.667,47/40,70,94.0
142,F3,26.667,47/40,70,94.0
143,F#2,27.0,26/125,80,94.0
144,G#3,27.008,26/125,72,94.0
145,B-2,27.008,26/125,72,94.0
146,C#4,27.067,1/5,68,94.0
147,F#2,27.683,26/125,60,94.0
148,E-2,28.0,174/125,97,94.0
149,C#4,28.0,71/40,103,94.0
150,E-2,28.0,129/500,47,94.0
151,G3,28.0,171/500,52,94.0
152,B1,28.0,26/125,65,94.0
153,F#2,28.0,26/125,65,94.0
154,G4,28.042,3933/1000,64,94.0
155,C#4,28.042,3933/1000,64,94.0
156,B-3,28.042,3933/1000,64,94.0
157,E-4,28.042,3933/1000,64,94.0
158,C#4,28.083,121/500,53,94.0
159,C#5,28.667,279/500,76,94.0
160,G3,28.967,24/125,56,94.0
161,E-2,28.967,24/125,56,94.0
162,F#2,29.0,26/125,80,94.0
163,C#4,29.025,1/5,71,94.0
164,B5,29.033,367/1000,90,94.0
165,E-2,29.667,517/1000,98,94.0
166,C6,29.675,19/40,86,94.0
167,E-4,29.675,23/40,110,94.0
168,F#2,29.7,26/125,60,94.0
169,G2,30.0,2.0,89,94.0
170,B1,30.0,26/125,60,94.0
171,F#2,30.0,26/125,60,94.0
172,E-2,30.008,26/125,48,94.0
173,G3,30.008,26/125,48,94.0
174,B-5,30.092,3/5,76,94.0
175,C#4,30.092,3/20,34,94.0
176,G4,30.258,27/40,103,94.0
177,G5,30.692,433/1000,90,94.0
178,F4,30.842,27/40,105,94.0
179,F#2,31.0,26/125,80,94.0
180,C#2,31.0,26/125,80,94.0
181,G3,31.008,26/125,72,94.0
182,E-2,31.008,26/125,72,94.0
183,C#4,31.067,1/5,68,94.0
184,F5,31.1,19/40,68,94.0
185,E-4,31.425,433/1000,97,94.0
186,E-5,31.683,317/1000,97,94.0
187,F#2,31.7,26/125,60,94.0
188,C#4,31.8,1/5,105,94.0
189,G#2,32.0,251/125,92,94.0
190,C#4,32.0,77/250,105,94.0
191,G#2,32.0,129/500,47,94.0
192,C4,32.0,171/500,52,94.0
193,B1,32.0,26/125,65,94.0
194,F#2,32.0,26/125,65,94.0
195,B-3,32.025,159/40,75,94.0
