,note_name,start_time,duration,velocity,tempo
0,A4,4.0,979/1000,64,120.0
1,D5,4.0,979/1000,64,120.0
2,D4,4.0,979/1000,64,120.0
3,G1,4.0,479/1000,64,120.0
4,G1,4.5,479/1000,64,120.0
5,A4,5.0,479/1000,64,120.0
6,D5,5.0,479/1000,64,120.0
7,D4,5.0,479/1000,64,120.0
8,G1,5.0,479/1000,64,120.0
9,G4,5.5,979/1000,64,120.0
10,C5,5.5,979/1000,64,120.0
11,C4,5.5,979/1000,64,120.0
12,G1,5.5,479/1000,64,120.0
13,G1,6.0,479/1000,64,120.0
14,G4,6.5,979/1000,64,120.0
15,C5,6.5,979/1000,64,120.0
16,C4,6.5,979/1000,64,120.0
17,F1,6.5,479/1000,64,120.0
18,A1,7.0,479/1000,64,120.0
19,F4,7.5,0.5,64,120.0
20,A4,7.5,0.5,64,120.0
21,B-3,7.5,0.5,64,120.0
22,G1,7.5,0.5,64,120.0
23,F4,8.0,479/1000,64,120.0
24,A4,8.0,479/1000,64,120.0
25,B-3,8.0,479/1000,64,120.0
26,G1,8.0,479/1000,64,120.0
27,F4,8.5,979/1000,64,120.0
28,A4,8.5,979/1000,64,120.0
29,B-3,8.5,979/1000,64,120.0
30,G1,8.5,479/1000,64,120.0
31,G1,9.0,479/1000,64,120.0
32,G4,9.5,979/1000,64,120.0
33,C5,9.5,979/1000,64,120.0
34,C4,9.5,979/1000,64,120.0
35,G1,9.5,479/1000,64,120.0
36,G1,10.0,479/1000,64,120.0
37,G4,10.5,1479/1000,64,120.0
38,C5,10.5,1479/1000,64,120.0
39,C4,10.5,1479/1000,64,120.0
40,A1,10.5,479/1000,64,120.0
41,F1,11.0,979/1000,64,120.0
42,A4,12.0,979/1000,64,120.0
43,D5,12.0,979/1000,64,120.0
44,D4,12.0,979/1000,64,120.0
45,G1,12.0,479/1000,64,120.0
46,G1,12.5,479/1000,64,120.0
47,A4,13.0,479/1000,64,120.0
48,D5,13.0,479/1000,64,120.0
49,D4,13.0,479/1000,64,120.0
50,G1,13.0,479/1000,64,120.0
51,G4,13.5,979/1000,64,120.0
52,C5,13.5,979/1000,64,120.0
53,C4,13.5,979/1000,64,120.0
54,G1,13.5,479/1000,64,120.0
55,G1,14.0,479/1000,64,120.0
56,G4,14.5,979/1000,64,120.0
57,C5,14.5,979/1000,64,120.0
58,C4,14.5,979/1000,64,120.0
59,F1,14.5,479/1000,64,120.0
60,A1,15.0,479/1000,64,120.0
61,F4,15.5,0.5,64,120.0
62,A4,15.5,0.5,64,120.0
63,B-3,15.5,0.5,64,120.0
64,G1,15.5,0.5,64,120.0
65,F4,16.0,479/1000,64,120.0
66,A4,16.0,479/1000,64,120.0
67,B-3,16.0,479/1000,64,120.0
68,G1,16.0,479/1000,64,120.0
69,F4,16.5,979/1000,64,120.0
70,A4,16.5,979/1000,64,120.0
71,B-3,16.5,979/1000,64,120.0
72,G1,16.5,479/1000,64,120.0
73,G1,17.0,479/1000,64,120.0
74,G4,17.5,979/1000,64,120.0
75,C5,17.5,979/1000,64,120.0
76,C4,17.5,979/1000,64,120.0
77,G1,17.5,479/1000,64,120.0
78,G1,18.0,479/1000,64,120.0
79,G4,18.5,1479/1000,64,120.0
80,C5,18.5,1479/1000,64,120.0
81,C4,18.5,1479/1000,64,120.0
82,A1,18.5,479/1000,64,120.0
83,F1,19.0,979/1000,64,120.0
84,A4,20.0,979/1000,64,120.0
85,D5,20.0,979/1000,64,120.0
86,D4,20.0,979/1000,64,120.0
87,G1,20.0,479/1000,64,120.0
88,G1,20.5,479/1000,64,120.0
89,A4,21.0,479/1000,64,120.0
90,D5,21.0,479/1000,64,120.0
91,D4,21.0,479/1000,64,120.0
92,G1,21.0,479/1000,64,120.0
93,G4,21.5,979/1000,64,120.0
94,C5,21.5,979/1000,64,120.0
95,C4,21.5,979/1000,64,120.0
96,G1,21.5,479/1000,64,120.0
97,G1,22.0,479/1000,64,120.0
98,G4,22.5,979/1000,64,120.0
99,C5,22.5,979/1000,64,120.0
100,C4,22.5,979/1000,64,120.0
101,F1,22.5,479/1000,64,120.0
102,A1,23.0,479/1000,64,120.0
103,F4,23.5,0.5,64,120.0
104,A4,23.5,0.5,64,120.0
105,B-3,23.5,0.5,64,120.0
106,G1,23.5,0.5,64,120.0
107,F4,24.0,479/1000,64,120.0
108,A4,24.0,479/1000,64,120.0
109,B-3,24.0,479/1000,64,120.0
110,G1,24.0,479/1000,64,120.0
111,F4,24.5,979/1000,64,120.0
112,A4,24.5,979/1000,64,120.0
113,B-3,24.5,979/1000,64,120.0
114,G1,24.5,479/1000,64,120.0
115,G1,25.0,479/1000,64,120.0
116,G4,25.5,979/1000,64,120.0
117,C5,25.5,979/1000,64,120.0
118,C4,25.5,979/1000,64,120.0
119,G1,25.5,479/1000,64,120.0
120,G1,26.0,479/1000,64,120.0
121,G4,26.5,1479/1000,64,120.0
122,C5,26.5,1479/1000,64,120.0
123,C4,26.5,1479/1000,64,120.0
124,A1,26.5,479/1000,64,120.0
125,F1,27.0,979/1000,64,120.0
126,A4,28.0,979/1000,64,120.0
127,D5,28.0,979/1000,64,120.0
128,D4,28.0,979/1000,64,120.0
129,G1,28.0,479/1000,64,120.0
130,G1,28.5,479/1000,64,120.0
131,A4,29.0,479/1000,64,120.0
132,D5,29.0,479/1000,64,120.0
133,D4,29.0,479/1000,64,120.0
134,G1,29.0,479/1000,64,120.0
135,G4,29.5,979/1000,64,120.0
136,C5,29.5,979/1000,64,120.0
137,C4,29.5,979/1000,64,120.0
138,G1,29.5,479/1000,64,120.0
139,G1,30.0,479/1000,64,120.0
140,G4,30.5,979/1000,64,120.0
141,C5,30.5,979/1000,64,120.0
142,C4,30.5,979/1000,64,120.0
143,F1,30.5,479/1000,64,120.0
144,A1,31.0,479/1000,64,120.0
145,F4,31.5,0.5,64,120.0
146,A4,31.5,0.5,64,120.0
147,B-3,31.5,0.5,64,120.0
148,G1,31.5,0.5,64,120.0
149,F4,32.0,479/1000,64,120.0
150,A4,32.0,479/1000,64,120.0
151,B-3,32.0,479/1000,64,120.0
152,G1,32.0,479/1000,64,120.0
153,F4,32.5,979/1000,64,120.0
154,A4,32.5,979/1000,64,120.0
155,B-3,32.5,979/1000,64,120.0
156,G1,32.5,479/1000,64,120.0
157,G1,33.0,479/1000,64,120.0
158,G4,33.5,979/1000,64,120.0
159,C5,33.5,979/1000,64,120.0
160,C4,33.5,979/1000,64,120.0
161,G1,33.5,479/1000,64,120.0
162,G1,34.0,479/1000,64,120.0
163,G4,34.5,1479/1000,64,120.0
164,C5,34.5,1479/1000,64,120.0
165,C4,34.5,1479/1000,64,120.0
166,A1,34.5,479/1000,64,120.0
167,F1,35.0,979/1000,64,120.0
168,A4,36.0,979/1000,64,120.0
169,D5,36.0,979/1000,64,120.0
170,D4,36.0,979/1000,64,120.0
171,G1,36.0,479/1000,64,120.0
172,D5,36.5,479/1000,64,120.0
173,G1,36.5,479/1000,64,120.0
174,A4,37.0,479/1000,64,120.0
175,D5,37.0,479/1000,64,120.0
176,D4,37.0,479/1000,64,120.0
177,D5,37.0,479/1000,64,120.0
178,G1,37.0,479/1000,64,120.0
179,G4,37.5,979/1000,64,120.0
180,C5,37.5,979/1000,64,120.0
181,C4,37.5,979/1000,64,120.0
182,D5,37.5,479/1000,64,120.0
183,G1,37.5,479/1000,64,120.0
184,F5,38.0,979/1000,64,120.0
185,G1,38.0,479/1000,64,120.0
186,G4,38.5,979/1000,64,120.0
187,C5,38.5,979/1000,64,120.0
188,C4,38.5,979/1000,64,120.0
189,F1,38.5,479/1000,64,120.0
190,B-4,39.0,229/1000,64,120.0
191,A1,39.0,479/1000,64,120.0
192,B-4,39.25,229/1000,64,120.0
193,F4,39.5,0.5,64,120.0
194,A4,39.5,0.5,64,120.0
195,B-3,39.5,0.5,64,120.0
196,B-4,39.5,0.5,64,120.0
197,G1,39.5,0.5,64,120.0
198,F4,40.0,479/1000,64,120.0
199,A4,40.0,479/1000,64,120.0
200,B-3,40.0,479/1000,64,120.0
201,B-4,40.0,979/1000,64,120.0
202,G1,40.0,479/1000,64,120.0
203,F4,40.5,979/1000,64,120.0
204,A4,40.5,979/1000,64,120.0
205,B-3,40.5,979/1000,64,120.0
206,G1,40.5,479/1000,64,120.0
207,D5,41.0,479/1000,64,120.0
208,G1,41.0,479/1000,64,120.0
209,G4,41.5,979/1000,64,120.0
210,C5,41.5,979/1000,64,120.0
211,C4,41.5,979/1000,64,120.0
212,A4,41.5,1479/1000,64,120.0
213,G1,41.5,479/1000,64,120.0
214,G1,42.0,479/1000,64,120.0
215,G4,42.5,1479/1000,64,120.0
216,C5,42.5,1479/1000,64,120.0
217,C4,42.5,1479/1000,64,120.0
218,A1,42.5,479/1000,64,120.0
219,F1,43.0,979/1000,64,120.0
220,A4,44.0,979/1000,64,120.0
221,D5,44.0,979/1000,64,120.0
222,D4,44.0,979/1000,64,120.0
223,G1,44.0,479/1000,64,120.0
224,D5,44.5,479/1000,64,120.0
225,G1,44.5,479/1000,64,120.0
226,A4,45.0,479/1000,64,120.0
227,D5,45.0,479/1000,64,120.0
228,D4,45.0,479/1000,64,120.0
229,D5,45.0,479/1000,64,120.0
230,G1,45.0,479/1000,64,120.0
231,G4,45.5,979/1000,64,120.0
232,C5,45.5,979/1000,64,120.0
233,C4,45.5,979/1000,64,120.0
234,F5,45.5,979/1000,64,120.0
235,G1,45.5,479/1000,64,120.0
236,G1,46.0,479/1000,64,120.0
237,G4,46.5,979/1000,64,120.0
238,C5,46.5,979/1000,64,120.0
239,C4,46.5,979/1000,64,120.0
240,B-4,46.5,479/1000,64,120.0
241,F1,46.5,479/1000,64,120.0
242,B-4,47.0,479/1000,64,120.0
243,A1,47.0,479/1000,64,120.0
244,F4,47.5,0.5,64,120.0
245,A4,47.5,0.5,64,120.0
246,B-3,47.5,0.5,64,120.0
247,B-4,47.5,479/1000,64,120.0
248,G1,47.5,0.5,64,120.0
249,F4,48.0,479/1000,64,120.0
250,A4,48.0,479/1000,64,120.0
251,B-3,48.0,479/1000,64,120.0
252,C5,48.0,479/1000,64,120.0
253,G1,48.0,479/1000,64,120.0
254,F4,48.5,979/1000,64,120.0
255,A4,48.5,979/1000,64,120.0
256,B-3,48.5,979/1000,64,120.0
257,D5,48.5,979/1000,64,120.0
258,G1,48.5,479/1000,64,120.0
259,G1,49.0,479/1000,64,120.0
260,G4,49.5,979/1000,64,120.0
261,C5,49.5,979/1000,64,120.0
262,C4,49.5,979/1000,64,120.0
263,D5,49.5,1479/1000,64,120.0
264,G1,49.5,479/1000,64,120.0
265,G1,50.0,479/1000,64,120.0
266,G4,50.5,1479/1000,64,120.0
267,C5,50.5,1479/1000,64,120.0
268,C4,50.5,1479/1000,64,120.0
269,A1,50.5,479/1000,64,120.0
270,F1,51.0,979/1000,64,120.0
271,A4,52.0,979/1000,64,120.0
272,D5,52.0,979/1000,64,120.0
273,D4,52.0,979/1000,64,120.0
274,G1,52.0,479/1000,64,120.0
275,D5,52.5,479/1000,64,120.0
276,G1,52.5,479/1000,64,120.0
277,A4,53.0,479/1000,64,120.0
278,D5,53.0,479/1000,64,120.0
279,D4,53.0,479/1000,64,120.0
280,D5,53.0,479/1000,64,120.0
281,G1,53.0,479/1000,64,120.0
282,G4,53.5,979/1000,64,120.0
283,C5,53.5,979/1000,64,120.0
284,C4,53.5,979/1000,64,120.0
285,D5,53.5,479/1000,64,120.0
286,G1,53.5,479/1000,64,120.0
287,F5,54.0,979/1000,64,120.0
288,G1,54.0,479/1000,64,120.0
289,G4,54.5,979/1000,64,120.0
290,C5,54.5,979/1000,64,120.0
291,C4,54.5,979/1000,64,120.0
292,F1,54.5,479/1000,64,120.0
293,B-4,55.0,479/1000,64,120.0
294,A1,55.0,479/1000,64,120.0
295,F4,55.5,0.5,64,120.0
296,A4,55.5,0.5,64,120.0
297,B-3,55.5,0.5,64,120.0
298,B-4,55.5,0.5,64,120.0
299,G1,55.5,0.5,64,120.0
300,F4,56.0,479/1000,64,120.0
301,A4,56.0,479/1000,64,120.0
302,B-3,56.0,479/1000,64,120.0
303,B-4,56.0,479/1000,64,120.0
304,G1,56.0,479/1000,64,120.0
305,F4,56.5,979/1000,64,120.0
306,A4,56.5,979/1000,64,120.0
307,B-3,56.5,979/1000,64,120.0
308,B-4,56.5,479/1000,64,120.0
309,G1,56.5,479/1000,64,120.0
310,D5,57.0,479/1000,64,120.0
311,G1,57.0,479/1000,64,120.0
312,G4,57.5,979/1000,64,120.0
313,C5,57.5,979/1000,64,120.0
314,C4,57.5,979/1000,64,120.0
315,A4,57.5,1479/1000,64,120.0
316,G1,57.5,479/1000,64,120.0
317,G1,58.0,479/1000,64,120.0
318,G4,58.5,1479/1000,64,120.0
319,C5,58.5,1479/1000,64,120.0
320,C4,58.5,1479/1000,64,120.0
321,A1,58.5,479/1000,64,120.0
322,F1,59.0,979/1000,64,120.0
323,A4,60.0,979/1000,64,120.0
324,D5,60.0,979/1000,64,120.0
325,D4,60.0,979/1000,64,120.0
326,G1,60.0,479/1000,64,120.0
327,D5,60.5,479/1000,64,120.0
328,G1,60.5,479/1000,64,120.0
329,A4,61.0,479/1000,64,120.0
330,D5,61.0,479/1000,64,120.0
331,D4,61.0,479/1000,64,120.0
332,D5,61.0,479/1000,64,120.0
333,G1,61.0,479/1000,64,120.0
334,G4,61.5,979/1000,64,120.0
335,C5,61.5,979/1000,64,120.0
336,C4,61.5,979/1000,64,120.0
337,D5,61.5,479/1000,64,120.0
338,G1,61.5,479/1000,64,120.0
339,D5,62.0,479/1000,64,120.0
340,G1,62.0,479/1000,64,120.0
341,G4,62.5,979/1000,64,120.0
342,C5,62.5,979/1000,64,120.0
343,C4,62.5,979/1000,64,120.0
344,D5,62.5,479/1000,64,120.0
345,F1,62.5,479/1000,64,120.0
346,F5,63.0,479/1000,64,120.0
347,A1,63.0,479/1000,64,120.0
348,F4,63.5,0.5,64,120.0
349,A4,63.5,0.5,64,120.0
350,B-3,63.5,0.5,64,120.0
351,B-4,63.5,0.5,64,120.0
352,G1,63.5,0.5,64,120.0
353,F4,64.0,479/1000,64,120.0
354,A4,64.0,479/1000,64,120.0
355,B-3,64.0,479/1000,64,120.0
356,B-4,64.0,479/1000,64,120.0
357,G1,64.0,479/1000,64,120.0
358,F4,64.5,979/1000,64,120.0
359,A4,64.5,979/1000,64,120.0
360,B-3,64.5,979/1000,64,120.0
361,D5,64.5,479/1000,64,120.0
362,G1,64.5,479/1000,64,120.0
363,D5,65.0,479/1000,64,120.0
364,G1,65.0,479/1000,64,120.0
365,G4,65.5,979/1000,64,120.0
366,C5,65.5,979/1000,64,120.0
367,C4,65.5,979/1000,64,120.0
368,D5,65.5,1479/1000,64,120.0
369,G1,65.5,479/1000,64,120.0
370,G1,66.0,479/1000,64,120.0
371,G4,66.5,1479/1000,64,120.0
372,C5,66.5,1479/1000,64,120.0
373,C4,66.5,1479/1000,64,120.0
374,A1,66.5,479/1000,64,120.0
375,F1,67.0,979/1000,64,120.0
376,B-4,68.0,979/1000,64,120.0
377,E-5,68.0,979/1000,64,120.0
378,E-4,68.0,979/1000,64,120.0
379,E-2,68.0,479/1000,64,120.0
380,E-5,68.5,479/1000,64,120.0
381,E-2,68.5,479/1000,64,120.0
382,B-4,69.0,479/1000,64,120.0
383,E-5,69.0,479/1000,64,120.0
384,E-4,69.0,479/1000,64,120.0
385,E-5,69.0,229/1000,64,120.0
386,E-2,69.0,479/1000,64,120.0
387,B-4,69.25,229/1000,64,120.0
388,G#4,69.5,979/1000,64,120.0
389,C#5,69.5,979/1000,64,120.0
390,C#4,69.5,979/1000,64,120.0
391,B-5,69.5,1479/1000,64,120.0
392,B-1,69.5,479/1000,64,120.0
393,C#2,70.0,979/1000,64,120.0
