,note_name,start_time,duration,velocity,tempo
0,B-3,3.562,0.188,79,120.0
1,C4,3.812,0.188,86,120.0
2,C4,4.0,13/250,86,120.0
3,D4,4.229,0.125,84,120.0
4,B-4,4.229,0.125,84,120.0
5,F4,4.229,0.125,84,120.0
6,D4,4.229,0.125,84,120.0
7,G3,4.229,0.125,84,120.0
8,B-3,4.229,0.125,84,120.0
9,F3,4.229,0.125,84,120.0
10,G4,4.271,0.125,75,120.0
11,B-3,4.271,0.125,75,120.0
12,F3,4.271,0.125,75,120.0
13,E-2,4.281,13/50,94,120.0
14,G#2,4.292,323/1000,75,120.0
15,C2,4.323,77/200,75,120.0
16,B-3,4.917,177/1000,86,120.0
17,C4,5.167,229/1000,94,120.0
18,E-4,5.615,27/200,86,120.0
19,G#4,5.615,27/200,86,120.0
20,C5,5.615,27/200,86,120.0
21,F2,5.615,27/200,86,120.0
22,C4,5.615,27/200,86,120.0
23,G3,5.615,27/200,86,120.0
24,G#3,5.615,27/200,86,120.0
25,D4,5.646,177/1000,91,120.0
26,C4,5.646,177/1000,91,120.0
27,G#2,5.698,151/500,75,120.0
28,C2,5.698,151/500,75,120.0
29,B-3,6.323,26/125,86,120.0
30,C4,6.562,6/25,79,120.0
31,B-3,7.021,0.094,92,120.0
32,G2,7.021,0.094,92,120.0
33,F4,7.021,0.094,92,120.0
34,G3,7.021,0.094,92,120.0
35,D5,7.021,0.094,92,120.0
36,B-4,7.021,0.094,92,120.0
37,D4,7.021,0.094,92,120.0
38,C2,7.073,333/1000,75,120.0
39,G#2,7.073,99/500,88,120.0
40,D4,7.073,99/500,88,120.0
41,F4,7.698,229/1000,94,120.0
42,E-4,7.948,13/250,79,120.0
43,E-4,8.0,0.188,79,120.0
44,G#2,8.417,0.188,89,120.0
45,D4,8.417,0.188,89,120.0
46,C2,8.417,0.188,89,120.0
47,G#2,8.417,0.188,89,120.0
48,E-5,8.417,0.188,89,120.0
49,E-4,8.448,83/1000,71,120.0
50,C4,8.448,83/1000,71,120.0
51,C5,8.448,83/1000,71,120.0
52,G#3,8.448,83/1000,71,120.0
53,G3,8.448,83/1000,71,120.0
54,B-3,9.073,99/500,73,120.0
55,C4,9.312,99/500,94,120.0
56,B-2,9.75,667/1000,75,120.0
57,C2,9.75,26/125,75,120.0
58,B-2,9.771,521/500,94,120.0
59,F4,9.781,2.219,75,120.0
60,G#4,9.781,2.219,75,120.0
61,C#4,9.781,2.219,75,120.0
62,C#5,9.781,2.219,76,120.0
63,C4,9.781,2.219,76,120.0
64,C#4,9.792,276/125,79,120.0
65,G#3,9.802,1099/500,68,120.0
66,C5,10.438,0.25,92,120.0
67,G#2,10.677,0.188,75,120.0
68,C#5,10.688,13/125,80,120.0
69,C3,10.698,177/250,79,120.0
70,E-5,10.854,13/125,62,120.0
71,C#5,11.01,23/200,71,120.0
72,G#2,11.146,167/1000,72,120.0
73,C5,11.146,167/1000,72,120.0
74,C#5,11.354,83/1000,78,120.0
75,B-2,11.385,77/200,75,120.0
76,C#3,11.448,69/125,79,120.0
77,E-5,11.521,0.125,74,120.0
78,C#5,11.708,83/1000,62,120.0
79,E2,11.833,167/1000,66,120.0
80,C5,11.833,167/1000,66,120.0
81,C#3,12.0,21/500,79,120.0
82,C#4,12.0,729/1000,79,120.0
83,G#3,12.0,0.219,68,120.0
84,E2,12.0,1/100,66,120.0
85,C5,12.0,1/100,66,120.0
86,F4,12.0,83/1000,75,120.0
87,G#4,12.0,83/1000,75,120.0
88,C#4,12.0,83/1000,75,120.0
89,C#5,12.0,73/250,76,120.0
90,C4,12.0,73/250,76,120.0
91,C#5,12.031,0.125,81,120.0
92,G#2,12.104,177/1000,74,120.0
93,D3,12.104,427/1000,69,120.0
