,note_name,start_time,duration,velocity,tempo
0,D4,4.0,0.25,80,117.0
1,G#3,4.0,1.0,70,117.0
2,D4,4.75,0.25,80,117.0
3,D4,5.0,0.25,80,117.0
4,G#3,5.0,1.0,70,117.0
5,C#2,5.0,0.25,115,117.0
6,E4,5.0,0.25,115,117.0
7,G#4,5.0,0.25,115,117.0
8,C#5,5.0,0.25,115,117.0
9,E5,5.0,0.25,115,117.0
10,E-4,5.5,0.25,80,117.0
11,C#2,5.5,0.25,115,117.0
12,E4,5.5,0.25,115,117.0
13,G#4,5.5,0.25,115,117.0
14,C#5,5.5,0.25,115,117.0
15,E5,5.5,0.25,115,117.0
16,D4,6.0,0.25,80,117.0
17,G#3,6.0,1.0,70,117.0
18,G#2,6.0,0.75,115,117.0
19,E-4,6.0,0.75,115,117.0
20,G#4,6.0,0.75,115,117.0
21,B4,6.0,0.75,115,117.0
22,E-5,6.0,0.75,115,117.0
23,D4,6.75,0.25,80,117.0
24,D4,7.0,0.25,80,117.0
25,G#3,7.0,1.0,70,117.0
26,G#2,7.0,0.75,115,117.0
27,F#4,7.0,0.75,115,117.0
28,B4,7.0,0.75,115,117.0
29,E-4,7.5,0.25,80,117.0
30,C#3,7.75,0.25,115,117.0
31,E4,7.75,0.25,115,117.0
32,G#4,7.75,0.25,115,117.0
33,C#5,7.75,0.25,115,117.0
34,D4,8.0,0.25,80,117.0
35,G#3,8.0,1.0,70,117.0
36,D4,8.75,0.25,80,117.0
37,D4,9.0,0.25,80,117.0
38,G#3,9.0,1.0,70,117.0
39,C#3,9.0,0.25,115,117.0
40,E4,9.0,0.25,115,117.0
41,G#4,9.0,0.25,115,117.0
42,C#5,9.0,0.25,115,117.0
43,E-4,9.5,0.25,80,117.0
44,C#3,9.5,0.25,115,117.0
45,E4,9.5,0.25,115,117.0
46,G#4,9.5,0.25,115,117.0
47,E5,9.5,0.25,115,117.0
48,D4,10.0,0.25,80,117.0
49,G#3,10.0,1.0,70,117.0
50,B2,10.0,0.75,115,117.0
51,D5,10.0,0.75,115,117.0
52,A4,10.0,0.75,115,117.0
53,F#5,10.0,0.75,115,117.0
54,D4,10.75,0.25,80,117.0
55,D4,11.0,0.25,80,117.0
56,G#3,11.0,1.0,70,117.0
57,E2,11.0,0.75,115,117.0
58,E5,11.0,0.75,115,117.0
59,G#4,11.0,0.75,115,117.0
60,G#5,11.0,0.75,115,117.0
61,B4,11.0,0.75,115,117.0
62,E-4,11.5,0.25,80,117.0
63,A2,11.75,0.25,115,117.0
64,C#5,11.75,0.25,115,117.0
65,E5,11.75,0.25,115,117.0
66,E4,11.75,0.25,115,117.0
67,G#4,11.75,0.25,115,117.0
68,G#3,12.0,1.0,70,117.0
69,D4,12.25,0.125,80,117.0
70,D4,12.375,0.125,80,117.0
71,D4,12.5,0.125,80,117.0
72,A2,12.75,0.25,115,117.0
73,D4,12.75,0.125,80,117.0
74,E-4,13.0,0.125,80,117.0
75,G#3,13.0,1.0,70,117.0
76,A2,13.0,0.25,115,117.0
77,E4,13.0,0.25,115,117.0
78,G#4,13.0,0.25,115,117.0
79,C#5,13.0,0.25,115,117.0
80,E5,13.0,0.25,115,117.0
81,E-4,13.5,0.25,80,117.0
82,A2,13.5,0.25,115,117.0
83,E4,13.5,0.25,115,117.0
84,G#4,13.5,0.25,115,117.0
85,C#5,13.5,0.25,115,117.0
86,E5,13.5,0.25,115,117.0
87,D4,14.0,0.25,80,117.0
88,G#3,14.0,1.0,70,117.0
89,G#2,14.0,0.75,115,117.0
90,E4,14.0,0.75,115,117.0
91,E5,14.0,0.75,115,117.0
92,G#4,14.0,0.75,115,117.0
93,B4,14.0,0.75,115,117.0
94,D4,14.75,0.25,80,117.0
95,D4,15.0,0.25,80,117.0
96,G#3,15.0,1.0,70,117.0
97,C#3,15.0,0.75,115,117.0
98,B3,15.0,0.75,115,117.0
99,E4,15.0,0.75,115,117.0
100,B4,15.0,0.75,115,117.0
101,E-4,15.5,0.25,80,117.0
102,E-4,15.75,0.25,80,117.0
103,D4,16.0,0.25,80,117.0
104,G#3,16.0,1.0,70,117.0
105,F#5,16.0,1.0,115,117.0
106,F#2,16.0,1.0,115,117.0
107,F#4,16.0,1.0,115,117.0
108,C#5,16.0,1.0,115,117.0
109,A5,16.0,1.0,115,117.0
110,D4,16.75,0.25,80,117.0
111,D4,17.0,0.25,80,117.0
112,G#3,17.0,1.0,70,117.0
113,B4,17.0,0.25,115,117.0
114,G#4,17.0,0.25,115,117.0
115,G#2,17.0,0.25,115,117.0
116,E5,17.0,0.25,115,117.0
117,G#5,17.0,0.25,115,117.0
118,E-5,17.5,0.25,115,117.0
119,G#4,17.5,0.25,115,117.0
120,A2,17.5,0.25,115,117.0
121,F#5,17.5,0.25,115,117.0
122,E-4,17.75,0.25,80,117.0
123,E-4,18.0,0.25,80,117.0
124,G#3,18.0,1.0,70,117.0
125,B4,18.0,1.0,115,117.0
126,F#4,18.0,1.0,115,117.0
127,B2,18.0,1.0,115,117.0
128,E5,18.0,1.0,115,117.0
129,A4,18.0,1.0,115,117.0
130,D4,18.25,0.25,80,117.0
131,D4,18.75,0.25,60,117.0
132,D4,19.0,0.25,80,117.0
133,G#3,19.0,1.0,70,117.0
134,E-4,19.0,0.75,115,117.0
135,G#4,19.0,0.75,115,117.0
136,E-5,19.0,0.75,115,117.0
137,C3,19.0,0.75,115,117.0
138,D4,19.5,0.25,60,117.0
139,D4,19.75,0.25,80,117.0
140,E4,19.75,0.25,115,117.0
141,G#4,19.75,0.25,115,117.0
142,E5,19.75,0.25,115,117.0
143,C#3,19.75,0.25,115,117.0
144,D4,20.0,0.25,80,117.0
145,G#3,20.0,1.0,70,117.0
146,C#2,20.25,0.25,115,117.0
147,C#2,20.75,0.25,115,117.0
148,D4,20.75,0.25,80,117.0
149,E-4,21.0,0.25,80,117.0
150,G#3,21.0,1.0,70,117.0
151,C#2,21.0,0.25,115,117.0
152,E4,21.0,0.25,115,117.0
153,G#4,21.0,0.25,115,117.0
154,C#5,21.0,0.25,115,117.0
