,note_name,start_time,duration,velocity,tempo
0,D2,0.0,999/250,95,74.0
1,D3,0.0,999/250,95,74.0
2,F#3,0.0,999/250,95,74.0
3,G3,0.75,3.25,95,74.0
4,D4,1.5,2.5,95,74.0
5,G3,4.0,373/500,95,74.0
6,D4,4.0,187/125,95,74.0
7,F#2,4.0,999/250,95,74.0
8,F#3,4.0,999/250,95,74.0
9,G3,4.75,3.25,95,74.0
10,E4,5.5,2.5,95,74.0
11,G3,8.0,373/500,95,74.0
12,E4,8.0,187/125,95,74.0
13,G2,8.0,999/250,95,74.0
14,F#3,8.0,999/250,95,74.0
15,G3,8.75,1623/500,95,74.0
16,F#4,9.5,373/500,95,74.0
17,A4,10.25,123/500,95,74.0
18,E4,10.5,1.5,95,74.0
19,E4,12.0,373/500,95,74.0
20,E2,12.0,999/250,95,74.0
21,E3,12.0,999/250,95,74.0
22,G3,12.0,999/250,95,74.0
23,F#4,12.75,3.25,95,74.0
24,C#4,13.5,249/250,95,74.0
25,D4,14.5,1.5,95,74.0
26,F#4,16.0,373/500,95,74.0
27,D4,16.0,187/125,95,74.0
28,D2,16.0,999/250,95,74.0
29,D3,16.0,999/250,95,74.0
30,F#3,16.0,999/250,95,74.0
31,G3,16.75,3.25,95,74.0
32,D4,17.5,2.5,95,74.0
33,G3,20.0,373/500,95,74.0
34,D4,20.0,187/125,95,74.0
35,F#2,20.0,999/250,95,74.0
36,F#3,20.0,999/250,95,74.0
37,G3,20.75,3.25,95,74.0
38,E4,21.5,2.5,95,74.0
39,G3,24.0,373/500,95,74.0
40,E4,24.0,187/125,95,74.0
41,E2,24.0,999/250,95,74.0
42,F#3,24.0,999/250,95,74.0
43,G3,24.75,1623/500,95,74.0
44,F#4,25.5,2.5,95,74.0
45,D4,26.5,373/500,95,74.0
46,B3,27.25,373/500,95,74.0
47,G2,28.0,187/125,95,74.0
48,D3,28.0,249/250,95,74.0
49,F#4,28.0,187/125,95,74.0
50,A3,28.0,499/250,95,74.0
51,D4,28.0,499/250,95,74.0
52,D3,29.0,249/250,95,74.0
