,note_name,start_time,duration,velocity,tempo
0,E3,0.002,347/500,61,90.0
1,A3,0.002,347/500,61,90.0
2,B-3,0.002,347/500,61,90.0
3,D4,0.002,347/500,61,90.0
4,E3,0.002,347/500,61,90.0
5,A3,0.002,347/500,61,90.0
6,B-3,0.002,347/500,61,90.0
7,D4,0.002,347/500,61,90.0
8,E3,0.835,1/20,49,90.0
9,A3,0.835,1/20,49,90.0
10,B-3,0.835,1/20,49,90.0
11,D4,0.835,1/20,49,90.0
12,E3,0.835,1/20,49,90.0
13,A3,0.835,1/20,49,90.0
14,B-3,0.835,1/20,49,90.0
15,D4,0.835,1/20,49,90.0
16,D4,1.837,27/1000,44,90.0
17,A3,1.837,27/1000,44,90.0
18,E3,1.837,27/1000,44,90.0
19,B-3,1.837,27/1000,44,90.0
20,D4,1.837,27/1000,44,90.0
21,A3,1.837,27/1000,44,90.0
22,E3,1.837,27/1000,44,90.0
23,B-3,1.837,27/1000,44,90.0
24,E-4,5.835,1883/1000,63,90.0
25,F3,5.835,1883/1000,63,90.0
26,B-3,5.835,1883/1000,63,90.0
27,B3,5.835,1883/1000,63,90.0
28,E-4,5.835,1883/1000,63,90.0
29,F3,5.835,1883/1000,63,90.0
30,B-3,5.835,1883/1000,63,90.0
31,B3,5.835,1883/1000,63,90.0
32,D4,8.002,683/1000,62,90.0
33,B-3,8.002,683/1000,62,90.0
34,E3,8.002,683/1000,62,90.0
35,A3,8.002,683/1000,62,90.0
36,D4,8.002,683/1000,62,90.0
37,B-3,8.002,683/1000,62,90.0
38,E3,8.002,683/1000,62,90.0
39,A3,8.002,683/1000,62,90.0
40,D4,8.835,11/250,48,90.0
41,B-3,8.835,11/250,48,90.0
42,E3,8.835,11/250,48,90.0
43,A3,8.835,11/250,48,90.0
44,D4,8.835,11/250,48,90.0
45,B-3,8.835,11/250,48,90.0
46,E3,8.835,11/250,48,90.0
47,A3,8.835,11/250,48,90.0
48,B-3,9.835,27/500,40,90.0
49,E3,9.835,27/500,40,90.0
50,D4,9.835,27/500,40,90.0
51,A3,9.835,27/500,40,90.0
52,B-3,9.835,27/500,40,90.0
53,E3,9.835,27/500,40,90.0
54,D4,9.835,27/500,40,90.0
55,A3,9.835,27/500,40,90.0
56,B3,13.833,1283/1000,66,90.0
57,B-3,13.833,1283/1000,66,90.0
58,E-4,13.833,1283/1000,66,90.0
59,F3,13.833,1283/1000,66,90.0
60,B3,13.833,1283/1000,66,90.0
61,B-3,13.833,1283/1000,66,90.0
62,E-4,13.833,1283/1000,66,90.0
63,F3,13.833,1283/1000,66,90.0
64,E-5,15.0,147/500,91,90.0
65,E-6,15.0,147/500,91,90.0
66,E-5,15.0,147/500,91,90.0
67,E-6,15.0,147/500,91,90.0
68,F4,15.333,77/1000,52,90.0
69,F4,15.333,77/1000,52,90.0
70,E-4,15.5,423/1000,73,90.0
71,E-4,15.5,423/1000,73,90.0
72,E-5,15.502,36/125,91,90.0
73,E-6,15.502,36/125,91,90.0
74,E-5,15.502,36/125,91,90.0
75,E-6,15.502,36/125,91,90.0
76,C6,16.0,29/100,30,90.0
77,C5,16.0,29/100,30,90.0
78,C6,16.0,29/100,30,90.0
79,C5,16.0,29/100,30,90.0
80,E3,16.002,347/500,61,90.0
81,A3,16.002,347/500,61,90.0
82,B-3,16.002,347/500,61,90.0
83,D4,16.002,347/500,61,90.0
84,E3,16.002,347/500,61,90.0
85,A3,16.002,347/500,61,90.0
86,B-3,16.002,347/500,61,90.0
87,D4,16.002,347/500,61,90.0
88,C5,16.344,0.062,58,90.0
89,C6,16.344,0.062,58,90.0
90,C5,16.344,0.062,58,90.0
91,C6,16.344,0.062,58,90.0
92,E3,16.835,1/20,49,90.0
93,A3,16.835,1/20,49,90.0
94,B-3,16.835,1/20,49,90.0
95,D4,16.835,1/20,49,90.0
96,E3,16.835,1/20,49,90.0
97,A3,16.835,1/20,49,90.0
98,B-3,16.835,1/20,49,90.0
99,D4,16.835,1/20,49,90.0
100,C5,17.01,27/500,60,90.0
101,C6,17.01,27/500,60,90.0
102,C5,17.01,27/500,60,90.0
103,C6,17.01,27/500,60,90.0
104,D4,17.837,27/1000,44,90.0
105,A3,17.837,27/1000,44,90.0
106,E3,17.837,27/1000,44,90.0
107,B-3,17.837,27/1000,44,90.0
108,D4,17.837,27/1000,44,90.0
109,A3,17.837,27/1000,44,90.0
110,E3,17.837,27/1000,44,90.0
111,B-3,17.837,27/1000,44,90.0
112,C5,18.017,7/125,50,90.0
113,C6,18.017,7/125,50,90.0
114,C5,18.017,7/125,50,90.0
115,C6,18.017,7/125,50,90.0
116,C6,18.842,19/500,58,90.0
117,C5,18.842,19/500,58,90.0
118,C6,18.842,19/500,58,90.0
119,C5,18.842,19/500,58,90.0
120,C6,19.837,0.031,62,90.0
121,C5,19.837,0.031,62,90.0
122,C6,19.837,0.031,62,90.0
123,C5,19.837,0.031,62,90.0
124,C6,20.51,27/500,82,90.0
125,C5,20.51,27/500,82,90.0
126,C6,20.51,27/500,82,90.0
127,C5,20.51,27/500,82,90.0
128,E-6,21.01,27/500,96,90.0
129,E-5,21.01,27/500,96,90.0
130,E-6,21.01,27/500,96,90.0
131,E-5,21.01,27/500,96,90.0
132,F6,21.504,671/500,91,90.0
133,F5,21.504,671/500,91,90.0
134,F6,21.504,671/500,91,90.0
135,F5,21.504,671/500,91,90.0
136,E-4,21.835,1883/1000,63,90.0
137,F3,21.835,1883/1000,63,90.0
138,B-3,21.835,1883/1000,63,90.0
139,B3,21.835,1883/1000,63,90.0
140,E-4,21.835,1883/1000,63,90.0
141,F3,21.835,1883/1000,63,90.0
142,B-3,21.835,1883/1000,63,90.0
143,B3,21.835,1883/1000,63,90.0
144,E-6,23.331,529/1000,100,90.0
145,E-5,23.331,529/1000,100,90.0
146,E-6,23.331,529/1000,100,90.0
147,E-5,23.331,529/1000,100,90.0
148,D4,24.002,683/1000,62,90.0
149,B-3,24.002,683/1000,62,90.0
150,E3,24.002,683/1000,62,90.0
151,A3,24.002,683/1000,62,90.0
152,C6,24.002,77/1000,58,90.0
153,C5,24.002,77/1000,58,90.0
154,D4,24.002,683/1000,62,90.0
155,B-3,24.002,683/1000,62,90.0
156,E3,24.002,683/1000,62,90.0
157,A3,24.002,683/1000,62,90.0
158,C6,24.002,77/1000,58,90.0
159,C5,24.002,77/1000,58,90.0
160,C6,24.329,3/50,50,90.0
161,C5,24.329,3/50,50,90.0
162,C6,24.329,3/50,50,90.0
163,C5,24.329,3/50,50,90.0
164,D4,24.835,11/250,48,90.0
165,B-3,24.835,11/250,48,90.0
166,E3,24.835,11/250,48,90.0
167,A3,24.835,11/250,48,90.0
168,D4,24.835,11/250,48,90.0
169,B-3,24.835,11/250,48,90.0
170,E3,24.835,11/250,48,90.0
171,A3,24.835,11/250,48,90.0
172,C6,24.998,1/20,38,90.0
173,C5,24.998,1/20,38,90.0
174,C6,24.998,1/20,38,90.0
175,C5,24.998,1/20,38,90.0
176,B-3,25.835,27/500,40,90.0
177,E3,25.835,27/500,40,90.0
178,D4,25.835,27/500,40,90.0
179,A3,25.835,27/500,40,90.0
180,B-3,25.835,27/500,40,90.0
181,E3,25.835,27/500,40,90.0
182,D4,25.835,27/500,40,90.0
183,A3,25.835,27/500,40,90.0
184,C6,26.004,29/500,36,90.0
185,C5,26.004,29/500,36,90.0
186,C6,26.004,29/500,36,90.0
187,C5,26.004,29/500,36,90.0
188,C5,26.842,29/500,30,90.0
189,C6,26.842,29/500,30,90.0
190,C5,26.842,29/500,30,90.0
191,C6,26.842,29/500,30,90.0
192,C6,27.508,1/25,52,90.0
193,C5,27.508,1/25,52,90.0
194,C6,27.508,1/25,52,90.0
195,C5,27.508,1/25,52,90.0
196,C5,28.342,77/1000,62,90.0
197,C6,28.342,77/1000,62,90.0
198,C5,28.342,77/1000,62,90.0
199,C6,28.342,77/1000,62,90.0
200,G5,29.046,31/100,86,90.0
