,note_name,start_time,duration,velocity,tempo
0,D2,6.938,21/1000,108,109.0
1,D2,7.0,21/1000,108,109.0
2,B1,8.0,21/1000,84,109.0
3,C#3,8.0,21/1000,84,109.0
4,E3,8.49,73/500,91,109.0
5,F#2,8.5,21/1000,84,109.0
6,D2,9.0,21/1000,98,109.0
7,E-2,9.0,21/1000,98,109.0
8,F#2,9.0,21/1000,98,109.0
9,F#3,9.0,21/1000,98,109.0
10,D3,9.229,23/200,92,109.0
11,F#2,9.5,21/1000,87,109.0
12,B2,9.781,83/1000,55,109.0
13,D3,9.958,73/500,95,109.0
14,B1,10.0,21/1000,104,109.0
15,F#2,10.0,21/1000,104,109.0
16,D3,10.5,73/500,85,109.0
17,F#2,10.5,21/1000,88,109.0
18,D3,10.969,99/500,91,109.0
19,D2,11.0,21/1000,104,109.0
20,E-2,11.0,21/1000,104,109.0
21,F#2,11.0,21/1000,104,109.0
22,E3,11.198,177/1000,87,109.0
23,F#2,11.5,21/1000,87,109.0
24,B1,12.0,21/1000,104,109.0
25,F#2,12.0,21/1000,104,109.0
26,E3,12.49,0.156,92,109.0
27,F#2,12.5,21/1000,84,109.0
28,D2,13.0,21/1000,103,109.0
29,E-2,13.0,21/1000,103,109.0
30,F#2,13.0,21/1000,103,109.0
31,D3,13.229,23/200,78,109.0
32,F#2,13.5,21/1000,87,109.0
33,B2,13.76,83/1000,54,109.0
34,D3,13.958,0.125,91,109.0
35,B1,14.0,21/1000,104,109.0
36,F#2,14.0,21/1000,104,109.0
37,D3,14.469,73/500,80,109.0
38,F#2,14.5,21/1000,88,109.0
39,E3,14.99,0.75,89,109.0
40,B1,15.0,21/1000,99,109.0
41,D2,15.0,21/1000,99,109.0
42,E-2,15.0,21/1000,99,109.0
43,F#2,15.0,21/1000,99,109.0
44,F#3,15.0,21/1000,99,109.0
45,F#2,15.5,21/1000,87,109.0
46,B1,16.0,21/1000,104,109.0
47,F#2,16.0,21/1000,104,109.0
48,E3,16.49,73/500,91,109.0
49,G4,16.49,6/25,74,109.0
50,D4,16.49,6/25,74,109.0
51,E4,16.49,6/25,74,109.0
52,B4,16.49,6/25,74,109.0
53,E5,16.49,6/25,74,109.0
54,F#2,16.5,21/1000,84,109.0
55,D4,16.75,229/1000,65,109.0
56,G4,16.75,229/1000,65,109.0
57,B4,16.75,229/1000,65,109.0
58,E5,16.75,229/1000,65,109.0
59,E4,16.75,229/1000,65,109.0
60,D4,17.0,0.219,62,109.0
61,E4,17.0,0.219,62,109.0
62,G4,17.0,0.219,62,109.0
63,B4,17.0,0.219,62,109.0
64,E5,17.0,0.219,62,109.0
65,D2,17.0,21/1000,103,109.0
66,E-2,17.0,21/1000,103,109.0
67,F#2,17.0,21/1000,103,109.0
68,D3,17.229,23/200,92,109.0
69,E5,17.229,167/1000,65,109.0
70,D4,17.229,167/1000,65,109.0
71,E4,17.229,167/1000,65,109.0
72,G4,17.229,167/1000,65,109.0
73,B4,17.229,167/1000,65,109.0
74,F#2,17.5,21/1000,87,109.0
75,B2,17.781,83/1000,55,109.0
76,D3,17.958,73/500,95,109.0
77,B1,18.0,21/1000,104,109.0
78,F#2,18.0,21/1000,104,109.0
79,D3,18.5,73/500,85,109.0
80,F#2,18.5,21/1000,88,109.0
81,D3,18.969,99/500,91,109.0
82,D2,19.0,21/1000,98,109.0
83,E-2,19.0,21/1000,98,109.0
84,F#2,19.0,21/1000,98,109.0
85,F#3,19.0,21/1000,98,109.0
86,E3,19.198,177/1000,87,109.0
87,F#2,19.5,21/1000,87,109.0
88,B1,20.0,21/1000,104,109.0
89,F#2,20.0,21/1000,104,109.0
90,E3,20.49,0.156,92,109.0
91,F#2,20.5,21/1000,84,109.0
92,A3,20.5,229/1000,71,109.0
93,E4,20.5,229/1000,71,109.0
94,G4,20.5,229/1000,71,109.0
95,C5,20.5,229/1000,71,109.0
96,A3,20.75,26/125,59,109.0
97,E4,20.75,26/125,59,109.0
98,G4,20.75,26/125,59,109.0
99,C5,20.75,26/125,59,109.0
100,A3,20.99,0.219,58,109.0
101,E4,20.99,0.219,58,109.0
102,G4,20.99,0.219,58,109.0
103,C5,20.99,0.219,58,109.0
104,D2,21.0,21/1000,103,109.0
105,E-2,21.0,21/1000,103,109.0
106,F#2,21.0,21/1000,103,109.0
107,D3,21.229,23/200,78,109.0
108,A3,21.24,177/1000,66,109.0
109,E4,21.24,177/1000,66,109.0
110,G4,21.24,177/1000,66,109.0
111,C5,21.24,177/1000,66,109.0
112,F#2,21.5,21/1000,87,109.0
113,B2,21.76,83/1000,54,109.0
114,D3,21.958,0.125,91,109.0
115,B1,22.0,21/1000,104,109.0
116,F#2,22.0,21/1000,104,109.0
117,D3,22.469,73/500,80,109.0
118,F#2,22.5,21/1000,88,109.0
119,E3,22.99,0.75,89,109.0
120,B1,23.0,21/1000,99,109.0
121,D2,23.0,21/1000,99,109.0
122,E-2,23.0,21/1000,99,109.0
123,F#2,23.0,21/1000,99,109.0
124,F#3,23.0,21/1000,99,109.0
125,D2,23.5,21/1000,95,109.0
126,F#2,23.5,21/1000,95,109.0
127,D2,23.75,21/1000,103,109.0
128,B1,24.0,21/1000,84,109.0
129,C#3,24.0,21/1000,84,109.0
130,E3,24.49,73/500,91,109.0
131,G4,24.49,6/25,74,109.0
132,D4,24.49,6/25,74,109.0
133,E4,24.49,6/25,74,109.0
134,B4,24.49,6/25,74,109.0
135,E5,24.49,6/25,74,109.0
136,F#2,24.5,21/1000,84,109.0
137,D4,24.75,229/1000,65,109.0
138,G4,24.75,229/1000,65,109.0
139,B4,24.75,229/1000,65,109.0
140,E5,24.75,229/1000,65,109.0
141,E4,24.75,229/1000,65,109.0
142,D4,25.0,0.219,62,109.0
143,E4,25.0,0.219,62,109.0
144,G4,25.0,0.219,62,109.0
145,B4,25.0,0.219,62,109.0
146,E5,25.0,0.219,62,109.0
147,D2,25.0,21/1000,103,109.0
148,E-2,25.0,21/1000,103,109.0
149,F#2,25.0,21/1000,103,109.0
150,D3,25.229,23/200,92,109.0
151,E5,25.229,167/1000,65,109.0
152,D4,25.229,167/1000,65,109.0
153,E4,25.229,167/1000,65,109.0
154,G4,25.229,167/1000,65,109.0
155,B4,25.229,167/1000,65,109.0
156,F#2,25.5,21/1000,87,109.0
157,B2,25.781,83/1000,55,109.0
158,D3,25.958,73/500,95,109.0
159,B1,26.0,21/1000,104,109.0
160,F#2,26.0,21/1000,104,109.0
161,D3,26.5,73/500,85,109.0
162,F#2,26.5,21/1000,88,109.0
163,D3,26.969,99/500,91,109.0
164,D2,27.0,21/1000,99,109.0
165,E-2,27.0,21/1000,99,109.0
166,F#2,27.0,21/1000,99,109.0
167,F#3,27.0,21/1000,99,109.0
168,E3,27.198,177/1000,87,109.0
169,F#2,27.5,21/1000,87,109.0
170,B1,28.0,21/1000,104,109.0
171,F#2,28.0,21/1000,104,109.0
172,E3,28.49,0.156,92,109.0
173,F#2,28.5,21/1000,84,109.0
174,A3,28.5,229/1000,71,109.0
175,E4,28.5,229/1000,71,109.0
176,G4,28.5,229/1000,71,109.0
177,C5,28.5,229/1000,71,109.0
178,A3,28.75,26/125,59,109.0
179,E4,28.75,26/125,59,109.0
180,G4,28.75,26/125,59,109.0
181,C5,28.75,26/125,59,109.0
182,A3,28.99,0.219,58,109.0
183,E4,28.99,0.219,58,109.0
184,G4,28.99,0.219,58,109.0
185,C5,28.99,0.219,58,109.0
186,D2,29.0,21/1000,103,109.0
