,note_name,start_time,duration,velocity,tempo
0,G4,7.617,121/500,105,88.0
1,D2,8.0,26/125,80,88.0
2,G4,8.033,833/1000,107,88.0
3,D2,8.717,26/125,20,88.0
4,G4,8.983,429/500,105,88.0
5,D2,9.0,26/125,85,88.0
6,F#2,9.0,26/125,85,88.0
7,D2,9.717,26/125,90,88.0
8,D2,10.0,26/125,80,88.0
9,G4,10.017,1267/1000,105,88.0
10,D2,10.717,26/125,20,88.0
11,D2,11.0,26/125,80,88.0
12,F#2,11.0,26/125,80,88.0
13,C#2,11.0,26/125,80,88.0
14,G4,11.417,483/1000,102,88.0
15,D2,11.717,26/125,70,88.0
16,G2,12.0,83/40,82,88.0
17,D2,12.0,26/125,80,88.0
18,G4,12.042,127/250,107,88.0
19,G4,12.717,97/40,107,88.0
20,D2,12.717,26/125,20,88.0
21,B3,12.992,267/1000,46,88.0
22,F4,12.992,267/1000,46,88.0
23,F4,13.0,73/250,55,88.0
24,E-4,13.0,73/250,55,88.0
25,B3,13.0,73/250,55,88.0
26,A4,13.0,73/250,55,88.0
27,D2,13.0,26/125,85,88.0
28,F#2,13.0,26/125,85,88.0
29,D2,13.717,26/125,90,88.0
30,D3,14.0,1667/1000,85,88.0
31,D2,14.0,26/125,80,88.0
32,D2,14.717,26/125,20,88.0
33,F4,15.0,3/10,46,88.0
34,E-4,15.0,3/10,46,88.0
35,B3,15.0,3/10,46,88.0
36,A4,15.0,3/10,46,88.0
37,F4,15.0,267/1000,59,88.0
38,B3,15.0,267/1000,59,88.0
39,D2,15.0,26/125,80,88.0
40,F#2,15.0,26/125,80,88.0
41,C#2,15.0,26/125,80,88.0
42,G4,15.367,567/1000,125,88.0
43,G2,15.667,183/1000,82,88.0
44,D2,15.717,26/125,70,88.0
45,E2,16.0,1417/1000,85,88.0
46,D2,16.0,26/125,80,88.0
47,G4,16.092,421/500,118,88.0
48,D2,16.717,26/125,30,88.0
49,G3,16.992,267/1000,46,88.0
50,D4,16.992,267/1000,46,88.0
51,E4,17.0,383/1000,50,88.0
52,D4,17.0,383/1000,50,88.0
53,B-3,17.0,383/1000,50,88.0
54,G4,17.0,383/1000,50,88.0
55,D2,17.0,26/125,85,88.0
56,F#2,17.0,26/125,85,88.0
57,G4,17.092,227/250,111,88.0
58,E1,17.333,9/40,27,88.0
59,E2,17.667,183/1000,82,88.0
60,D2,17.717,26/125,90,88.0
61,A1,18.0,1617/1000,80,88.0
62,D2,18.0,26/125,80,88.0
63,F4,18.0,2.0,50,88.0
64,C#4,18.0,2.0,50,88.0
65,B-3,18.0,2.0,50,88.0
66,G3,18.0,2.0,50,88.0
67,B-4,18.033,1333/1000,120,88.0
68,D2,18.717,26/125,20,88.0
69,G3,18.992,267/1000,46,88.0
70,C#4,18.992,267/1000,46,88.0
71,D2,19.0,26/125,80,88.0
72,F#2,19.0,26/125,80,88.0
73,C#2,19.0,26/125,80,88.0
74,A4,19.367,633/1000,113,88.0
75,E2,19.692,77/250,81,88.0
76,D2,19.717,26/125,70,88.0
77,F2,20.0,2.0,82,88.0
78,A4,20.0,3/40,113,88.0
79,D2,20.0,26/125,80,88.0
80,G#4,20.025,933/1000,118,88.0
81,D2,20.717,26/125,20,88.0
82,F4,20.758,283/1000,50,88.0
83,E-4,20.758,283/1000,50,88.0
84,C4,20.758,283/1000,50,88.0
85,G#4,20.758,283/1000,50,88.0
86,G#3,20.992,267/1000,46,88.0
87,E-4,20.992,267/1000,46,88.0
88,D2,21.0,26/125,85,88.0
89,F#2,21.0,26/125,85,88.0
90,G#4,21.083,921/500,90,88.0
91,D2,21.717,26/125,90,88.0
92,B-1,22.0,2.0,70,88.0
93,D2,22.0,26/125,80,88.0
94,D2,22.717,26/125,20,88.0
95,G#4,22.758,283/1000,50,88.0
96,F4,22.758,283/1000,50,88.0
97,D4,22.758,283/1000,50,88.0
98,B-4,22.758,283/1000,50,88.0
99,G#3,22.992,267/1000,46,88.0
100,D4,22.992,267/1000,46,88.0
101,D2,23.0,26/125,80,88.0
102,F#2,23.0,26/125,80,88.0
103,C#2,23.0,26/125,80,88.0
104,G#4,23.092,227/250,107,88.0
105,D2,23.717,26/125,70,88.0
106,C2,24.0,2.0,70,88.0
107,G#4,24.0,1/10,107,88.0
108,D2,24.0,26/125,80,88.0
109,G4,24.108,17/20,109,88.0
110,D2,24.717,26/125,30,88.0
111,A3,24.992,267/1000,46,88.0
112,E4,24.992,267/1000,46,88.0
113,E4,25.0,383/1000,50,88.0
114,C4,25.0,383/1000,50,88.0
115,A3,25.0,383/1000,50,88.0
116,G4,25.0,383/1000,50,88.0
117,D2,25.0,26/125,85,88.0
118,F#2,25.0,26/125,85,88.0
119,G4,25.058,19/20,122,88.0
120,D2,25.717,26/125,90,88.0
121,A1,26.0,1383/1000,86,88.0
122,D2,26.0,26/125,80,88.0
123,D5,26.025,377/250,109,88.0
124,D2,26.717,26/125,20,88.0
125,G3,26.992,267/1000,46,88.0
126,C4,26.992,267/1000,46,88.0
127,G4,27.0,383/1000,50,88.0
128,E4,27.0,383/1000,50,88.0
129,C4,27.0,383/1000,50,88.0
