,note_name,start_time,duration,velocity,tempo
0,A3,0.0,0.25,95,100.0
1,A3,0.25,0.25,95,100.0
2,A3,0.5,0.25,95,100.0
3,A3,0.75,0.25,95,100.0
4,C#4,1.0,1/5,95,100.0
5,F4,1.2,1/5,95,100.0
6,A4,1.4,1/5,95,100.0
7,C#5,1.6,1/5,95,100.0
8,F5,1.8,1/5,95,100.0
9,A5,2.0,0.25,95,100.0
10,A5,2.25,0.25,95,100.0
11,A5,2.5,0.25,95,100.0
12,A5,2.75,0.25,95,100.0
13,F5,3.0,1/5,95,100.0
14,C#5,3.2,1/5,95,100.0
15,A4,3.4,1/5,95,100.0
16,F4,3.6,1/5,95,100.0
17,C#4,3.8,1/5,95,100.0
18,A3,4.0,0.25,95,100.0
19,A3,4.25,0.25,95,100.0
20,A3,4.5,0.25,95,100.0
21,A3,4.75,0.25,95,100.0
22,C#4,5.0,1/5,95,100.0
23,F4,5.2,1/5,95,100.0
24,A4,5.4,1/5,95,100.0
25,C#5,5.6,1/5,95,100.0
26,F5,5.8,1/5,95,100.0
27,A5,6.0,0.25,95,100.0
28,A5,6.25,0.25,95,100.0
29,A5,6.5,0.25,95,100.0
30,A5,6.75,0.25,95,100.0
31,F5,7.0,1/5,95,100.0
32,C#5,7.2,1/5,95,100.0
33,A4,7.4,1/5,95,100.0
34,F4,7.6,1/5,95,100.0
35,C#4,7.8,1/5,95,100.0
36,E2,8.0,0.25,95,100.0
37,E4,8.5,0.25,95,100.0
38,E2,9.0,0.5,95,100.0
39,C#3,9.5,0.25,95,100.0
40,E-3,9.75,0.25,70,100.0
41,E2,10.0,0.25,95,100.0
42,E4,10.5,0.25,95,100.0
43,A2,11.0,0.5,95,100.0
44,C#3,11.5,0.25,95,100.0
45,E-3,11.75,0.25,95,100.0
46,E2,12.0,0.25,95,100.0
47,E4,12.5,0.25,95,100.0
48,E2,13.0,0.5,95,100.0
49,C#3,13.5,0.25,95,100.0
50,E-3,13.75,0.25,70,100.0
51,E2,14.0,0.25,95,100.0
52,E4,14.5,0.25,95,100.0
53,A2,15.0,0.5,95,100.0
54,C#3,15.5,0.25,95,100.0
55,E-3,15.75,0.25,95,100.0
56,G5,16.0,167/1000,95,100.0
57,B4,16.167,167/1000,95,100.0
58,E-5,16.333,167/1000,95,100.0
59,G5,16.5,167/1000,95,100.0
60,B5,16.667,333/1000,95,100.0
61,G5,17.0,167/1000,95,100.0
62,E-5,17.167,167/1000,95,100.0
63,C#5,17.333,167/1000,95,100.0
64,E-5,17.5,167/1000,95,100.0
65,G4,17.667,167/1000,95,100.0
66,B4,17.833,167/1000,95,100.0
67,E-5,18.0,167/1000,95,100.0
68,G5,18.167,333/1000,95,100.0
69,E-5,18.5,167/1000,95,100.0
70,B4,18.667,167/1000,95,100.0
71,G4,18.833,167/1000,95,100.0
72,B4,19.0,167/1000,95,100.0
73,E-4,19.167,167/1000,95,100.0
74,G4,19.333,167/1000,95,100.0
75,B4,19.5,167/1000,95,100.0
76,E-5,19.667,333/1000,95,100.0
77,B4,20.0,167/1000,95,100.0
78,G4,20.167,167/1000,95,100.0
79,E-4,20.333,167/1000,95,100.0
80,G4,20.5,167/1000,95,100.0
