,note_name,start_time,duration,velocity,tempo
0,G#2,0.0,124/125,91,125.0
1,G#2,1.0,124/125,91,125.0
2,G#2,2.0,124/125,91,125.0
3,G#2,3.0,124/125,100,125.0
4,C2,4.0,129/500,127,125.0
5,A4,4.025,279/500,127,125.0
6,C4,4.025,1667/1000,124,125.0
7,E4,4.025,1667/1000,124,125.0
8,B4,4.55,1067/1000,119,125.0
9,F3,5.0,129/500,127,125.0
10,G4,5.533,729/500,120,125.0
11,C2,6.0,129/500,127,125.0
12,C4,6.008,277/250,124,125.0
13,E4,6.008,277/250,124,125.0
14,F3,7.0,129/500,127,125.0
15,G4,7.508,123/250,119,125.0
16,E4,7.508,123/250,119,125.0
17,B3,7.508,123/250,119,125.0
18,G4,8.0,3.5,119,125.0
19,C2,8.0,129/500,127,125.0
20,E4,8.0,923/250,119,125.0
21,B3,8.0,923/250,119,125.0
22,A1,9.0,1.0,127,125.0
23,F3,9.0,129/500,127,125.0
24,C2,10.0,129/500,127,125.0
25,A1,10.467,33/1000,127,125.0
26,A1,11.0,1.0,127,125.0
27,F3,11.0,129/500,127,125.0
28,E4,11.542,229/500,85,125.0
29,E4,12.0,29/500,85,125.0
30,C2,12.0,129/500,127,125.0
31,A4,12.025,567/1000,127,125.0
32,C4,12.025,1733/1000,127,125.0
33,E4,12.025,1733/1000,127,125.0
34,B4,12.55,529/500,119,125.0
35,F3,13.0,129/500,127,125.0
36,G4,13.533,1483/1000,116,125.0
37,C2,14.0,129/500,127,125.0
38,C4,14.008,529/500,124,125.0
39,E4,14.008,529/500,124,125.0
40,F3,15.0,129/500,127,125.0
41,G4,15.508,123/250,119,125.0
42,B3,15.508,123/250,117,125.0
43,D4,15.508,123/250,117,125.0
44,G4,16.0,3467/1000,119,125.0
45,C2,16.0,129/500,127,125.0
46,B3,16.0,3733/1000,117,125.0
47,D4,16.0,3733/1000,117,125.0
48,A1,17.0,1.0,127,125.0
49,F3,17.0,129/500,127,125.0
50,C2,18.0,129/500,127,125.0
51,F#2,18.483,83/1000,83,125.0
52,A1,18.525,21/500,127,125.0
53,F#2,18.625,1/10,63,125.0
54,F#2,18.783,3/20,104,125.0
55,E2,18.983,817/1000,127,125.0
56,A1,19.0,1.0,127,125.0
57,F3,19.0,129/500,127,125.0
58,F#2,20.0,123/250,95,125.0
59,C2,20.0,124/125,127,125.0
60,F1,20.025,39/40,124,125.0
61,A4,20.025,11/20,122,125.0
62,C4,20.025,1.75,127,125.0
63,E4,20.025,1.75,127,125.0
64,F#2,20.5,123/250,31,125.0
65,B4,20.55,529/500,107,125.0
66,F#2,21.0,123/250,104,125.0
67,E2,21.0,124/125,127,125.0
68,F#2,21.5,123/250,30,125.0
69,F1,21.533,1/10,77,125.0
70,G4,21.533,1517/1000,116,125.0
71,F#2,22.0,123/250,91,125.0
72,C2,22.0,124/125,127,125.0
73,F1,22.008,124/125,104,125.0
74,C4,22.008,1.125,124,125.0
75,E4,22.008,1.125,124,125.0
76,F#2,22.5,123/250,32,125.0
77,F#2,23.0,123/250,110,125.0
78,E2,23.0,124/125,127,125.0
79,F#2,23.5,123/250,38,125.0
80,G1,23.508,123/250,68,125.0
81,G4,23.508,123/250,119,125.0
82,E4,23.508,123/250,119,125.0
83,B3,23.508,123/250,119,125.0
84,G1,24.0,21/20,68,125.0
85,G4,24.0,133/40,119,125.0
86,F#2,24.0,123/250,110,125.0
87,C2,24.0,124/125,127,125.0
88,E4,24.0,147/40,119,125.0
89,B3,24.0,147/40,119,125.0
90,F#2,24.5,123/250,32,125.0
91,F#2,25.0,123/250,110,125.0
92,E2,25.0,124/125,127,125.0
93,F#2,25.5,123/250,31,125.0
94,G1,25.542,27/250,69,125.0
95,F#2,26.0,123/250,110,125.0
96,C2,26.0,124/125,127,125.0
97,G1,26.025,1017/1000,113,125.0
98,F#2,26.5,123/250,41,125.0
99,F#2,27.0,123/250,104,125.0
100,E2,27.0,124/125,127,125.0
101,C2,27.025,271/500,106,125.0
102,F#2,27.5,123/250,31,125.0
103,G1,27.542,229/500,72,125.0
104,E4,27.542,229/500,108,125.0
105,G1,28.0,33/1000,72,125.0
106,E4,28.0,17/1000,108,125.0
107,F#2,28.0,123/250,95,125.0
108,C2,28.0,124/125,127,125.0
109,F1,28.025,21/20,124,125.0
110,A4,28.025,517/1000,122,125.0
111,C4,28.025,1767/1000,127,125.0
112,E4,28.025,1767/1000,127,125.0
113,F#2,28.5,123/250,31,125.0
114,B4,28.55,11/10,115,125.0
115,F#2,29.0,123/250,104,125.0
116,E2,29.0,124/125,127,125.0
117,F#2,29.5,123/250,30,125.0
118,F1,29.533,117/1000,77,125.0
119,G4,29.533,771/500,112,125.0
120,F#2,30.0,123/250,91,125.0
121,C2,30.0,124/125,127,125.0
122,F1,30.008,529/500,104,125.0
123,E4,30.008,23/20,124,125.0
124,C4,30.008,23/20,124,125.0
125,F#2,30.5,123/250,32,125.0
126,F#2,31.0,123/250,110,125.0
127,E2,31.0,124/125,127,125.0
128,F#2,31.5,123/250,38,125.0
129,G1,31.508,123/250,68,125.0
130,G4,31.508,123/250,119,125.0
131,D4,31.508,123/250,117,125.0
132,B3,31.508,123/250,117,125.0
133,G1,32.0,233/1000,68,125.0
134,G4,32.0,3667/1000,119,125.0
135,F#2,32.0,123/250,110,125.0
136,C2,32.0,124/125,127,125.0
137,D4,32.0,977/250,117,125.0
138,B3,32.0,977/250,117,125.0
139,F#2,32.5,123/250,32,125.0
140,G1,32.533,533/1000,79,125.0
141,F#2,33.0,123/250,110,125.0
142,E2,33.0,124/125,127,125.0
143,A1,33.025,19/40,113,125.0
144,F#2,33.5,123/250,31,125.0
145,G1,33.542,123/250,69,125.0
146,F#2,34.0,123/250,110,125.0
147,C2,34.0,124/125,127,125.0
148,E2,34.025,33/40,113,125.0
149,F#2,34.5,123/250,41,125.0
150,F#2,35.0,123/250,104,125.0
151,E2,35.0,124/125,127,125.0
152,E2,35.025,967/1000,106,125.0
153,B-2,35.5,123/250,100,125.0
154,F#2,36.0,123/250,95,125.0
155,C2,36.0,124/125,127,125.0
156,A1,36.025,41/40,127,125.0
157,A4,36.025,21/40,127,125.0
158,E4,36.025,423/250,127,125.0
159,C4,36.025,423/250,127,125.0
160,F#2,36.5,123/250,31,125.0
161,B4,36.55,21/20,102,125.0
162,F#2,37.0,123/250,104,125.0
163,E2,37.0,124/125,127,125.0
164,F#2,37.5,123/250,30,125.0
165,A1,37.533,133/1000,120,125.0
166,G4,37.533,1483/1000,120,125.0
167,F#2,38.0,123/250,91,125.0
168,C2,38.0,124/125,127,125.0
169,A1,38.008,126/125,124,125.0
170,E4,38.008,1033/1000,124,125.0
171,C4,38.008,1033/1000,124,125.0
172,F#2,38.5,123/250,32,125.0
173,F#2,39.0,123/250,110,125.0
174,E2,39.0,124/125,127,125.0
175,F#2,39.5,123/250,38,125.0
176,A1,39.508,123/250,119,125.0
177,G4,39.508,123/250,119,125.0
178,E4,39.508,123/250,119,125.0
179,B3,39.508,123/250,119,125.0
180,A1,40.0,11/10,119,125.0
181,G4,40.0,3467/1000,119,125.0
182,F#2,40.0,123/250,110,125.0
183,C2,40.0,124/125,127,125.0
184,E4,40.0,1821/500,119,125.0
185,B3,40.0,1821/500,119,125.0
186,F#2,40.5,123/250,32,125.0
187,F#2,41.0,123/250,110,125.0
188,E2,41.0,124/125,127,125.0
189,F#2,41.5,123/250,31,125.0
190,A1,41.542,167/1000,103,125.0
191,F#2,42.0,123/250,110,125.0
192,C2,42.0,124/125,127,125.0
193,A1,42.025,31/40,126,125.0
194,F#2,42.5,123/250,41,125.0
195,F#2,43.0,123/250,104,125.0
196,E2,43.0,124/125,127,125.0
197,A1,43.025,567/1000,120,125.0
198,F#2,43.5,123/250,31,125.0
199,E4,43.542,229/500,111,125.0
200,E4,44.0,1/20,111,125.0
201,F#2,44.0,123/250,95,125.0
202,C2,44.0,124/125,127,125.0
203,A1,44.025,1067/1000,127,125.0
204,A4,44.025,483/1000,117,125.0
205,C4,44.025,1633/1000,127,125.0
206,E4,44.025,1633/1000,127,125.0
207,F#2,44.5,123/250,31,125.0
208,B4,44.55,273/250,107,125.0
209,F#2,45.0,123/250,104,125.0
210,E2,45.0,124/125,127,125.0
211,F#2,45.5,123/250,30,125.0
212,A1,45.533,79/500,116,125.0
213,G4,45.533,1567/1000,116,125.0
214,F#2,46.0,123/250,91,125.0
215,C2,46.0,124/125,127,125.0
216,A1,46.008,521/500,124,125.0
217,E4,46.008,521/500,124,125.0
218,C4,46.008,521/500,124,125.0
219,F#2,46.5,123/250,32,125.0
220,F#2,47.0,123/250,110,125.0
221,E2,47.0,124/125,127,125.0
222,F#2,47.5,123/250,38,125.0
223,A1,47.508,123/250,119,125.0
224,G4,47.508,123/250,119,125.0
225,D4,47.508,123/250,117,125.0
226,B3,47.508,123/250,117,125.0
227,A1,48.0,11/10,119,125.0
228,G4,48.0,1771/500,119,125.0
229,F#2,48.0,123/250,110,125.0
230,C2,48.0,124/125,127,125.0
231,D4,48.0,3633/1000,117,125.0
232,B3,48.0,3633/1000,117,125.0
233,F#2,48.5,123/250,32,125.0
234,F#2,49.0,123/250,110,125.0
235,E2,49.0,124/125,127,125.0
236,F#2,49.5,123/250,31,125.0
237,A1,49.542,3/20,97,125.0
238,F#2,50.0,123/250,110,125.0
239,C2,50.0,124/125,127,125.0
240,A1,50.025,271/500,126,125.0
241,F#2,50.5,123/250,41,125.0
242,B1,50.508,23/40,108,125.0
243,F#2,51.0,123/250,104,125.0
244,E2,51.0,124/125,127,125.0
245,C2,51.025,127/250,120,125.0
246,B-2,51.5,123/250,100,125.0
247,E2,51.542,229/500,120,125.0
248,E4,51.542,229/500,108,125.0
249,E2,52.0,1/125,120,125.0
250,E4,52.0,1/40,108,125.0
251,F#2,52.0,123/250,95,125.0
252,C2,52.0,124/125,127,125.0
253,F1,52.025,41/40,127,125.0
254,A4,52.025,467/1000,117,125.0
255,A3,52.025,1467/1000,124,125.0
256,C4,52.025,1467/1000,124,125.0
257,F#2,52.5,123/250,31,125.0
258,B4,52.55,41/40,110,125.0
259,F#2,53.0,123/250,104,125.0
260,E2,53.0,124/125,127,125.0
261,F#2,53.5,123/250,30,125.0
262,F1,53.533,117/1000,116,125.0
263,G4,53.533,61/40,120,125.0
264,F#2,54.0,123/250,91,125.0
265,C2,54.0,124/125,127,125.0
266,F1,54.008,983/1000,124,125.0
267,A3,54.008,521/500,120,125.0
268,C4,54.008,521/500,120,125.0
269,F#2,54.5,123/250,32,125.0
270,F#2,55.0,123/250,110,125.0
271,E2,55.0,124/125,127,125.0
272,F#2,55.5,123/250,38,125.0
273,G1,55.508,123/250,119,125.0
274,G4,55.508,123/250,119,125.0
275,B3,55.508,123/250,117,125.0
276,D4,55.508,123/250,117,125.0
277,G1,56.0,43/40,119,125.0
278,G4,56.0,877/250,119,125.0
279,F#2,56.0,123/250,110,125.0
280,C2,56.0,124/125,127,125.0
281,B3,56.0,147/40,117,125.0
282,D4,56.0,147/40,117,125.0
283,F#2,56.5,123/250,32,125.0
284,F#2,57.0,123/250,110,125.0
285,E2,57.0,124/125,127,125.0
286,F#2,57.5,123/250,31,125.0
287,G1,57.542,133/1000,115,125.0
288,F#2,58.0,123/250,110,125.0
289,C2,58.0,124/125,127,125.0
290,G1,58.025,471/500,126,125.0
291,F#2,58.5,123/250,41,125.0
292,F#2,59.0,123/250,104,125.0
293,E2,59.0,124/125,127,125.0
294,C2,59.025,23/40,125,125.0
295,F#2,59.5,123/250,31,125.0
296,G1,59.542,229/500,115,125.0
297,E4,59.542,229/500,100,125.0
298,G1,60.0,29/500,115,125.0
299,E4,60.0,27/250,100,125.0
300,F#2,60.0,123/250,95,125.0
301,C2,60.0,124/125,127,125.0
302,F1,60.025,124/125,127,125.0
303,A4,60.025,517/1000,117,125.0
304,A3,60.025,1517/1000,120,125.0
305,C4,60.025,1517/1000,120,125.0
306,F#2,60.5,123/250,31,125.0
307,B4,60.55,1117/1000,110,125.0
308,F#2,61.0,123/250,104,125.0
309,E2,61.0,124/125,127,125.0
310,F#2,61.5,123/250,30,125.0
311,F1,61.533,0.125,112,125.0
312,G4,61.533,8/5,120,125.0
313,F#2,62.0,123/250,91,125.0
314,C2,62.0,124/125,127,125.0
315,F1,62.008,529/500,124,125.0
316,A3,62.008,529/500,122,125.0
317,C4,62.008,529/500,122,125.0
318,F#2,62.5,123/250,32,125.0
319,F#2,63.0,123/250,110,125.0
320,E2,63.0,124/125,127,125.0
321,F#2,63.5,123/250,38,125.0
322,G1,63.508,123/250,119,125.0
323,G4,63.508,123/250,119,125.0
324,B3,63.508,123/250,115,125.0
325,D4,63.508,123/250,115,125.0
326,G1,64.0,23/250,119,125.0
327,G4,64.0,137/40,119,125.0
328,F#2,64.0,123/250,110,125.0
329,C2,64.0,124/125,127,125.0
330,B3,64.0,3567/1000,115,125.0
331,D4,64.0,3567/1000,115,125.0
332,F#2,64.5,123/250,32,125.0
333,G1,64.533,74/125,121,125.0
334,F#2,65.0,123/250,110,125.0
335,E2,65.0,124/125,127,125.0
336,A1,65.025,0.5,121,125.0
337,F#2,65.5,123/250,31,125.0
338,G1,65.542,467/1000,111,125.0
339,F#2,66.0,123/250,110,125.0
340,C2,66.0,124/125,127,125.0
341,E2,66.025,379/500,126,125.0
342,F#2,66.5,123/250,41,125.0
343,F#2,67.0,123/250,104,125.0
344,E2,67.0,124/125,127,125.0
345,E2,67.025,767/1000,125,125.0
346,B-2,67.5,123/250,100,125.0
347,F#2,68.0,123/250,95,125.0
348,C2,68.0,124/125,127,125.0
349,A1,68.025,41/40,127,125.0
350,A4,68.025,21/40,127,125.0
351,E4,68.025,423/250,127,125.0
352,C4,68.025,423/250,127,125.0
353,F#2,68.5,123/250,31,125.0
354,B4,68.55,21/20,102,125.0
355,F#2,69.0,123/250,104,125.0
356,E2,69.0,124/125,127,125.0
357,F#2,69.5,123/250,30,125.0
358,A1,69.533,133/1000,120,125.0
359,G4,69.533,1483/1000,120,125.0
360,F#2,70.0,123/250,91,125.0
361,C2,70.0,124/125,127,125.0
362,A1,70.008,126/125,124,125.0
363,E4,70.008,1033/1000,124,125.0
364,C4,70.008,1033/1000,124,125.0
365,F#2,70.5,123/250,32,125.0
366,F#2,71.0,123/250,110,125.0
367,E2,71.0,124/125,127,125.0
368,F#2,71.5,123/250,38,125.0
369,A1,71.508,123/250,119,125.0
370,G4,71.508,123/250,119,125.0
371,E4,71.508,123/250,119,125.0
372,B3,71.508,123/250,119,125.0
373,A1,72.0,11/10,119,125.0
374,G4,72.0,3467/1000,119,125.0
375,F#2,72.0,123/250,110,125.0
376,C2,72.0,124/125,127,125.0
377,E4,72.0,1821/500,119,125.0
378,B3,72.0,1821/500,119,125.0
379,F#2,72.5,123/250,32,125.0
380,F#2,73.0,123/250,110,125.0
381,E2,73.0,124/125,127,125.0
382,F#2,73.5,123/250,31,125.0
383,A1,73.542,167/1000,103,125.0
384,F#2,74.0,123/250,110,125.0
385,C2,74.0,124/125,127,125.0
386,A1,74.025,31/40,126,125.0
387,F#2,74.5,123/250,41,125.0
388,F#2,75.0,123/250,104,125.0
389,E2,75.0,124/125,127,125.0
390,A1,75.025,567/1000,120,125.0
391,F#2,75.5,123/250,31,125.0
392,E4,75.542,229/500,111,125.0
393,E4,76.0,1/20,111,125.0
394,F#2,76.0,123/250,95,125.0
395,C2,76.0,124/125,127,125.0
396,A1,76.025,1067/1000,127,125.0
397,A4,76.025,483/1000,117,125.0
398,C4,76.025,1633/1000,127,125.0
399,E4,76.025,1633/1000,127,125.0
400,F#2,76.5,123/250,31,125.0
401,B4,76.55,273/250,107,125.0
402,F#2,77.0,123/250,104,125.0
403,E2,77.0,124/125,127,125.0
404,F#2,77.5,123/250,30,125.0
405,A1,77.533,79/500,116,125.0
406,G4,77.533,1567/1000,116,125.0
407,F#2,78.0,123/250,91,125.0
408,C2,78.0,124/125,127,125.0
409,A1,78.008,521/500,124,125.0
410,E4,78.008,521/500,124,125.0
411,C4,78.008,521/500,124,125.0
412,F#2,78.5,123/250,32,125.0
413,F#2,79.0,123/250,110,125.0
414,E2,79.0,124/125,127,125.0
415,F#2,79.5,123/250,38,125.0
416,A1,79.508,123/250,119,125.0
417,G4,79.508,123/250,119,125.0
418,D4,79.508,123/250,117,125.0
419,B3,79.508,123/250,117,125.0
420,A1,80.0,11/10,119,125.0
421,G4,80.0,1771/500,119,125.0
422,F#2,80.0,123/250,110,125.0
423,C2,80.0,124/125,127,125.0
424,D4,80.0,3633/1000,117,125.0
425,B3,80.0,3633/1000,117,125.0
426,F#2,80.5,123/250,32,125.0
427,F#2,81.0,123/250,110,125.0
428,E2,81.0,124/125,127,125.0
429,F#2,81.5,123/250,31,125.0
430,A1,81.542,3/20,97,125.0
431,F#2,82.0,123/250,110,125.0
432,C2,82.0,124/125,127,125.0
