,note_name,start_time,duration,velocity,tempo
0,C#3,8.0,26/125,56,120.0
1,F2,8.008,1.5,70,120.0
2,F2,8.017,879/500,55,120.0
3,A3,8.017,127/250,66,120.0
4,E3,8.017,13/20,54,120.0
5,C4,8.017,13/20,54,120.0
6,F3,8.025,683/1000,40,120.0
7,C4,8.025,683/1000,40,120.0
8,E4,8.025,683/1000,40,120.0
9,A3,8.025,617/1000,49,120.0
10,C4,8.025,617/1000,49,120.0
11,C4,8.033,3967/1000,123,120.0
12,D2,8.5,26/125,44,120.0
13,D2,9.0,26/125,65,120.0
14,F#2,9.0,26/125,65,120.0
15,C4,9.492,1417/1000,54,120.0
16,E3,9.492,1417/1000,54,120.0
17,A3,9.492,1417/1000,54,120.0
18,C3,9.5,129/500,64,120.0
19,A3,9.5,17/40,51,120.0
20,D2,9.5,26/125,44,120.0
21,F3,9.5,271/500,38,120.0
22,C4,9.5,271/500,38,120.0
23,E4,9.5,271/500,38,120.0
24,C3,10.0,0.875,74,120.0
25,C2,10.0,1583/1000,54,120.0
26,B1,10.0,26/125,70,120.0
27,D2,10.0,26/125,70,120.0
28,D2,10.5,26/125,66,120.0
29,F2,11.0,917/1000,74,120.0
30,F3,11.0,127/250,44,120.0
31,E4,11.0,127/250,44,120.0
32,C4,11.0,0.375,50,120.0
33,A3,11.0,0.375,50,120.0
34,D2,11.0,26/125,54,120.0
35,F#2,11.0,26/125,54,120.0
36,E3,11.025,517/1000,45,120.0
37,A3,11.025,517/1000,45,120.0
38,C4,11.05,7/10,40,120.0
39,D2,11.5,26/125,76,120.0
40,C4,12.0,127/40,123,120.0
41,D2,12.0,26/125,82,120.0
42,F#2,12.008,1.5,70,120.0
43,F#2,12.033,199/125,56,120.0
44,D2,12.5,26/125,40,120.0
45,C4,12.983,3/5,58,120.0
46,E3,12.983,221/500,56,120.0
47,B-3,12.983,221/500,56,120.0
48,D2,13.0,26/125,55,120.0
49,F#2,13.0,26/125,55,120.0
50,C3,13.5,129/500,64,120.0
51,D2,13.5,26/125,82,120.0
52,B-4,13.542,1229/500,55,120.0
53,F#4,13.542,1229/500,55,120.0
54,E4,13.542,1229/500,55,120.0
55,C5,13.542,1229/500,55,120.0
56,C3,14.0,0.875,74,120.0
57,B1,14.0,26/125,60,120.0
58,D2,14.0,26/125,60,120.0
59,C2,14.058,126/125,45,120.0
60,D2,14.5,26/125,40,120.0
61,C4,14.525,2/5,47,120.0
62,E3,14.525,2/5,47,120.0
63,B-3,14.525,2/5,47,120.0
64,E3,14.525,2/5,47,120.0
65,F#2,15.0,917/1000,74,120.0
66,D2,15.0,26/125,66,120.0
67,F#2,15.0,26/125,66,120.0
68,C4,15.433,567/1000,106,120.0
69,D2,15.5,26/125,60,120.0
70,C4,16.0,1/10,106,120.0
71,D2,16.0,26/125,62,120.0
72,F1,16.008,1029/500,79,120.0
73,F2,16.017,879/500,55,120.0
74,A3,16.017,127/250,66,120.0
75,E3,16.017,1979/500,56,120.0
76,A3,16.017,1979/500,56,120.0
77,C4,16.017,1979/500,56,120.0
78,E4,16.017,1979/500,56,120.0
79,E3,16.017,13/20,54,120.0
80,C4,16.017,13/20,54,120.0
81,C5,16.142,1929/500,119,120.0
82,G4,16.5,3.5,52,120.0
83,D2,16.5,26/125,40,120.0
84,D2,17.0,26/125,66,120.0
85,F#2,17.0,26/125,66,120.0
86,C4,17.492,1417/1000,54,120.0
87,E3,17.492,1417/1000,54,120.0
88,A3,17.492,1417/1000,54,120.0
89,D2,17.5,26/125,40,120.0
90,C2,18.0,1217/1000,68,120.0
91,C2,18.0,1583/1000,54,120.0
92,B1,18.0,26/125,71,120.0
93,D2,18.0,26/125,71,120.0
94,D2,18.5,26/125,72,120.0
95,D2,19.0,26/125,50,120.0
96,F#2,19.0,26/125,50,120.0
97,E3,19.025,517/1000,45,120.0
98,A3,19.025,517/1000,45,120.0
99,C4,19.05,7/10,40,120.0
100,C2,19.5,433/1000,63,120.0
101,D2,19.5,26/125,82,120.0
102,C5,20.0,729/500,119,120.0
103,B1,20.0,26/125,75,120.0
104,D2,20.0,26/125,75,120.0
105,F#1,20.008,1029/500,79,120.0
106,D2,20.5,26/125,59,120.0
107,F#4,21.0,0.625,55,120.0
108,E4,21.0,0.625,55,120.0
109,C4,21.0,0.625,55,120.0
110,B-4,21.0,0.625,55,120.0
111,D2,21.0,26/125,74,120.0
112,F#2,21.0,26/125,74,120.0
113,B-3,21.058,0.375,63,120.0
114,C4,21.058,417/1000,42,120.0
115,E3,21.058,417/1000,42,120.0
116,D2,21.5,26/125,59,120.0
117,C2,22.0,1217/1000,68,120.0
118,B1,22.0,26/125,79,120.0
119,D2,22.0,26/125,79,120.0
120,F#4,22.5,26/125,55,120.0
121,E4,22.5,26/125,55,120.0
122,C4,22.5,26/125,55,120.0
123,B-4,22.5,26/125,55,120.0
124,C4,22.5,179/500,55,120.0
125,E3,22.5,179/500,55,120.0
126,B-3,22.5,179/500,55,120.0
127,D2,22.5,26/125,65,120.0
128,C3,22.5,26/125,65,120.0
129,D2,23.0,26/125,70,120.0
130,F#2,23.0,26/125,70,120.0
131,A2,23.0,26/125,70,120.0
132,C2,23.5,433/1000,63,120.0
133,D2,23.5,26/125,75,120.0
134,F2,23.5,26/125,75,120.0
135,C5,23.658,171/500,62,120.0
136,C5,24.0,4.0,62,120.0
137,C#3,24.0,26/125,56,120.0
138,F2,24.008,2133/1000,73,120.0
139,F2,24.025,1683/1000,50,120.0
140,A3,24.033,433/1000,63,120.0
141,D3,24.033,433/1000,63,120.0
142,C4,24.033,433/1000,63,120.0
143,G4,24.075,679/500,127,120.0
144,D2,24.5,26/125,44,120.0
145,F4,25.0,77/250,54,120.0
146,D4,25.0,77/250,54,120.0
147,C4,25.0,77/250,54,120.0
148,A4,25.0,77/250,54,120.0
149,D2,25.0,26/125,65,120.0
150,F#2,25.0,26/125,65,120.0
151,D3,25.017,0.375,54,120.0
152,A3,25.017,0.375,54,120.0
153,C4,25.017,0.375,54,120.0
154,D2,25.5,26/125,44,120.0
155,E4,25.542,77/250,125,120.0
156,C2,26.0,2.0,70,120.0
157,B1,26.0,26/125,70,120.0
158,D2,26.0,26/125,70,120.0
159,C4,26.017,3/10,51,120.0
160,A3,26.017,3/10,51,120.0
161,D3,26.017,3/10,51,120.0
162,C2,26.067,1217/1000,44,120.0
163,E4,26.25,11/20,123,120.0
164,D2,26.5,26/125,66,120.0
165,F4,26.5,283/1000,54,120.0
166,D4,26.5,283/1000,54,120.0
167,C4,26.5,283/1000,54,120.0
168,A4,26.5,283/1000,54,120.0
169,A3,26.575,73/250,56,120.0
170,C4,26.575,13/40,45,120.0
171,D3,26.575,13/40,45,120.0
172,D4,26.958,3/10,114,120.0
173,D2,27.0,26/125,54,120.0
174,F#2,27.0,26/125,54,120.0
175,D2,27.5,26/125,76,120.0
176,D3,27.542,229/500,58,120.0
177,C4,27.542,229/500,58,120.0
178,A3,27.542,229/500,58,120.0
179,G4,27.742,129/500,122,120.0
180,F1,28.0,6/5,61,120.0
181,C2,28.0,133/1000,70,120.0
182,C5,28.0,3983/1000,62,120.0
183,G4,28.0,0.125,122,120.0
184,D2,28.0,26/125,82,120.0
185,F4,28.0,129/500,54,120.0
186,D4,28.0,129/500,54,120.0
187,C4,28.0,129/500,54,120.0
188,A4,28.0,129/500,54,120.0
189,D3,28.0,1/10,58,120.0
190,C4,28.0,1/10,58,120.0
191,A3,28.0,1/10,58,120.0
192,F2,28.05,771/500,50,120.0
193,D2,28.5,26/125,40,120.0
194,E4,28.667,171/500,127,120.0
195,D2,29.0,26/125,55,120.0
196,F#2,29.0,26/125,55,120.0
197,C4,29.033,279/500,52,120.0
198,A3,29.05,19/40,44,120.0
199,D3,29.05,19/40,44,120.0
200,F1,29.5,2/5,81,120.0
201,D2,29.5,26/125,82,120.0
202,F4,29.5,217/1000,54,120.0
203,D4,29.5,217/1000,54,120.0
204,C4,29.5,217/1000,54,120.0
205,A4,29.5,217/1000,54,120.0
206,E4,29.625,13/40,127,120.0
207,C2,30.0,43/40,72,120.0
208,B1,30.0,26/125,60,120.0
209,D2,30.0,26/125,60,120.0
210,C2,30.042,1.25,53,120.0
211,D2,30.5,26/125,40,120.0
212,C4,30.508,13/10,50,120.0
213,D3,30.508,13/10,50,120.0
214,A3,30.508,13/10,50,120.0
215,E4,30.567,9/20,121,120.0
216,F2,31.0,39/40,64,120.0
217,F4,31.0,77/250,54,120.0
218,D4,31.0,77/250,54,120.0
219,C4,31.0,77/250,54,120.0
220,A4,31.0,77/250,54,120.0
221,D2,31.0,26/125,66,120.0
222,F#2,31.0,26/125,66,120.0
223,D4,31.075,433/1000,108,120.0
224,D2,31.5,26/125,60,120.0
225,D2,32.0,26/125,62,120.0
226,G2,32.008,1.375,70,120.0
227,F3,32.017,567/1000,47,120.0
228,B3,32.017,467/1000,59,120.0
229,D4,32.025,0.625,42,120.0
230,G4,32.083,1083/1000,124,120.0
231,D2,32.5,26/125,40,120.0
232,D2,33.0,26/125,66,120.0
233,F#2,33.0,26/125,66,120.0
234,G2,33.5,279/500,76,120.0
235,D2,33.5,26/125,40,120.0
236,F4,33.542,1229/500,55,120.0
237,D4,33.542,1229/500,55,120.0
238,B3,33.542,1229/500,55,120.0
239,A4,33.542,1229/500,55,120.0
240,D4,33.558,467/1000,46,120.0
241,F3,33.558,467/1000,46,120.0
242,B3,33.592,367/1000,59,120.0
243,E4,33.608,13/40,127,120.0
244,D2,34.0,1067/1000,67,120.0
245,B1,34.0,26/125,71,120.0
246,D2,34.0,26/125,71,120.0
247,E4,34.342,3/5,124,120.0
248,D2,34.5,26/125,72,120.0
249,D2,35.0,26/125,50,120.0
250,F#2,35.0,26/125,50,120.0
251,D4,35.008,77/250,116,120.0
252,B3,35.008,77/250,55,120.0
253,F3,35.008,433/1000,58,120.0
254,D4,35.008,433/1000,58,120.0
255,D2,35.5,0.5,69,120.0
256,D2,35.5,26/125,82,120.0
257,G4,35.733,267/1000,124,120.0
258,G2,36.0,151/125,68,120.0
259,D2,36.0,27/250,69,120.0
260,G4,36.0,133/1000,124,120.0
261,D2,36.0,26/125,82,120.0
262,F4,36.0,139/40,55,120.0
263,D4,36.0,139/40,55,120.0
264,B3,36.0,139/40,55,120.0
265,A4,36.0,139/40,55,120.0
