,note_name,start_time,duration,velocity,tempo
0,E3,0.0,333/1000,95,140.0
1,B3,0.333,333/1000,95,140.0
2,E4,0.667,333/1000,95,140.0
3,F#4,1.0,333/1000,95,140.0
4,E4,1.333,333/1000,95,140.0
5,B3,1.667,333/1000,95,140.0
6,A4,2.0,333/1000,95,140.0
7,F#4,2.333,333/1000,95,140.0
8,G#4,2.667,333/1000,95,140.0
9,F#4,3.0,333/1000,95,140.0
10,E4,3.333,333/1000,95,140.0
11,B3,3.667,333/1000,95,140.0
12,E3,4.0,333/1000,95,140.0
13,B3,4.333,333/1000,95,140.0
14,E4,4.667,333/1000,95,140.0
15,F#4,5.0,333/1000,95,140.0
16,E4,5.333,333/1000,95,140.0
17,B3,5.667,333/1000,95,140.0
18,D4,6.0,333/1000,95,140.0
19,C#4,6.333,333/1000,95,140.0
20,B3,6.667,333/1000,95,140.0
21,A3,7.0,333/1000,95,140.0
22,B3,7.333,333/1000,95,140.0
23,C#4,7.667,333/1000,95,140.0
24,E3,8.0,333/1000,95,140.0
25,B3,8.333,333/1000,95,140.0
26,E4,8.667,333/1000,95,140.0
27,F#4,9.0,333/1000,95,140.0
28,E4,9.333,333/1000,95,140.0
29,B3,9.667,333/1000,95,140.0
30,A4,10.0,333/1000,95,140.0
31,F#4,10.333,333/1000,95,140.0
32,G#4,10.667,333/1000,95,140.0
33,F#4,11.0,333/1000,95,140.0
34,E4,11.333,333/1000,95,140.0
35,B3,11.667,333/1000,95,140.0
36,D5,12.0,333/1000,95,140.0
37,B4,12.333,333/1000,95,140.0
38,C#5,12.667,333/1000,95,140.0
39,D5,13.0,333/1000,95,140.0
40,C#5,13.333,167/1000,95,140.0
41,D5,13.5,167/1000,95,140.0
42,B4,13.667,333/1000,95,140.0
43,A4,14.0,333/1000,95,140.0
44,F#4,14.333,333/1000,95,140.0
45,A4,14.667,333/1000,95,140.0
46,E4,15.0,333/1000,95,140.0
47,A4,15.333,333/1000,95,140.0
48,D4,15.667,333/1000,95,140.0
49,E3,16.0,333/1000,95,140.0
50,B3,16.333,333/1000,95,140.0
51,E4,16.667,333/1000,95,140.0
52,F#4,17.0,333/1000,95,140.0
53,E4,17.333,333/1000,95,140.0
54,B3,17.667,333/1000,95,140.0
55,A4,18.0,333/1000,95,140.0
56,F#4,18.333,333/1000,95,140.0
57,G#4,18.667,333/1000,95,140.0
58,F#4,19.0,333/1000,95,140.0
59,E4,19.333,333/1000,95,140.0
60,B3,19.667,333/1000,95,140.0
61,E3,20.0,333/1000,95,140.0
62,B3,20.333,333/1000,95,140.0
63,E4,20.667,333/1000,95,140.0
64,F#4,21.0,333/1000,95,140.0
65,E4,21.333,333/1000,95,140.0
