,note_name,start_time,duration,velocity,tempo
0,E3,0.0,0.5,95,207.0
1,E4,0.0,1.5,95,207.0
2,B3,0.0,1.5,95,207.0
3,E3,0.0,1.5,95,207.0
4,B3,0.5,0.5,95,207.0
5,E4,1.0,0.5,95,207.0
6,F#4,1.5,0.5,95,207.0
7,E4,2.0,0.5,95,207.0
8,B3,2.5,0.5,95,207.0
9,A4,3.0,0.5,95,207.0
10,F#4,3.5,0.5,95,207.0
11,G#4,4.0,0.5,95,207.0
12,F#4,4.5,0.5,95,207.0
13,E4,5.0,0.5,95,207.0
14,B3,5.5,0.5,95,207.0
15,E3,6.0,0.5,95,207.0
16,B3,6.5,0.5,95,207.0
17,E4,7.0,0.5,95,207.0
18,F#4,7.5,0.5,95,207.0
19,E4,8.0,0.5,95,207.0
20,B3,8.5,0.5,95,207.0
21,D4,9.0,0.5,95,207.0
22,C#4,9.5,0.5,95,207.0
23,B3,10.0,0.5,95,207.0
24,A3,10.5,0.5,95,207.0
25,B3,11.0,0.5,95,207.0
26,C#4,11.5,0.5,95,207.0
27,B3,12.0,0.5,95,207.0
28,E4,12.0,1.5,95,207.0
29,B3,12.0,1.5,95,207.0
30,E3,12.0,1.5,95,207.0
31,E3,12.5,0.5,95,207.0
32,B3,13.0,0.5,95,207.0
33,F#4,13.5,0.5,95,207.0
34,E4,14.0,0.5,95,207.0
35,B3,14.5,0.5,95,207.0
36,A4,15.0,0.5,95,207.0
37,F#4,15.5,0.5,95,207.0
38,G#4,16.0,0.5,95,207.0
39,F#4,16.5,0.5,95,207.0
40,E4,17.0,0.5,95,207.0
41,B3,17.5,0.5,95,207.0
42,D5,18.0,0.5,95,207.0
43,B4,18.5,0.5,95,207.0
44,C#5,19.0,0.5,95,207.0
45,D5,19.5,0.25,95,207.0
46,C#5,19.75,0.25,70,207.0
47,B4,20.0,0.5,95,207.0
48,A4,20.5,0.5,95,207.0
49,F#4,21.0,0.5,95,207.0
50,F#3,21.0,1.0,95,207.0
51,A4,21.5,0.5,95,207.0
52,E4,22.0,0.5,95,207.0
53,E3,22.0,1.0,95,207.0
54,A4,22.5,0.5,95,207.0
55,D4,23.0,0.5,95,207.0
56,D3,23.0,1.0,95,207.0
57,A4,23.5,0.5,95,207.0
58,E3,24.0,0.5,95,207.0
59,E4,24.0,6.0,95,207.0
60,B3,24.0,6.0,95,207.0
61,E4,24.0,6.0,95,207.0
62,B3,24.0,6.0,95,207.0
63,E3,24.0,6.0,95,207.0
64,E2,24.0,6.0,95,207.0
65,B3,24.5,0.5,95,207.0
66,E4,25.0,0.5,95,207.0
67,F#4,25.5,0.5,95,207.0
68,E4,26.0,0.5,95,207.0
69,B3,26.5,0.5,95,207.0
70,A4,27.0,0.5,95,207.0
71,F#4,27.5,0.5,95,207.0
72,G#4,28.0,0.5,95,207.0
73,F#4,28.5,0.5,95,207.0
74,E4,29.0,0.5,95,207.0
75,B3,29.5,0.5,95,207.0
76,E3,30.0,0.5,95,207.0
77,B3,30.5,0.5,95,207.0
78,E4,31.0,0.5,95,207.0
79,F#4,31.5,0.5,95,207.0
80,E4,32.0,0.5,95,207.0
81,B3,32.5,0.5,95,207.0
82,D4,33.0,0.5,95,207.0
83,C#4,33.5,0.5,95,207.0
84,B3,34.0,0.5,95,207.0
85,A3,34.5,0.5,95,207.0
86,B3,35.0,0.5,95,207.0
87,E4,35.0,5.0,95,207.0
88,B3,35.0,5.0,95,207.0
89,E4,35.0,5.0,95,207.0
90,B3,35.0,5.0,95,207.0
91,E3,35.0,5.0,95,207.0
92,E2,35.0,5.0,95,207.0
93,C#4,35.5,0.5,95,207.0
94,B3,36.0,0.5,95,207.0
95,E3,36.5,0.5,95,207.0
96,B3,37.0,0.5,95,207.0
97,F#4,37.5,0.5,95,207.0
98,E4,38.0,0.5,95,207.0
