,note_name,start_time,duration,velocity,tempo
0,C#2,0.0,1.0,84,85.0
1,C#2,2.0,1.0,84,85.0
2,C#2,4.0,1.0,64,85.0
3,C#2,5.0,1.0,84,85.0
4,C#2,6.0,1.0,64,85.0
5,C#2,7.0,1.0,84,85.0
6,F2,8.0,9/10,95,85.0
7,B-2,8.0,26/125,70,85.0
8,E-3,8.0,26/125,70,85.0
9,F#2,8.742,26/125,40,85.0
10,F2,9.0,1.0,102,85.0
11,F#2,9.0,26/125,80,85.0
12,E-3,9.0,26/125,80,85.0
13,E-3,9.742,26/125,100,85.0
14,C3,10.0,17/20,91,85.0
15,B-2,10.0,26/125,70,85.0
16,E-3,10.0,26/125,70,85.0
17,F#2,10.742,26/125,40,85.0
18,C3,11.0,1.0,93,85.0
19,F#2,11.0,26/125,90,85.0
20,E-3,11.0,26/125,90,85.0
21,E-3,11.742,26/125,60,85.0
22,C2,12.0,1.0,101,85.0
23,B-2,12.0,26/125,70,85.0
24,E-3,12.0,26/125,70,85.0
25,D2,12.742,26/125,40,85.0
26,D2,13.0,1.0,90,85.0
27,F#2,13.0,26/125,80,85.0
28,E-3,13.0,26/125,80,85.0
29,E-3,13.742,26/125,100,85.0
30,E-2,14.0,1.0,85,85.0
31,D2,14.0,26/125,60,85.0
32,E-3,14.0,26/125,60,85.0
33,B-2,14.742,26/125,60,85.0
34,G2,15.0,7/10,103,85.0
35,F#2,15.0,26/125,90,85.0
36,E-3,15.0,26/125,90,85.0
37,F#2,15.7,3/10,96,85.0
38,E-3,15.742,26/125,60,85.0
39,F2,16.0,41/40,104,85.0
40,C3,16.0,371/500,85,85.0
41,B-2,16.0,26/125,50,85.0
42,F2,16.008,933/1000,69,85.0
43,A3,16.008,933/1000,69,85.0
44,F4,16.008,933/1000,69,85.0
45,F#2,16.742,26/125,40,85.0
46,G3,16.75,121/500,85,85.0
47,G2,17.0,521/500,98,85.0
48,C4,17.0,371/500,85,85.0
49,F#2,17.0,26/125,70,85.0
50,F2,17.008,1/5,84,85.0
51,A3,17.008,1/5,84,85.0
