,note_name,start_time,duration,velocity,tempo
0,D5,0.0,4.0,111,136.0
1,A4,0.0,4.0,111,136.0
2,G4,0.0,4.0,111,136.0
3,D4,0.0,4.0,111,136.0
4,G3,0.0,4.0,111,136.0
5,D2,4.0,1.5,79,136.0
6,D3,4.0,1.5,79,136.0
7,F5,4.0,1.5,87,136.0
8,C5,4.0,1.5,87,136.0
9,C5,4.0,1.5,57,136.0
10,G4,4.0,1.5,57,136.0
11,F4,4.0,1.5,57,136.0
12,C4,4.0,1.5,57,136.0
13,F3,4.0,1.5,57,136.0
14,E2,5.5,1.5,79,136.0
15,E3,5.5,1.5,79,136.0
16,E5,5.5,1.5,87,136.0
17,B4,5.5,1.5,87,136.0
18,B4,5.5,1.5,60,136.0
19,F#4,5.5,1.5,60,136.0
20,E4,5.5,1.5,60,136.0
21,B3,5.5,1.5,60,136.0
22,E3,5.5,1.5,60,136.0
23,B2,7.0,1.0,79,136.0
24,B3,7.0,1.0,63,136.0
25,D5,7.0,1.0,87,136.0
26,A4,7.0,1.0,87,136.0
27,A4,7.0,1.0,50,136.0
28,E4,7.0,1.0,50,136.0
29,D4,7.0,1.0,50,136.0
30,A3,7.0,1.0,50,136.0
31,D3,7.0,1.0,50,136.0
32,B2,8.0,0.5,79,136.0
33,B3,8.0,0.5,63,136.0
34,A2,8.5,1.5,79,136.0
35,A3,8.5,1.5,79,136.0
36,D5,8.5,0.5,87,136.0
37,A4,8.5,0.5,87,136.0
38,A4,8.5,0.5,50,136.0
39,E4,8.5,0.5,50,136.0
40,D4,8.5,0.5,50,136.0
41,A3,8.5,0.5,50,136.0
42,D3,8.5,0.5,50,136.0
43,C#5,9.0,1.5,87,136.0
44,G#4,9.0,1.5,87,136.0
45,G#4,9.0,1.5,53,136.0
46,E-4,9.0,1.5,53,136.0
47,C#4,9.0,1.5,53,136.0
48,G#3,9.0,1.5,53,136.0
49,C#3,9.0,1.5,53,136.0
50,G#2,10.0,1.0,79,136.0
51,G#3,10.0,1.0,79,136.0
52,B4,10.5,1.0,79,136.0
53,F#4,10.5,1.0,79,136.0
54,F#4,10.5,1.0,47,136.0
55,C#4,10.5,1.0,47,136.0
56,B3,10.5,1.0,47,136.0
57,F#3,10.5,1.0,47,136.0
58,B2,10.5,1.0,47,136.0
59,F#2,11.0,1.0,79,136.0
60,F#3,11.0,1.0,63,136.0
61,E5,11.5,1.0,79,136.0
62,B4,11.5,1.0,79,136.0
63,B4,11.5,1.0,47,136.0
64,F#4,11.5,1.0,47,136.0
65,E4,11.5,1.0,47,136.0
66,B3,11.5,1.0,47,136.0
67,E3,11.5,1.0,47,136.0
68,E2,12.0,1.5,63,136.0
69,E3,12.0,1.5,63,136.0
70,C#5,12.5,1.5,79,136.0
71,G#4,12.5,1.5,79,136.0
72,G#4,12.5,1.5,47,136.0
73,E-4,12.5,1.5,47,136.0
74,C#4,12.5,1.5,47,136.0
75,G#3,12.5,1.5,47,136.0
76,C#3,12.5,1.5,47,136.0
77,G#2,13.5,2.0,63,136.0
78,G#3,13.5,2.0,79,136.0
79,B4,14.0,2.0,79,136.0
80,F#4,14.0,2.0,79,136.0
81,F#4,14.0,2.0,47,136.0
82,C#4,14.0,2.0,47,136.0
83,B3,14.0,2.0,47,136.0
84,F#3,14.0,2.0,47,136.0
85,B2,14.0,2.0,47,136.0
86,C#2,15.5,0.5,79,136.0
87,C#3,15.5,0.5,63,136.0
88,C#2,16.0,2.0,79,136.0
89,B3,16.0,0.5,47,136.0
90,C#3,16.0,2.0,63,136.0
91,E4,16.0,0.5,79,136.0
92,B3,16.0,0.5,79,136.0
93,B3,16.5,2.0,47,136.0
94,B1,18.0,2.0,79,136.0
95,B2,18.0,2.0,79,136.0
96,E4,18.0,1.5,79,136.0
97,B3,18.0,1.5,79,136.0
98,E4,18.5,1.0,47,136.0
99,B3,18.5,1.0,47,136.0
100,A3,18.5,1.0,47,136.0
101,E3,18.5,1.0,47,136.0
102,A2,18.5,1.0,47,136.0
103,C#4,19.5,0.25,79,136.0
104,B3,19.5,1.0,58,136.0
105,F#3,19.5,1.0,58,136.0
106,B2,19.5,1.0,58,136.0
107,E-4,19.75,0.25,95,136.0
108,A1,20.0,1.5,79,136.0
109,A2,20.0,1.5,79,136.0
110,A4,20.0,1.0,79,136.0
111,E4,20.0,1.0,79,136.0
112,F#4,20.5,1.5,47,136.0
113,C#4,20.5,1.5,47,136.0
114,B3,20.5,1.5,47,136.0
115,F#3,20.5,1.5,47,136.0
116,B2,20.5,1.5,47,136.0
117,E4,21.0,1.0,71,136.0
118,B3,21.0,1.0,71,136.0
119,B1,21.5,1.5,79,136.0
120,B2,21.5,1.5,79,136.0
121,B4,22.0,1.5,79,136.0
122,F#4,22.0,1.5,79,136.0
123,G#4,22.0,1.5,50,136.0
124,E-4,22.0,1.5,50,136.0
125,C#4,22.0,1.5,50,136.0
126,G#3,22.0,1.5,50,136.0
127,C#3,22.0,1.5,50,136.0
128,F#1,23.0,4.0,63,136.0
129,F#1,23.0,4.0,111,136.0
130,B1,23.0,0.25,95,136.0
131,E-3,23.0,0.25,95,136.0
132,E-3,23.5,0.25,79,136.0
133,C#5,23.5,1.5,79,136.0
134,G#4,23.5,1.5,79,136.0
135,E4,23.5,4.0,50,136.0
136,B3,23.5,4.0,50,136.0
137,A3,23.5,4.0,50,136.0
138,E3,23.5,4.0,50,136.0
139,A2,23.5,4.0,50,136.0
140,B1,24.0,0.25,87,136.0
141,E-3,24.0,0.25,87,136.0
142,B3,24.25,0.25,79,136.0
143,E-3,24.5,0.25,63,136.0
144,E2,25.0,0.25,79,136.0
145,E-3,25.0,0.25,79,136.0
146,A4,25.0,4.0,87,136.0
147,E4,25.0,4.0,87,136.0
148,B3,25.25,0.25,63,136.0
149,E-3,25.5,0.25,63,136.0
150,B1,26.0,0.25,87,136.0
151,E-3,26.0,0.25,87,136.0
152,E-3,26.5,0.25,79,136.0
153,B3,26.75,0.25,79,136.0
154,F#1,27.0,4.0,63,136.0
155,F#1,27.0,4.0,111,136.0
156,B1,27.0,0.25,79,136.0
157,E-3,27.0,0.25,79,136.0
158,B1,27.5,0.25,87,136.0
159,E-3,27.5,0.25,87,136.0
160,B1,27.75,0.25,95,136.0
161,E2,28.0,0.25,71,136.0
162,E-3,28.0,0.25,71,136.0
163,B1,28.25,0.25,87,136.0
164,B3,28.25,0.25,87,136.0
165,B3,28.75,0.25,79,136.0
166,B1,29.0,0.25,87,136.0
167,E-3,29.0,0.25,87,136.0
168,G#5,29.5,1.5,79,136.0
169,E-3,29.5,0.25,63,136.0
170,B1,29.75,0.25,95,136.0
171,E2,30.0,0.25,79,136.0
172,E-3,30.0,0.25,79,136.0
173,B1,30.25,0.25,79,136.0
174,B3,30.25,0.25,79,136.0
175,E-3,30.5,0.25,63,136.0
176,G#5,31.0,4.0,79,136.0
177,F#1,31.0,2.5,63,136.0
178,E-3,31.0,0.25,79,136.0
179,F#1,31.0,2.5,111,136.0
