,note_name,start_time,duration,velocity,tempo
0,B1,0.0,0.5,95,120.0
1,B1,1.0,0.5,95,120.0
2,B1,2.0,0.5,95,120.0
3,B1,3.0,0.5,95,120.0
4,B1,4.0,0.5,95,120.0
5,F#2,4.0,1.0,95,120.0
6,B1,5.0,0.5,95,120.0
7,F#2,5.0,1.0,95,120.0
8,B1,6.0,0.5,95,120.0
9,F#2,6.0,1.0,95,120.0
10,B1,7.0,0.5,95,120.0
11,F#2,7.0,1.0,95,120.0
12,B1,8.0,0.5,95,120.0
13,F#2,8.0,1.0,95,120.0
14,B1,9.0,0.5,95,120.0
15,F#2,9.0,1.0,95,120.0
16,B1,10.0,0.5,95,120.0
17,F#2,10.0,1.0,95,120.0
18,B1,11.0,0.5,95,120.0
19,F#2,11.0,1.0,95,120.0
20,B1,12.0,0.5,95,120.0
21,F#2,12.0,1.0,95,120.0
22,B1,13.0,0.5,95,120.0
23,F#2,13.0,1.0,95,120.0
24,B1,14.0,0.5,95,120.0
25,F#2,14.0,1.0,95,120.0
26,E2,14.5,0.062,95,120.0
27,B3,14.75,0.062,95,120.0
28,B3,15.0,1.0,95,120.0
29,B1,15.0,0.5,95,120.0
30,F#2,15.0,1.0,95,120.0
31,B2,16.0,0.25,95,120.0
32,B1,16.0,0.5,95,120.0
33,F#2,16.0,1.0,95,120.0
34,B2,16.25,0.25,95,120.0
35,B2,16.5,0.25,95,120.0
36,B2,16.75,0.25,95,120.0
37,B1,17.0,0.5,95,120.0
38,F#2,17.0,1.0,95,120.0
39,D4,17.0,0.25,95,120.0
40,A3,17.0,0.25,95,120.0
41,E4,17.25,0.25,95,120.0
42,B3,17.25,0.25,95,120.0
43,D4,17.5,1.0,95,120.0
44,A3,17.5,1.0,95,120.0
45,B1,18.0,0.5,95,120.0
46,F#2,18.0,1.0,95,120.0
47,D4,18.5,1.0,95,120.0
48,A3,18.5,1.0,95,120.0
49,B1,19.0,0.5,95,120.0
50,F#2,19.0,1.0,95,120.0
51,D3,19.5,0.062,95,120.0
52,D3,19.75,0.062,95,120.0
53,B1,20.0,0.5,95,120.0
54,F#2,20.0,1.0,95,120.0
55,A3,20.0,1.5,95,120.0
56,E3,20.0,1.5,95,120.0
57,A2,20.0,1.5,95,120.0
58,B1,21.0,0.5,95,120.0
59,F#2,21.0,1.0,95,120.0
60,G3,21.5,1.0,95,120.0
61,D3,21.5,1.0,95,120.0
62,G2,21.5,1.0,95,120.0
63,B1,22.0,0.5,95,120.0
64,F#2,22.0,1.0,95,120.0
65,E3,22.5,0.25,95,120.0
66,D3,22.75,0.25,95,120.0
67,F#3,23.0,0.25,95,120.0
68,B1,23.0,0.5,95,120.0
69,F#2,23.0,1.0,95,120.0
70,E3,23.25,0.25,95,120.0
71,D3,23.5,0.25,95,120.0
72,C#3,23.75,0.25,95,120.0
73,B2,24.0,0.25,95,120.0
74,B1,24.0,0.5,95,120.0
75,F#2,24.0,1.0,95,120.0
76,B2,24.25,0.25,95,120.0
77,B2,24.5,0.25,95,120.0
78,B2,24.75,0.25,95,120.0
79,B1,25.0,0.5,95,120.0
80,F#2,25.0,1.0,95,120.0
81,D4,25.0,0.25,95,120.0
82,A3,25.0,0.25,95,120.0
