,note_name,start_time,duration,velocity,tempo
0,C2,0.008,1/125,74,195.0
1,C2,0.008,1/125,74,195.0
2,C2,0.817,0.0,90,195.0
3,C2,0.817,0.0,90,195.0
4,F#4,0.817,1917/1000,63,195.0
5,E-5,0.817,1917/1000,63,195.0
6,B-4,0.817,1917/1000,63,195.0
7,E-3,0.833,833/1000,66,195.0
8,E-4,0.833,833/1000,66,195.0
9,F#2,2.408,1/125,90,195.0
10,F#2,2.408,1/125,90,195.0
11,E-3,2.417,17/20,65,195.0
12,E-4,2.417,17/20,65,195.0
13,C2,3.208,0.0,74,195.0
14,C2,3.208,0.0,74,195.0
15,C2,4.008,0.0,90,195.0
16,C2,4.008,0.0,90,195.0
17,C5,4.017,49/125,63,195.0
18,E-3,4.017,9/10,63,195.0
19,E-4,4.017,9/10,63,195.0
20,E-5,4.017,229/500,52,195.0
21,G#4,4.017,229/500,52,195.0
22,F#2,5.608,0.0,90,195.0
23,F#2,5.608,0.0,90,195.0
24,F#4,5.617,2383/1000,61,195.0
25,E-5,5.617,2383/1000,59,195.0
26,B-4,5.617,2383/1000,59,195.0
27,E-3,5.633,99/125,66,195.0
28,E-4,5.633,99/125,66,195.0
29,C2,6.408,1/125,74,195.0
30,C2,6.408,1/125,74,195.0
31,C2,7.217,0.0,90,195.0
32,C2,7.217,0.0,90,195.0
33,E-3,7.242,379/500,66,195.0
34,E-4,7.242,379/500,66,195.0
35,F#4,8.0,11/40,61,195.0
36,E-5,8.0,26/125,59,195.0
37,B-4,8.0,26/125,59,195.0
38,E-3,8.0,3/40,66,195.0
39,E-4,8.0,3/40,66,195.0
40,F#2,8.808,1/125,90,195.0
41,F#2,8.808,1/125,90,195.0
42,E-5,8.817,49/125,56,195.0
43,B-4,8.817,129/500,72,195.0
44,F#4,8.817,13/40,67,195.0
45,E-3,8.825,17/20,65,195.0
46,E-4,8.825,17/20,65,195.0
47,C2,9.608,1/125,74,195.0
48,C2,9.608,1/125,74,195.0
49,B-4,9.617,129/500,55,195.0
50,E-5,9.617,333/1000,46,195.0
51,F#4,9.617,333/1000,46,195.0
52,C2,10.408,1/125,90,195.0
53,C2,10.408,1/125,90,195.0
54,F#5,10.417,24/125,67,195.0
55,C#5,10.417,49/125,63,195.0
56,B-4,10.417,49/125,63,195.0
57,E-3,10.425,223/250,63,195.0
58,E-4,10.425,223/250,63,195.0
59,G#4,11.208,99/125,69,195.0
60,F5,11.217,783/1000,66,195.0
61,C5,11.217,783/1000,66,195.0
62,G#4,12.0,433/1000,69,195.0
63,F5,12.0,367/1000,66,195.0
64,C5,12.0,367/1000,66,195.0
65,F#2,12.008,0.0,90,195.0
66,F#2,12.008,0.0,90,195.0
67,E-3,12.042,99/125,66,195.0
68,E-4,12.042,99/125,66,195.0
69,C2,12.808,0.0,71,195.0
70,F#3,12.808,0.0,71,195.0
71,C2,12.808,1/125,74,195.0
72,F#3,12.817,0.0,68,195.0
73,F#4,12.817,4/5,68,195.0
74,E-5,12.817,4/5,68,195.0
75,B-4,12.817,4/5,68,195.0
76,F#3,13.008,1/125,57,195.0
77,F#3,13.008,1/125,57,195.0
78,F#3,13.208,1/125,26,195.0
79,F#3,13.208,1/125,26,195.0
80,F#3,13.408,0.0,26,195.0
81,F#3,13.408,0.0,26,195.0
82,C2,13.608,0.0,68,195.0
83,F#3,13.608,0.0,68,195.0
84,C2,13.608,1/125,90,195.0
85,F#3,13.617,0.0,45,195.0
86,E-5,13.625,1933/1000,63,195.0
87,B-4,13.625,1933/1000,63,195.0
88,F#4,13.625,1933/1000,63,195.0
89,E-3,13.642,833/1000,66,195.0
90,E-4,13.642,833/1000,66,195.0
91,F#3,13.808,1/125,26,195.0
92,F#3,13.808,1/125,26,195.0
93,F#3,14.008,1/125,26,195.0
94,F#3,14.008,1/125,26,195.0
95,F#3,14.208,0.0,26,195.0
96,F#3,14.208,0.0,26,195.0
97,F#3,14.408,0.0,45,195.0
98,F#3,14.408,0.0,45,195.0
99,F#3,14.608,1/125,26,195.0
100,F#3,14.608,1/125,26,195.0
101,F#3,14.808,0.0,26,195.0
102,F#3,14.808,0.0,26,195.0
103,F#3,15.008,0.0,26,195.0
104,F#3,15.008,0.0,26,195.0
105,F#2,15.208,0.0,90,195.0
106,F#2,15.208,0.0,68,195.0
107,F#3,15.208,0.0,68,195.0
108,F#3,15.217,0.0,45,195.0
109,E-3,15.225,31/40,65,195.0
110,E-4,15.225,31/40,65,195.0
111,F#3,15.408,1/125,26,195.0
112,F#3,15.408,1/125,26,195.0
113,F#3,15.608,1/125,26,195.0
114,F#3,15.608,1/125,26,195.0
115,F#3,15.808,0.0,26,195.0
116,F#3,15.808,0.0,26,195.0
117,E-3,16.0,3/40,65,195.0
118,E-4,16.0,3/40,65,195.0
119,C2,16.008,0.0,60,195.0
120,F#3,16.008,0.0,60,195.0
121,C2,16.008,1/125,74,195.0
122,F#3,16.017,0.0,45,195.0
123,B-4,16.017,267/1000,60,195.0
124,F#4,16.017,267/1000,60,195.0
125,E-5,16.025,317/1000,48,195.0
126,F#3,16.208,1/125,26,195.0
127,F#3,16.208,1/125,26,195.0
128,F#3,16.408,0.0,26,195.0
129,F#3,16.408,0.0,26,195.0
130,F#3,16.608,0.0,26,195.0
131,F#3,16.608,0.0,26,195.0
132,C2,16.808,0.0,68,195.0
133,F#3,16.808,0.0,68,195.0
134,C2,16.808,1/125,90,195.0
135,F#3,16.817,0.0,45,195.0
136,C5,16.817,9/20,55,195.0
137,G#4,16.817,9/20,55,195.0
138,E-5,16.817,9/20,55,195.0
139,E-3,16.825,223/250,63,195.0
140,E-4,16.825,223/250,63,195.0
141,F#3,17.008,1/125,26,195.0
142,F#3,17.008,1/125,26,195.0
143,F#3,17.208,0.0,26,195.0
144,F#3,17.208,0.0,26,195.0
145,F#3,17.408,1/125,26,195.0
146,F#3,17.408,1/125,26,195.0
147,F#3,17.617,0.0,45,195.0
148,F#3,17.617,0.0,45,195.0
149,F#3,17.808,1/125,26,195.0
150,F#3,17.808,1/125,26,195.0
151,F#3,18.008,0.0,26,195.0
152,F#3,18.008,0.0,26,195.0
153,F#3,18.208,1/125,26,195.0
154,F#3,18.208,1/125,26,195.0
155,F#2,18.408,0.0,90,195.0
156,F#2,18.408,0.0,68,195.0
157,F#3,18.408,0.0,68,195.0
158,F#3,18.417,0.0,45,195.0
159,B-4,18.417,1583/1000,60,195.0
160,F#4,18.417,1583/1000,60,195.0
161,E-5,18.417,1583/1000,60,195.0
162,E-3,18.433,783/1000,66,195.0
163,E-4,18.433,783/1000,66,195.0
164,F#3,18.608,1/125,26,195.0
165,F#3,18.608,1/125,26,195.0
166,F#3,18.808,1/125,26,195.0
167,F#3,18.808,1/125,26,195.0
168,F#3,19.008,0.0,26,195.0
169,F#3,19.008,0.0,26,195.0
170,C2,19.208,0.0,74,195.0
171,C2,19.208,0.0,60,195.0
172,F#3,19.208,0.0,60,195.0
173,F#3,19.217,0.0,45,195.0
174,F#3,19.408,1/125,26,195.0
175,F#3,19.408,1/125,26,195.0
176,F#3,19.608,0.0,26,195.0
177,F#3,19.608,0.0,26,195.0
178,F#3,19.808,0.0,26,195.0
179,F#3,19.808,0.0,26,195.0
180,B-4,20.0,983/1000,60,195.0
181,F#4,20.0,983/1000,60,195.0
182,E-5,20.0,983/1000,60,195.0
183,C2,20.008,0.0,68,195.0
184,F#3,20.008,0.0,68,195.0
185,C2,20.008,1/125,90,195.0
186,F#3,20.017,0.0,45,195.0
187,E-3,20.042,833/1000,66,195.0
188,E-4,20.042,833/1000,66,195.0
189,F#3,20.208,1/125,26,195.0
190,F#3,20.208,1/125,26,195.0
191,F#3,20.408,0.0,26,195.0
192,F#3,20.408,0.0,26,195.0
193,F#3,20.608,0.0,26,195.0
194,F#3,20.608,0.0,26,195.0
195,F#3,20.808,0.0,45,195.0
196,F#3,20.808,0.0,45,195.0
197,F#3,21.008,1/125,26,195.0
198,F#3,21.008,1/125,26,195.0
199,F#3,21.208,1/125,26,195.0
200,F#3,21.208,1/125,26,195.0
201,F#3,21.408,0.0,26,195.0
202,F#3,21.408,0.0,26,195.0
203,F#2,21.608,0.0,68,195.0
204,F#3,21.608,0.0,68,195.0
205,F#2,21.608,1/125,90,195.0
206,F#3,21.617,0.0,45,195.0
207,B-4,21.617,129/500,72,195.0
208,F#4,21.617,13/40,67,195.0
209,E-5,21.625,49/125,56,195.0
210,E-3,21.625,17/20,65,195.0
211,E-4,21.625,17/20,65,195.0
212,F#3,21.808,1/125,26,195.0
213,F#3,21.808,1/125,26,195.0
214,F#3,22.008,1/125,26,195.0
215,F#3,22.008,1/125,26,195.0
216,F#3,22.208,1/125,26,195.0
217,F#3,22.208,1/125,26,195.0
218,C2,22.408,0.0,60,195.0
219,F#3,22.408,0.0,60,195.0
220,C2,22.408,1/125,74,195.0
221,F#3,22.417,0.0,45,195.0
222,B-4,22.417,129/500,55,195.0
223,F#4,22.417,317/1000,46,195.0
224,E-5,22.417,317/1000,46,195.0
225,F#3,22.608,1/125,26,195.0
226,F#3,22.608,1/125,26,195.0
227,F#3,22.808,1/125,26,195.0
228,F#3,22.808,1/125,26,195.0
229,F#3,23.008,1/125,26,195.0
230,F#3,23.008,1/125,26,195.0
231,C2,23.208,0.0,90,195.0
232,C2,23.208,0.0,68,195.0
233,F#3,23.208,0.0,68,195.0
234,F#3,23.217,0.0,45,195.0
235,C#5,23.217,171/500,63,195.0
236,B-4,23.217,171/500,63,195.0
237,F#5,23.225,24/125,67,195.0
238,E-3,23.225,31/40,63,195.0
239,E-4,23.225,31/40,63,195.0
240,F#3,23.408,1/125,26,195.0
241,F#3,23.408,1/125,26,195.0
242,F#3,23.608,1/125,26,195.0
243,F#3,23.608,1/125,26,195.0
244,F#3,23.808,1/125,26,195.0
245,F#3,23.808,1/125,26,195.0
246,E-3,24.0,0.125,63,195.0
247,E-4,24.0,0.125,63,195.0
248,F#3,24.008,0.0,45,195.0
249,F#3,24.008,0.0,45,195.0
250,G#4,24.017,1217/1000,69,195.0
251,F5,24.017,23/20,66,195.0
252,C5,24.017,23/20,66,195.0
253,F#3,24.208,1/125,26,195.0
254,F#3,24.208,1/125,26,195.0
255,F#3,24.417,0.0,26,195.0
256,F#3,24.417,0.0,26,195.0
257,F#3,24.608,0.0,26,195.0
258,F#3,24.608,0.0,26,195.0
259,F#2,24.808,0.0,90,195.0
260,F#2,24.808,0.0,68,195.0
261,F#3,24.808,0.0,68,195.0
262,F#3,24.817,0.0,45,195.0
263,E-3,24.833,783/1000,66,195.0
264,E-4,24.833,783/1000,66,195.0
265,F#3,25.008,1/125,26,195.0
266,F#3,25.008,1/125,26,195.0
267,F#3,25.208,1/125,26,195.0
268,F#3,25.208,1/125,26,195.0
269,F#3,25.408,1/125,26,195.0
270,F#3,25.408,1/125,26,195.0
271,C2,25.608,0.0,74,195.0
272,C2,25.608,0.0,60,195.0
273,F#3,25.608,0.0,60,195.0
274,F#3,25.617,0.0,45,195.0
275,F#4,25.617,2383/1000,74,195.0
276,B-4,25.617,2383/1000,74,195.0
277,E-5,25.617,2383/1000,74,195.0
278,F#5,25.617,2383/1000,74,195.0
279,E-5,25.625,2.375,46,195.0
280,F#5,25.625,2.375,46,195.0
281,B-5,25.742,1129/500,46,195.0
282,F#3,25.808,1/125,26,195.0
283,F#3,25.808,1/125,26,195.0
284,F#3,26.008,0.0,26,195.0
285,F#3,26.008,0.0,26,195.0
286,F#3,26.208,0.0,26,195.0
287,F#3,26.208,0.0,26,195.0
288,C2,26.408,0.0,68,195.0
289,F#3,26.408,0.0,68,195.0
290,C2,26.408,1/125,90,195.0
291,F#3,26.417,0.0,45,195.0
292,E-3,26.442,833/1000,66,195.0
293,E-4,26.442,833/1000,66,195.0
294,F#3,26.608,1/125,26,195.0
295,F#3,26.608,1/125,26,195.0
296,F#3,26.808,0.0,26,195.0
297,F#3,26.808,0.0,26,195.0
298,F#3,27.008,0.0,26,195.0
299,F#3,27.008,0.0,26,195.0
300,F#3,27.208,1/125,45,195.0
301,F#3,27.208,1/125,45,195.0
302,F#3,27.408,1/125,26,195.0
303,F#3,27.408,1/125,26,195.0
304,F#3,27.608,0.0,26,195.0
305,F#3,27.608,0.0,26,195.0
306,F#3,27.808,0.0,26,195.0
307,F#3,27.808,0.0,26,195.0
308,B-5,28.0,149/125,46,195.0
309,F#4,28.0,73/250,74,195.0
310,B-4,28.0,73/250,74,195.0
311,E-5,28.0,73/250,74,195.0
312,F#5,28.0,73/250,74,195.0
313,E-5,28.0,126/125,46,195.0
314,F#5,28.0,126/125,46,195.0
315,F#2,28.008,0.0,68,195.0
316,F#3,28.008,0.0,68,195.0
317,F#2,28.008,1/125,90,195.0
318,F#3,28.017,0.0,45,195.0
319,E-3,28.025,17/20,65,195.0
320,E-4,28.025,17/20,65,195.0
321,F#3,28.208,1/125,26,195.0
322,F#3,28.208,1/125,26,195.0
323,F#3,28.408,0.0,26,195.0
324,F#3,28.408,0.0,26,195.0
325,F#3,28.608,1/125,26,195.0
326,F#3,28.608,1/125,26,195.0
327,C2,28.808,0.0,74,195.0
328,C2,28.808,0.0,60,195.0
329,F#3,28.808,0.0,60,195.0
330,F#3,28.817,0.0,45,195.0
331,F#4,28.817,2/5,73,195.0
332,E-5,28.817,2/5,73,195.0
333,F#5,28.817,2/5,73,195.0
334,B-4,28.825,333/1000,73,195.0
335,E-5,28.825,333/1000,73,195.0
336,F#3,29.008,1/125,26,195.0
337,F#3,29.008,1/125,26,195.0
338,F#3,29.208,1/125,26,195.0
339,F#3,29.208,1/125,26,195.0
340,F#3,29.408,1/125,26,195.0
341,F#3,29.408,1/125,26,195.0
342,C2,29.608,0.0,90,195.0
343,C2,29.608,0.0,68,195.0
344,F#3,29.608,0.0,68,195.0
345,F#3,29.617,0.0,45,195.0
346,E-5,29.617,23/40,46,195.0
347,G#4,29.617,76/125,76,195.0
348,E-5,29.617,76/125,76,195.0
349,E-3,29.625,9/10,63,195.0
350,E-4,29.625,9/10,63,195.0
351,C5,29.642,9/20,89,195.0
352,G#5,29.675,13/20,72,195.0
353,G#5,29.683,127/250,46,195.0
354,C6,29.742,517/1000,46,195.0
355,F#3,29.808,1/125,26,195.0
356,F#3,29.808,1/125,26,195.0
357,F#3,30.008,1/125,26,195.0
358,F#3,30.008,1/125,26,195.0
359,F#3,30.208,1/125,26,195.0
360,F#3,30.208,1/125,26,195.0
361,F#3,30.408,1/125,45,195.0
362,F#3,30.408,1/125,45,195.0
363,F#3,30.608,1/125,26,195.0
364,F#3,30.608,1/125,26,195.0
365,F#3,30.808,0.0,26,195.0
