,note_name,start_time,duration,velocity,tempo
0,G4,3.0,333/1000,79,160.0
1,E4,3.0,333/1000,79,160.0
2,B3,3.0,333/1000,79,160.0
3,G3,3.0,333/1000,79,160.0
4,A4,3.333,333/1000,79,160.0
5,F#4,3.333,333/1000,79,160.0
6,C#4,3.333,333/1000,79,160.0
7,A3,3.333,333/1000,79,160.0
8,A4,3.667,333/1000,95,160.0
9,E4,3.667,333/1000,95,160.0
10,C4,3.667,333/1000,95,160.0
11,G3,3.667,333/1000,95,160.0
12,B4,4.0,167/1000,95,160.0
13,E4,4.0,167/1000,95,160.0
14,C#4,4.0,167/1000,95,160.0
15,G3,4.0,167/1000,95,160.0
16,A2,4.0,167/1000,95,160.0
17,B4,5.0,167/1000,95,160.0
18,E4,5.0,167/1000,95,160.0
19,C#4,5.0,167/1000,95,160.0
20,G3,5.0,167/1000,95,160.0
21,A2,5.0,167/1000,95,160.0
22,B4,6.0,167/1000,95,160.0
23,E4,6.0,167/1000,95,160.0
24,C#4,6.0,167/1000,95,160.0
25,G3,6.0,167/1000,95,160.0
26,A2,6.0,167/1000,95,160.0
27,B4,7.0,167/1000,95,160.0
28,E4,7.0,167/1000,95,160.0
29,C#4,7.0,167/1000,95,160.0
30,G3,7.0,167/1000,95,160.0
31,A2,7.0,167/1000,95,160.0
32,B4,8.0,667/1000,95,160.0
33,E4,8.0,667/1000,95,160.0
34,C4,8.0,667/1000,95,160.0
35,D3,8.0,667/1000,95,160.0
36,A2,8.0,667/1000,95,160.0
37,B-4,8.667,333/1000,95,160.0
38,A4,9.0,667/1000,73,160.0
39,E4,9.0,667/1000,73,160.0
40,C4,9.0,667/1000,73,160.0
41,G3,9.0,667/1000,73,160.0
42,A3,9.667,333/1000,95,160.0
43,C5,9.667,1333/1000,95,160.0
44,F#4,9.667,1333/1000,95,160.0
45,D4,9.667,1333/1000,95,160.0
46,G4,11.0,333/1000,79,160.0
47,E4,11.0,333/1000,79,160.0
48,B3,11.0,333/1000,79,160.0
49,G3,11.0,333/1000,79,160.0
50,A4,11.333,333/1000,79,160.0
51,F#4,11.333,333/1000,79,160.0
52,C#4,11.333,333/1000,79,160.0
53,A3,11.333,333/1000,79,160.0
54,A4,11.667,333/1000,95,160.0
55,E4,11.667,333/1000,95,160.0
56,C4,11.667,333/1000,95,160.0
57,G3,11.667,333/1000,95,160.0
58,B4,12.0,167/1000,95,160.0
59,E4,12.0,167/1000,95,160.0
60,C#4,12.0,167/1000,95,160.0
61,G3,12.0,167/1000,95,160.0
62,A2,12.0,167/1000,95,160.0
63,B4,13.0,167/1000,95,160.0
64,E4,13.0,167/1000,95,160.0
65,C#4,13.0,167/1000,95,160.0
66,G3,13.0,167/1000,95,160.0
67,A2,13.0,167/1000,95,160.0
68,B4,14.0,167/1000,95,160.0
69,E4,14.0,167/1000,95,160.0
70,C#4,14.0,167/1000,95,160.0
71,G3,14.0,167/1000,95,160.0
72,A2,14.0,167/1000,95,160.0
73,B4,15.0,167/1000,95,160.0
74,E4,15.0,167/1000,95,160.0
75,C#4,15.0,167/1000,95,160.0
76,G3,15.0,167/1000,95,160.0
77,A2,15.0,167/1000,95,160.0
78,B4,16.0,667/1000,95,160.0
79,E4,16.0,667/1000,95,160.0
80,C4,16.0,667/1000,95,160.0
81,D3,16.0,667/1000,95,160.0
82,A2,16.0,667/1000,95,160.0
83,B-4,16.667,333/1000,95,160.0
84,A4,17.0,667/1000,73,160.0
85,E4,17.0,667/1000,73,160.0
86,C4,17.0,667/1000,73,160.0
87,G3,17.0,667/1000,73,160.0
88,A3,17.667,333/1000,95,160.0
89,C5,17.667,1333/1000,95,160.0
90,F#4,17.667,1333/1000,95,160.0
91,D4,17.667,1333/1000,95,160.0
92,G4,19.0,333/1000,79,160.0
93,E4,19.0,333/1000,79,160.0
94,B3,19.0,333/1000,79,160.0
95,G3,19.0,333/1000,79,160.0
96,A4,19.333,333/1000,79,160.0
97,F#4,19.333,333/1000,79,160.0
98,C#4,19.333,333/1000,79,160.0
99,A3,19.333,333/1000,79,160.0
100,A4,19.667,333/1000,95,160.0
101,E4,19.667,333/1000,95,160.0
102,C4,19.667,333/1000,95,160.0
103,G3,19.667,333/1000,95,160.0
104,B4,20.0,167/1000,95,160.0
105,E4,20.0,167/1000,95,160.0
106,C#4,20.0,167/1000,95,160.0
107,G3,20.0,167/1000,95,160.0
108,A2,20.0,167/1000,95,160.0
109,B4,21.0,167/1000,95,160.0
110,E4,21.0,167/1000,95,160.0
111,C#4,21.0,167/1000,95,160.0
112,G3,21.0,167/1000,95,160.0
113,A2,21.0,167/1000,95,160.0
114,B4,22.0,167/1000,95,160.0
115,E4,22.0,167/1000,95,160.0
116,C#4,22.0,167/1000,95,160.0
117,G3,22.0,167/1000,95,160.0
118,A2,22.0,167/1000,95,160.0
119,B4,23.0,167/1000,95,160.0
120,E4,23.0,167/1000,95,160.0
121,C#4,23.0,167/1000,95,160.0
122,G3,23.0,167/1000,95,160.0
123,A2,23.0,167/1000,95,160.0
124,B4,24.0,667/1000,95,160.0
125,E4,24.0,667/1000,95,160.0
126,C4,24.0,667/1000,95,160.0
127,D3,24.0,667/1000,95,160.0
128,A2,24.0,667/1000,95,160.0
129,B-4,24.667,333/1000,95,160.0
130,A4,25.0,667/1000,73,160.0
131,E4,25.0,667/1000,73,160.0
132,C4,25.0,667/1000,73,160.0
133,G3,25.0,667/1000,73,160.0
134,C5,25.667,333/1000,95,160.0
135,F#4,25.667,333/1000,95,160.0
136,D4,25.667,833/1000,95,160.0
137,A3,25.667,833/1000,95,160.0
138,C5,26.667,333/1000,95,160.0
139,F#4,26.667,333/1000,95,160.0
140,D4,26.667,333/1000,95,160.0
141,A3,26.667,333/1000,95,160.0
142,B4,27.0,667/1000,95,160.0
143,E4,27.0,667/1000,95,160.0
144,C4,27.0,667/1000,95,160.0
145,D3,27.0,667/1000,95,160.0
146,A2,27.0,667/1000,95,160.0
147,B4,27.667,333/1000,95,160.0
148,E4,27.667,333/1000,95,160.0
149,C4,27.667,333/1000,95,160.0
150,D3,27.667,333/1000,95,160.0
151,G4,28.0,167/1000,95,160.0
152,D4,28.0,167/1000,95,160.0
153,B3,28.0,167/1000,95,160.0
154,G3,28.0,167/1000,95,160.0
155,D3,28.0,167/1000,95,160.0
156,G2,28.0,167/1000,95,160.0
157,G4,29.0,167/1000,95,160.0
158,D4,29.0,167/1000,95,160.0
159,B3,29.0,167/1000,95,160.0
160,G3,29.0,167/1000,95,160.0
161,D3,29.0,167/1000,95,160.0
162,G2,29.0,167/1000,95,160.0
163,G4,30.0,667/1000,95,160.0
164,C#4,30.0,167/1000,95,160.0
165,B-3,30.0,167/1000,95,160.0
166,E3,30.0,167/1000,95,160.0
167,G4,30.667,333/1000,95,160.0
168,C#4,30.667,333/1000,95,160.0
169,B-3,30.667,333/1000,95,160.0
