,note_name,start_time,duration,velocity,tempo
0,C#4,4.0,0.5,125,120.0
1,E2,4.0,117/1000,120,120.0
2,C#5,4.5,374/125,125,120.0
3,B4,7.5,0.25,125,120.0
4,A4,7.75,0.25,125,120.0
5,C#5,8.0,0.5,125,120.0
6,F#1,8.0,0.5,120,120.0
7,F#2,8.0,117/1000,110,120.0
8,C2,8.0,117/1000,110,120.0
9,F#2,8.5,117/1000,100,120.0
10,A4,9.0,0.5,125,120.0
11,C#5,9.0,0.5,125,120.0
12,E5,9.0,0.5,125,120.0
13,F#2,9.0,117/1000,110,120.0
14,E2,9.0,117/1000,110,120.0
15,F#2,9.5,117/1000,100,120.0
16,A1,10.0,0.5,120,120.0
17,F#2,10.0,117/1000,110,120.0
18,C2,10.0,117/1000,110,120.0
19,A1,10.5,124/125,120,120.0
20,F#2,10.5,117/1000,110,120.0
21,C2,10.5,117/1000,110,120.0
22,G#4,11.0,0.5,125,120.0
23,E4,11.0,0.5,125,120.0
24,B4,11.0,0.5,125,120.0
25,F#2,11.0,117/1000,110,120.0
26,E2,11.0,117/1000,110,120.0
27,F#1,11.5,0.5,120,120.0
28,D4,11.5,0.5,125,120.0
29,F#4,11.5,0.5,125,120.0
30,A4,11.5,0.5,125,120.0
31,F#2,11.5,117/1000,110,120.0
32,C2,11.5,117/1000,110,120.0
33,B1,12.0,249/125,120,120.0
34,D4,12.0,249/125,125,120.0
35,F#4,12.0,249/125,125,120.0
36,A4,12.0,249/125,125,120.0
37,F#2,12.0,117/1000,110,120.0
38,C2,12.0,117/1000,110,120.0
39,C#6,12.5,124/125,125,120.0
40,F#2,12.5,117/1000,100,120.0
41,F#2,13.0,117/1000,110,120.0
42,E2,13.0,117/1000,110,120.0
43,B5,13.5,0.25,125,120.0
44,F#2,13.5,117/1000,100,120.0
45,A5,13.75,0.25,125,120.0
46,C#6,14.0,0.5,125,120.0
47,G#1,14.0,0.5,120,120.0
48,G#4,14.0,2.0,125,120.0
49,B3,14.0,2.0,125,120.0
50,E4,14.0,2.0,125,120.0
51,F#2,14.0,117/1000,110,120.0
52,C2,14.0,117/1000,110,120.0
53,B1,14.5,0.5,120,120.0
54,F#2,14.5,117/1000,110,120.0
55,C2,14.5,117/1000,110,120.0
56,A5,15.0,0.5,125,120.0
57,C#2,15.0,0.5,120,120.0
58,F#2,15.0,117/1000,110,120.0
59,E2,15.0,117/1000,110,120.0
60,F#2,15.5,0.5,120,120.0
61,F#2,15.5,117/1000,110,120.0
62,C2,15.5,117/1000,110,120.0
63,B5,16.0,0.5,125,120.0
64,F#1,16.0,0.5,120,120.0
65,F#2,16.0,117/1000,110,120.0
66,C2,16.0,117/1000,110,120.0
67,A5,16.5,0.5,125,120.0
68,F#2,16.5,117/1000,100,120.0
69,F#5,17.0,0.5,125,120.0
70,A4,17.0,0.5,125,120.0
71,C#5,17.0,0.5,125,120.0
72,E5,17.0,0.5,125,120.0
73,F#2,17.0,117/1000,110,120.0
74,E2,17.0,117/1000,110,120.0
75,F#5,17.5,124/125,125,120.0
76,F#2,17.5,117/1000,100,120.0
77,A1,18.0,0.5,120,120.0
78,F#2,18.0,117/1000,110,120.0
79,C2,18.0,117/1000,110,120.0
80,E5,18.5,0.5,125,120.0
81,A1,18.5,124/125,120,120.0
82,F#2,18.5,117/1000,110,120.0
83,C2,18.5,117/1000,110,120.0
84,B4,19.0,0.5,125,120.0
85,G#4,19.0,0.5,125,120.0
86,E4,19.0,0.5,125,120.0
87,B4,19.0,0.5,125,120.0
88,F#2,19.0,117/1000,110,120.0
89,E2,19.0,117/1000,110,120.0
90,A4,19.5,0.5,125,120.0
91,F#1,19.5,0.5,120,120.0
92,D4,19.5,0.5,125,120.0
93,F#4,19.5,0.5,125,120.0
94,A4,19.5,0.5,125,120.0
95,F#2,19.5,117/1000,110,120.0
96,C2,19.5,117/1000,110,120.0
97,B4,20.0,0.5,125,120.0
98,B1,20.0,1.5,120,120.0
99,D4,20.0,249/125,125,120.0
100,F#4,20.0,249/125,125,120.0
101,A4,20.0,249/125,125,120.0
102,F#2,20.0,117/1000,110,120.0
103,C2,20.0,117/1000,110,120.0
104,C#5,20.5,0.5,125,120.0
105,F#2,20.5,117/1000,100,120.0
106,F#5,21.0,0.5,125,120.0
107,F#2,21.0,117/1000,110,120.0
108,E2,21.0,117/1000,110,120.0
109,C#5,21.5,0.5,125,120.0
110,F#2,21.5,117/1000,100,120.0
111,G#1,21.5,0.5,120,120.0
112,B4,22.0,124/125,125,120.0
113,G#1,22.0,0.5,120,120.0
114,G#4,22.0,2.0,125,120.0
115,B3,22.0,2.0,125,120.0
116,E4,22.0,2.0,125,120.0
117,F#2,22.0,117/1000,110,120.0
118,C2,22.0,117/1000,110,120.0
119,B1,22.5,0.5,120,120.0
120,F#2,22.5,117/1000,110,120.0
121,C2,22.5,117/1000,110,120.0
122,A4,23.0,0.5,125,120.0
123,F#2,23.0,117/1000,110,120.0
124,E2,23.0,117/1000,110,120.0
125,F#4,23.5,0.5,125,120.0
126,C#2,23.5,0.5,120,120.0
127,F#2,23.5,117/1000,110,120.0
128,C2,23.5,117/1000,110,120.0
129,F#4,24.0,499/125,125,120.0
130,A1,24.0,249/125,120,120.0
131,F#2,24.0,117/1000,110,120.0
132,C2,24.0,117/1000,110,120.0
133,F#2,24.5,117/1000,100,120.0
134,E4,25.0,1.0,125,120.0
135,A4,25.0,1.0,125,120.0
136,C#5,25.0,1.0,125,120.0
137,F#2,25.0,117/1000,110,120.0
138,E2,25.0,117/1000,110,120.0
139,F#2,25.5,117/1000,100,120.0
140,A1,26.0,0.5,120,120.0
141,G#4,26.0,249/125,125,120.0
142,E4,26.0,249/125,125,120.0
143,B4,26.0,249/125,125,120.0
144,F#2,26.0,117/1000,110,120.0
145,C2,26.0,117/1000,110,120.0
146,A1,26.5,0.5,120,120.0
147,F#2,26.5,117/1000,110,120.0
148,C2,26.5,117/1000,110,120.0
149,C#2,27.0,0.5,120,120.0
150,F#2,27.0,117/1000,110,120.0
151,E2,27.0,117/1000,110,120.0
152,A1,27.5,0.5,120,120.0
153,F#2,27.5,117/1000,110,120.0
154,C2,27.5,117/1000,110,120.0
155,D2,28.0,249/125,120,120.0
156,C#4,28.0,249/125,125,120.0
157,F#4,28.0,249/125,125,120.0
158,A4,28.0,249/125,125,120.0
159,F#2,28.0,117/1000,110,120.0
160,C2,28.0,117/1000,110,120.0
161,F#2,28.5,117/1000,100,120.0
162,F#2,29.0,117/1000,110,120.0
163,E2,29.0,117/1000,110,120.0
164,F#2,29.5,117/1000,100,120.0
165,G1,30.0,0.5,120,120.0
166,F3,30.0,249/125,125,120.0
167,B3,30.0,249/125,125,120.0
168,A3,30.0,249/125,125,120.0
169,E4,30.0,249/125,125,120.0
170,F#2,30.0,117/1000,110,120.0
171,C2,30.0,117/1000,110,120.0
172,G1,30.5,0.5,120,120.0
173,F#2,30.5,117/1000,110,120.0
174,C2,30.5,117/1000,110,120.0
175,F#2,31.0,117/1000,110,120.0
176,E2,31.0,117/1000,110,120.0
177,D2,31.5,0.5,120,120.0
178,F#2,31.5,117/1000,110,120.0
179,C2,31.5,117/1000,110,120.0
180,F#1,32.0,249/125,120,120.0
181,F#2,32.0,117/1000,110,120.0
182,C2,32.0,117/1000,110,120.0
183,F#2,32.5,117/1000,100,120.0
184,C#4,33.0,1.0,125,120.0
185,E4,33.0,1.0,125,120.0
186,A4,33.0,1.0,125,120.0
187,E4,33.0,1.0,125,120.0
188,A4,33.0,1.0,125,120.0
189,C#5,33.0,1.0,125,120.0
190,F#2,33.0,117/1000,110,120.0
191,E2,33.0,117/1000,110,120.0
192,F#2,33.5,117/1000,100,120.0
193,C#2,34.0,0.5,120,120.0
194,G#4,34.0,249/125,125,120.0
195,B3,34.0,249/125,125,120.0
196,E4,34.0,249/125,125,120.0
197,G#4,34.0,2.0,125,120.0
198,E4,34.0,2.0,125,120.0
199,B4,34.0,2.0,125,120.0
200,F#2,34.0,117/1000,110,120.0
201,C2,34.0,117/1000,110,120.0
202,C#2,34.5,124/125,120,120.0
203,F#2,34.5,117/1000,110,120.0
204,C2,34.5,117/1000,110,120.0
205,F#2,35.0,117/1000,110,120.0
206,E2,35.0,117/1000,110,120.0
207,C#2,35.5,123/250,120,120.0
208,F#2,35.5,117/1000,110,120.0
209,C2,35.5,117/1000,110,120.0
210,D3,36.0,117/1000,100,120.0
211,A1,36.0,1.5,120,120.0
212,G3,36.0,249/125,125,120.0
213,D4,36.0,249/125,125,120.0
214,E4,36.0,249/125,125,120.0
215,G4,36.0,2.0,125,120.0
216,A4,36.0,2.0,125,120.0
217,E4,36.0,2.0,125,120.0
218,E2,36.25,117/1000,120,120.0
219,E2,36.5,117/1000,120,120.0
220,E2,36.75,117/1000,120,120.0
221,E2,37.0,117/1000,120,120.0
222,G2,37.5,117/1000,100,120.0
223,A1,37.5,123/250,120,120.0
224,D2,38.0,123/250,120,120.0
225,F#2,38.0,117/1000,110,120.0
226,C2,38.0,117/1000,110,120.0
227,F#2,38.5,117/1000,100,120.0
228,F4,39.0,117/1000,125,120.0
229,F4,39.0,0.5,127,120.0
230,A4,39.0,0.5,125,120.0
231,D5,39.0,0.5,125,120.0
232,F#2,39.0,117/1000,110,120.0
233,E2,39.0,117/1000,110,120.0
234,F#4,39.125,367/1000,125,120.0
235,F#2,39.5,117/1000,100,120.0
236,E4,39.5,0.5,127,120.0
237,F#1,40.0,123/250,120,120.0
238,F4,40.0,0.5,127,120.0
239,F#2,40.0,117/1000,110,120.0
240,C2,40.0,117/1000,110,120.0
241,F#1,40.5,123/250,120,120.0
242,E4,40.5,0.5,127,120.0
243,F#2,40.5,117/1000,110,120.0
244,C2,40.5,117/1000,110,120.0
245,F4,41.0,0.5,127,120.0
246,F#4,41.0,0.5,125,120.0
247,A4,41.0,0.5,125,120.0
248,D5,41.0,0.5,125,120.0
249,F#2,41.0,117/1000,110,120.0
250,E2,41.0,117/1000,110,120.0
251,F#1,41.5,123/250,120,120.0
252,E4,41.5,0.5,127,120.0
253,F#2,41.5,117/1000,110,120.0
254,C2,41.5,117/1000,110,120.0
255,G1,42.0,123/250,120,120.0
256,B4,42.0,1.0,125,120.0
257,D5,42.0,1.0,125,120.0
258,F#2,42.0,117/1000,110,120.0
259,C2,42.0,117/1000,110,120.0
260,F#2,42.5,117/1000,100,120.0
261,G5,43.0,1.0,125,120.0
262,F4,43.0,0.5,127,120.0
263,F#2,43.0,117/1000,110,120.0
264,E2,43.0,117/1000,110,120.0
265,F#2,43.5,117/1000,100,120.0
266,E4,43.5,0.5,127,120.0
267,A1,44.0,123/250,120,120.0
268,E4,44.0,124/125,127,120.0
269,G4,44.0,1.0,125,120.0
270,C#5,44.0,1.0,125,120.0
271,E5,44.0,1.0,125,120.0
272,F#2,44.0,117/1000,110,120.0
273,C2,44.0,117/1000,110,120.0
274,A1,44.5,123/250,120,120.0
275,F#2,44.5,117/1000,110,120.0
276,C2,44.5,117/1000,110,120.0
277,D4,45.0,0.5,127,120.0
278,B4,45.0,1.0,125,120.0
279,D5,45.0,1.0,125,120.0
280,G5,45.0,1.0,125,120.0
281,F#2,45.0,117/1000,110,120.0
282,E2,45.0,117/1000,110,120.0
283,C#2,45.5,123/250,120,120.0
284,B3,45.5,0.5,127,120.0
285,F#2,45.5,117/1000,110,120.0
286,C2,45.5,117/1000,110,120.0
287,D2,46.0,123/250,120,120.0
288,B3,46.0,123/250,127,120.0
289,A4,46.0,4.0,125,120.0
290,D5,46.0,4.0,125,120.0
291,F#5,46.0,4.0,125,120.0
292,F#2,46.0,117/1000,110,120.0
293,C2,46.0,117/1000,110,120.0
294,F#2,46.5,117/1000,100,120.0
295,D4,46.5,0.5,127,120.0
296,F4,47.0,117/1000,125,120.0
297,A4,47.0,0.5,125,120.0
298,D5,47.0,0.5,125,120.0
299,F#2,47.0,117/1000,110,120.0
300,E2,47.0,117/1000,110,120.0
301,F#4,47.125,367/1000,125,120.0
302,F#2,47.5,117/1000,100,120.0
303,F#1,48.0,123/250,120,120.0
304,F#2,48.0,117/1000,110,120.0
305,C2,48.0,117/1000,110,120.0
306,F#1,48.5,123/250,120,120.0
307,F#2,48.5,117/1000,110,120.0
308,C2,48.5,117/1000,110,120.0
309,F#2,49.0,117/1000,110,120.0
310,E2,49.0,117/1000,110,120.0
311,F#1,49.5,123/250,120,120.0
312,F#2,49.5,117/1000,110,120.0
313,C2,49.5,117/1000,110,120.0
314,G1,50.0,123/250,120,120.0
315,F#2,50.0,117/1000,110,120.0
316,C2,50.0,117/1000,110,120.0
317,F#2,50.5,117/1000,100,120.0
318,F#2,51.0,117/1000,110,120.0
319,E2,51.0,117/1000,110,120.0
320,F#2,51.5,117/1000,100,120.0
321,C#5,52.0,1.0,125,120.0
322,D2,52.0,123/250,120,120.0
