,note_name,start_time,duration,velocity,tempo
0,G#2,4.0,13/40,90,132.0
1,G#2,5.0,13/40,90,132.0
2,E2,6.0,13/40,118,132.0
3,E2,6.0,13/40,118,132.0
4,B1,6.5,13/40,118,132.0
5,E2,7.0,13/40,104,132.0
6,C#3,7.0,13/40,104,132.0
7,B1,7.5,13/40,118,132.0
8,F1,8.0,106/125,127,132.0
9,F2,8.0,0.781,127,132.0
10,A3,8.0,119/125,119,132.0
11,A4,8.0,119/125,119,132.0
12,A3,8.0,119/125,119,132.0
13,A4,8.0,119/125,119,132.0
14,F2,8.0,123/250,114,132.0
15,C3,8.0,123/250,114,132.0
16,B1,8.0,83/1000,104,132.0
17,C#3,8.0,83/1000,104,132.0
18,F#2,8.5,83/1000,76,132.0
19,F2,8.5,123/250,96,132.0
20,C3,8.5,123/250,96,132.0
21,F3,8.5,123/250,96,132.0
22,A3,9.0,69/100,119,132.0
23,C4,9.0,33/200,127,132.0
24,F4,9.0,263/250,127,132.0
25,F1,9.0,429/500,119,132.0
26,C4,9.0,429/500,119,132.0
27,C5,9.0,429/500,119,132.0
28,C4,9.0,429/500,119,132.0
29,C5,9.0,429/500,119,132.0
30,F2,9.0,123/250,113,132.0
31,C3,9.0,123/250,113,132.0
32,F3,9.0,123/250,113,132.0
33,E2,9.0,83/1000,97,132.0
34,F#2,9.0,83/1000,97,132.0
35,F2,9.0,1677/1000,110,132.0
36,C3,9.0,1677/1000,110,132.0
37,F#2,9.5,83/1000,76,132.0
38,C4,9.5,173/200,45,132.0
39,F2,9.5,123/250,112,132.0
40,C3,9.5,123/250,112,132.0
41,F3,9.5,123/250,112,132.0
42,F1,10.0,7/40,119,132.0
43,A3,10.0,121/500,106,132.0
44,D4,10.0,123/250,115,132.0
45,D5,10.0,123/250,115,132.0
46,D4,10.0,123/250,115,132.0
47,D5,10.0,123/250,115,132.0
48,F2,10.0,123/250,115,132.0
49,C3,10.0,123/250,115,132.0
50,B1,10.0,83/1000,97,132.0
51,F#2,10.0,83/1000,97,132.0
52,F1,10.5,767/1000,124,132.0
53,A3,10.5,327/500,110,132.0
54,E4,10.5,123/250,109,132.0
55,E5,10.5,123/250,109,132.0
56,E4,10.5,123/250,109,132.0
