,note_name,start_time,duration,velocity,tempo
0,G1,8.0,1979/500,101,120.0
1,G3,8.0,3.5,90,120.0
2,G2,8.0,3.25,99,120.0
3,G2,8.0,141/40,57,120.0
4,B4,8.0,4.0,78,120.0
5,D4,8.0,227/250,77,120.0
6,C2,8.0,0.25,101,120.0
7,F#2,8.0,1.25,127,120.0
8,G4,8.0,143/40,56,120.0
9,G2,8.0,143/40,56,120.0
10,G4,8.0,1.75,94,120.0
11,B4,8.0,1.75,94,120.0
12,D4,8.0,1.75,94,120.0
13,D4,8.0,4.0,40,120.0
14,B3,8.0,4.0,40,120.0
15,G3,8.0,4.0,40,120.0
16,G3,8.067,2383/1000,54,120.0
17,B3,8.067,3.375,70,120.0
18,D3,8.5,379/500,62,120.0
19,B3,9.0,1617/1000,59,120.0
20,D3,9.5,17/20,64,120.0
21,G5,9.5,2.5,68,120.0
22,D4,9.5,2.5,68,120.0
23,G4,9.525,124/125,75,120.0
24,G3,9.525,1.375,70,120.0
25,D4,10.0,0.75,104,120.0
26,G4,10.0,1.25,106,120.0
27,B4,10.0,1.0,108,120.0
28,E-2,10.0,0.25,127,120.0
29,F#2,10.0,0.5,127,120.0
30,D3,10.5,867/1000,73,120.0
31,D3,10.508,26/125,70,120.0
32,D4,11.0,1.0,104,120.0
33,B3,11.0,367/1000,64,120.0
34,C2,11.0,0.25,127,120.0
35,G3,11.008,0.625,62,120.0
36,B4,11.5,0.25,96,120.0
37,D3,11.5,13/40,66,120.0
38,F#2,11.925,3/40,52,120.0
39,D3,11.967,33/1000,50,120.0
40,G3,11.992,1/125,71,120.0
41,F#1,12.0,1979/500,101,120.0
42,F#2,12.0,226/125,52,120.0
43,D3,12.0,151/125,50,120.0
44,G3,12.0,371/500,71,120.0
45,F#3,12.0,3.25,92,120.0
46,F#2,12.0,3.5,90,120.0
47,D4,12.0,1.75,104,120.0
48,G5,12.0,3533/1000,78,120.0
49,F#4,12.0,1.75,104,120.0
50,B4,12.0,1.75,104,120.0
51,B4,12.0,99/125,76,120.0
52,D4,12.0,99/125,76,120.0
53,C2,12.0,0.25,114,120.0
54,F#2,12.0,0.25,114,120.0
55,D4,12.0,4.0,40,120.0
56,B3,12.0,4.0,40,120.0
57,G3,12.0,4.0,40,120.0
58,F#2,12.008,1.0,57,120.0
59,B3,12.05,3133/1000,68,120.0
60,D3,12.508,123/250,62,120.0
61,G4,12.533,31/10,60,120.0
62,G3,13.0,326/125,66,120.0
63,G3,13.008,271/500,75,120.0
64,B3,13.008,329/500,70,120.0
65,G4,13.5,0.625,67,120.0
66,D4,13.5,0.625,67,120.0
67,B3,13.5,0.625,67,120.0
68,D3,13.508,229/500,64,120.0
69,D3,13.525,829/500,51,120.0
70,F#2,13.967,1667/1000,36,120.0
71,B4,14.0,1.25,110,120.0
72,D4,14.0,0.5,102,120.0
73,F#4,14.0,1.0,119,120.0
74,E-2,14.0,0.25,127,120.0
75,F#2,14.0,0.25,127,120.0
76,F#2,14.008,1383/1000,56,120.0
77,G4,14.5,227/250,74,120.0
78,D4,14.5,83/1000,72,120.0
79,D3,14.508,26/125,70,120.0
80,D4,15.0,0.75,104,120.0
81,G3,15.008,367/1000,74,120.0
82,G4,15.017,483/1000,64,120.0
83,F#4,15.5,0.25,95,120.0
84,D4,15.5,133/1000,58,120.0
85,D3,15.508,13/40,66,120.0
86,E2,15.925,3/40,59,120.0
87,E3,15.992,1/125,58,120.0
88,E1,16.0,1979/500,101,120.0
89,E2,16.0,3633/1000,59,120.0
90,E3,16.0,1521/500,58,120.0
91,E2,16.0,3333/1000,57,120.0
92,G4,16.0,3483/1000,86,120.0
93,E3,16.0,3.5,77,120.0
94,E2,16.0,3.5,77,120.0
95,B4,16.0,1.75,92,120.0
96,G4,16.0,1.75,92,120.0
97,E4,16.0,1.75,92,120.0
