,note_name,start_time,duration,velocity,tempo
0,B4,10.021,1979/1000,118,115.0
1,G4,11.99,1/100,100,115.0
2,G5,11.99,1/100,122,115.0
3,G3,11.99,1/100,89,115.0
4,G4,12.0,0.219,100,115.0
5,G5,12.0,0.188,122,115.0
6,G3,12.0,167/1000,89,115.0
7,B1,12.0,0.25,113,115.0
8,A3,12.0,0.156,50,115.0
9,B4,12.0,21/1000,118,115.0
10,G#4,12.24,167/1000,80,115.0
11,G#5,12.24,73/500,104,115.0
12,G#3,12.24,27/200,91,115.0
13,F#2,12.25,73/500,65,115.0
14,A4,12.49,0.312,71,115.0
15,A5,12.49,13/50,89,115.0
16,A3,12.49,99/500,89,115.0
17,B-2,12.5,13/50,83,115.0
18,G4,12.74,99/500,88,115.0
19,G5,12.74,167/1000,106,115.0
20,G3,12.74,73/500,90,115.0
21,G#4,12.99,13/50,84,115.0
22,G#5,12.99,0.219,100,115.0
23,G#3,12.99,73/500,90,115.0
24,A3,13.0,23/200,49,115.0
25,B1,13.0,0.25,113,115.0
26,E2,13.0,73/200,103,115.0
27,E4,13.24,99/500,92,115.0
28,E5,13.24,167/1000,111,115.0
29,E3,13.24,0.156,94,115.0
30,B3,13.49,0.25,80,115.0
31,B4,13.49,26/125,104,115.0
32,B2,13.49,73/500,93,115.0
33,F#2,13.5,0.094,64,115.0
34,G3,13.74,177/250,73,115.0
35,G4,13.74,0.594,93,115.0
36,G2,13.74,667/1000,93,115.0
37,B1,14.0,0.25,113,115.0
38,F#2,14.25,83/1000,64,115.0
39,A3,14.49,0.188,91,115.0
40,A4,14.49,0.156,109,115.0
41,A2,14.49,0.156,93,115.0
42,F#2,14.5,13/125,54,115.0
43,B3,14.74,271/1000,80,115.0
44,B4,14.74,229/1000,104,115.0
45,B2,14.74,0.25,93,115.0
46,F#2,14.75,0.125,65,115.0
47,G3,14.99,26/125,86,115.0
48,G4,14.99,177/1000,103,115.0
49,G2,14.99,0.188,90,115.0
50,A3,15.0,0.125,49,115.0
51,E2,15.0,0.25,108,115.0
52,B1,15.0,0.25,108,115.0
53,E3,15.24,167/1000,86,115.0
54,E4,15.24,73/500,103,115.0
55,E2,15.24,73/500,92,115.0
56,G3,15.49,0.219,91,115.0
57,G4,15.49,0.188,109,115.0
58,G2,15.49,177/1000,89,115.0
59,F#2,15.5,23/200,81,115.0
60,G#3,15.74,167/1000,84,115.0
61,G#4,15.74,73/500,100,115.0
62,G#2,15.74,177/1000,92,115.0
63,A3,15.99,1/100,75,115.0
64,A4,15.99,1/100,95,115.0
65,A2,15.99,1/100,82,115.0
66,A3,16.0,0.188,75,115.0
67,A4,16.0,0.156,95,115.0
68,A2,16.0,167/1000,82,115.0
69,F#2,16.0,0.094,70,115.0
70,B1,16.0,0.25,113,115.0
71,G3,16.24,0.188,88,115.0
72,G4,16.24,0.156,105,115.0
73,G2,16.24,0.156,93,115.0
74,F#2,16.25,23/200,64,115.0
75,G#3,16.49,0.219,88,115.0
76,G#4,16.49,0.188,106,115.0
77,G#2,16.49,177/1000,91,115.0
78,F#2,16.5,0.125,77,115.0
79,E3,16.74,0.188,92,115.0
80,E4,16.74,0.156,111,115.0
81,E2,16.74,0.156,89,115.0
82,B2,16.99,0.156,75,115.0
83,B3,16.99,27/200,95,115.0
84,B1,16.99,167/1000,84,115.0
85,B1,17.0,0.25,113,115.0
86,E2,17.0,323/1000,105,115.0
87,F#2,17.0,23/200,62,115.0
88,A3,17.0,23/200,62,115.0
89,G2,17.24,177/200,86,115.0
90,G3,17.24,37/50,103,115.0
91,G1,17.24,0.719,89,115.0
92,F#2,17.5,83/1000,58,115.0
93,A2,17.99,99/500,92,115.0
94,A3,17.99,167/1000,111,115.0
95,A1,17.99,167/1000,89,115.0
96,F#2,18.0,27/200,74,115.0
97,B1,18.0,0.25,113,115.0
98,B2,18.24,0.25,88,115.0
99,B3,18.24,26/125,105,115.0
100,B1,18.24,229/1000,92,115.0
101,F#2,18.25,0.125,59,115.0
102,G2,18.49,0.219,88,115.0
103,G3,18.49,0.188,106,115.0
104,G1,18.49,167/1000,93,115.0
105,F#2,18.5,27/200,69,115.0
106,E2,18.74,0.156,88,115.0
107,E3,18.74,27/200,106,115.0
108,E1,18.74,177/1000,92,115.0
109,F#2,18.75,0.156,65,115.0
110,E3,18.99,1/100,97,115.0
111,E4,18.99,1/100,112,115.0
112,E2,18.99,1/100,89,115.0
113,E3,19.0,4.0,97,115.0
114,E4,19.0,4.0,112,115.0
115,E1,19.0,4.0,100,115.0
116,E2,19.0,4.0,89,115.0
117,E2,19.0,0.344,104,115.0
118,B1,19.0,0.25,113,115.0
119,F#2,19.0,23/200,62,115.0
120,A3,19.0,23/200,62,115.0
121,F#2,19.25,73/500,65,115.0
122,F#2,19.5,13/125,72,115.0
123,B1,20.0,0.25,113,115.0
124,F#2,20.0,0.156,74,115.0
125,E5,20.0,27/200,81,115.0
126,F#2,20.25,0.125,65,115.0
127,E5,20.25,0.125,71,115.0
128,F#2,20.5,0.156,72,115.0
129,E5,20.5,27/200,78,115.0
130,F#2,20.75,167/1000,65,115.0
131,E5,20.75,73/500,69,115.0
132,B4,20.979,2021/1000,115,115.0
133,F#2,21.0,73/500,74,115.0
134,B1,21.0,0.25,113,115.0
135,E5,21.0,73/500,81,115.0
136,F#2,21.5,73/500,69,115.0
137,G#5,21.5,27/200,78,115.0
138,G#5,21.75,0.188,71,115.0
139,B1,22.0,0.25,113,115.0
140,F#2,22.0,0.125,69,115.0
141,F#2,22.25,0.125,63,115.0
142,B5,22.25,73/500,87,115.0
143,F#2,22.5,0.125,78,115.0
144,B5,22.5,167/1000,58,115.0
145,E3,23.0,3917/1000,97,115.0
146,E4,23.0,479/500,112,115.0
147,E2,23.0,83/1000,89,115.0
148,B1,23.0,0.25,113,115.0
149,F#2,23.0,27/200,78,115.0
150,B4,23.0,3.031,115,115.0
151,E-6,23.0,0.156,93,115.0
152,E2,23.25,0.125,80,115.0
153,E-6,23.25,0.188,73,115.0
154,E2,23.75,0.125,87,115.0
155,E6,23.75,26/125,98,115.0
156,E2,24.25,0.125,92,115.0
157,E2,24.5,0.125,96,115.0
158,C3,24.75,23/200,74,115.0
159,C3,25.0,0.125,68,115.0
160,A2,25.25,73/500,79,115.0
161,A2,25.5,27/200,78,115.0
162,F2,25.75,23/200,74,115.0
