,note_name,start_time,duration,velocity,tempo
0,G4,0.0,377/200,43,70.0
1,E-4,0.0,377/200,43,70.0
2,B-3,0.0,377/200,41,70.0
3,C3,0.0,377/200,41,70.0
4,E-5,0.5,229/500,127,70.0
5,D5,1.0,229/500,127,70.0
6,C5,1.5,229/500,127,70.0
7,D5,2.0,229/500,127,70.0
8,B-3,2.0,229/500,41,70.0
9,B-4,2.0,0.938,43,70.0
10,G4,2.0,0.938,43,70.0
11,E-5,2.5,229/500,127,70.0
12,G3,2.5,229/500,41,70.0
13,C5,3.0,229/500,127,70.0
14,E-3,3.0,229/500,41,70.0
15,B-4,3.5,229/500,127,70.0
16,C3,3.5,229/500,41,70.0
17,B-4,4.0,0.938,127,70.0
18,F2,4.0,229/500,41,70.0
19,G4,4.0,377/200,43,70.0
20,E-4,4.0,377/200,43,70.0
21,C3,4.5,229/500,41,70.0
22,C5,5.0,0.938,127,70.0
23,G3,5.0,229/500,41,70.0
24,B-3,5.5,229/500,41,70.0
25,F4,6.0,229/500,127,70.0
26,E-4,6.0,377/200,43,70.0
27,A3,6.0,0.938,41,70.0
28,G4,6.5,229/500,127,70.0
29,A4,7.0,229/500,127,70.0
30,F2,7.0,0.938,41,70.0
31,C5,7.5,229/500,127,70.0
32,F4,8.0,377/200,43,70.0
33,D4,8.0,377/200,43,70.0
34,C4,8.0,377/200,43,70.0
35,A3,8.0,377/200,41,70.0
36,B-2,8.0,377/200,41,70.0
37,D5,8.5,1.188,127,70.0
38,C5,9.312,151/500,127,70.0
39,B-4,9.646,73/250,127,70.0
40,F4,10.0,377/200,43,70.0
41,B-2,10.0,229/500,41,70.0
42,C5,10.0,0.938,127,70.0
43,A4,10.0,0.938,127,70.0
44,F3,10.5,229/500,41,70.0
45,B-3,11.0,229/500,41,70.0
46,D5,11.0,0.938,127,70.0
47,B-4,11.0,0.938,127,70.0
48,A3,11.5,229/500,41,70.0
49,G3,12.0,229/500,41,70.0
50,G4,12.0,474/125,43,70.0
51,D4,12.0,474/125,43,70.0
52,B-3,12.0,474/125,43,70.0
53,D3,12.5,229/500,41,70.0
54,G2,13.0,229/500,41,70.0
55,G5,13.0,0.938,127,70.0
56,B-4,13.0,0.938,127,70.0
57,D3,13.5,229/500,41,70.0
58,F3,14.0,0.938,41,70.0
59,A5,14.0,0.938,127,70.0
60,C5,14.0,0.938,127,70.0
61,G3,15.0,0.938,41,70.0
62,B-5,15.0,0.938,127,70.0
63,D5,15.0,0.938,127,70.0
64,G4,16.0,377/200,43,70.0
65,E-4,16.0,377/200,43,70.0
66,B-3,16.0,377/200,41,70.0
67,C3,16.0,377/200,41,70.0
68,G5,16.5,229/500,127,70.0
69,E-5,16.5,229/500,127,70.0
70,F5,17.0,229/500,127,70.0
71,D5,17.0,229/500,127,70.0
72,E-5,17.5,229/500,127,70.0
73,C5,17.5,229/500,127,70.0
74,F5,18.0,229/500,127,70.0
75,D5,18.0,0.938,43,70.0
76,B-3,18.0,229/500,41,70.0
77,G5,18.5,229/500,127,70.0
78,G3,18.5,229/500,41,70.0
79,E-5,19.0,229/500,127,70.0
80,C5,19.0,0.938,43,70.0
81,E-3,19.0,229/500,41,70.0
82,D5,19.5,229/500,127,70.0
83,C3,19.5,229/500,41,70.0
84,E-5,20.0,0.938,127,70.0
85,F2,20.0,229/500,41,70.0
86,B-4,20.0,377/200,43,70.0
87,G4,20.0,377/200,43,70.0
88,C3,20.5,229/500,41,70.0
89,F5,21.0,377/200,127,70.0
90,G3,21.0,229/500,41,70.0
91,C3,21.5,229/500,41,70.0
92,F2,22.0,229/500,41,70.0
93,A4,22.0,377/200,43,70.0
94,F4,22.0,377/200,43,70.0
95,C3,22.5,229/500,41,70.0
96,C5,23.0,0.938,127,70.0
97,A3,23.0,229/500,41,70.0
98,C3,23.5,229/500,41,70.0
99,D5,24.0,0.938,127,70.0
100,B-2,24.0,229/500,41,70.0
101,C5,24.0,0.938,43,70.0
102,F4,24.0,0.938,43,70.0
103,F3,24.5,229/500,41,70.0
104,D4,25.0,229/500,127,70.0
105,B-3,25.0,229/500,41,70.0
106,F4,25.5,229/500,127,70.0
107,F3,25.5,229/500,41,70.0
108,B-4,26.0,229/500,127,70.0
109,D4,26.0,229/500,43,70.0
110,B-2,26.0,229/500,41,70.0
111,F4,26.5,229/500,127,70.0
112,F3,26.5,229/500,41,70.0
113,B-4,27.0,229/500,127,70.0
114,B-3,27.0,229/500,41,70.0
115,C5,27.5,229/500,127,70.0
116,F3,27.5,229/500,41,70.0
117,D5,28.0,229/500,127,70.0
118,F4,28.0,229/500,43,70.0
119,A2,28.0,229/500,41,70.0
120,A4,28.5,229/500,127,70.0
121,D3,28.5,229/500,41,70.0
122,D5,29.0,229/500,127,70.0
123,F4,29.0,229/500,43,70.0
