,note_name,start_time,duration,velocity,tempo
0,B1,8.0,979/500,100,147.0
1,F#5,8.0,0.953,70,147.0
2,F#2,8.0,83/1000,91,147.0
3,F#4,8.0,979/500,45,147.0
4,D5,8.0,979/500,45,147.0
5,A4,8.0,979/500,45,147.0
6,B5,8.0,979/500,45,147.0
7,B1,8.0,979/500,100,147.0
8,A3,8.0,979/500,100,147.0
9,F#2,8.25,83/1000,69,147.0
10,F#2,8.5,83/1000,48,147.0
11,F#2,8.75,83/1000,90,147.0
12,F#5,9.0,49/100,70,147.0
13,F#2,9.0,83/1000,51,147.0
14,F#2,9.25,83/1000,52,147.0
15,B5,9.5,49/100,60,147.0
16,F#2,9.5,83/1000,91,147.0
17,F#2,9.75,83/1000,53,147.0
18,B-1,10.0,0.406,100,147.0
19,B-5,10.0,49/100,70,147.0
20,F#2,10.0,83/1000,91,147.0
21,G#4,10.0,979/500,45,147.0
22,D5,10.0,979/500,45,147.0
23,F5,10.0,979/500,45,147.0
24,B-5,10.0,979/500,45,147.0
25,B1,10.0,0.406,100,147.0
26,A3,10.0,0.406,100,147.0
27,B-2,10.25,83/1000,68,147.0
28,F5,10.5,979/1000,60,147.0
29,F#2,10.5,83/1000,53,147.0
30,F#2,10.75,83/1000,88,147.0
31,B-1,11.0,573/1000,100,147.0
32,F#2,11.0,83/1000,51,147.0
33,B1,11.0,573/1000,100,147.0
34,A3,11.0,573/1000,100,147.0
35,F#2,11.25,83/1000,53,147.0
36,G#5,11.5,49/100,60,147.0
37,F#2,11.5,83/1000,91,147.0
38,B-2,11.75,83/1000,51,147.0
39,A1,12.0,979/500,100,147.0
40,A5,12.0,49/100,70,147.0
41,E2,12.0,83/1000,111,147.0
42,C#3,12.0,979/500,80,147.0
43,C5,12.0,979/500,45,147.0
44,E5,12.0,979/500,45,147.0
45,G5,12.0,979/500,45,147.0
46,A5,12.0,979/500,45,147.0
47,B2,12.083,83/1000,90,147.0
48,A5,12.5,58/125,60,147.0
49,B1,12.5,83/1000,109,147.0
50,E5,13.0,49/200,60,147.0
51,E2,13.0,83/1000,36,147.0
52,A5,13.25,49/200,70,147.0
53,B2,13.25,83/1000,72,147.0
54,G5,13.5,49/200,60,147.0
55,B2,13.5,83/1000,109,147.0
56,E5,13.75,49/200,60,147.0
57,D2,14.0,0.406,100,147.0
58,F#6,14.0,49/100,70,147.0
59,E2,14.0,83/1000,36,147.0
60,C#3,14.0,0.406,80,147.0
61,A4,14.0,979/500,45,147.0
62,C5,14.0,979/500,45,147.0
63,F#5,14.0,979/500,45,147.0
64,D6,14.0,979/500,45,147.0
65,B2,14.25,83/1000,69,147.0
66,A5,14.5,58/125,60,147.0
67,B1,14.5,83/1000,111,147.0
68,D2,15.0,573/1000,100,147.0
69,D5,15.0,49/200,60,147.0
70,E2,15.0,83/1000,111,147.0
71,E2,15.083,83/1000,88,147.0
72,F5,15.25,49/200,60,147.0
73,F#5,15.5,49/200,60,147.0
74,D6,15.75,49/200,60,147.0
75,A3,15.974,21/1000,100,147.0
76,G1,16.0,2.203,100,147.0
77,F5,16.0,49/100,70,147.0
78,F#2,16.0,83/1000,89,147.0
79,G4,16.0,3.922,45,147.0
80,B4,16.0,3.922,45,147.0
81,D5,16.0,3.922,45,147.0
82,E5,16.0,3.922,45,147.0
83,G5,16.0,3.922,45,147.0
84,B1,16.0,2.203,100,147.0
85,A3,16.0,2.203,100,147.0
86,F#2,16.25,83/1000,68,147.0
87,D5,16.5,49/100,60,147.0
88,F#2,16.5,83/1000,49,147.0
89,F#2,16.75,83/1000,71,147.0
90,F#2,17.0,83/1000,53,147.0
91,F#2,17.25,83/1000,47,147.0
92,F#2,17.5,83/1000,70,147.0
93,F#2,17.75,83/1000,48,147.0
94,F#2,18.0,83/1000,88,147.0
95,E2,18.25,83/1000,68,147.0
96,G1,18.5,979/1000,80,147.0
97,E5,18.5,49/200,60,147.0
98,B1,18.5,83/1000,108,147.0
99,C#3,18.5,979/1000,60,147.0
100,G5,18.75,49/200,60,147.0
101,E5,19.0,49/200,60,147.0
102,E2,19.0,83/1000,109,147.0
103,D5,19.25,49/200,60,147.0
104,G#1,19.5,49/100,80,147.0
105,E5,19.5,49/200,60,147.0
106,B1,19.5,83/1000,90,147.0
107,D5,19.75,49/200,60,147.0
108,A3,19.974,21/1000,98,147.0
109,A1,20.0,979/500,100,147.0
110,B4,20.0,83/1000,60,147.0
111,F#2,20.0,83/1000,89,147.0
112,G4,20.0,979/500,45,147.0
113,C5,20.0,979/500,45,147.0
114,E5,20.0,979/500,45,147.0
115,A5,20.0,979/500,45,147.0
116,B1,20.0,979/500,93,147.0
117,A3,20.0,979/500,93,147.0
118,C#3,20.0,979/500,93,147.0
119,C5,20.083,0.406,60,147.0
120,F#2,20.25,83/1000,69,147.0
121,E5,20.5,58/125,70,147.0
122,F#2,20.5,83/1000,49,147.0
123,D4,20.542,1.062,92,147.0
124,F#2,20.75,83/1000,70,147.0
125,E5,21.0,49/200,60,147.0
126,F#2,21.0,83/1000,52,147.0
127,G5,21.25,49/200,60,147.0
128,F#2,21.25,83/1000,50,147.0
129,D5,21.5,49/200,60,147.0
130,F#2,21.5,83/1000,71,147.0
131,E5,21.75,49/200,60,147.0
132,F#2,21.75,83/1000,49,147.0
133,D2,22.0,979/500,100,147.0
134,D5,22.0,0.219,70,147.0
135,E2,22.0,83/1000,111,147.0
136,F#4,22.0,979/500,45,147.0
137,A4,22.0,979/500,45,147.0
138,C5,22.0,979/500,45,147.0
139,D6,22.0,979/500,45,147.0
140,B1,22.0,979/500,95,147.0
141,C#3,22.0,979/500,95,147.0
142,G4,22.01,123/200,77,147.0
143,F5,22.25,49/200,60,147.0
144,B2,22.25,83/1000,90,147.0
145,D5,22.5,49/200,70,147.0
146,B2,22.5,83/1000,91,147.0
147,F5,22.75,49/200,60,147.0
148,F#5,23.0,49/200,60,147.0
149,B2,23.0,83/1000,111,147.0
150,A4,23.0,151/250,72,147.0
151,F5,23.25,49/200,60,147.0
152,B2,23.25,83/1000,90,147.0
153,F#5,23.5,49/200,60,147.0
154,A2,23.5,83/1000,88,147.0
155,C6,23.75,49/200,60,147.0
156,A4,23.969,0.031,81,147.0
157,A3,23.974,21/1000,101,147.0
158,G1,24.0,49/100,100,147.0
159,D4,24.0,2.938,100,147.0
160,F#5,24.0,83/1000,60,147.0
161,A4,24.0,729/500,81,147.0
162,D4,24.0,777/200,60,147.0
163,F#4,24.0,777/200,60,147.0
164,G4,24.0,777/200,60,147.0
165,B4,24.0,777/200,60,147.0
166,B1,24.0,83/1000,100,147.0
167,E-3,24.0,83/1000,100,147.0
168,G5,24.083,0.406,70,147.0
169,G1,24.5,0.328,100,147.0
170,F#5,24.5,83/1000,60,147.0
171,B1,24.5,83/1000,88,147.0
172,G5,24.583,2.344,70,147.0
173,E2,25.0,83/1000,97,147.0
174,F#2,25.0,83/1000,97,147.0
175,E-3,25.0,83/1000,97,147.0
176,G1,25.5,0.953,100,147.0
177,B1,25.5,83/1000,109,147.0
178,B4,25.521,2479/1000,90,147.0
179,E-3,26.0,83/1000,88,147.0
180,F1,26.5,979/1000,80,147.0
181,B3,27.0,49/100,80,147.0
182,D5,27.0,979/1000,70,147.0
183,E2,27.0,83/1000,96,147.0
184,F#2,27.0,83/1000,96,147.0
185,E-3,27.0,83/1000,96,147.0
186,F#1,27.5,0.062,80,147.0
187,G3,27.5,49/100,80,147.0
188,B1,27.5,83/1000,80,147.0
189,E-3,27.5,83/1000,80,147.0
190,G1,28.0,49/100,100,147.0
191,D3,28.0,1.469,100,147.0
192,D4,28.0,3.062,60,147.0
193,F#4,28.0,299/100,60,147.0
194,F#5,28.0,83/1000,60,147.0
195,B4,28.0,271/500,90,147.0
196,G4,28.0,487/125,60,147.0
197,B4,28.0,487/125,60,147.0
198,B1,28.0,83/1000,108,147.0
199,E-3,28.0,83/1000,108,147.0
200,G5,28.083,0.406,70,147.0
201,G5,28.5,2427/1000,70,147.0
202,B1,28.5,83/1000,90,147.0
203,D4,28.521,1151/1000,85,147.0
204,E2,29.0,83/1000,96,147.0
205,F#2,29.0,83/1000,96,147.0
206,E-3,29.0,83/1000,96,147.0
207,B1,29.5,0.062,80,147.0
208,G3,29.5,0.953,80,147.0
209,B1,29.5,83/1000,110,147.0
210,G1,30.0,49/100,100,147.0
211,E-3,30.0,83/1000,89,147.0
212,G4,30.052,77/200,79,147.0
213,F#1,30.5,49/100,80,147.0
214,D4,30.5,979/1000,100,147.0
215,F#4,30.5,349/250,60,147.0
216,F1,31.0,49/100,80,147.0
217,D4,31.0,112/125,65,147.0
218,G5,31.0,979/1000,70,147.0
219,A4,31.0,0.594,66,147.0
220,E2,31.0,83/1000,96,147.0
221,F#2,31.0,83/1000,96,147.0
222,E-3,31.0,83/1000,96,147.0
223,F#1,31.5,161/1000,80,147.0
224,B3,31.5,49/100,80,147.0
225,B1,31.5,83/1000,90,147.0
226,B-4,31.542,229/500,77,147.0
227,G1,32.0,49/100,100,147.0
228,B-3,32.0,1.469,100,147.0
229,F#5,32.0,83/1000,60,147.0
230,B-4,32.0,4.0,77,147.0
231,F4,32.0,487/125,60,147.0
232,B-4,32.0,487/125,60,147.0
233,D5,32.0,487/125,60,147.0
234,B1,32.0,83/1000,100,147.0
235,E-3,32.0,83/1000,100,147.0
236,G5,32.083,112/125,70,147.0
237,G1,32.5,0.328,100,147.0
238,B1,32.5,83/1000,90,147.0
239,F#5,33.0,83/1000,60,147.0
240,E2,33.0,83/1000,96,147.0
241,F#2,33.0,83/1000,96,147.0
242,E-3,33.0,83/1000,96,147.0
243,G5,33.083,0.406,70,147.0
244,G1,33.5,49/100,100,147.0
245,D4,33.5,979/1000,80,147.0
246,G5,33.5,1443/1000,70,147.0
247,B1,33.5,83/1000,109,147.0
248,F1,34.0,161/1000,80,147.0
249,G4,34.0,0.062,60,147.0
250,E-3,34.0,83/1000,88,147.0
251,E2,34.25,83/1000,36,147.0
252,G1,34.5,49/100,80,147.0
253,B-3,34.5,58/125,80,147.0
254,B1,34.5,83/1000,110,147.0
255,E2,34.5,83/1000,110,147.0
256,B-1,35.0,0.062,80,147.0
257,D3,35.0,979/1000,100,147.0
258,F4,35.0,0.953,65,147.0
259,D5,35.0,979/1000,70,147.0
260,E2,35.0,83/1000,33,147.0
261,E2,35.25,83/1000,35,147.0
262,B1,35.5,49/100,80,147.0
263,E2,35.5,83/1000,109,147.0
264,E2,35.75,83/1000,91,147.0
265,A3,35.974,21/1000,100,147.0
266,C2,36.0,49/100,100,147.0
267,E3,36.0,306/125,100,147.0
268,B-4,36.0,2979/1000,60,147.0
269,C5,36.0,979/1000,70,147.0
270,B-4,36.0,19/50,77,147.0
271,E4,36.0,3.922,60,147.0
272,G4,36.0,3.922,60,147.0
273,B1,36.0,83/1000,110,147.0
274,E-3,36.0,83/1000,110,147.0
275,C4,36.479,1193/1000,92,147.0
276,G5,37.0,83/1000,70,147.0
277,E2,37.0,83/1000,97,147.0
278,F#2,37.0,83/1000,97,147.0
279,E-3,37.0,83/1000,97,147.0
280,A5,37.083,0.406,70,147.0
281,C2,37.5,0.953,100,147.0
282,C6,37.5,1443/1000,70,147.0
283,B1,37.5,83/1000,111,147.0
284,B-4,38.0,237/125,65,147.0
285,E-3,38.0,83/1000,89,147.0
286,F4,38.031,69/125,75,147.0
287,G1,38.5,49/100,80,147.0
288,G3,38.5,58/125,80,147.0
289,B1,38.5,83/1000,110,147.0
290,F1,39.0,49/100,80,147.0
291,B-3,39.0,979/1000,100,147.0
292,G4,39.0,0.953,65,147.0
293,B-5,39.0,979/1000,70,147.0
294,G4,39.0,49/100,88,147.0
295,E2,39.0,83/1000,97,147.0
296,F#2,39.0,83/1000,97,147.0
297,E-3,39.0,83/1000,97,147.0
298,E1,39.5,49/100,80,147.0
299,F1,40.0,49/100,100,147.0
300,A3,40.0,1.469,100,147.0
301,G#5,40.0,83/1000,60,147.0
302,G4,40.0,327/200,83,147.0
303,E4,40.0,487/125,60,147.0
304,F4,40.0,487/125,60,147.0
305,A4,40.0,487/125,60,147.0
306,C5,40.0,487/125,60,147.0
307,B1,40.0,83/1000,100,147.0
308,E-3,40.0,83/1000,100,147.0
309,A5,40.083,0.406,60,147.0
310,C6,40.5,429/125,70,147.0
311,E2,41.0,83/1000,96,147.0
312,F#2,41.0,83/1000,96,147.0
313,E-3,41.0,83/1000,96,147.0
314,A4,41.49,251/100,79,147.0
315,F1,41.5,58/125,100,147.0
316,F3,41.5,306/125,80,147.0
317,B1,41.5,83/1000,109,147.0
318,F1,42.0,49/100,100,147.0
319,E-3,42.0,83/1000,88,147.0
320,G1,42.5,0.062,80,147.0
321,B1,42.5,83/1000,111,147.0
322,A1,43.0,49/100,80,147.0
323,E2,43.0,83/1000,95,147.0
324,F#2,43.0,83/1000,95,147.0
325,E-3,43.0,83/1000,95,147.0
326,G1,43.5,0.062,80,147.0
327,E-3,43.5,83/1000,69,147.0
328,F1,44.0,58/125,100,147.0
329,E3,44.0,2917/1000,100,147.0
330,C5,44.0,2.062,60,147.0
331,G#5,44.0,83/1000,60,147.0
332,A4,44.0,0.391,79,147.0
333,E4,44.0,3.922,60,147.0
334,F4,44.0,3.922,60,147.0
335,A4,44.0,3.922,60,147.0
336,B1,44.0,83/1000,110,147.0
337,E-3,44.0,83/1000,110,147.0
338,A5,44.083,0.406,60,147.0
339,C2,44.5,49/100,80,147.0
340,C6,44.5,2917/1000,70,147.0
341,C4,44.51,249/200,83,147.0
342,A1,45.0,49/100,80,147.0
343,E2,45.0,83/1000,97,147.0
344,F#2,45.0,83/1000,97,147.0
345,E-3,45.0,83/1000,97,147.0
346,G1,45.5,0.062,100,147.0
347,B1,45.5,83/1000,109,147.0
348,F1,46.0,49/100,80,147.0
349,C5,46.0,237/125,65,147.0
350,E-3,46.0,83/1000,88,147.0
351,F4,46.083,417/1000,81,147.0
352,G1,46.5,49/100,80,147.0
353,E-3,46.5,83/1000,70,147.0
354,F1,47.0,0.062,80,147.0
355,A3,47.0,979/1000,100,147.0
356,A4,47.0,0.953,65,147.0
357,E2,47.0,83/1000,97,147.0
358,F#2,47.0,83/1000,97,147.0
359,E-3,47.0,83/1000,97,147.0
360,G4,47.042,0.594,85,147.0
