,note_name,start_time,duration,velocity,tempo
0,C4,6.589,201/200,44,83.0
1,E4,7.458,0.391,56,83.0
2,G4,7.833,167/1000,70,83.0
3,G4,8.0,0.188,70,83.0
4,B4,8.271,0.266,58,83.0
5,C2,8.271,0.266,58,83.0
6,G4,8.276,521/1000,60,83.0
7,E4,8.276,521/1000,60,83.0
8,E3,8.297,0.422,56,83.0
9,D4,8.297,0.422,56,83.0
10,C5,8.781,26/125,63,83.0
11,A2,9.339,839/1000,50,83.0
12,A4,9.339,341/500,44,83.0
13,C4,9.339,341/500,44,83.0
14,E4,9.359,0.375,50,83.0
15,G3,9.823,91/500,50,83.0
16,E4,10.344,0.156,55,83.0
17,F4,10.552,0.188,64,83.0
18,D2,10.807,849/1000,55,83.0
19,G4,10.828,1.172,45,83.0
20,C4,11.375,0.094,46,83.0
21,E4,11.375,0.094,46,83.0
22,F3,11.375,0.094,46,83.0
23,A3,11.375,0.094,46,83.0
24,G4,12.0,177/250,45,83.0
25,B3,12.073,123/200,42,83.0
26,E4,12.073,123/200,42,83.0
27,F3,12.078,0.453,35,83.0
28,G2,12.078,901/1000,40,83.0
29,B4,13.823,0.188,63,83.0
30,C5,14.042,0.141,55,83.0
31,D5,14.333,1021/1000,76,83.0
32,G#4,14.333,1021/1000,76,83.0
33,G#3,14.339,233/250,64,83.0
34,F4,14.339,233/250,64,83.0
35,B2,14.339,233/250,64,83.0
36,D4,14.365,393/500,64,83.0
37,E5,15.297,161/1000,56,83.0
38,C5,15.646,177/500,40,83.0
39,E4,15.667,333/1000,53,83.0
40,A4,15.667,333/1000,56,83.0
41,A2,15.667,333/1000,53,83.0
42,C5,16.0,0.391,40,83.0
43,E4,16.0,127/200,53,83.0
44,A4,16.0,263/500,56,83.0
45,A2,16.0,771/1000,53,83.0
46,G3,16.109,0.484,46,83.0
47,C4,16.109,0.391,41,83.0
48,D5,16.443,151/1000,60,83.0
49,C5,16.719,3/25,51,83.0
50,B4,17.057,651/500,56,83.0
51,D3,17.057,651/500,56,83.0
52,C4,17.812,0.484,34,83.0
53,F#3,17.812,0.484,34,83.0
54,E4,17.812,0.484,34,83.0
55,C4,19.568,0.25,60,83.0
56,E4,19.943,57/1000,71,83.0
57,C4,19.943,57/1000,71,83.0
58,G2,19.948,13/250,53,83.0
59,F3,19.948,13/250,70,83.0
60,A3,19.948,13/250,70,83.0
61,G2,20.0,0.969,53,83.0
62,E4,20.0,49/200,71,83.0
63,C4,20.0,49/200,71,83.0
64,F3,20.0,26/125,70,83.0
65,A3,20.0,26/125,70,83.0
66,G4,20.917,0.328,76,83.0
67,A4,21.193,143/500,80,83.0
68,C2,21.521,651/1000,68,83.0
69,D4,21.521,0.812,71,83.0
70,B4,21.521,0.406,74,83.0
71,E4,21.521,901/1000,71,83.0
72,G4,21.521,0.969,74,83.0
73,E3,22.172,0.109,71,83.0
74,C5,22.458,0.172,54,83.0
75,A4,22.865,229/500,59,83.0
76,G3,22.88,123/200,56,83.0
77,E4,22.885,349/1000,60,83.0
78,C4,22.885,357/500,44,83.0
79,A2,22.885,357/500,44,83.0
80,E4,23.531,73/250,63,83.0
81,F4,23.844,0.156,62,83.0
82,F4,24.0,99/1000,62,83.0
83,G4,24.203,0.297,49,83.0
84,D2,24.203,0.781,48,83.0
85,E4,24.865,99/1000,44,83.0
86,A3,24.865,99/1000,44,83.0
87,C4,24.865,99/1000,44,83.0
88,F3,24.885,28/125,47,83.0
89,G4,25.26,89/1000,65,83.0
90,G#4,25.682,901/1000,57,83.0
91,G2,25.698,323/250,48,83.0
92,F3,25.698,1411/1000,44,83.0
93,B3,25.719,99/125,42,83.0
94,E-4,25.719,99/125,42,83.0
95,C5,27.443,0.219,38,83.0
96,D5,27.682,0.172,57,83.0
97,G#3,27.927,73/1000,51,83.0
98,E5,27.927,73/1000,51,83.0
99,G#3,28.0,0.578,51,83.0
100,E5,28.0,0.578,51,83.0
101,C5,28.438,0.078,46,83.0
102,G4,28.438,0.078,46,83.0
103,D4,28.438,0.078,46,83.0
104,C4,28.438,0.078,46,83.0
105,C5,29.083,349/250,36,83.0
106,A2,29.083,349/250,36,83.0
107,G3,29.12,487/500,53,83.0
108,F4,29.12,301/200,50,83.0
109,G4,29.12,301/200,50,83.0
110,C#4,29.141,1.578,18,83.0
111,B-4,30.609,0.094,61,83.0
112,F4,31.188,443/1000,61,83.0
113,D2,31.188,0.297,48,83.0
114,F#3,31.188,0.297,48,83.0
115,C4,31.208,0.531,54,83.0
116,B-3,31.208,0.531,54,83.0
117,E-4,31.698,0.078,58,83.0
118,F#3,31.698,0.078,58,83.0
119,G2,32.198,237/250,50,83.0
120,B3,32.198,237/250,50,83.0
121,F3,32.286,151/200,52,83.0
122,E-4,32.302,99/125,50,83.0
123,F4,32.302,99/125,50,83.0
124,B-4,32.385,357/500,64,83.0
125,G#4,33.042,0.188,74,83.0
126,C2,33.729,417/1000,51,83.0
127,B3,33.812,71/125,53,83.0
128,E3,33.812,229/500,64,83.0
129,D4,33.854,37/50,61,83.0
130,E4,33.875,1229/1000,60,83.0
131,G4,33.917,573/1000,70,83.0
132,B4,33.917,573/1000,70,83.0
133,B3,34.828,26/125,53,83.0
134,C5,35.125,3/25,63,83.0
135,A4,35.609,0.391,53,83.0
136,C4,35.609,0.391,53,83.0
137,A2,35.609,0.391,53,83.0
138,E4,35.63,37/100,64,83.0
139,B3,35.63,37/100,52,83.0
140,G3,35.656,0.344,44,83.0
141,E4,36.0,99/200,64,83.0
142,B3,36.0,1.031,52,83.0
143,G3,36.0,729/1000,44,83.0
144,A4,36.0,0.859,53,83.0
145,C4,36.0,0.859,53,83.0
146,A2,36.0,0.859,53,83.0
147,E4,36.958,161/1000,48,83.0
148,F4,37.188,0.219,52,83.0
149,E4,37.51,0.297,49,83.0
150,C4,37.51,0.297,49,83.0
151,G4,37.51,0.297,49,83.0
152,D2,37.516,1599/1000,48,83.0
153,A3,37.531,177/500,35,83.0
154,F3,37.917,89/1000,54,83.0
155,C4,38.292,417/1000,46,83.0
156,F3,38.292,417/1000,46,83.0
157,A3,38.292,417/1000,46,83.0
158,A2,38.672,411/1000,53,83.0
159,D4,38.693,167/1000,55,83.0
160,G2,39.115,177/200,48,83.0
161,B3,39.135,0.812,47,83.0
162,F3,39.135,127/200,35,83.0
163,G#3,39.135,177/250,39,83.0
164,E4,39.135,173/200,47,83.0
165,G2,40.0,31/50,48,83.0
166,E4,40.0,9/250,47,83.0
167,B4,41.167,143/500,54,83.0
168,C5,41.49,6/25,57,83.0
169,G#2,41.797,409/500,65,83.0
170,F4,41.797,409/500,65,83.0
171,D5,41.812,943/1000,75,83.0
172,G#4,41.812,943/1000,75,83.0
173,F3,42.385,479/1000,65,83.0
174,E5,42.677,0.203,62,83.0
175,B3,42.698,143/500,64,83.0
176,C5,43.021,0.688,70,83.0
177,E4,43.042,0.891,53,83.0
178,A2,43.042,101/200,53,83.0
179,A4,43.042,149/200,58,83.0
180,G3,43.385,237/500,47,83.0
181,D5,43.672,0.188,62,83.0
182,C4,43.708,69/250,42,83.0
183,C5,43.984,0.016,53,83.0
184,C5,44.0,13/125,53,83.0
185,B4,44.354,1349/500,58,83.0
186,F#4,44.354,1.031,47,83.0
187,D3,44.354,1.031,47,83.0
188,E4,44.354,1.031,47,83.0
189,C4,44.375,2557/1000,40,83.0
190,F#3,44.375,2557/1000,40,83.0
191,E-3,46.01,233/250,24,83.0
192,E-4,46.01,233/250,24,83.0
193,C4,47.354,323/500,40,83.0
194,E4,47.792,26/125,73,83.0
195,C4,48.0,0.047,40,83.0
196,E4,48.0,27/200,73,83.0
197,G4,48.099,73/250,82,83.0
198,G4,48.427,927/1000,70,83.0
199,E4,48.427,927/1000,70,83.0
200,B4,48.448,0.531,77,83.0
201,E3,48.448,99/500,61,83.0
202,C2,48.453,0.328,63,83.0
203,D4,48.453,0.594,73,83.0
204,G3,49.099,0.688,65,83.0
205,C5,49.38,69/250,60,83.0
206,A4,49.76,77/200,64,83.0
207,A2,49.76,943/1000,58,83.0
208,C4,49.786,0.484,47,83.0
209,E4,49.792,0.281,64,83.0
210,G3,50.125,0.438,68,83.0
211,E4,50.49,349/1000,66,83.0
212,F4,50.823,271/1000,71,83.0
213,G4,51.229,0.391,66,83.0
214,D2,51.25,0.75,47,83.0
215,A3,51.25,0.75,47,83.0
216,C4,51.25,0.75,52,83.0
217,E4,51.25,0.75,52,83.0
218,F3,51.953,0.047,64,83.0
219,F3,52.0,151/1000,64,83.0
220,D2,52.0,0.062,47,83.0
221,A3,52.0,0.062,47,83.0
222,C4,52.0,51/200,52,83.0
223,E4,52.0,51/200,52,83.0
224,G4,52.24,0.141,74,83.0
225,G#4,52.677,159/500,51,83.0
226,B3,52.677,159/500,51,83.0
227,E-4,52.677,159/500,51,83.0
228,G2,52.698,196/125,46,83.0
229,F3,52.698,196/125,46,83.0
230,C5,54.292,0.188,46,83.0
231,D5,54.5,0.156,74,83.0
232,E3,54.708,323/250,63,83.0
233,C5,54.724,0.984,55,83.0
234,D4,55.542,229/500,63,83.0
235,A3,55.562,0.438,58,83.0
236,E3,56.0,0.516,63,83.0
237,D4,56.0,17/250,63,83.0
238,A3,56.0,49/100,58,83.0
239,C5,56.073,401/1000,53,83.0
240,B4,56.453,21/500,64,83.0
241,G3,56.453,21/500,64,83.0
242,B-4,56.823,323/1000,65,83.0
243,B3,56.854,69/50,30,83.0
244,E-4,56.854,69/50,30,83.0
245,F3,56.859,1.078,66,83.0
246,G2,57.271,99/125,53,83.0
247,G#4,57.271,51/200,64,83.0
248,G4,57.74,229/500,57,83.0
249,F4,58.234,57/1000,49,83.0
250,C2,58.823,1177/1000,36,83.0
251,G2,58.911,1089/1000,34,83.0
252,A3,58.911,1089/1000,34,83.0
253,B3,58.911,1089/1000,34,83.0
254,E3,58.99,101/100,40,83.0
255,D4,59.026,487/500,32,83.0
256,E4,59.026,487/500,32,83.0
257,G4,59.089,911/1000,48,83.0
258,C2,60.0,3599/1000,36,83.0
259,E3,60.0,3479/1000,40,83.0
260,G4,60.0,3599/1000,48,83.0
261,G2,60.0,3.5,34,83.0
262,A3,60.0,3.5,34,83.0
263,B3,60.0,3.5,34,83.0
264,D4,60.0,3.531,32,83.0
265,E4,60.0,3.531,32,83.0
266,C4,61.047,107/500,61,83.0
267,E4,62.073,1927/1000,76,83.0
268,E3,62.995,201/200,43,83.0
269,G4,63.531,0.469,66,83.0
270,E4,64.0,1.078,76,83.0
271,E3,64.0,3.0,43,83.0
272,G4,64.0,1909/500,66,83.0
273,E2,64.031,3333/1000,53,83.0
274,A4,64.068,319/250,46,83.0
275,D4,64.068,589/1000,56,83.0
276,F#4,64.068,589/1000,56,83.0
277,B3,64.068,589/1000,48,83.0
278,F#4,64.068,589/1000,48,83.0
279,B2,64.542,573/200,64,83.0
280,F#3,65.026,2271/1000,63,83.0
281,G3,65.448,299/200,65,83.0
282,A3,65.927,177/250,63,83.0
283,B3,66.396,0.547,65,83.0
284,D4,66.906,0.094,71,83.0
285,F#4,67.365,49/200,68,83.0
286,G4,67.594,19/50,84,83.0
287,F#4,67.87,13/100,74,83.0
288,D4,67.87,13/100,74,83.0
289,B3,67.885,23/200,61,83.0
290,B2,67.891,0.109,50,83.0
291,E2,67.891,0.109,50,83.0
292,G3,67.911,89/1000,46,83.0
293,B3,68.0,149/100,61,83.0
294,G3,68.0,271/500,46,83.0
295,F#4,68.0,823/1000,74,83.0
296,D4,68.0,823/1000,74,83.0
297,B2,68.0,113/100,50,83.0
298,E2,68.0,113/100,50,83.0
299,G3,68.948,271/500,34,83.0
300,F#4,69.495,0.141,74,83.0
301,C#4,70.0,223/200,56,83.0
302,B-3,70.0,223/200,56,83.0
303,A2,70.021,1.594,44,83.0
304,F#4,70.021,77/200,64,83.0
305,G3,70.021,1271/1000,53,83.0
306,E4,71.005,0.219,71,83.0
307,E3,71.495,13/250,55,83.0
308,F#4,72.021,1.0,46,83.0
309,C#4,72.021,1.0,46,83.0
310,E4,72.021,1.0,46,83.0
311,D2,72.021,901/1000,46,83.0
312,B3,72.021,901/1000,46,83.0
313,A4,72.042,2.984,57,83.0
314,F#3,73.0,0.094,49,83.0
315,F#4,73.984,233/250,52,83.0
316,D4,73.984,233/250,52,83.0
317,G2,74.005,599/500,48,83.0
318,B3,74.005,589/1000,37,83.0
319,F#3,74.005,589/1000,37,83.0
320,F#3,75.062,0.125,42,83.0
321,F#2,75.948,13/250,40,83.0
322,E4,75.984,0.016,55,83.0
323,E3,75.984,0.016,55,83.0
324,F#2,76.0,159/500,40,83.0
325,E4,76.0,323/500,55,83.0
326,E3,76.0,0.391,55,83.0
327,A3,76.005,0.516,49,83.0
328,A4,76.031,0.734,59,83.0
329,C#5,76.073,151/250,63,83.0
330,E5,76.109,427/1000,63,83.0
331,E5,76.786,99/250,66,83.0
