,note_name,start_time,duration,velocity,tempo
0,F#3,1.0,833/1000,110,120
1,F#3,3.0,833/1000,110,120
2,F#3,5.0,833/1000,110,120
3,F#3,7.0,833/1000,110,120
4,A2,8.0,49/100,110,120
5,A1,8.0,2.75,110,120
6,A3,8.0,3.75,110,120
7,B3,8.0,3.75,110,120
8,C#4,8.0,3.75,110,120
9,E4,8.0,3.75,110,120
10,E3,8.5,49/100,110,120
11,A3,9.0,49/100,110,120
12,B3,9.5,49/100,110,120
13,C#4,10.0,49/100,110,120
14,B3,10.5,49/100,110,120
15,A3,11.0,49/100,110,120
16,A1,11.0,49/100,110,120
17,E3,11.5,49/100,110,120
18,F#1,11.5,49/100,110,120
19,D3,12.0,49/100,110,120
20,D2,12.0,2.75,110,120
21,D4,12.0,3.75,110,120
22,E4,12.0,3.75,110,120
23,F#4,12.0,3.75,110,120
24,A4,12.0,3.75,110,120
25,A3,12.5,49/100,110,120
26,D4,13.0,49/100,110,120
27,E4,13.5,49/100,110,120
28,F#4,14.0,49/100,110,120
29,E4,14.5,49/100,110,120
30,D4,15.0,49/100,110,120
31,D2,15.0,49/100,110,120
32,A3,15.5,49/100,110,120
33,C#2,15.5,49/100,110,120
34,F#3,16.0,49/100,110,120
35,F#1,16.0,2.75,110,120
36,F#3,16.0,3.75,110,120
37,G#3,16.0,3.75,110,120
38,A3,16.0,3.75,110,120
39,C#4,16.0,3.75,110,120
40,C#4,16.5,49/100,110,120
41,F#4,17.0,49/100,110,120
42,G#4,17.5,49/100,110,120
43,A4,18.0,49/100,110,120
44,G#4,18.5,49/100,110,120
45,F#4,19.0,49/100,110,120
46,F#1,19.0,49/100,110,120
47,C#4,19.5,49/100,110,120
48,A1,19.5,49/100,110,120
49,D3,20.0,49/100,110,120
50,D2,20.0,2.75,110,120
51,D4,20.0,3.75,110,120
52,E4,20.0,3.75,110,120
53,F#4,20.0,3.75,110,120
54,A4,20.0,3.75,110,120
55,A3,20.5,49/100,110,120
56,D4,21.0,49/100,110,120
57,E4,21.5,49/100,110,120
58,F#4,22.0,49/100,110,120
59,E4,22.5,49/100,110,120
60,D4,23.0,49/100,110,120
61,A1,23.0,49/100,110,120
62,A3,23.5,49/100,110,120
63,F#1,23.5,49/100,110,120
64,A2,24.0,49/100,110,120
65,A1,24.0,2.75,110,120
66,A3,24.0,3.75,110,120
67,B3,24.0,3.75,110,120
68,C#4,24.0,3.75,110,120
69,E4,24.0,3.75,110,120
70,E3,24.5,49/100,110,120
71,A3,25.0,49/100,110,120
72,B3,25.5,49/100,110,120
73,C#4,26.0,49/100,110,120
74,B3,26.5,49/100,110,120
75,A3,27.0,49/100,110,120
76,A1,27.0,49/100,110,120
77,E3,27.5,49/100,110,120
78,F#1,27.5,49/100,110,120
79,D3,28.0,49/100,110,120
80,D2,28.0,2.75,110,120
81,D4,28.0,3.75,110,120
82,E4,28.0,3.75,110,120
83,F#4,28.0,3.75,110,120
84,A4,28.0,3.75,110,120
85,A3,28.5,49/100,110,120
86,D4,29.0,49/100,110,120
87,E4,29.5,49/100,110,120
88,F#4,30.0,49/100,110,120
89,E4,30.5,49/100,110,120
90,D4,31.0,49/100,110,120
91,D2,31.0,49/100,110,120
92,A3,31.5,49/100,110,120
93,C#2,31.5,49/100,110,120
94,F#3,32.0,49/100,110,120
95,F#1,32.0,2.75,110,120
96,F#3,32.0,3.75,110,120
97,G#3,32.0,3.75,110,120
98,A3,32.0,3.75,110,120
99,C#4,32.0,3.75,110,120
100,C#4,32.5,49/100,110,120
101,F#4,33.0,49/100,110,120
102,G#4,33.5,49/100,110,120
103,A4,34.0,49/100,110,120
104,G#4,34.5,49/100,110,120
105,F#4,35.0,49/100,110,120
106,F#1,35.0,49/100,110,120
107,C#4,35.5,49/100,110,120
108,A1,35.5,49/100,110,120
109,D3,36.0,49/100,110,120
110,D2,36.0,2.75,110,120
111,D4,36.0,3.75,110,120
112,E4,36.0,3.75,110,120
113,F#4,36.0,3.75,110,120
114,A4,36.0,3.75,110,120
115,A3,36.5,49/100,110,120
116,D4,37.0,49/100,110,120
117,E4,37.5,49/100,110,120
118,F#4,38.0,49/100,110,120
119,E4,38.5,49/100,110,120
120,D4,39.0,49/100,110,120
121,A1,39.0,49/100,110,120
122,A3,39.5,49/100,110,120
123,F#1,39.5,49/100,110,120
124,F#5,40.0,49/100,110,120
125,A2,40.0,49/100,110,120
126,A1,40.0,2.75,110,120
127,A3,40.0,3.75,110,120
128,B3,40.0,3.75,110,120
129,C#4,40.0,3.75,110,120
130,E4,40.0,3.75,110,120
131,E5,40.5,49/100,110,120
132,E3,40.5,49/100,110,120
133,F#5,41.0,49/100,110,120
134,A3,41.0,49/100,110,120
135,F#3,41.0,833/1000,110,120
136,B3,41.5,49/100,110,120
137,A4,41.5,1.0,110,120
138,C#5,41.5,1.0,110,120
139,C#4,42.0,49/100,110,120
140,A4,42.5,49/100,110,120
141,B3,42.5,49/100,110,120
142,A3,43.0,49/100,110,120
143,A1,43.0,49/100,110,120
144,F#3,43.0,833/1000,110,120
145,A4,43.5,49/100,110,120
146,E3,43.5,49/100,110,120
147,F#1,43.5,49/100,110,120
148,E5,44.0,833/1000,110,120
149,D3,44.0,49/100,110,120
150,D2,44.0,2.75,110,120
151,D4,44.0,3.75,110,120
152,E4,44.0,3.75,110,120
153,F#4,44.0,3.75,110,120
154,A4,44.0,3.75,110,120
155,A3,44.5,49/100,110,120
156,D4,45.0,49/100,110,120
157,F#3,45.0,833/1000,110,120
158,A4,45.0,0.5,110,120
159,C#5,45.0,0.5,110,120
160,A4,45.5,833/1000,110,120
161,E4,45.5,49/100,110,120
162,F#4,46.0,49/100,110,120
163,E4,46.5,49/100,110,120
164,D4,47.0,49/100,110,120
165,D2,47.0,49/100,110,120
166,F#3,47.0,833/1000,110,120
167,A4,47.5,49/100,110,120
168,A3,47.5,49/100,110,120
169,C#2,47.5,49/100,110,120
170,C#5,48.0,49/100,110,120
171,F#3,48.0,49/100,110,120
172,F#1,48.0,2.75,110,120
173,F#3,48.0,3.75,110,120
174,G#3,48.0,3.75,110,120
175,A3,48.0,3.75,110,120
176,C#4,48.0,3.75,110,120
177,B4,48.5,49/100,110,120
178,C#4,48.5,49/100,110,120
179,A4,49.0,49/100,110,120
180,F#4,49.0,49/100,110,120
181,F#3,49.0,833/1000,110,120
182,G#4,49.5,49/100,110,120
183,F#4,49.5,1.0,110,120
184,B4,49.5,1.0,110,120
185,A4,50.0,49/100,110,120
186,C#5,50.5,49/100,110,120
187,G#4,50.5,49/100,110,120
188,F#4,51.0,49/100,110,120
189,F#1,51.0,49/100,110,120
190,F#3,51.0,833/1000,110,120
191,C#4,51.5,49/100,110,120
192,A1,51.5,49/100,110,120
193,B4,52.0,49/100,110,120
194,D3,52.0,49/100,110,120
195,D2,52.0,2.75,110,120
196,D4,52.0,3.75,110,120
197,E4,52.0,3.75,110,120
198,F#4,52.0,3.75,110,120
199,A4,52.0,3.75,110,120
200,A4,52.5,49/100,110,120
201,A3,52.5,49/100,110,120
202,F#4,53.0,49/100,110,120
203,D4,53.0,49/100,110,120
204,F#3,53.0,833/1000,110,120
205,A4,53.5,1333/1000,110,120
206,E4,53.5,49/100,110,120
207,F#4,54.0,49/100,110,120
208,E4,54.5,49/100,110,120
209,D4,55.0,49/100,110,120
210,A1,55.0,49/100,110,120
211,F#3,55.0,833/1000,110,120
212,A4,55.5,49/100,110,120
213,A3,55.5,49/100,110,120
214,F#1,55.5,49/100,110,120
215,C#5,56.0,49/100,110,120
216,A2,56.0,49/100,110,120
217,A1,56.0,2.75,110,120
218,A3,56.0,3.75,110,120
219,B3,56.0,3.75,110,120
220,C#4,56.0,3.75,110,120
221,E4,56.0,3.75,110,120
222,B4,56.5,49/100,110,120
223,E3,56.5,49/100,110,120
224,A4,57.0,49/100,110,120
225,A3,57.0,49/100,110,120
226,F#3,57.0,833/1000,110,120
227,B3,57.5,49/100,110,120
228,F#4,57.5,1.0,110,120
229,B4,57.5,1.0,110,120
230,C#4,58.0,49/100,110,120
231,C#5,58.5,49/100,110,120
232,B3,58.5,49/100,110,120
233,A3,59.0,49/100,110,120
234,A1,59.0,49/100,110,120
235,F#3,59.0,833/1000,110,120
236,E3,59.5,49/100,110,120
237,F#1,59.5,49/100,110,120
238,B4,60.0,49/100,110,120
239,D3,60.0,49/100,110,120
240,D2,60.0,2.75,110,120
241,D4,60.0,3.75,110,120
242,E4,60.0,3.75,110,120
243,F#4,60.0,3.75,110,120
244,A4,60.0,3.75,110,120
245,A4,60.5,49/100,110,120
246,A3,60.5,49/100,110,120
247,F#4,61.0,49/100,110,120
248,D4,61.0,49/100,110,120
249,F#3,61.0,833/1000,110,120
250,A4,61.5,1333/1000,110,120
251,E4,61.5,49/100,110,120
252,F#4,62.0,49/100,110,120
253,E4,62.5,49/100,110,120
254,D4,63.0,49/100,110,120
255,D2,63.0,49/100,110,120
256,F#3,63.0,833/1000,110,120
257,A4,63.5,49/100,110,120
258,A3,63.5,49/100,110,120
259,C#2,63.5,49/100,110,120
260,C#5,64.0,49/100,110,120
261,F#3,64.0,49/100,110,120
262,F#1,64.0,2.75,110,120
263,F#3,64.0,3.75,110,120
264,G#3,64.0,3.75,110,120
265,A3,64.0,3.75,110,120
266,C#4,64.0,3.75,110,120
267,B4,64.5,49/100,110,120
268,C#4,64.5,49/100,110,120
269,A4,65.0,49/100,110,120
