,note_name,start_time,duration,velocity,tempo
0,F#2,8.0,1667/1000,85,98.0
1,E4,8.0,2.0,60,98.0
2,F#4,8.0,2.0,60,98.0
3,A3,8.0,2.0,60,98.0
4,C4,8.0,2.0,60,98.0
5,B1,8.0,26/125,60,98.0
6,D2,8.0,26/125,60,98.0
7,F#2,8.0,26/125,60,98.0
8,C5,8.025,1729/500,123,98.0
9,A3,9.0,129/500,60,98.0
10,E3,9.0,129/500,60,98.0
11,F#2,9.0,26/125,80,98.0
12,C#2,9.0,26/125,80,98.0
13,F#1,9.667,79/500,55,98.0
14,F#2,9.717,26/125,50,98.0
15,B1,10.0,1417/1000,85,98.0
16,A3,10.0,2.0,60,98.0
17,C5,10.0,2.0,60,98.0
18,E-4,10.0,2.0,60,98.0
19,G4,10.0,2.0,60,98.0
20,B1,10.0,26/125,70,98.0
21,F#2,10.0,26/125,70,98.0
22,A3,11.0,129/500,60,98.0
23,E-3,11.0,129/500,60,98.0
24,F#2,11.0,26/125,85,98.0
25,C#2,11.0,26/125,85,98.0
26,B0,11.333,9/40,47,98.0
27,B4,11.375,279/500,121,98.0
28,B1,11.667,1/10,82,98.0
29,F#2,11.717,26/125,50,98.0
30,E2,12.0,2.0,70,98.0
31,D4,12.0,1.625,60,98.0
32,E4,12.0,1.625,60,98.0
33,G3,12.0,1.625,60,98.0
34,B4,12.0,1.625,60,98.0
35,B1,12.0,26/125,70,98.0
36,F#2,12.0,26/125,70,98.0
37,B4,12.1,39/10,120,98.0
38,G3,13.0,129/500,60,98.0
39,D3,13.0,129/500,60,98.0
40,F#2,13.0,26/125,80,98.0
41,C#2,13.0,26/125,80,98.0
42,G3,13.708,91/40,60,98.0
43,B4,13.708,91/40,60,98.0
44,C#4,13.708,91/40,60,98.0
45,E4,13.708,91/40,60,98.0
46,F#2,13.725,26/125,40,98.0
47,A1,14.0,1617/1000,80,98.0
48,B1,14.0,26/125,70,98.0
49,F#2,14.0,26/125,70,98.0
50,G3,15.0,129/500,60,98.0
51,C#3,15.0,129/500,60,98.0
52,F#2,15.0,26/125,88,98.0
53,C#2,15.0,26/125,88,98.0
54,F#2,15.725,26/125,50,98.0
55,C#2,15.733,267/1000,81,98.0
56,D2,16.0,1417/1000,85,98.0
57,B4,16.0,73/250,120,98.0
58,C4,16.0,2.0,60,98.0
59,E4,16.0,2.0,60,98.0
60,F3,16.0,2.0,60,98.0
61,A4,16.0,2.0,60,98.0
62,B1,16.0,26/125,65,98.0
63,F#2,16.0,26/125,65,98.0
64,A4,16.75,7/10,117,98.0
65,C4,17.0,129/500,60,98.0
66,F3,17.0,129/500,60,98.0
67,F#2,17.0,26/125,75,98.0
68,C#2,17.0,26/125,75,98.0
69,D1,17.333,9/40,47,98.0
70,B4,17.417,7/10,118,98.0
71,D2,17.667,1/10,82,98.0
72,F#2,17.733,26/125,40,98.0
73,E-2,18.0,21/40,81,98.0
74,C4,18.0,2.0,60,98.0
75,E-4,18.0,2.0,60,98.0
76,F#3,18.0,2.0,60,98.0
77,A4,18.0,2.0,60,98.0
78,B1,18.0,26/125,70,98.0
79,F#2,18.0,26/125,70,98.0
80,C5,18.117,371/500,111,98.0
81,E-2,18.733,333/1000,71,98.0
82,B4,18.8,13/20,111,98.0
83,A2,19.0,1.0,73,98.0
84,F#3,19.0,129/500,60,98.0
85,C3,19.0,129/500,60,98.0
86,F#2,19.0,26/125,80,98.0
