,note_name,start_time,duration,velocity,tempo
0,B-2,0.0,1.0,95,108.0
1,F4,0.0,1.0,79,108.0
2,D4,0.0,1.0,79,108.0
3,B-3,0.0,1.0,79,108.0
4,F3,0.0,1.0,79,108.0
5,D4,0.0,0.5,95,108.0
6,B-3,0.0,0.5,95,108.0
7,E-4,0.5,0.5,95,108.0
8,C4,0.5,0.5,95,108.0
9,F3,1.0,1.0,95,108.0
10,E4,1.0,0.5,95,108.0
11,C#4,1.0,0.5,95,108.0
12,F4,1.5,0.5,95,108.0
13,D4,1.5,0.5,95,108.0
14,B-3,2.0,1.0,95,108.0
15,F4,2.0,1.0,95,108.0
16,D4,2.0,1.0,95,108.0
17,B-3,2.0,1.0,95,108.0
18,F3,2.0,1.0,95,108.0
19,D5,2.0,0.5,95,108.0
20,F4,2.0,0.5,95,108.0
21,D5,2.5,1.0,95,108.0
22,F4,2.5,1.0,95,108.0
23,A3,3.0,1.0,95,108.0
24,B-2,3.0,1.0,95,108.0
25,C#5,3.5,0.5,95,108.0
26,F4,4.0,1.0,79,108.0
27,D4,4.0,1.0,79,108.0
28,G#3,4.0,1.0,79,108.0
29,F3,4.0,1.0,79,108.0
30,C5,4.0,2.0,95,108.0
31,F4,4.0,2.0,95,108.0
32,D4,4.0,2.0,95,108.0
33,G#3,4.0,1.0,95,108.0
34,B-2,4.0,1.0,95,108.0
35,B-2,5.0,1.0,95,108.0
36,F4,6.0,1.0,95,108.0
37,D4,6.0,1.0,95,108.0
38,G#3,6.0,1.0,95,108.0
39,F3,6.0,1.0,95,108.0
40,D5,6.0,0.5,95,108.0
41,F4,6.0,0.5,95,108.0
42,G#3,6.0,2.0,95,108.0
43,B-2,6.0,2.0,95,108.0
44,D5,6.5,1.0,95,108.0
45,F4,6.5,1.0,95,108.0
46,C#5,7.5,0.5,95,108.0
47,G4,8.0,1.0,79,108.0
48,E-4,8.0,1.0,79,108.0
49,C4,8.0,1.0,79,108.0
50,G3,8.0,1.0,79,108.0
51,C5,8.0,2.0,95,108.0
52,G4,8.0,2.0,95,108.0
53,E-4,8.0,2.0,95,108.0
54,G3,8.0,1.0,95,108.0
55,B-2,8.0,1.0,95,108.0
56,B-2,9.0,1.0,95,108.0
57,G4,10.0,1.0,79,108.0
58,C4,10.0,1.0,79,108.0
59,G3,10.0,1.0,79,108.0
60,E-3,10.0,1.0,79,108.0
61,D5,10.0,0.5,95,108.0
62,G4,10.0,0.5,95,108.0
63,E-4,10.0,0.5,95,108.0
64,G3,10.0,2.0,95,108.0
65,B-2,10.0,2.0,95,108.0
66,D5,10.5,1.0,95,108.0
67,G4,10.5,1.0,95,108.0
68,E-4,10.5,1.0,95,108.0
69,C#5,11.5,0.5,95,108.0
70,F#4,12.0,2.0,79,108.0
71,C4,12.0,2.0,79,108.0
72,B-3,12.0,2.0,79,108.0
73,E-3,12.0,2.0,79,108.0
74,C5,12.0,4.0,95,108.0
75,E-4,12.0,4.0,95,108.0
76,F#3,12.0,1.0,95,108.0
77,B-2,12.0,1.0,95,108.0
78,B-2,13.0,1.0,95,108.0
79,B-2,14.0,0.5,95,108.0
80,C3,14.5,0.5,95,108.0
81,B-2,15.0,1.0,95,108.0
82,B-2,16.0,2.0,95,108.0
83,F4,16.0,1.0,79,108.0
84,D4,16.0,1.0,79,108.0
85,B-3,16.0,1.0,79,108.0
86,F3,16.0,1.0,79,108.0
87,D4,16.0,0.5,95,108.0
88,B-3,16.0,0.5,95,108.0
89,E-4,16.5,0.5,95,108.0
90,C4,16.5,0.5,95,108.0
91,E4,17.0,0.5,95,108.0
92,C#4,17.0,0.5,95,108.0
93,F4,17.5,0.5,95,108.0
94,D4,17.5,0.5,95,108.0
95,F3,18.0,1.0,95,108.0
96,A4,18.0,1.0,95,108.0
97,D4,18.0,1.0,95,108.0
98,B-3,18.0,1.0,95,108.0
99,F3,18.0,1.0,95,108.0
100,A4,18.0,0.5,95,108.0
101,D4,18.0,0.5,95,108.0
102,B-3,18.0,0.5,95,108.0
103,A4,18.5,0.5,95,108.0
104,E3,19.0,1.0,95,108.0
105,C#4,19.0,0.5,95,108.0
106,B-3,19.0,0.5,95,108.0
107,G#4,19.5,0.5,95,108.0
108,E-3,20.0,2.0,95,108.0
109,G4,20.0,1.0,79,108.0
110,C4,20.0,1.0,79,108.0
111,B-3,20.0,1.0,79,108.0
112,E-3,20.0,1.0,79,108.0
113,G4,20.0,2.0,95,108.0
114,C4,20.0,2.0,95,108.0
115,B-3,20.0,2.0,95,108.0
116,G3,22.0,1.0,95,108.0
117,F4,22.0,0.5,79,108.0
118,C#4,22.0,0.5,79,108.0
119,A3,22.0,0.5,79,108.0
120,E-3,22.0,0.5,79,108.0
121,G4,22.0,0.5,95,108.0
122,E-4,22.0,0.5,95,108.0
123,B3,22.0,0.5,95,108.0
124,F4,22.5,0.5,95,108.0
125,G4,23.0,1.0,95,108.0
126,G4,23.0,1.0,83,108.0
127,C#4,23.0,1.0,83,108.0
128,A3,23.0,1.0,83,108.0
129,E-3,23.0,1.0,83,108.0
130,E-3,23.0,1.0,95,108.0
131,F2,23.0,1.0,95,108.0
132,D3,24.0,2.0,95,108.0
133,F4,24.0,1.0,79,108.0
134,D4,24.0,1.0,79,108.0
135,B-3,24.0,1.0,79,108.0
136,F3,24.0,1.0,79,108.0
137,B-4,24.0,0.5,95,108.0
138,D4,24.0,0.5,95,108.0
139,E-4,24.5,0.5,95,108.0
140,E4,25.0,0.5,95,108.0
141,F4,25.5,0.5,95,108.0
142,G4,26.0,1.0,79,108.0
143,C#4,26.0,1.0,79,108.0
144,B-3,26.0,1.0,79,108.0
145,E3,26.0,1.0,79,108.0
146,A4,26.0,0.5,95,108.0
147,E4,26.0,0.5,95,108.0
148,B-3,26.0,2.0,95,108.0
149,C#3,26.0,2.0,95,108.0
150,G4,26.5,1.0,95,108.0
151,C5,27.5,0.5,95,108.0
152,G4,28.0,1.0,79,108.0
153,D4,28.0,1.0,79,108.0
154,B-3,28.0,1.0,79,108.0
155,E3,28.0,1.0,79,108.0
156,C3,28.0,1.0,79,108.0
157,D5,28.0,1.0,95,108.0
158,B-4,28.0,1.0,95,108.0
159,E4,28.0,1.0,95,108.0
160,B-3,28.0,1.0,95,108.0
161,G3,28.0,1.0,95,108.0
162,C3,28.0,1.0,95,108.0
163,F4,29.0,1.0,79,108.0
164,C#4,29.0,1.0,79,108.0
165,A3,29.0,1.0,79,108.0
166,F3,29.0,1.0,79,108.0
167,F5,29.0,1.0,95,108.0
168,C#5,29.0,1.0,95,108.0
169,A4,29.0,1.0,95,108.0
