,note_name,start_time,duration,velocity,tempo
0,G#2,4.0,124/125,104,95.0
1,G#2,5.0,124/125,110,95.0
2,G#2,6.0,124/125,110,95.0
3,C#3,6.975,7/40,127,95.0
4,A4,6.992,19/40,122,95.0
5,C#4,6.992,19/40,122,95.0
6,E4,6.992,19/40,122,95.0
7,F#1,7.0,11/20,127,95.0
8,E2,7.0,124/125,112,95.0
9,B-2,7.0,124/125,112,95.0
10,G1,8.0,11/20,127,95.0
11,B-2,8.0,123/250,127,95.0
12,B3,8.0,4.0,123,95.0
13,D4,8.0,4.0,123,95.0
14,F#4,8.0,4.0,123,95.0
15,C2,8.0,3/20,127,95.0
16,C#3,8.0,3/20,127,95.0
17,B-2,8.5,123/250,57,95.0
18,G1,8.55,9/20,100,95.0
19,G1,9.0,11/20,127,95.0
20,E2,9.0,24/125,127,95.0
21,B-2,9.0,123/250,127,95.0
22,B-2,9.5,123/250,73,95.0
23,G1,9.55,9/20,100,95.0
24,G1,10.0,11/20,127,95.0
25,C2,10.0,3/20,113,95.0
26,B-2,10.0,123/250,127,95.0
27,B-2,10.5,123/250,45,95.0
28,C2,10.5,133/1000,117,95.0
29,G1,10.55,9/20,104,95.0
30,G1,11.0,11/20,127,95.0
31,E2,11.0,183/1000,127,95.0
32,B-2,11.0,123/250,127,95.0
33,C2,11.5,3/20,63,95.0
34,B-2,11.5,123/250,55,95.0
35,G1,11.55,9/20,124,95.0
36,F#1,12.0,11/20,112,95.0
37,C2,12.0,7/40,127,95.0
38,B-2,12.0,123/250,127,95.0
39,E4,12.0,31/20,117,95.0
40,A3,12.0,31/20,117,95.0
41,C#4,12.0,31/20,117,95.0
42,A4,12.008,1567/1000,127,95.0
43,B-2,12.5,123/250,73,95.0
44,F#1,12.55,9/20,116,95.0
45,A1,13.0,11/20,127,95.0
46,E2,13.0,0.125,127,95.0
47,B-2,13.0,123/250,127,95.0
48,B-2,13.5,123/250,49,95.0
49,D5,13.525,1467/1000,127,95.0
50,B1,13.55,9/20,127,95.0
51,B3,13.55,2.0,120,95.0
52,D4,13.55,2.0,120,95.0
53,F#4,13.55,2.0,120,95.0
54,B-2,14.0,123/250,110,95.0
55,C2,14.0,0.125,104,95.0
56,B-2,14.5,123/250,57,95.0
57,C2,14.5,1/10,91,95.0
58,B1,14.55,9/20,127,95.0
59,G4,14.95,21/20,127,95.0
60,A1,15.0,11/20,124,95.0
61,E2,15.0,7/40,127,95.0
62,B-2,15.0,123/250,110,95.0
63,C2,15.5,0.125,73,95.0
64,B-2,15.5,123/250,71,95.0
65,F#1,15.55,9/20,112,95.0
66,G4,15.55,9/20,110,95.0
67,B3,15.55,9/20,106,95.0
68,D4,15.55,9/20,106,95.0
69,E4,15.55,9/20,106,95.0
70,E1,16.0,11/20,112,95.0
71,G4,16.0,7.0,110,95.0
72,G4,16.0,1567/1000,127,95.0
73,C2,16.0,79/500,127,95.0
74,B-2,16.0,123/250,127,95.0
75,B3,16.0,6.0,106,95.0
76,D4,16.0,6.0,106,95.0
