,note_name,start_time,duration,velocity,tempo
0,E-2,8.0,721/500,76,98.0
1,C4,8.0,4.0,60,98.0
2,E-4,8.0,4.0,60,98.0
3,G3,8.0,4.0,60,98.0
4,B-4,8.0,4.0,60,98.0
5,B1,8.0,26/125,70,98.0
6,F#2,8.0,26/125,70,98.0
7,G4,8.05,107/40,103,98.0
8,G3,9.0,129/500,60,98.0
9,C3,9.0,129/500,60,98.0
10,F#2,9.0,26/125,80,98.0
11,C#2,9.0,26/125,80,98.0
12,F#2,9.725,26/125,40,98.0
13,E-2,9.733,417/1000,84,98.0
14,B-2,10.0,7/5,68,98.0
15,B1,10.0,26/125,70,98.0
16,F#2,10.0,26/125,70,98.0
17,F4,10.742,479/500,95,98.0
18,G3,11.0,77/250,61,98.0
19,C3,11.0,77/250,61,98.0
20,F#2,11.0,26/125,88,98.0
21,C#2,11.0,26/125,88,98.0
22,F#2,11.725,26/125,50,98.0
23,B-2,11.733,9/40,65,98.0
24,G2,12.0,2117/1000,76,98.0
25,F3,12.0,4.0,60,98.0
26,G4,12.0,4.0,60,98.0
27,B3,12.0,4.0,60,98.0
28,E-4,12.0,4.0,60,98.0
29,B1,12.0,26/125,70,98.0
30,F#2,12.0,26/125,70,98.0
31,F4,12.042,0.75,97,98.0
32,E-4,12.8,933/1000,74,98.0
33,B3,13.0,129/500,60,98.0
34,F3,13.0,129/500,60,98.0
35,F#2,13.0,26/125,80,98.0
36,C#2,13.0,26/125,80,98.0
37,F4,13.625,317/1000,98,98.0
38,D4,13.692,921/500,80,98.0
39,F#2,13.725,26/125,40,98.0
40,D3,14.0,2.0,61,98.0
41,B1,14.0,26/125,70,98.0
42,F#2,14.0,26/125,70,98.0
43,D4,14.633,7/20,86,98.0
44,B3,15.0,77/250,61,98.0
45,F3,15.0,77/250,61,98.0
46,F#2,15.0,26/125,88,98.0
47,C#2,15.0,26/125,88,98.0
48,E-4,15.542,229/500,101,98.0
49,B3,15.65,11/40,67,98.0
50,B1,15.725,26/125,50,98.0
51,F#2,15.725,26/125,50,98.0
52,F2,16.0,21/40,81,98.0
53,E-4,16.0,217/1000,101,98.0
54,E-4,16.0,2.0,60,98.0
55,F4,16.0,2.0,60,98.0
56,G#3,16.0,2.0,60,98.0
57,C5,16.0,2.0,60,98.0
58,B1,16.0,26/125,65,98.0
59,F#2,16.0,26/125,65,98.0
60,G#4,16.125,1417/1000,95,98.0
61,C4,16.183,583/1000,101,98.0
62,F2,16.733,333/1000,71,98.0
63,C3,17.0,1.0,73,98.0
64,G#3,17.0,129/500,60,98.0
65,E-3,17.0,129/500,60,98.0
66,F#2,17.0,26/125,75,98.0
67,C#2,17.0,26/125,75,98.0
68,G4,17.575,383/1000,101,98.0
69,F#2,17.733,26/125,40,98.0
70,C2,18.0,2.0,82,98.0
71,B-3,18.0,2.0,60,98.0
72,C#5,18.0,2.0,60,98.0
73,E4,18.0,2.0,60,98.0
74,G#4,18.0,2.0,60,98.0
75,B1,18.0,26/125,70,98.0
76,F#2,18.0,26/125,70,98.0
77,G4,18.142,1333/1000,80,98.0
78,B-3,19.0,129/500,60,98.0
79,E3,19.0,129/500,60,98.0
80,F#2,19.0,26/125,80,98.0
81,C#2,19.0,26/125,80,98.0
82,F4,19.433,2/5,90,98.0
83,B1,19.733,26/125,50,98.0
84,F#2,19.733,26/125,50,98.0
85,F2,20.0,1417/1000,85,98.0
86,F4,20.0,2.0,60,98.0
87,G#3,20.0,2.0,60,98.0
88,C5,20.0,2.0,60,98.0
89,B1,20.0,26/125,65,98.0
90,F#2,20.0,26/125,65,98.0
91,F4,20.142,23/40,86,98.0
92,E4,20.892,9/20,90,98.0
93,C4,21.0,129/500,60,98.0
94,F3,21.0,129/500,60,98.0
95,F#2,21.0,26/125,80,98.0
96,C#2,21.0,26/125,80,98.0
97,F1,21.333,9/40,47,98.0
98,F2,21.667,1/10,82,98.0
99,E4,21.733,321/500,80,98.0
100,F#2,21.733,26/125,40,98.0
101,C2,22.0,1733/1000,73,98.0
102,B-3,22.0,2.0,60,98.0
103,C#5,22.0,2.0,60,98.0
104,E4,22.0,2.0,60,98.0
105,G#4,22.0,2.0,60,98.0
106,B1,22.0,26/125,70,98.0
107,F#2,22.0,26/125,70,98.0
108,F4,22.708,323/250,72,98.0
109,B-3,23.0,233/1000,68,98.0
110,F#2,23.0,26/125,85,98.0
111,C#2,23.0,26/125,85,98.0
112,G2,23.733,267/1000,68,98.0
113,F#2,23.733,26/125,50,98.0
114,F2,24.0,2.0,82,98.0
115,F4,24.0,7/10,72,98.0
116,E-4,24.0,2.0,60,98.0
117,G4,24.0,2.0,60,98.0
118,G#3,24.0,2.0,60,98.0
119,C5,24.0,2.0,60,98.0
120,B1,24.0,26/125,65,98.0
121,F#2,24.0,26/125,65,98.0
122,G#4,24.758,279/500,120,98.0
123,G#3,25.0,129/500,60,98.0
124,E-3,25.0,129/500,60,98.0
125,F#2,25.0,26/125,80,98.0
126,C#2,25.0,26/125,80,98.0
127,G4,25.325,271/500,88,98.0
128,F#2,25.733,26/125,40,98.0
129,C2,26.0,1733/1000,76,98.0
130,B-3,26.0,2.0,60,98.0
131,D5,26.0,2.0,60,98.0
132,E4,26.0,2.0,60,98.0
133,G4,26.0,2.0,60,98.0
134,B1,26.0,26/125,70,98.0
135,F#2,26.0,26/125,70,98.0
136,G4,26.05,1.375,92,98.0
137,B-3,27.0,129/500,60,98.0
138,E3,27.0,129/500,60,98.0
139,F#2,27.0,26/125,85,98.0
140,C#2,27.0,26/125,85,98.0
141,F4,27.375,367/1000,99,98.0
142,F#2,27.733,267/1000,78,98.0
143,F#2,27.733,26/125,50,98.0
144,F2,28.0,1667/1000,85,98.0
145,F4,28.0,2.0,60,98.0
146,G#3,28.0,2.0,60,98.0
147,C5,28.0,2.0,60,98.0
148,B1,28.0,26/125,65,98.0
149,F#2,28.0,26/125,65,98.0
150,F4,28.033,61/40,95,98.0
151,C4,29.0,129/500,60,98.0
152,F3,29.0,129/500,60,98.0
153,F#2,29.0,26/125,80,98.0
154,C#2,29.0,26/125,80,98.0
155,E4,29.625,7/20,86,98.0
156,F1,29.667,79/500,55,98.0
157,F#2,29.733,26/125,40,98.0
158,B-1,30.0,2.0,82,98.0
159,G#3,30.0,2.0,60,98.0
160,C5,30.0,2.0,60,98.0
161,D4,30.0,2.0,60,98.0
162,F4,30.0,2.0,60,98.0
163,B1,30.0,26/125,70,98.0
164,F#2,30.0,26/125,70,98.0
165,E4,30.183,29/40,82,98.0
166,D4,30.692,7/40,100,98.0
167,C4,30.767,383/1000,94,98.0
168,G#3,31.0,129/500,60,98.0
169,D3,31.0,129/500,60,98.0
170,F#2,31.0,26/125,85,98.0
171,C#2,31.0,26/125,85,98.0
172,B-3,31.025,271/500,76,98.0
173,F4,31.083,917/1000,103,98.0
174,F#2,31.733,26/125,50,98.0
175,G#3,31.742,129/500,99,98.0
176,E-2,32.0,1667/1000,85,98.0
177,F4,32.0,67/1000,103,98.0
178,G#3,32.0,21/500,99,98.0
179,C4,32.0,2.0,60,98.0
180,E-4,32.0,2.0,60,98.0
181,G3,32.0,2.0,60,98.0
182,B-4,32.0,2.0,60,98.0
183,B1,32.0,26/125,65,98.0
184,F#2,32.0,26/125,65,98.0
185,G3,32.083,0.5,82,98.0
186,F#4,32.125,371/500,99,98.0
187,D3,32.783,267/1000,37,98.0
188,G4,32.858,101/125,103,98.0
189,G3,33.0,129/500,60,98.0
190,C3,33.0,129/500,60,98.0
191,F#2,33.0,26/125,75,98.0
192,C#2,33.0,26/125,75,98.0
193,F3,33.092,433/1000,85,98.0
194,E-1,33.667,79/500,55,98.0
195,C5,33.675,93/40,99,98.0
196,E-3,33.708,317/1000,89,98.0
197,F#2,33.733,26/125,40,98.0
198,F2,34.0,2.0,82,98.0
199,E-3,34.0,2.0,60,98.0
200,F4,34.0,2.0,60,98.0
201,G#3,34.0,2.0,60,98.0
202,C4,34.0,2.0,60,98.0
203,B1,34.0,26/125,70,98.0
204,F#2,34.0,26/125,70,98.0
205,G#3,35.0,129/500,60,98.0
206,E-3,35.0,129/500,60,98.0
207,F#2,35.0,26/125,80,98.0
208,C#2,35.0,26/125,80,98.0
209,F#2,35.733,26/125,50,98.0
210,F#2,36.0,2.0,70,98.0
211,C5,36.0,1729/500,99,98.0
212,E-3,36.0,2.0,60,98.0
213,F#4,36.0,2.0,60,98.0
214,A3,36.0,2.0,60,98.0
215,C4,36.0,2.0,60,98.0
216,B1,36.0,26/125,70,98.0
217,F#2,36.0,26/125,70,98.0
218,F#2,37.0,26/125,90,98.0
219,A3,37.0,129/500,60,98.0
220,E-3,37.0,129/500,60,98.0
221,D2,37.708,26/125,50,98.0
222,F#2,37.708,26/125,50,98.0
223,G2,38.0,1617/1000,80,98.0
224,C4,38.0,2.0,60,98.0
225,E-4,38.0,2.0,60,98.0
226,G3,38.0,2.0,60,98.0
227,B-4,38.0,2.0,60,98.0
228,B1,38.0,26/125,65,98.0
229,F#2,38.0,26/125,65,98.0
230,D2,38.708,26/125,50,98.0
231,F#2,39.0,26/125,80,98.0
232,G3,39.0,129/500,60,98.0
233,C3,39.0,129/500,60,98.0
234,D2,39.708,26/125,60,98.0
235,F#2,39.708,26/125,60,98.0
236,B1,39.733,267/1000,81,98.0
237,C2,40.0,2117/1000,76,98.0
238,B-3,40.0,4.0,60,98.0
239,D4,40.0,4.0,60,98.0
240,E-4,40.0,4.0,60,98.0
241,G4,40.0,4.0,60,98.0
242,B1,40.0,26/125,55,98.0
243,D2,40.0,26/125,55,98.0
244,F#2,40.0,26/125,55,98.0
245,C#3,40.0,26/125,55,98.0
246,E-5,40.675,1029/500,112,98.0
247,B-3,41.0,9/40,60,98.0
248,E-3,41.0,9/40,60,98.0
249,F#2,41.0,26/125,80,98.0
250,C#2,41.0,26/125,80,98.0
251,F#2,41.717,26/125,50,98.0
252,G2,42.0,2.0,61,98.0
253,B1,42.0,26/125,70,98.0
254,F#2,42.0,26/125,70,98.0
255,D5,42.742,43/40,110,98.0
256,B-3,43.0,11/40,61,98.0
257,E-3,43.0,11/40,61,98.0
258,F#2,43.0,26/125,85,98.0
259,C#2,43.0,26/125,85,98.0
260,F#2,43.717,26/125,50,98.0
261,C3,44.0,1071/500,77,98.0
262,G2,44.0,33/1000,61,98.0
263,B1,44.0,26/125,57,98.0
264,B-2,44.0,26/125,57,98.0
265,D5,44.058,41/40,103,98.0
266,B-3,45.0,129/500,64,98.0
267,E-3,45.0,129/500,64,98.0
268,F#2,45.0,26/125,75,98.0
269,C#2,45.0,26/125,75,98.0
270,C5,45.008,521/500,82,98.0
271,F#2,45.717,26/125,40,98.0
272,G2,46.0,1817/1000,68,98.0
273,B1,46.0,26/125,70,98.0
274,F#2,46.0,26/125,70,98.0
275,E3,46.017,3/20,108,98.0
276,F3,46.042,37/20,88,98.0
277,B4,46.05,1.0,95,98.0
278,B-3,47.0,11/40,56,98.0
279,E-3,47.0,11/40,56,98.0
280,B1,47.0,26/125,70,98.0
281,F#2,47.0,26/125,70,98.0
282,C5,47.033,29/40,99,98.0
283,E-3,47.7,3/10,111,98.0
