,note_name,start_time,duration,velocity,tempo
0,C2,8.0,83/40,82,112.0
1,A3,8.0,4.0,60,112.0
2,C4,8.0,4.0,60,112.0
3,E3,8.0,4.0,60,112.0
4,G4,8.0,4.0,60,112.0
5,B1,8.0,26/125,70,112.0
6,F#2,8.0,26/125,70,112.0
7,C4,8.033,0.875,85,112.0
8,A3,9.0,129/500,60,112.0
9,E3,9.0,129/500,60,112.0
10,F#2,9.0,26/125,80,112.0
11,C#2,9.0,26/125,80,112.0
12,D4,9.025,783/1000,89,112.0
13,F#2,9.725,26/125,40,112.0
14,C4,9.792,276/125,78,112.0
15,G2,10.0,1733/1000,85,112.0
16,B1,10.0,26/125,70,112.0
17,F#2,10.0,26/125,70,112.0
18,A3,11.0,77/250,61,112.0
19,E3,11.0,77/250,61,112.0
20,F#2,11.0,26/125,88,112.0
21,C#2,11.0,26/125,88,112.0
22,F#2,11.725,26/125,50,112.0
23,C2,11.733,183/1000,82,112.0
24,C2,12.0,2.0,70,112.0
25,C4,12.0,276/125,78,112.0
26,A3,12.0,2.0,60,112.0
27,C4,12.0,2.0,60,112.0
28,E3,12.0,2.0,60,112.0
29,G4,12.0,2.0,60,112.0
30,B1,12.0,26/125,70,112.0
31,F#2,12.0,26/125,70,112.0
32,A3,13.0,129/500,60,112.0
33,E3,13.0,129/500,60,112.0
34,F#2,13.0,26/125,80,112.0
35,C#2,13.0,26/125,80,112.0
36,F#2,13.733,26/125,40,112.0
37,G2,14.0,1667/1000,85,112.0
38,F3,14.0,2.0,60,112.0
39,A4,14.0,2.0,60,112.0
40,B3,14.0,2.0,60,112.0
41,E4,14.0,2.0,60,112.0
42,B1,14.0,26/125,70,112.0
43,F#2,14.0,26/125,70,112.0
44,D4,14.042,979/500,85,112.0
45,B3,15.0,129/500,60,112.0
46,F3,15.0,129/500,60,112.0
47,F#2,15.0,26/125,86,112.0
48,C#2,15.0,26/125,86,112.0
49,G1,15.667,79/500,55,112.0
50,F#2,15.733,26/125,50,112.0
51,C2,16.0,21/40,81,112.0
52,D4,16.0,27/250,85,112.0
53,B3,16.0,2.0,60,112.0
54,D4,16.0,2.0,60,112.0
55,E3,16.0,2.0,60,112.0
56,G4,16.0,2.0,60,112.0
57,B1,16.0,26/125,65,112.0
58,F#2,16.0,26/125,65,112.0
59,E4,16.05,126/125,85,112.0
60,C2,16.733,333/1000,71,112.0
61,G2,17.0,1.0,73,112.0
62,B3,17.0,129/500,60,112.0
63,E3,17.0,129/500,60,112.0
64,F#2,17.0,26/125,80,112.0
65,C#2,17.0,26/125,80,112.0
66,G4,17.033,421/500,93,112.0
67,F#2,17.733,26/125,40,112.0
68,D5,17.775,89/40,85,112.0
69,B1,18.0,1383/1000,86,112.0
70,A3,18.0,1.625,60,112.0
71,B4,18.0,1.625,60,112.0
72,D4,18.0,1.625,60,112.0
73,F#4,18.0,1.625,60,112.0
74,B1,18.0,26/125,70,112.0
75,F#2,18.0,26/125,70,112.0
76,A3,19.0,129/500,60,112.0
77,D3,19.0,129/500,60,112.0
78,F#2,19.0,26/125,85,112.0
79,C#2,19.0,26/125,85,112.0
80,C#2,19.333,179/500,80,112.0
81,D2,19.667,333/1000,90,112.0
82,D4,19.708,73/250,60,112.0
83,F4,19.708,73/250,60,112.0
84,G#3,19.708,73/250,60,112.0
85,C5,19.708,73/250,60,112.0
86,F#2,19.733,26/125,50,112.0
87,E2,20.0,979/500,78,112.0
88,D5,20.0,2167/1000,85,112.0
89,F#2,20.0,26/125,80,112.0
90,D4,20.0,3983/1000,60,112.0
91,F4,20.0,3983/1000,60,112.0
92,G#3,20.0,3983/1000,60,112.0
93,C5,20.0,3983/1000,60,112.0
94,G#3,21.0,129/500,60,112.0
95,D3,21.0,129/500,60,112.0
96,F#2,21.0,26/125,80,112.0
97,C#2,21.0,26/125,80,112.0
98,F#2,21.725,26/125,40,112.0
99,C2,22.0,224/125,82,112.0
100,B1,22.0,26/125,70,112.0
101,F#2,22.0,26/125,70,112.0
102,C5,22.042,1833/1000,85,112.0
103,C#2,22.725,26/125,90,112.0
104,F#2,23.0,26/125,90,112.0
105,G#3,23.0,77/250,61,112.0
106,D3,23.0,77/250,61,112.0
107,F#2,23.725,26/125,50,112.0
108,E1,23.733,23/250,60,112.0
109,D4,23.792,26/125,93,112.0
110,F2,24.0,2117/1000,76,112.0
111,D4,24.0,4.0,93,112.0
112,F#2,24.0,26/125,70,112.0
113,D4,24.0,4.0,60,112.0
114,F4,24.0,4.0,60,112.0
115,A3,24.0,4.0,60,112.0
116,C4,24.0,4.0,60,112.0
117,A3,25.0,129/500,60,112.0
118,D3,25.0,129/500,60,112.0
119,F#2,25.0,26/125,75,112.0
120,C#2,25.0,26/125,75,112.0
121,F#2,25.717,26/125,40,112.0
122,C3,26.0,2.0,61,112.0
123,B1,26.0,26/125,70,112.0
124,F#2,26.0,26/125,70,112.0
125,A3,27.0,77/250,61,112.0
126,D3,27.0,77/250,61,112.0
127,B1,27.0,26/125,70,112.0
128,F#2,27.0,26/125,70,112.0
129,F#2,27.717,26/125,50,112.0
130,E2,28.0,21/40,81,112.0
131,D4,28.0,2217/1000,93,112.0
132,D4,28.0,2.0,60,112.0
133,E4,28.0,2.0,60,112.0
134,G3,28.0,2.0,60,112.0
135,B3,28.0,2.0,60,112.0
136,B1,28.0,26/125,65,112.0
137,F#2,28.0,26/125,65,112.0
138,E2,28.733,333/1000,71,112.0
139,B2,29.0,1.0,73,112.0
140,G3,29.0,129/500,60,112.0
141,D3,29.0,129/500,60,112.0
142,F#2,29.0,26/125,75,112.0
143,C#2,29.0,26/125,75,112.0
144,F#2,29.733,26/125,40,112.0
145,A1,30.0,2.0,82,112.0
146,G3,30.0,2.0,60,112.0
147,B-4,30.0,2.0,60,112.0
148,C#4,30.0,2.0,60,112.0
149,F4,30.0,2.0,60,112.0
150,B1,30.0,26/125,70,112.0
151,F#2,30.0,26/125,70,112.0
152,E4,30.775,49/40,100,112.0
153,G3,31.0,129/500,60,112.0
154,C#3,31.0,129/500,60,112.0
155,F#2,31.0,26/125,80,112.0
156,C#2,31.0,26/125,80,112.0
157,F#2,31.733,26/125,50,112.0
158,D2,32.0,41/20,75,112.0
159,E4,32.0,67/1000,100,112.0
160,C4,32.0,4.0,60,112.0
161,D4,32.0,4.0,60,112.0
162,F3,32.0,4.0,60,112.0
163,A3,32.0,4.0,60,112.0
164,B1,32.0,26/125,65,112.0
165,F#2,32.0,26/125,65,112.0
166,F4,32.075,983/1000,89,112.0
167,C4,33.0,9/40,60,112.0
168,F3,33.0,9/40,60,112.0
169,F#2,33.0,26/125,85,112.0
170,C#2,33.0,26/125,85,112.0
171,A4,33.025,9/10,100,112.0
172,F#2,33.717,26/125,40,112.0
173,E5,33.817,2183/1000,82,112.0
174,A2,34.0,373/250,68,112.0
175,B1,34.0,26/125,65,112.0
176,F#2,34.0,26/125,65,112.0
177,C4,35.0,11/40,61,112.0
178,F3,35.0,11/40,61,112.0
179,F#2,35.0,26/125,84,112.0
180,C#2,35.0,26/125,84,112.0
181,F#2,35.717,26/125,50,112.0
182,A2,35.725,0.25,64,112.0
183,D3,36.0,21/40,69,112.0
184,E5,36.0,14/5,82,112.0
185,B1,36.0,26/125,60,112.0
186,F#2,36.0,26/125,60,112.0
187,D3,36.725,7/20,69,112.0
188,A2,37.0,11/10,64,112.0
189,C4,37.0,129/500,64,112.0
190,F3,37.0,129/500,64,112.0
191,F#2,37.0,26/125,70,112.0
192,C#2,37.0,26/125,70,112.0
193,F#2,37.733,26/125,40,112.0
194,F2,38.0,1.0,74,112.0
195,B1,38.0,26/125,65,112.0
196,F#2,38.0,26/125,65,112.0
197,D5,38.7,13/10,95,112.0
198,D2,38.733,26/125,60,112.0
199,D2,39.0,1.0,79,112.0
200,C4,39.0,11/40,56,112.0
201,F3,39.0,11/40,56,112.0
202,B1,39.0,26/125,80,112.0
203,F#2,39.0,26/125,80,112.0
204,C#2,39.0,26/125,80,112.0
205,F#2,39.733,26/125,40,112.0
206,D2,40.0,1667/1000,85,112.0
207,D5,40.0,71/500,95,112.0
208,C4,40.0,4.0,60,112.0
209,D4,40.0,4.0,60,112.0
210,F3,40.0,4.0,60,112.0
211,A3,40.0,4.0,60,112.0
212,B1,40.0,26/125,65,112.0
213,F#2,40.0,26/125,65,112.0
214,C5,40.092,817/1000,93,112.0
215,C4,41.0,129/500,60,112.0
216,F3,41.0,129/500,60,112.0
217,F#2,41.0,26/125,80,112.0
218,C#2,41.0,26/125,80,112.0
219,B4,41.008,467/1000,85,112.0
220,D1,41.667,79/500,55,112.0
221,B4,41.708,573/250,89,112.0
222,F#2,41.733,26/125,40,112.0
223,G2,42.0,2.0,82,112.0
224,B1,42.0,26/125,70,112.0
225,F#2,42.0,26/125,70,112.0
226,B3,43.0,129/500,60,112.0
227,F3,43.0,129/500,60,112.0
228,F#2,43.0,26/125,85,112.0
229,C#2,43.0,26/125,85,112.0
230,F#2,43.733,26/125,50,112.0
231,G2,44.0,1617/1000,80,112.0
232,B4,44.0,59/40,89,112.0
233,C4,44.0,2.0,60,112.0
234,E4,44.0,2.0,60,112.0
235,F3,44.0,2.0,60,112.0
236,A4,44.0,2.0,60,112.0
237,B1,44.0,26/125,65,112.0
238,F#2,44.0,26/125,65,112.0
239,B3,45.0,129/500,60,112.0
240,F3,45.0,129/500,60,112.0
241,F#2,45.0,26/125,80,112.0
242,C#2,45.0,26/125,80,112.0
243,D2,45.733,267/1000,81,112.0
244,F#2,45.733,26/125,40,112.0
245,B4,45.925,11/40,85,112.0
246,E-2,46.0,1417/1000,85,112.0
247,F3,46.0,2.0,60,112.0
248,A3,46.0,2.0,60,112.0
249,B3,46.0,2.0,60,112.0
250,E4,46.0,2.0,60,112.0
251,B1,46.0,26/125,70,112.0
252,F#2,46.0,26/125,70,112.0
253,C5,46.125,1.875,82,112.0
254,F#3,47.0,129/500,60,112.0
255,C3,47.0,129/500,60,112.0
256,F#2,47.0,26/125,85,112.0
257,C#2,47.0,26/125,85,112.0
258,E-1,47.333,9/40,47,112.0
259,E-2,47.667,1/10,82,112.0
260,F#2,47.733,26/125,50,112.0
261,D2,48.0,83/40,82,112.0
262,C5,48.0,1/10,82,112.0
263,F3,48.0,2.0,60,112.0
264,A3,48.0,2.0,60,112.0
265,B3,48.0,2.0,60,112.0
266,E4,48.0,2.0,60,112.0
267,B1,48.0,26/125,65,112.0
268,F#2,48.0,26/125,65,112.0
269,B4,48.083,99/125,93,112.0
270,A4,48.975,417/1000,78,112.0
271,B3,49.0,129/500,60,112.0
272,F3,49.0,129/500,60,112.0
273,F#2,49.0,26/125,75,112.0
274,C#2,49.0,26/125,75,112.0
275,A4,49.675,93/40,85,112.0
276,F#2,49.733,26/125,40,112.0
277,A2,50.0,1733/1000,85,112.0
278,C4,50.0,2.0,60,112.0
279,E-4,50.0,2.0,60,112.0
280,F#3,50.0,2.0,60,112.0
281,A4,50.0,2.0,60,112.0
282,B1,50.0,26/125,70,112.0
283,F#2,50.0,26/125,70,112.0
284,B3,51.0,77/250,61,112.0
285,F3,51.0,77/250,61,112.0
