,note_name,start_time,duration,velocity,tempo
0,G3,2.0,1.0,95,172.0
1,G#3,3.0,1.0,79,172.0
2,C3,4.0,1.0,95,172.0
3,A3,4.0,1.0,87,172.0
4,F2,4.0,1.0,87,172.0
5,F#2,4.0,1.0,95,172.0
6,B1,4.0,1.0,95,172.0
7,F3,5.0,667/1000,95,172.0
8,F3,5.0,1.0,95,172.0
9,G#2,5.0,667/1000,95,172.0
10,B1,5.0,667/1000,95,172.0
11,G#2,5.667,333/1000,95,172.0
12,C4,5.667,333/1000,79,172.0
13,A3,5.667,333/1000,79,172.0
14,C3,6.0,1.0,95,172.0
15,F2,6.0,1.0,95,172.0
16,F#2,6.0,1.0,95,172.0
17,B1,6.0,1.0,95,172.0
18,F3,7.0,1.0,95,172.0
19,F3,7.0,1.0,95,172.0
20,G#2,7.0,667/1000,95,172.0
21,B1,7.0,667/1000,95,172.0
22,G#2,7.667,333/1000,95,172.0
23,C3,8.0,1.0,95,172.0
24,D4,8.0,1.0,79,172.0
25,F2,8.0,1.0,79,172.0
26,F#2,8.0,1.0,95,172.0
27,B1,8.0,1.0,95,172.0
28,F3,9.0,667/1000,95,172.0
29,F3,9.0,1.0,95,172.0
30,G#2,9.0,667/1000,95,172.0
31,B1,9.0,667/1000,95,172.0
32,E4,9.667,2333/1000,95,172.0
33,G#2,9.667,333/1000,95,172.0
34,F2,10.0,1.0,95,172.0
35,F2,10.0,1.0,95,172.0
36,F#2,10.0,1.0,95,172.0
37,B1,10.0,1.0,95,172.0
38,F3,11.0,1.0,95,172.0
39,F3,11.0,1.0,95,172.0
40,G#2,11.0,667/1000,95,172.0
41,B1,11.0,667/1000,95,172.0
42,G#2,11.667,333/1000,95,172.0
43,C3,12.0,1.0,95,172.0
44,D4,12.0,1.0,84,172.0
45,G#3,12.0,1.0,84,172.0
46,F2,12.0,1.0,84,172.0
47,F#2,12.0,1.0,95,172.0
48,B1,12.0,1.0,95,172.0
49,F3,13.0,1.0,79,172.0
50,F3,13.0,1.0,95,172.0
51,G#2,13.0,667/1000,95,172.0
52,B1,13.0,667/1000,95,172.0
53,G#2,13.667,333/1000,95,172.0
54,F2,14.0,1.0,95,172.0
55,F2,14.0,1.0,95,172.0
56,F#2,14.0,1.0,95,172.0
57,B1,14.0,1.0,95,172.0
58,F3,15.0,1.0,95,172.0
59,F3,15.0,1.0,95,172.0
60,G#2,15.0,667/1000,95,172.0
61,B1,15.0,667/1000,95,172.0
62,G#2,15.667,333/1000,95,172.0
63,F2,16.0,1.0,79,172.0
64,C3,16.0,1.0,95,172.0
65,F#2,16.0,1.0,95,172.0
66,B1,16.0,1.0,95,172.0
67,F3,17.0,667/1000,95,172.0
68,F3,17.0,1.0,79,172.0
69,G#2,17.0,667/1000,95,172.0
70,B1,17.0,667/1000,95,172.0
71,E4,17.667,333/1000,95,172.0
72,G#2,17.667,333/1000,95,172.0
73,F2,18.0,667/1000,95,172.0
74,F2,18.0,1.0,95,172.0
75,F#2,18.0,1.0,95,172.0
76,B1,18.0,1.0,95,172.0
77,D4,18.667,333/1000,95,172.0
78,F3,19.0,1.0,95,172.0
79,F3,19.0,1.0,79,172.0
80,G#2,19.0,667/1000,95,172.0
81,B1,19.0,667/1000,95,172.0
82,G#2,19.667,333/1000,95,172.0
83,C3,20.0,1.0,95,172.0
84,C3,20.0,1.0,95,172.0
85,E4,20.0,1.5,87,172.0
86,C4,20.0,1.5,87,172.0
87,F#2,20.0,1.0,95,172.0
88,B1,20.0,1.0,95,172.0
89,E3,21.0,667/1000,95,172.0
90,E3,21.0,1.0,95,172.0
91,G#2,21.0,667/1000,95,172.0
92,B1,21.0,667/1000,95,172.0
93,G4,21.667,333/1000,95,172.0
94,G#2,21.667,333/1000,95,172.0
95,G2,22.0,1.0,95,172.0
96,G4,22.0,1.0,71,172.0
97,C3,22.0,1.0,71,172.0
98,F#2,22.0,1.0,95,172.0
99,B1,22.0,1.0,95,172.0
100,E3,23.0,1.0,95,172.0
101,A4,23.0,1.0,95,172.0
102,G3,23.0,1.0,95,172.0
103,G#2,23.0,667/1000,95,172.0
104,B1,23.0,667/1000,95,172.0
105,G#2,23.667,333/1000,95,172.0
106,G2,24.0,1.0,95,172.0
107,A4,24.0,1.0,95,172.0
108,G2,24.0,1.0,95,172.0
109,F#2,24.0,1.0,95,172.0
110,B1,24.0,1.0,95,172.0
111,F3,25.0,1.0,79,172.0
112,B3,25.0,667/1000,95,172.0
113,F3,25.0,667/1000,95,172.0
114,G#2,25.0,667/1000,95,172.0
115,B1,25.0,667/1000,95,172.0
116,G#2,25.667,333/1000,95,172.0
117,G#2,26.0,1.0,95,172.0
118,B4,26.0,1.0,95,172.0
119,G2,26.0,1.0,95,172.0
120,F#2,26.0,1.0,95,172.0
121,B1,26.0,1.0,95,172.0
122,F3,27.0,1.0,95,172.0
123,B3,27.0,1.0,95,172.0
124,F3,27.0,1.0,95,172.0
125,G#2,27.0,667/1000,95,172.0
126,B1,27.0,667/1000,95,172.0
127,G#2,27.667,333/1000,95,172.0
128,C3,28.0,1.0,95,172.0
129,A4,28.0,1.0,79,172.0
130,E4,28.0,1.0,79,172.0
131,C4,28.0,1.0,79,172.0
132,C3,28.0,1.0,79,172.0
133,F#2,28.0,1.0,95,172.0
134,B1,28.0,1.0,95,172.0
135,G3,29.0,1.0,95,172.0
136,E3,29.0,1.0,95,172.0
137,G#2,29.0,667/1000,95,172.0
138,B1,29.0,667/1000,95,172.0
139,G#2,29.667,333/1000,95,172.0
140,G2,30.0,1.0,95,172.0
141,G2,30.0,1.0,95,172.0
142,F#2,30.0,1.0,95,172.0
143,B1,30.0,1.0,95,172.0
144,G3,31.0,1.0,95,172.0
145,E3,31.0,1.0,95,172.0
146,G#2,31.0,667/1000,95,172.0
147,B1,31.0,667/1000,95,172.0
148,G#2,31.667,333/1000,95,172.0
149,C3,32.0,1.0,95,172.0
150,C3,32.0,1.0,95,172.0
151,F#2,32.0,1.0,95,172.0
152,B1,32.0,1.0,95,172.0
153,G3,33.0,1.0,95,172.0
154,G3,33.0,1.0,95,172.0
155,G#2,33.0,667/1000,95,172.0
156,B1,33.0,667/1000,95,172.0
157,G#2,33.667,333/1000,95,172.0
158,G2,34.0,1.0,95,172.0
159,G2,34.0,1.0,95,172.0
160,F#2,34.0,1.0,95,172.0
161,B1,34.0,1.0,95,172.0
162,G#2,35.0,1.0,95,172.0
163,G#2,35.0,1.0,95,172.0
164,G#2,35.0,667/1000,95,172.0
165,B1,35.0,667/1000,95,172.0
166,G#2,35.667,333/1000,95,172.0
167,A2,36.0,1.0,95,172.0
168,A2,36.0,1.0,95,172.0
169,F#2,36.0,1.0,95,172.0
170,B1,36.0,1.0,95,172.0
171,A4,37.0,1.5,95,172.0
172,E3,37.0,1.0,95,172.0
173,E3,37.0,1.0,95,172.0
174,G#2,37.0,667/1000,95,172.0
175,B1,37.0,667/1000,95,172.0
176,G#2,37.667,333/1000,95,172.0
177,E2,38.0,667/1000,95,172.0
178,E2,38.0,1.0,95,172.0
179,F#2,38.0,1.0,95,172.0
180,B1,38.0,1.0,95,172.0
181,A3,38.667,333/1000,95,172.0
182,E3,39.0,1.0,95,172.0
183,E3,39.0,1.0,95,172.0
184,G#2,39.0,667/1000,95,172.0
185,B1,39.0,667/1000,95,172.0
186,G#2,39.667,333/1000,95,172.0
187,A2,40.0,1.0,95,172.0
188,B3,40.0,1.0,95,172.0
189,A2,40.0,1.0,95,172.0
190,F#2,40.0,1.0,95,172.0
191,B1,40.0,1.0,95,172.0
192,E3,41.0,667/1000,95,172.0
193,E3,41.0,1.0,95,172.0
194,G#2,41.0,667/1000,95,172.0
195,B1,41.0,667/1000,95,172.0
196,C#4,41.667,333/1000,95,172.0
197,G#2,41.667,333/1000,95,172.0
198,E2,42.0,1.0,95,172.0
199,E2,42.0,1.0,95,172.0
200,F#2,42.0,1.0,95,172.0
201,B1,42.0,1.0,95,172.0
202,B2,43.0,1.0,95,172.0
203,B3,43.0,1.0,95,172.0
204,E3,43.0,1.0,95,172.0
205,G#2,43.0,667/1000,95,172.0
206,B1,43.0,667/1000,95,172.0
207,G#2,43.667,333/1000,95,172.0
208,A2,44.0,1.0,95,172.0
