,note_name,start_time,duration,velocity,tempo
0,B3,4.75,633/1000,86,88.0
1,C#4,4.75,633/1000,66,88.0
2,C4,5.342,733/1000,75,88.0
3,F4,5.342,633/1000,55,88.0
4,E4,6.017,29/500,55,88.0
5,G#4,6.075,1533/1000,81,88.0
6,C5,6.075,1533/1000,61,88.0
7,E4,7.6,2/5,80,88.0
8,B-4,7.6,0.375,60,88.0
9,F2,8.0,979/500,78,88.0
10,E4,8.0,3/20,80,88.0
11,E-4,8.0,4.0,60,88.0
12,G4,8.0,4.0,60,88.0
13,G#3,8.0,4.0,60,88.0
14,C4,8.0,4.0,60,88.0
15,B1,8.0,26/125,60,88.0
16,D2,8.0,26/125,60,88.0
17,F#2,8.0,26/125,60,88.0
18,C5,8.017,133/1000,60,88.0
19,G4,8.158,33/20,77,88.0
20,C5,8.158,33/20,57,88.0
21,G#3,9.0,129/500,60,88.0
22,E-3,9.0,129/500,60,88.0
23,F#2,9.0,26/125,80,88.0
24,C#2,9.0,26/125,80,88.0
25,F#2,9.717,26/125,50,88.0
26,F4,9.742,1129/500,77,88.0
27,G#4,9.742,1129/500,57,88.0
28,C2,10.0,224/125,82,88.0
29,B1,10.0,26/125,70,88.0
30,F#2,10.0,26/125,70,88.0
31,G#3,11.0,77/250,61,88.0
32,E-3,11.0,77/250,61,88.0
33,F#2,11.0,26/125,85,88.0
34,C#2,11.0,26/125,85,88.0
35,F#2,11.717,26/125,50,88.0
36,F1,11.733,23/250,60,88.0
37,F2,12.0,2.0,70,88.0
38,F4,12.0,717/1000,77,88.0
39,G#4,12.0,717/1000,57,88.0
40,F#2,12.0,26/125,70,88.0
41,E-4,12.0,1.625,60,88.0
42,G4,12.0,1.625,60,88.0
43,G#3,12.0,1.625,60,88.0
44,C4,12.0,1.625,60,88.0
45,E4,12.725,13/20,93,88.0
46,F4,12.725,13/20,73,88.0
47,G#3,13.0,129/500,60,88.0
48,E-3,13.0,129/500,60,88.0
49,F#2,13.0,26/125,75,88.0
50,C#2,13.0,26/125,75,88.0
51,F4,13.367,177/250,90,88.0
52,G#4,13.367,76/125,70,88.0
53,E-4,13.708,1917/1000,60,88.0
54,F#4,13.708,1917/1000,60,88.0
55,A3,13.708,1917/1000,60,88.0
56,C5,13.708,1917/1000,60,88.0
57,F#2,13.717,26/125,40,88.0
58,F2,14.0,2.0,82,88.0
59,B1,14.0,26/125,70,88.0
60,F#2,14.0,26/125,70,88.0
61,A4,14.017,29/500,70,88.0
62,C#5,14.05,721/500,94,88.0
63,F5,14.05,721/500,74,88.0
64,A3,15.0,129/500,60,88.0
65,E-3,15.0,129/500,60,88.0
66,B1,15.0,26/125,70,88.0
67,F#2,15.0,26/125,70,88.0
68,A4,15.433,567/1000,70,88.0
69,E-5,15.433,271/500,50,88.0
70,G#3,15.708,73/250,60,88.0
71,C5,15.708,73/250,60,88.0
72,C#4,15.708,73/250,60,88.0
73,F4,15.708,73/250,60,88.0
