,note_name,start_time,duration,velocity,tempo
0,C#2,4.0,123/250,60,148.0
1,C#2,6.0,123/250,60,148.0
2,C#2,8.0,123/250,60,148.0
3,E-4,8.5,571/500,85,148.0
4,F#4,8.5,621/500,102,148.0
5,B4,8.5,621/500,102,148.0
6,C#4,10.0,417/1000,78,148.0
7,F#4,10.0,283/1000,86,148.0
8,B4,10.0,283/1000,86,148.0
9,C#4,11.0,9/20,83,148.0
10,B4,11.0,9/20,83,148.0
11,F#4,11.0,9/20,83,148.0
12,F#3,12.0,123/250,81,148.0
13,C2,12.0,123/250,80,148.0
14,A3,12.0,123/250,96,148.0
15,F#2,12.0,124/125,85,148.0
16,F#4,12.0,4.0,101,148.0
17,B-4,12.0,4.0,100,148.0
18,C#4,12.0,4.0,109,148.0
19,G#2,12.5,123/250,58,148.0
20,F#3,12.5,123/250,58,148.0
21,E2,13.0,123/250,105,148.0
22,F#3,13.0,123/250,106,148.0
23,F#3,13.0,123/250,106,148.0
24,F#3,13.5,123/250,65,148.0
25,G#2,13.5,123/250,65,148.0
26,C2,14.0,123/250,71,148.0
27,C#2,14.0,124/125,74,148.0
28,F#3,14.0,123/250,56,148.0
29,G#2,14.0,123/250,56,148.0
30,F#3,14.5,123/250,62,148.0
31,G#2,14.5,123/250,62,148.0
32,E2,15.0,123/250,96,148.0
33,F#3,15.0,123/250,116,148.0
34,F#3,15.0,123/250,116,148.0
35,F#3,15.5,123/250,62,148.0
36,G#2,15.5,123/250,62,148.0
37,C2,16.0,123/250,71,148.0
38,F#2,16.0,124/125,69,148.0
39,F#4,16.0,4.0,101,148.0
40,B-4,16.0,4.0,100,148.0
41,C#4,16.0,4.0,109,148.0
42,F#3,16.0,123/250,54,148.0
43,G#2,16.0,123/250,54,148.0
44,F#3,16.5,123/250,57,148.0
45,G#2,16.5,123/250,57,148.0
46,E2,17.0,123/250,100,148.0
47,F#3,17.0,123/250,116,148.0
48,F#3,17.0,123/250,116,148.0
49,F#3,17.5,123/250,64,148.0
50,G#2,17.5,123/250,64,148.0
51,C2,18.0,123/250,71,148.0
52,C#2,18.0,124/125,93,148.0
53,F#3,18.0,123/250,61,148.0
54,G#2,18.0,123/250,61,148.0
55,F#3,18.5,123/250,61,148.0
56,G#2,18.5,123/250,61,148.0
57,E2,19.0,123/250,105,148.0
58,E-2,19.0,329/500,78,148.0
59,F#3,19.0,123/250,112,148.0
60,F#3,19.0,123/250,112,148.0
61,F#3,19.5,123/250,65,148.0
62,G#2,19.5,123/250,65,148.0
63,C2,20.0,123/250,68,148.0
64,F#2,20.0,124/125,74,148.0
65,F#4,20.0,2033/1000,101,148.0
66,B-4,20.0,1733/1000,100,148.0
67,C#4,20.0,33/20,109,148.0
68,F#3,20.0,123/250,51,148.0
69,G#2,20.0,123/250,51,148.0
70,F#3,20.5,123/250,54,148.0
71,G#2,20.5,123/250,54,148.0
72,E2,21.0,123/250,100,148.0
73,F#3,21.0,123/250,106,148.0
74,F#3,21.0,123/250,106,148.0
75,F#3,21.5,123/250,55,148.0
76,G#2,21.5,123/250,55,148.0
77,C2,22.0,123/250,76,148.0
78,C#2,22.0,124/125,85,148.0
79,G#2,22.0,123/250,68,148.0
80,F#3,22.0,123/250,68,148.0
81,G#2,22.5,123/250,44,148.0
82,F#3,22.5,123/250,44,148.0
83,E2,23.0,123/250,92,148.0
84,F#3,23.0,123/250,92,148.0
85,F#3,23.0,123/250,92,148.0
86,G#2,23.0,123/250,92,148.0
87,F#3,23.5,123/250,65,148.0
88,G#2,23.5,123/250,65,148.0
89,C2,24.0,123/250,76,148.0
90,F#2,24.0,124/125,71,148.0
91,F#3,24.0,123/250,56,148.0
92,G#2,24.0,123/250,56,148.0
93,F#3,24.5,123/250,62,148.0
94,G#2,24.5,123/250,62,148.0
95,B4,24.5,149/125,90,148.0
96,F#4,24.5,149/125,90,148.0
97,E-4,24.5,149/125,90,148.0
98,E-4,24.5,149/125,90,148.0
99,F#4,24.5,621/500,102,148.0
100,B4,24.5,621/500,102,148.0
101,E2,25.0,123/250,100,148.0
102,F#3,25.0,123/250,94,148.0
103,F#3,25.0,123/250,94,148.0
104,G#2,25.0,123/250,94,148.0
105,F#3,25.5,123/250,54,148.0
106,G#2,25.5,123/250,54,148.0
107,C2,26.0,123/250,76,148.0
108,C#2,26.0,124/125,85,148.0
109,F#3,26.0,123/250,66,148.0
110,G#2,26.0,123/250,66,148.0
111,B4,26.0,333/1000,70,148.0
112,F#4,26.0,333/1000,70,148.0
113,C#4,26.0,221/500,84,148.0
114,F#4,26.0,221/500,84,148.0
115,C#4,26.0,221/500,84,148.0
116,B4,26.0,221/500,84,148.0
117,F#3,26.5,123/250,63,148.0
118,G#2,26.5,123/250,63,148.0
119,E2,27.0,123/250,92,148.0
120,E-2,27.0,371/500,66,148.0
121,F#3,27.0,123/250,92,148.0
122,F#3,27.0,123/250,92,148.0
123,G#2,27.0,123/250,92,148.0
124,C#4,27.0,9/20,97,148.0
125,F#4,27.0,9/20,97,148.0
126,B4,27.0,9/20,97,148.0
127,C#4,27.0,567/1000,83,148.0
128,B4,27.0,567/1000,83,148.0
129,F#4,27.0,567/1000,83,148.0
130,F#3,27.5,123/250,46,148.0
131,G#2,27.5,123/250,46,148.0
132,F#3,28.0,123/250,81,148.0
133,C2,28.0,123/250,66,148.0
134,F#2,28.0,227/250,69,148.0
135,F#4,28.0,4.0,85,148.0
136,C#4,28.0,4.0,78,148.0
137,B-4,28.0,4.0,85,148.0
138,F#4,28.0,4.0,101,148.0
139,B-4,28.0,4.0,104,148.0
140,C#4,28.0,4.0,104,148.0
141,F#3,28.5,123/250,60,148.0
142,G#2,28.5,123/250,60,148.0
143,E2,29.0,123/250,92,148.0
144,F#3,29.0,123/250,82,148.0
145,F#3,29.0,123/250,82,148.0
146,G#2,29.0,123/250,82,148.0
147,F#3,29.5,123/250,67,148.0
148,G#2,29.5,123/250,67,148.0
149,C2,30.0,123/250,64,148.0
150,C#2,30.0,124/125,78,148.0
151,F#3,30.0,123/250,62,148.0
152,G#2,30.0,123/250,62,148.0
153,F#3,30.5,123/250,62,148.0
154,G#2,30.5,123/250,62,148.0
155,E2,31.0,123/250,100,148.0
156,F#3,31.0,123/250,93,148.0
157,F#3,31.0,123/250,93,148.0
158,G#2,31.0,123/250,93,148.0
159,F#3,31.5,123/250,64,148.0
160,G#2,31.5,123/250,64,148.0
161,C2,32.0,123/250,76,148.0
162,F#2,32.0,373/250,67,148.0
163,F#3,32.0,123/250,57,148.0
164,G#2,32.0,123/250,57,148.0
165,F#3,32.5,123/250,58,148.0
166,G#2,32.5,123/250,58,148.0
167,E2,33.0,123/250,100,148.0
168,F#3,33.0,123/250,88,148.0
169,F#3,33.0,123/250,88,148.0
170,G#2,33.0,123/250,88,148.0
171,F#3,33.5,123/250,68,148.0
172,G#2,33.5,123/250,68,148.0
173,C2,34.0,123/250,71,148.0
174,C#2,34.0,124/125,78,148.0
175,F#3,34.0,123/250,64,148.0
176,G#2,34.0,123/250,64,148.0
177,F#3,34.5,123/250,60,148.0
178,G#2,34.5,123/250,60,148.0
179,E2,35.0,123/250,105,148.0
