,note_name,start_time,duration,velocity,tempo
0,E5,3.0,1.0,125,69.0
1,B4,3.0,1.0,125,69.0
2,G#4,3.0,1.0,125,69.0
3,F1,4.0,226/125,123,69.0
4,F2,4.0,1.0,125,69.0
5,C2,4.0,1333/1000,90,69.0
6,E-3,4.0,0.125,70,69.0
7,F5,4.0,3.0,125,69.0
8,C5,4.0,3.0,125,69.0
9,A4,4.0,3.0,125,69.0
10,C5,4.0,167/1000,125,69.0
11,A4,4.0,167/1000,125,69.0
12,F5,4.0,167/1000,125,69.0
13,E-3,4.333,83/1000,70,69.0
14,A4,4.333,167/1000,125,69.0
15,C5,4.333,167/1000,125,69.0
16,F5,4.333,167/1000,125,69.0
17,E-3,4.667,83/1000,70,69.0
18,A4,4.667,167/1000,125,69.0
19,C5,4.667,167/1000,125,69.0
20,F5,4.667,167/1000,125,69.0
21,C6,5.0,1.0,123,69.0
22,A2,5.0,24/125,125,69.0
23,E-3,5.0,1/10,70,69.0
24,A4,5.0,167/1000,125,69.0
25,C5,5.0,167/1000,125,69.0
26,F5,5.0,167/1000,125,69.0
27,F5,5.0,1/10,123,69.0
28,C5,5.0,1/10,123,69.0
29,A4,5.0,1/10,123,69.0
30,E2,5.0,21/20,76,69.0
31,C#2,5.0,21/20,76,69.0
32,E-3,5.333,1/10,70,69.0
33,C5,5.333,167/1000,125,69.0
34,A4,5.333,167/1000,125,69.0
35,F5,5.333,167/1000,125,69.0
36,D3,5.667,171/500,125,69.0
37,E-3,5.667,23/250,70,69.0
38,C5,5.667,167/1000,125,69.0
39,A4,5.667,167/1000,125,69.0
40,F5,5.667,167/1000,125,69.0
41,B5,6.0,667/1000,123,69.0
42,F1,6.0,2.0,123,69.0
43,C3,6.0,124/125,125,69.0
44,C2,6.0,1.25,90,69.0
45,E-3,6.0,27/250,70,69.0
46,C5,6.0,167/1000,125,69.0
47,A4,6.0,167/1000,125,69.0
48,F5,6.0,167/1000,125,69.0
49,E-3,6.333,27/250,70,69.0
50,A4,6.333,167/1000,125,69.0
51,C5,6.333,167/1000,125,69.0
52,F5,6.333,167/1000,125,69.0
53,C6,6.667,1333/1000,123,69.0
54,E-3,6.667,27/250,70,69.0
55,C5,6.667,167/1000,125,69.0
56,A4,6.667,167/1000,125,69.0
57,F5,6.667,167/1000,125,69.0
58,A2,7.0,683/1000,125,69.0
59,E-3,7.0,23/250,70,69.0
60,F5,7.0,1.0,125,69.0
61,C5,7.0,1.0,125,69.0
62,A4,7.0,1.0,125,69.0
63,C5,7.0,167/1000,125,69.0
64,A4,7.0,167/1000,125,69.0
65,F5,7.0,167/1000,125,69.0
66,C5,7.0,167/1000,123,69.0
67,A4,7.0,167/1000,123,69.0
68,F5,7.0,167/1000,123,69.0
69,E2,7.0,124/125,76,69.0
70,C#2,7.0,124/125,76,69.0
71,E-3,7.333,23/250,70,69.0
72,F5,7.333,167/1000,125,69.0
73,C5,7.333,167/1000,125,69.0
74,A4,7.333,167/1000,125,69.0
75,C3,7.667,73/250,125,69.0
76,E-3,7.667,1/10,70,69.0
77,A4,7.667,167/1000,125,69.0
78,C5,7.667,167/1000,125,69.0
79,F5,7.667,167/1000,125,69.0
80,E1,8.0,2.0,123,69.0
81,E2,8.0,983/1000,125,69.0
82,C2,8.0,6/5,90,69.0
83,E-3,8.0,117/1000,70,69.0
84,G#4,8.0,3.0,125,69.0
85,E5,8.0,3.0,125,69.0
86,B4,8.0,3.0,125,69.0
87,B4,8.0,167/1000,125,69.0
88,G#4,8.0,167/1000,125,69.0
89,E5,8.0,167/1000,125,69.0
90,E-3,8.333,117/1000,70,69.0
91,B4,8.333,167/1000,125,69.0
92,E5,8.333,167/1000,125,69.0
93,G#4,8.333,167/1000,125,69.0
94,E-3,8.667,1/10,70,69.0
