,note_name,start_time,duration,velocity,tempo
0,G2,0.969,0.031,124,85.01
1,G2,1.0,323/200,124,85.01
2,E-3,1.01,13/125,127,85.01
3,G3,1.021,1.25,107,85.01
4,G4,1.021,427/250,78,85.01
5,D6,1.021,3979/1000,80,85.01
6,D4,1.031,1823/1000,87,85.01
7,B4,1.031,1823/1000,87,85.01
8,B3,1.031,1823/1000,87,85.01
9,F#2,2.01,13/125,115,85.01
10,F#2,2.969,263/250,103,85.01
11,A3,2.969,263/250,103,85.01
12,E-3,3.01,13/125,127,85.01
13,D4,3.021,0.531,61,85.01
14,F#4,3.021,0.812,98,85.01
15,A4,3.021,771/500,87,85.01
16,F#3,3.031,101/100,89,85.01
17,E-3,4.01,13/125,90,85.01
18,D5,4.031,0.969,87,85.01
19,E2,4.469,0.531,124,85.01
20,E-3,4.51,13/125,127,85.01
21,G4,4.531,0.469,84,85.01
22,E4,4.531,0.469,62,85.01
23,D4,4.531,0.469,45,85.01
24,E3,4.531,0.469,86,85.01
25,B3,4.531,0.469,86,85.01
26,G3,4.531,0.469,85,85.01
27,B3,4.531,0.469,85,85.01
28,D5,5.0,2.375,87,85.01
29,E2,5.0,299/100,124,85.01
30,D6,5.0,11417/1000,80,85.01
31,G4,5.0,149/100,84,85.01
32,E4,5.0,2.094,62,85.01
33,D4,5.0,263/250,45,85.01
34,E3,5.0,301/100,86,85.01
35,B3,5.0,301/100,86,85.01
36,G3,5.0,301/100,85,85.01
37,B3,5.0,301/100,85,85.01
38,F#2,5.51,13/125,2,85.01
39,F#2,6.01,13/125,115,85.01
40,D4,6.531,1.469,70,85.01
41,E-3,7.01,13/125,47,85.01
42,G4,7.021,583/1000,127,85.01
43,E-3,7.51,13/125,24,85.01
44,A4,7.521,521/1000,100,85.01
45,E-3,8.01,13/125,90,85.01
46,B4,8.021,0.562,85,85.01
47,B1,8.469,0.531,103,85.01
48,A3,8.469,0.531,103,85.01
49,E-3,8.51,13/125,127,85.01
50,F#3,8.521,479/1000,93,85.01
51,B3,8.521,479/1000,80,85.01
52,A4,8.521,479/1000,76,85.01
53,F#4,8.521,479/1000,76,85.01
54,D4,8.521,479/1000,76,85.01
55,F#3,16.417,2917/1000,93,85.01
56,B3,16.417,2.406,80,85.01
57,B1,16.417,1349/500,103,85.01
58,A3,16.417,1349/500,103,85.01
59,A4,16.417,1021/500,76,85.01
60,F#4,16.417,1021/500,76,85.01
61,D4,16.417,1021/500,76,85.01
62,F#2,16.927,13/125,52,85.01
63,E-3,16.927,13/125,52,85.01
64,F#2,17.177,13/125,115,85.01
65,B-2,17.427,13/125,68,85.01
66,E-3,17.427,13/125,68,85.01
67,A6,17.458,271/1000,99,85.01
68,F#6,17.688,151/500,86,85.01
69,D6,17.917,2.5,95,85.01
70,E-3,18.927,13/125,24,85.01
71,B1,19.385,333/1000,100,85.01
72,F#4,19.385,333/1000,100,85.01
73,E-3,19.427,73/1000,40,85.01
74,D4,19.427,73/1000,40,85.01
75,E1,19.885,0.531,116,85.01
76,G3,19.885,0.531,116,85.01
77,E-3,19.927,13/125,127,85.01
78,B3,19.938,479/1000,106,85.01
79,E2,19.938,479/1000,93,85.01
80,E3,19.938,479/1000,106,85.01
81,D4,19.938,479/1000,96,85.01
82,G4,19.938,479/1000,96,85.01
83,D6,20.417,349/500,95,85.01
84,B3,20.417,901/500,106,85.01
85,E2,20.417,3479/1000,93,85.01
86,E3,20.417,763/250,106,85.01
87,E1,20.417,771/500,116,85.01
88,G3,20.417,771/500,116,85.01
89,D4,20.417,1979/1000,96,85.01
90,G4,20.417,1979/1000,96,85.01
91,F#2,20.927,13/125,2,85.01
92,A5,21.417,0.312,106,85.01
93,F#2,21.427,13/125,115,85.01
94,D6,21.656,229/1000,109,85.01
95,B5,21.896,2427/1000,103,85.01
96,E2,22.385,227/200,124,85.01
97,E-3,22.427,13/125,47,85.01
98,B3,22.438,271/500,127,85.01
99,C4,22.927,0.531,104,85.01
100,E-3,22.927,13/125,24,85.01
101,D4,23.427,0.469,78,85.01
102,E-3,23.427,13/125,90,85.01
103,A1,23.885,0.531,124,85.01
104,E3,23.927,49/100,93,85.01
105,A2,23.927,49/100,119,85.01
106,E-3,23.927,13/125,127,85.01
107,C4,23.927,49/100,107,85.01
108,A3,23.927,49/100,107,85.01
109,A1,24.417,1.844,124,85.01
110,E3,24.417,0.406,93,85.01
111,A2,24.417,979/500,119,85.01
112,C4,24.417,2417/1000,107,85.01
113,A3,24.417,2417/1000,107,85.01
114,F#2,24.927,13/125,52,85.01
115,E-3,24.927,13/125,52,85.01
116,E3,24.948,1.219,1,85.01
117,A5,24.969,51/100,109,85.01
118,F#2,25.177,13/125,115,85.01
119,B-2,25.427,13/125,68,85.01
120,E-3,25.427,13/125,68,85.01
121,G5,25.438,69/125,113,85.01
122,D5,25.938,2479/1000,76,85.01
123,B1,26.885,123/200,124,85.01
124,E-3,26.927,13/125,24,85.01
125,D4,26.927,271/1000,93,85.01
126,B1,26.927,271/1000,93,85.01
127,B3,26.927,271/1000,93,85.01
128,F#3,26.927,271/1000,93,85.01
129,F#4,26.927,271/1000,93,85.01
130,B2,26.938,177/1000,96,85.01
131,E-3,27.427,13/125,24,85.01
132,C2,27.885,0.531,124,85.01
133,G4,27.927,49/100,43,85.01
134,E-3,27.927,13/125,127,85.01
135,C2,27.927,49/100,106,85.01
136,C3,27.927,49/100,106,85.01
137,G3,27.938,479/1000,75,85.01
138,B3,27.938,479/1000,103,85.01
139,E4,27.938,479/1000,96,85.01
140,D5,28.417,487/250,76,85.01
141,C2,28.417,401/250,124,85.01
142,G4,28.417,1.531,43,85.01
143,G3,28.417,677/1000,75,85.01
144,B3,28.417,427/500,103,85.01
145,E4,28.417,573/500,96,85.01
146,C2,28.417,2667/1000,106,85.01
147,C3,28.417,2667/1000,106,85.01
148,F#2,28.927,13/125,2,85.01
149,F#2,29.427,13/125,115,85.01
150,E4,29.948,327/200,103,85.01
151,G4,30.198,0.25,57,85.01
152,D2,30.385,573/500,124,85.01
153,E-3,30.427,13/125,47,85.01
154,C5,30.438,0.312,127,85.01
155,E-3,30.927,13/125,24,85.01
156,B4,30.938,0.5,106,85.01
157,E-3,31.427,13/125,90,85.01
158,A4,31.438,323/1000,127,85.01
159,G1,31.885,0.531,124,85.01
160,A4,31.927,49/100,127,85.01
161,E-3,31.927,13/125,127,85.01
162,D4,31.938,479/1000,111,85.01
163,B3,31.938,479/1000,78,85.01
164,G2,31.938,479/1000,119,85.01
165,G1,32.417,1677/250,124,85.01
166,A4,32.417,123/200,127,85.01
167,D4,32.417,3.594,111,85.01
168,B3,32.417,0.375,78,85.01
169,G2,32.417,3979/1000,119,85.01
170,D3,32.448,2073/1000,20,85.01
171,B4,32.927,301/100,80,85.01
172,G3,32.927,2229/1000,73,85.01
173,D3,33.0,81/25,22,85.01
174,B3,33.427,123/200,54,85.01
175,G3,33.469,2167/1000,110,85.01
176,F4,33.719,1349/500,105,85.01
177,G4,33.917,513/250,56,85.01
178,B3,33.938,2479/1000,101,85.01
179,B3,34.448,1.719,1,85.01
180,D4,34.458,979/500,117,85.01
181,D3,34.958,101/100,7,85.01
182,G4,34.958,729/500,103,85.01
183,G3,35.438,13/125,12,85.01
184,G3,35.917,0.5,91,85.01
185,G3,35.958,56/125,23,85.01
186,G3,39.125,3979/1000,91,85.01
187,F4,39.125,3323/1000,105,85.01
188,B3,39.125,73/500,101,85.01
189,D4,39.125,51/100,117,85.01
190,G4,39.125,521/500,103,85.01
191,F#2,39.135,13/125,24,85.01
192,E-3,39.135,13/125,24,85.01
193,C4,39.156,0.562,104,85.01
194,A3,39.156,301/100,94,85.01
195,G2,39.156,1677/500,89,85.01
196,E4,39.156,1.469,96,85.01
197,G4,39.156,1.469,96,85.01
198,B3,39.625,388/125,117,85.01
199,C3,39.635,13/125,127,85.01
200,B4,39.75,1.094,19,85.01
201,G3,40.135,2479/1000,54,85.01
202,D4,40.156,2.656,124,85.01
203,C4,40.635,979/500,62,85.01
204,G4,40.677,306/125,127,85.01
205,A2,41.135,13/125,127,85.01
206,E4,41.146,149/100,63,85.01
207,A4,41.156,1.75,98,85.01
208,F2,41.635,13/125,69,85.01
209,F2,42.135,13/125,127,85.01
210,B-2,42.635,13/125,113,85.01
211,G2,43.094,0.031,124,85.01
212,B1,43.104,21/1000,116,85.01
213,F#2,43.104,21/1000,116,85.01
214,G2,43.125,401/250,124,85.01
215,G4,43.125,1.562,127,85.01
216,B1,43.125,83/1000,116,85.01
217,F#2,43.125,83/1000,116,85.01
218,G3,43.146,729/500,96,85.01
219,G4,43.146,1677/1000,57,85.01
220,D4,43.146,1.75,82,85.01
221,B3,43.146,401/500,62,85.01
222,B4,43.146,1833/1000,71,85.01
223,D3,43.625,527/200,79,85.01
224,F#2,43.635,13/125,40,85.01
225,B3,44.135,0.875,7,85.01
226,G3,44.135,63/50,64,85.01
227,F#2,44.135,13/125,40,85.01
228,A4,44.146,2979/1000,98,85.01
229,D4,44.625,1.688,59,85.01
230,F#2,44.635,13/125,2,85.01
231,F#2,45.094,1573/1000,94,85.01
232,D4,45.094,1573/1000,94,85.01
233,C#2,45.115,13/125,80,85.01
234,F#2,45.115,13/125,80,85.01
235,E-3,45.115,13/125,80,85.01
236,F#4,45.125,1.781,88,85.01
237,F#4,45.125,1.781,88,85.01
238,A3,45.135,181/125,82,85.01
239,F#3,45.135,181/125,82,85.01
240,A4,45.146,1.688,82,85.01
241,B3,45.469,27/200,12,85.01
242,F#3,45.635,181/125,78,85.01
243,F#2,45.635,13/125,40,85.01
244,F#2,46.135,13/125,79,85.01
245,A3,46.146,979/1000,34,85.01
246,F#2,46.635,13/125,79,85.01
247,D4,46.656,0.438,38,85.01
248,E2,47.094,0.031,98,85.01
249,G3,47.094,0.031,98,85.01
250,B1,47.104,21/1000,116,85.01
251,F#2,47.104,21/1000,116,85.01
252,G4,47.125,199/100,78,85.01
253,E3,47.125,1271/1000,63,85.01
254,A4,47.125,2.125,98,85.01
255,A3,47.125,1/100,34,85.01
256,E2,47.125,1.531,98,85.01
257,G3,47.125,1.531,98,85.01
258,B1,47.125,83/1000,116,85.01
259,F#2,47.125,83/1000,116,85.01
260,E3,47.135,1151/500,92,85.01
261,B4,47.135,1.688,73,85.01
262,E4,47.135,1.688,73,85.01
263,B3,47.135,1.688,73,85.01
264,G4,47.146,474/125,117,85.01
265,E4,47.167,223/200,71,85.01
266,F#2,47.635,13/125,40,85.01
267,G3,47.656,3083/1000,86,85.01
268,F#2,48.135,13/125,40,85.01
269,B3,48.198,1323/500,93,85.01
270,F#2,48.635,13/125,2,85.01
271,E4,48.656,151/500,84,85.01
272,D2,49.094,677/500,106,85.01
273,D3,49.094,677/500,106,85.01
274,C#2,49.115,13/125,80,85.01
275,F#2,49.115,13/125,80,85.01
276,E-3,49.115,13/125,80,85.01
277,G4,49.135,927/500,80,85.01
278,E4,49.135,927/500,80,85.01
279,D4,49.146,1.625,84,85.01
280,B4,49.146,1.469,63,85.01
281,G3,49.146,1.25,66,85.01
282,B3,49.146,1.25,66,85.01
283,D4,49.177,1.062,94,85.01
284,B4,49.177,487/250,92,85.01
285,E3,49.625,1.5,52,85.01
286,F#2,49.635,13/125,40,85.01
287,D5,50.125,0.906,66,85.01
288,F#2,50.135,13/125,79,85.01
289,E1,50.594,56/125,124,85.01
290,D4,50.615,333/1000,54,85.01
291,F#2,50.635,13/125,79,85.01
292,A1,51.094,0.031,124,85.01
293,B1,51.104,21/1000,78,85.01
294,F#2,51.104,21/1000,78,85.01
295,E3,51.125,417/1000,52,85.01
296,A1,51.125,2.062,124,85.01
297,B1,51.125,83/1000,78,85.01
298,F#2,51.125,83/1000,78,85.01
299,A2,51.146,2677/1000,79,85.01
300,C4,51.146,1151/500,66,85.01
301,A3,51.146,1151/500,66,85.01
302,G4,51.146,1151/500,66,85.01
303,E4,51.146,1151/500,66,85.01
304,G4,51.156,477/200,79,85.01
305,B4,51.156,477/200,79,85.01
306,E4,51.167,227/200,64,85.01
307,C4,51.188,323/250,75,85.01
308,A3,51.198,0.469,64,85.01
309,E3,51.594,2417/1000,59,85.01
310,F#2,51.635,13/125,79,85.01
311,A3,52.135,224/125,79,85.01
312,F#2,52.135,13/125,79,85.01
313,F#2,52.635,13/125,40,85.01
314,C4,52.646,31/25,127,85.01
315,C#2,53.115,13/125,84,85.01
316,F#2,53.115,13/125,84,85.01
317,E4,53.146,771/1000,102,85.01
318,F#2,53.635,13/125,40,85.01
319,B1,54.094,0.375,109,85.01
320,D4,54.094,0.375,109,85.01
321,F#3,54.094,0.375,109,85.01
322,F#4,54.135,427/1000,101,85.01
323,B2,54.135,427/1000,101,85.01
324,F#4,54.135,427/1000,101,85.01
325,B3,54.135,427/1000,101,85.01
326,D4,54.135,427/1000,101,85.01
327,B3,54.135,427/1000,101,85.01
328,F#2,54.135,13/125,92,85.01
329,E-3,54.135,13/125,92,85.01
330,A3,54.156,0.312,93,85.01
331,F#3,54.177,0.375,99,85.01
332,C2,54.594,0.531,114,85.01
333,G3,54.594,0.531,114,85.01
334,F#2,54.635,13/125,35,85.01
335,E-3,54.635,13/125,35,85.01
336,B3,54.646,479/1000,117,85.01
337,C3,54.646,479/1000,100,85.01
338,E4,54.646,479/1000,68,85.01
339,G4,54.646,479/1000,68,85.01
340,G4,54.646,479/1000,68,85.01
341,E3,54.656,0.469,72,85.01
342,E4,54.677,56/125,119,85.01
343,B3,54.677,56/125,86,85.01
344,G3,54.677,56/125,86,85.01
345,B1,55.104,21/1000,116,85.01
346,F#2,55.104,21/1000,116,85.01
347,B3,55.125,1/100,117,85.01
348,C3,55.125,201/100,100,85.01
349,E3,55.125,1823/1000,72,85.01
350,E4,55.125,1427/1000,119,85.01
351,C2,55.125,1583/1000,114,85.01
352,G3,55.125,1583/1000,114,85.01
353,B1,55.125,83/1000,116,85.01
354,F#2,55.125,83/1000,116,85.01
355,E4,55.125,194/125,68,85.01
356,G4,55.125,194/125,68,85.01
357,G4,55.125,194/125,68,85.01
358,B3,55.125,1.656,86,85.01
359,G3,55.125,1.656,86,85.01
360,F#2,55.635,13/125,40,85.01
361,C4,55.646,1.094,1,85.01
362,F#2,56.135,13/125,40,85.01
363,F#2,56.635,13/125,2,85.01
364,C4,56.906,0.062,4,85.01
365,D4,57.083,1021/500,104,85.01
366,B1,57.094,0.656,124,85.01
367,G3,57.104,194/125,72,85.01
368,E3,57.104,194/125,72,85.01
369,E3,57.104,194/125,72,85.01
370,B3,57.104,194/125,72,85.01
371,C#2,57.115,13/125,80,85.01
372,F#2,57.115,13/125,80,85.01
373,E-3,57.115,13/125,80,85.01
374,D4,57.146,1979/1000,108,85.01
375,E2,57.146,1979/1000,108,85.01
376,G3,57.146,194/125,58,85.01
377,B3,57.146,194/125,58,85.01
378,B3,57.573,127/200,77,85.01
379,F#2,57.635,13/125,40,85.01
380,E2,58.094,0.719,124,85.01
381,F#4,58.115,0.906,80,85.01
382,F#2,58.135,13/125,79,85.01
383,E1,58.594,427/1000,124,85.01
384,B3,58.615,323/1000,60,85.01
385,F#2,58.635,13/125,79,85.01
386,E3,58.875,0.25,27,85.01
387,A1,59.094,0.031,124,85.01
388,B1,59.104,21/1000,116,85.01
389,F#2,59.104,21/1000,116,85.01
390,D4,59.125,0.062,104,85.01
391,E3,59.125,0.031,27,85.01
392,A1,59.125,623/200,124,85.01
393,B1,59.125,83/1000,116,85.01
394,F#2,59.125,83/1000,116,85.01
395,D4,59.125,27/200,108,85.01
396,E2,59.125,27/200,108,85.01
397,A2,59.156,3.938,94,85.01
398,E4,59.156,3729/1000,70,85.01
399,E3,59.156,667/1000,68,85.01
400,A3,59.156,3.625,80,85.01
401,C4,59.156,3.625,80,85.01
402,A3,59.167,979/1000,110,85.01
403,C4,59.177,149/100,104,85.01
404,E4,59.188,1.844,104,85.01
405,A2,59.604,1479/500,80,85.01
406,F#2,59.635,13/125,40,85.01
407,F#2,60.135,13/125,40,85.01
408,E3,60.26,2333/1000,75,85.01
409,A3,60.635,249/100,127,85.01
410,F#2,60.635,13/125,2,85.01
411,C#2,61.115,13/125,80,85.01
412,F#2,61.115,13/125,80,85.01
413,E-3,61.115,13/125,80,85.01
414,C4,61.125,2.0,127,85.01
415,E4,61.604,1521/1000,127,85.01
416,F#2,61.635,13/125,40,85.01
417,G4,62.125,1.0,108,85.01
418,F#2,62.135,13/125,79,85.01
419,E1,62.594,0.219,124,85.01
420,B4,62.594,0.531,92,85.01
421,F#2,62.635,13/125,79,85.01
422,D2,63.094,0.031,102,85.01
423,D3,63.094,0.031,102,85.01
424,B1,63.104,21/1000,116,85.01
425,F#2,63.104,21/1000,116,85.01
426,A3,63.125,0.094,127,85.01
427,E4,63.125,323/200,127,85.01
428,C4,63.125,77/200,127,85.01
429,B4,63.125,49/100,92,85.01
430,G4,63.125,2.562,108,85.01
431,D2,63.125,3.188,102,85.01
432,D3,63.125,3.188,102,85.01
433,B1,63.125,83/1000,116,85.01
434,F#2,63.125,83/1000,116,85.01
435,G3,63.146,0.906,66,85.01
436,D3,63.146,3979/1000,85,85.01
437,A3,63.146,723/200,76,85.01
438,E4,63.146,723/200,76,85.01
439,C4,63.146,723/200,76,85.01
440,E4,63.146,723/200,76,85.01
441,D4,63.615,479/500,85,85.01
442,A4,63.625,3.5,104,85.01
443,F#2,63.635,13/125,40,85.01
444,F#2,64.135,13/125,40,85.01
445,G3,64.156,37/50,1,85.01
446,A3,64.219,2.906,29,85.01
447,D4,64.635,0.812,94,85.01
448,F#2,64.635,13/125,2,85.01
449,C#2,65.115,13/125,80,85.01
450,F#2,65.115,13/125,80,85.01
451,E-3,65.115,13/125,80,85.01
452,G3,65.385,263/250,1,85.01
453,F#2,65.635,13/125,40,85.01
454,E4,65.656,1.469,64,85.01
455,D4,66.115,101/100,64,85.01
456,F#2,66.135,13/125,79,85.01
457,D1,66.594,177/500,124,85.01
458,F#2,66.635,13/125,79,85.01
459,G1,67.094,0.031,124,85.01
460,B1,67.104,21/1000,116,85.01
461,F#2,67.104,21/1000,116,85.01
462,D4,67.125,13/250,64,85.01
463,G1,67.125,1123/200,124,85.01
464,D3,67.125,151/500,85,85.01
465,A4,67.125,127/200,104,85.01
466,E4,67.125,229/1000,64,85.01
467,A3,67.125,1/100,29,85.01
468,B1,67.125,83/1000,116,85.01
469,F#2,67.125,83/1000,116,85.01
470,D4,67.135,1.438,57,85.01
471,G3,67.146,271/500,68,85.01
472,B3,67.146,479/500,91,85.01
473,G2,67.146,3.875,89,85.01
474,G3,67.177,987/250,108,85.01
475,F#2,67.635,13/125,40,85.01
476,D3,67.646,3479/1000,18,85.01
477,B3,67.677,431/125,93,85.01
478,G3,68.135,299/100,29,85.01
479,F#2,68.135,13/125,40,85.01
480,D4,68.156,0.562,120,85.01
481,D5,68.625,823/500,127,85.01
482,A4,68.635,249/100,127,85.01
483,F#2,68.635,13/125,2,85.01
484,B3,68.646,1271/1000,69,85.01
485,C#2,69.115,13/125,80,85.01
486,F#2,69.115,13/125,80,85.01
487,E-3,69.115,13/125,80,85.01
488,D4,69.146,323/200,119,85.01
489,D4,69.156,1.812,91,85.01
490,G4,69.635,149/100,94,85.01
491,F#2,69.635,13/125,40,85.01
492,B4,69.646,979/1000,16,85.01
493,B4,70.125,1.0,69,85.01
494,F#2,70.135,13/125,79,85.01
495,B3,70.156,349/500,37,85.01
496,D5,70.615,51/100,61,85.01
497,F#2,70.635,13/125,79,85.01
498,B1,71.104,21/1000,116,85.01
499,F#2,71.104,21/1000,116,85.01
500,D5,72.74,1.781,61,85.01
501,G3,72.74,21/500,29,85.01
502,A4,72.74,323/250,127,85.01
503,G3,72.74,0.188,108,85.01
504,G4,72.74,573/500,94,85.01
505,D3,72.74,0.031,18,85.01
506,B3,72.74,0.531,93,85.01
507,B4,72.74,1.688,69,85.01
508,B1,72.74,83/1000,116,85.01
509,F#2,72.74,83/1000,116,85.01
510,A3,72.76,0.344,75,85.01
511,E4,72.76,87/50,113,85.01
512,C4,72.76,1.844,87,85.01
513,G4,72.76,1.844,87,85.01
514,G2,72.76,1.844,87,85.01
515,F#2,73.25,13/125,40,85.01
516,A3,73.26,349/250,26,85.01
517,E3,73.323,3.062,41,85.01
518,A3,73.49,3.156,103,85.01
