,note_name,start_time,duration,velocity,tempo
0,A2,0.0,4.0,113,135.0
1,C5,0.0,99/25,116,135.0
2,C#3,0.0,4.0,124,135.0
3,C2,0.0,4.0,120,135.0
4,A1,0.027,3973/1000,117,135.0
5,B4,4.0,239/125,105,135.0
6,A2,4.0,4.0,113,135.0
7,A1,4.0,4.0,117,135.0
8,C#3,4.0,433/1000,124,135.0
9,C2,4.0,71/100,120,135.0
10,G4,6.0,2.0,106,135.0
11,E4,8.0,4.0,108,135.0
12,A2,8.0,4.0,113,135.0
13,G4,8.0,9/100,106,135.0
14,A1,8.0,4.0,117,135.0
15,E4,12.0,1997/500,108,135.0
16,A2,12.0,4.0,113,135.0
17,A1,12.0,4.0,117,135.0
18,C5,16.0,4.0,120,135.0
19,A2,16.0,4.0,113,135.0
20,A1,16.0,4.0,117,135.0
21,B4,20.0,1923/1000,113,135.0
22,C5,20.0,79/1000,120,135.0
23,A2,20.0,4.0,113,135.0
24,A1,20.0,4.0,117,135.0
25,G4,22.0,79/40,104,135.0
26,E4,24.0,4.0,110,135.0
27,A2,24.0,4.0,113,135.0
28,A1,24.0,4.0,117,135.0
29,E4,28.0,4.0,110,135.0
30,A2,28.0,4.0,113,135.0
31,A1,28.0,4.0,117,135.0
32,C5,32.0,4.0,116,135.0
33,E4,32.0,17/200,110,135.0
34,A2,32.0,4.0,113,135.0
35,A1,32.0,4.0,117,135.0
36,B4,36.0,1001/500,116,135.0
37,C5,36.0,3/40,116,135.0
38,A2,36.0,27527/1000,113,135.0
39,A1,36.0,4.0,117,135.0
40,G4,38.0,2.0,104,135.0
41,A1,40.0,4.0,117,135.0
42,A1,44.0,4.0,117,135.0
43,A1,48.0,4.0,117,135.0
44,A1,52.0,4.0,117,135.0
45,A1,56.0,4.0,117,135.0
46,A1,60.0,4.0,117,135.0
47,E4,63.527,4.0,105,135.0
48,G4,63.527,1/40,104,135.0
49,A1,64.0,4.0,117,135.0
50,C2,64.0,517/1000,112,135.0
51,A1,64.5,481/1000,127,135.0
52,C2,65.0,479/1000,117,135.0
53,A1,65.5,103/200,127,135.0
54,C2,66.0,19/40,117,135.0
55,A1,66.5,63/125,127,135.0
56,C2,67.0,123/250,120,135.0
57,A1,67.5,0.5,127,135.0
58,E4,67.527,4.0,105,135.0
59,A1,68.0,4.0,117,135.0
60,A1,68.0,1/40,127,135.0
61,C2,68.0,64/125,113,135.0
62,A1,68.5,68/125,127,135.0
63,C2,69.0,251/500,112,135.0
64,A1,69.5,0.5,127,135.0
65,C2,70.0,0.531,113,135.0
66,A1,70.5,61/100,127,135.0
67,C2,71.0,169/1000,117,135.0
68,G1,71.5,17/200,127,135.0
69,C2,71.5,21/100,116,135.0
70,C5,71.527,999/250,121,135.0
71,E4,71.527,131/1000,105,135.0
72,G1,71.75,43/200,127,135.0
73,A1,72.0,4.0,117,135.0
74,A1,72.0,3/20,127,135.0
75,C2,72.0,97/200,117,135.0
76,A1,72.5,577/1000,127,135.0
77,C2,73.0,51/100,113,135.0
78,A1,73.5,139/250,127,135.0
79,C2,74.0,123/250,116,135.0
80,A1,74.5,68/125,127,135.0
81,C2,75.0,137/250,117,135.0
82,A1,75.5,0.5,127,135.0
83,B4,75.527,1929/1000,116,135.0
84,A1,76.0,4.0,117,135.0
85,A1,76.0,67/1000,127,135.0
86,C2,76.0,481/1000,117,135.0
87,A1,76.5,273/500,127,135.0
88,C2,77.0,271/500,117,135.0
89,A1,77.5,68/125,127,135.0
90,G4,77.527,951/500,102,135.0
91,C2,78.0,481/1000,117,135.0
92,A1,78.5,0.438,127,135.0
93,C2,79.0,53/200,116,135.0
94,C4,79.277,0.25,113,135.0
95,G1,79.5,0.5,127,135.0
96,C2,79.5,0.25,117,135.0
97,C4,79.527,4.0,113,135.0
98,A1,80.0,4.0,117,135.0
99,A1,80.0,71/500,127,135.0
100,C2,80.0,139/250,116,135.0
101,A1,80.5,147/250,127,135.0
102,C2,81.0,423/1000,116,135.0
103,A1,81.5,137/250,127,135.0
104,C2,82.0,68/125,117,135.0
105,A1,82.5,533/1000,127,135.0
106,C2,83.0,277/500,117,135.0
107,A1,83.5,0.5,127,135.0
108,C4,83.527,697/200,113,135.0
109,A1,84.0,4.0,117,135.0
110,A1,84.0,23/1000,127,135.0
111,C2,84.0,64/125,116,135.0
112,A1,84.5,521/1000,127,135.0
113,C2,85.0,137/250,116,135.0
114,A1,85.5,69/125,127,135.0
115,C2,86.0,299/500,112,135.0
116,A1,86.5,577/1000,127,135.0
117,C2,87.0,169/1000,113,135.0
118,A1,87.5,0.5,127,135.0
119,C2,87.5,19/125,110,135.0
120,A2,87.527,4.0,113,135.0
121,C5,87.527,99/25,116,135.0
122,A1,88.0,4.0,117,135.0
123,A1,88.0,7/125,127,135.0
124,C2,88.0,51/100,113,135.0
125,A1,88.5,117/200,127,135.0
126,C2,89.0,481/1000,117,135.0
127,A1,89.5,21/40,127,135.0
128,C2,90.0,429/1000,116,135.0
129,A1,90.5,0.625,127,135.0
130,C2,91.0,21/40,116,135.0
131,G1,91.5,69/1000,127,135.0
132,B4,91.527,239/125,105,135.0
133,A2,91.527,4.0,113,135.0
134,G1,91.75,0.25,127,135.0
135,A1,92.0,4.0,117,135.0
136,A1,92.0,173/1000,127,135.0
137,G1,92.0,1/250,127,135.0
138,C2,92.0,64/125,116,135.0
139,A1,92.5,277/500,127,135.0
140,C2,93.0,527/1000,116,135.0
141,A1,93.5,277/500,127,135.0
142,G4,93.527,2.0,106,135.0
143,C2,94.0,68/125,113,135.0
144,A1,94.5,577/1000,127,135.0
145,C2,95.0,183/1000,112,135.0
146,A1,95.5,0.5,127,135.0
147,C2,95.5,181/1000,112,135.0
148,E4,95.527,4.0,108,135.0
149,A2,95.527,4.0,113,135.0
150,G4,95.527,9/100,106,135.0
151,A1,96.0,4.0,117,135.0
152,A1,96.0,23/500,127,135.0
153,C2,96.0,51/100,118,135.0
154,F#2,96.0,51/100,118,135.0
155,A1,96.5,59/100,127,135.0
156,F#2,97.0,473/1000,113,135.0
157,C2,97.0,473/1000,113,135.0
158,A1,97.5,569/1000,127,135.0
159,F#2,98.0,253/500,114,135.0
160,C2,98.0,253/500,114,135.0
161,A1,98.5,0.562,127,135.0
162,C2,99.0,21/40,116,135.0
163,F#2,99.0,21/40,116,135.0
164,A1,99.5,0.5,127,135.0
165,E4,99.527,1997/500,108,135.0
166,A2,99.527,4.0,113,135.0
167,A1,100.0,4.0,117,135.0
168,A1,100.0,0.031,127,135.0
169,C2,100.0,19/40,112,135.0
170,F#2,100.0,19/40,112,135.0
171,A1,100.5,279/500,127,135.0
172,F#2,101.0,569/1000,116,135.0
173,C2,101.0,569/1000,116,135.0
174,A1,101.5,69/125,127,135.0
175,C2,102.0,247/500,120,135.0
176,F#2,102.0,247/500,120,135.0
177,A1,102.5,169/1000,127,135.0
178,C2,103.0,19/100,113,135.0
179,F#2,103.0,63/125,117,135.0
180,G1,103.5,62/125,127,135.0
181,C2,103.5,101/500,108,135.0
182,C5,103.527,4.0,120,135.0
183,A2,103.527,4.0,113,135.0
184,A1,104.0,4.0,117,135.0
185,A1,104.0,79/500,127,135.0
186,F#2,104.0,473/1000,124,135.0
187,C2,104.0,269/500,113,135.0
188,A1,104.5,271/500,127,135.0
189,C2,105.0,523/1000,116,135.0
190,F#2,105.0,421/1000,120,135.0
191,A1,105.5,139/250,127,135.0
192,C2,106.0,64/125,112,135.0
193,F#2,106.0,64/125,112,135.0
194,A1,106.5,149/250,127,135.0
195,C2,107.0,253/500,112,135.0
196,F#2,107.0,253/500,112,135.0
197,A1,107.5,0.5,127,135.0
198,B4,107.527,1923/1000,113,135.0
199,C5,107.527,79/1000,120,135.0
200,A2,107.527,4.0,113,135.0
201,A1,108.0,4.0,117,135.0
202,A1,108.0,0.094,127,135.0
203,C2,108.0,253/500,116,135.0
204,F#2,108.0,253/500,116,135.0
205,A1,108.5,23/40,127,135.0
206,C2,109.0,527/1000,116,135.0
207,F#2,109.0,527/1000,116,135.0
208,A1,109.5,253/500,127,135.0
209,G4,109.527,79/40,104,135.0
210,C2,110.0,101/500,115,135.0
211,F#2,110.0,101/500,115,135.0
212,F#2,110.5,79/1000,99,135.0
213,C2,110.5,0.531,112,135.0
214,F#2,110.75,129/1000,106,135.0
215,A1,111.0,1/500,127,135.0
216,F#2,111.0,181/1000,113,135.0
217,G1,111.5,0.062,127,135.0
218,F#2,111.5,27/200,110,135.0
219,C2,111.5,27/200,110,135.0
220,E4,111.527,4.0,110,135.0
221,A2,111.527,4.0,113,135.0
222,G1,111.75,0.25,127,135.0
223,A1,112.0,4.0,117,135.0
224,A1,112.0,37/250,127,135.0
225,G1,112.0,121/1000,127,135.0
226,F#2,112.0,137/250,119,135.0
227,C2,112.0,137/250,119,135.0
228,A1,112.5,0.531,127,135.0
229,F#2,113.0,64/125,118,135.0
230,C2,113.0,64/125,118,135.0
231,A1,113.5,273/500,127,135.0
232,F#2,114.0,21/40,118,135.0
233,C2,114.0,21/40,118,135.0
234,A1,114.5,277/500,127,135.0
235,F#2,115.0,271/500,118,135.0
236,C2,115.0,271/500,118,135.0
237,A1,115.5,0.5,127,135.0
238,E4,115.527,4.0,110,135.0
239,A2,115.527,4.0,113,135.0
240,A1,116.0,4.0,117,135.0
241,A1,116.0,19/500,127,135.0
242,F#2,116.0,0.5,114,135.0
243,C2,116.0,0.5,114,135.0
244,A1,116.5,0.562,127,135.0
245,F#2,117.0,68/125,118,135.0
246,C2,117.0,68/125,118,135.0
247,A1,117.5,51/100,127,135.0
248,C2,118.0,521/1000,117,135.0
249,F#2,118.0,521/1000,117,135.0
250,A1,118.5,0.531,127,135.0
251,C2,119.0,533/1000,114,135.0
252,F#2,119.0,533/1000,114,135.0
253,A1,119.5,0.5,127,135.0
254,C5,119.527,4.0,116,135.0
255,E4,119.527,17/200,110,135.0
256,A2,119.527,4.0,113,135.0
257,A1,120.0,4.0,117,135.0
258,A1,120.0,3/500,127,135.0
259,C2,120.0,63/125,120,135.0
260,F#2,120.0,63/125,120,135.0
261,A1,120.5,139/250,127,135.0
262,C2,121.0,64/125,117,135.0
263,F#2,121.0,64/125,117,135.0
264,A1,121.5,273/500,127,135.0
265,C2,122.0,567/1000,116,135.0
266,F#2,122.0,567/1000,116,135.0
267,A1,122.5,147/250,127,135.0
268,C2,123.0,517/1000,118,135.0
269,F#2,123.0,517/1000,118,135.0
270,A1,123.5,0.5,127,135.0
271,B4,123.527,1001/500,116,135.0
272,C5,123.527,3/40,116,135.0
273,A2,123.527,27527/1000,113,135.0
274,A1,124.0,3917/1000,117,135.0
275,A1,124.0,23/500,127,135.0
276,C2,124.0,0.531,120,135.0
277,F#2,124.0,0.531,120,135.0
278,A1,124.5,59/100,127,135.0
279,F#2,125.0,573/1000,116,135.0
280,C2,125.0,573/1000,116,135.0
281,A1,125.5,299/500,127,135.0
282,G4,125.527,2.0,104,135.0
283,F#2,126.0,3/20,117,135.0
284,C2,126.0,483/1000,116,135.0
285,A1,126.5,299/500,127,135.0
286,F#2,126.5,33/1000,83,135.0
287,F#2,126.75,79/1000,108,135.0
288,C2,126.75,79/1000,108,135.0
289,F#2,127.0,24/125,112,135.0
290,C2,127.0,24/125,112,135.0
291,G1,127.5,62/125,127,135.0
292,C2,127.5,123/500,112,135.0
293,F#2,127.5,123/500,112,135.0
294,F#2,128.0,171/1000,112,135.0
295,C#3,128.0,4.0,120,135.0
296,C2,128.0,0.25,114,135.0
297,F#2,128.0,0.25,114,135.0
298,C2,128.0,527/1000,116,135.0
299,C2,128.0,527/1000,116,135.0
300,A1,128.027,3973/1000,117,135.0
301,A1,128.5,481/1000,127,135.0
302,F#2,128.5,177/1000,113,135.0
303,C2,129.0,471/1000,117,135.0
304,F#2,129.0,97/500,116,135.0
305,E2,129.0,201/500,112,135.0
306,A1,129.5,103/200,127,135.0
