,note_name,start_time,duration,velocity,tempo
0,F#2,0.0,13/125,80,116.0
1,F#2,1.0,13/125,80,116.0
2,F#2,2.0,13/125,80,116.0
3,F#2,3.0,13/125,80,116.0
4,B-1,4.0,4.0,100,116.0
5,B-3,4.0,223/500,82,116.0
6,F4,4.0,4.0,70,116.0
7,D4,4.0,4.0,70,116.0
8,C4,4.0,4.0,70,116.0
9,F6,4.0,4.0,51,116.0
10,E-3,4.0,13/125,80,116.0
11,B-2,4.0,4.0,70,116.0
12,B-3,4.0,4.0,70,116.0
13,F3,4.0,4.0,70,116.0
14,A3,4.5,177/250,75,116.0
15,A3,4.5,583/1000,76,116.0
16,F#2,5.0,13/125,80,116.0
17,B-3,5.0,223/500,76,116.0
18,B-3,5.0,223/500,76,116.0
19,F4,5.5,14/125,80,116.0
20,F4,5.5,14/125,80,116.0
21,F#2,6.0,13/125,85,116.0
22,F#3,6.0,13/125,85,116.0
23,D4,6.0,13/125,85,116.0
24,B-3,6.5,0.438,75,116.0
25,C4,7.0,229/500,75,116.0
26,F#2,7.0,13/125,80,116.0
27,B-3,7.5,13/125,78,116.0
28,F#2,7.5,13/125,78,116.0
29,E-4,7.5,13/125,78,116.0
30,F#2,11.396,13/125,80,116.0
31,B-1,11.396,3729/1000,100,116.0
32,F4,11.396,2903/250,70,116.0
33,D4,11.396,11479/1000,70,116.0
34,C4,11.396,3.625,70,116.0
35,F6,11.396,10833/1000,51,116.0
36,B-2,11.396,849/250,70,116.0
37,B-3,11.396,849/250,70,116.0
38,F3,11.396,849/250,70,116.0
39,A3,11.896,327/500,75,116.0
40,D4,11.896,13/125,80,116.0
41,B-3,12.396,0.5,75,116.0
42,F#2,12.396,13/125,80,116.0
43,F4,12.896,271/500,75,116.0
44,F#2,13.396,13/125,85,116.0
45,F#3,13.396,13/125,85,116.0
46,D4,13.396,13/125,85,116.0
47,A3,13.896,369/500,75,116.0
48,B-3,14.396,479/1000,75,116.0
49,F#2,14.396,13/125,80,116.0
50,E-4,14.396,13/125,80,116.0
51,F4,14.896,0.5,75,116.0
52,E-4,14.896,13/125,80,116.0
53,G1,23.008,4.0,100,116.0
54,A3,23.008,229/500,85,116.0
55,B-3,23.008,4.0,70,116.0
56,G2,23.008,4.0,70,116.0
57,G3,23.008,4.0,70,116.0
58,F4,23.008,0.188,75,116.0
59,G#2,23.008,13/125,75,116.0
60,E-3,23.008,13/125,75,116.0
61,A3,23.508,153/250,75,116.0
62,B-3,23.508,17/40,72,116.0
63,F#2,24.008,13/125,80,116.0
64,B-3,24.008,229/500,72,116.0
65,A3,24.008,229/500,72,116.0
66,F4,24.508,229/500,75,116.0
67,F4,24.508,14/125,98,116.0
68,F#2,25.008,13/125,85,116.0
69,F#3,25.008,13/125,85,116.0
70,D4,25.008,13/125,85,116.0
71,A3,25.508,0.5,75,116.0
72,B-3,26.008,223/500,75,116.0
73,F#2,26.008,13/125,80,116.0
74,F4,26.508,223/500,75,116.0
75,F#2,26.508,13/125,80,116.0
76,E-4,26.508,13/125,80,116.0
77,F#2,27.008,13/125,80,116.0
78,G1,27.008,3383/1000,100,116.0
79,B-3,27.008,903/250,70,116.0
80,G2,27.008,401/125,70,116.0
81,G3,27.008,1771/500,70,116.0
82,A3,27.508,467/1000,75,116.0
83,D4,27.508,13/125,80,116.0
84,B-3,28.008,0.5,75,116.0
85,F#2,28.008,13/125,80,116.0
86,A3,28.508,7/40,75,116.0
87,F#2,29.008,13/125,85,116.0
88,F#3,29.008,13/125,85,116.0
89,D4,29.008,13/125,85,116.0
90,A3,29.508,61/125,75,116.0
91,D6,29.863,573/500,56,116.0
92,B-3,30.008,13/125,78,116.0
93,F#2,30.008,13/125,78,116.0
94,E-4,30.008,13/125,78,116.0
95,G2,30.508,171/500,100,116.0
96,D4,30.508,0.5,85,116.0
97,E-4,30.508,13/125,80,116.0
98,E-6,30.933,3/40,61,116.0
99,C2,31.008,4.0,100,116.0
100,E-4,31.008,17/40,76,116.0
101,E-4,31.008,4.0,70,116.0
102,E-3,31.008,13/125,80,116.0
103,E-6,31.008,639/125,61,116.0
104,D6,31.008,1/125,56,116.0
105,D4,31.008,21/1000,85,116.0
106,B-3,31.008,4.0,70,116.0
107,G4,31.008,4.0,70,116.0
108,D4,31.008,4.0,70,116.0
109,C3,31.008,4.0,70,116.0
110,D4,31.508,0.688,75,116.0
111,D4,31.508,11/20,76,116.0
112,F#2,32.008,13/125,80,116.0
113,E-4,32.008,223/500,74,116.0
114,E-4,32.008,223/500,74,116.0
115,B-4,32.508,0.312,75,116.0
116,B-4,32.508,13/125,89,116.0
117,F#2,33.008,13/125,85,116.0
118,F#3,33.008,13/125,85,116.0
119,D4,33.008,13/125,85,116.0
120,D4,33.508,633/1000,75,116.0
121,E-4,34.008,127/250,75,116.0
122,F#2,34.008,13/125,80,116.0
123,B-4,34.508,0.438,75,116.0
124,F#2,34.508,13/125,80,116.0
125,E-4,34.508,13/125,80,116.0
126,F#2,38.704,13/125,80,116.0
127,C2,38.704,3271/1000,100,116.0
128,E-4,38.704,1869/500,70,116.0
129,B-3,38.704,462/125,70,116.0
130,G4,38.704,462/125,70,116.0
131,D4,38.704,71/20,70,116.0
132,C3,38.704,71/20,70,116.0
133,D4,39.204,13/125,80,116.0
134,D6,39.663,1071/1000,61,116.0
135,A4,39.704,13/125,78,116.0
136,F#2,39.704,13/125,78,116.0
137,C6,40.671,569/500,54,116.0
138,G4,40.704,13/125,83,116.0
