,note_name,start_time,duration,velocity,tempo
0,A4,4.0,333/1000,70,110.0
1,E-4,4.016,138/125,23,110.0
2,F3,4.016,1307/1000,48,110.0
3,B-3,4.016,1307/1000,48,110.0
4,B-4,4.297,143/500,59,110.0
5,G4,4.677,99/250,40,110.0
6,F4,7.49,177/1000,51,110.0
7,E4,7.562,0.188,70,110.0
8,E-4,7.719,0.125,59,110.0
9,D4,7.828,0.172,53,110.0
10,D4,8.0,13/250,53,110.0
11,C#4,8.005,667/1000,74,110.0
12,E-3,8.005,2.656,34,110.0
13,F2,8.005,2.656,34,110.0
14,A4,8.677,0.219,86,110.0
15,G4,9.688,0.266,79,110.0
16,F4,10.031,667/1000,57,110.0
17,E-4,11.589,333/1000,61,110.0
18,D4,12.0,763/500,42,110.0
19,D2,12.01,943/1000,32,110.0
20,F3,12.016,1089/1000,23,110.0
21,G4,13.557,73/250,49,110.0
22,F4,14.0,1333/1000,40,110.0
23,C#4,14.599,521/1000,62,110.0
24,F3,14.667,323/1000,30,110.0
25,G2,14.667,323/1000,30,110.0
26,C2,15.802,99/500,19,110.0
27,C2,16.0,89/1000,19,110.0
28,B-3,16.01,0.734,60,110.0
29,D4,16.01,0.734,60,110.0
30,E-3,16.016,1161/1000,63,110.0
31,G3,16.036,0.844,40,110.0
32,F4,16.656,177/500,82,110.0
33,E-4,16.979,0.344,69,110.0
34,B3,17.661,667/1000,61,110.0
35,F#3,17.661,589/1000,59,110.0
36,E-3,17.688,357/500,40,110.0
37,F2,17.688,357/500,40,110.0
38,F2,18.75,349/1000,56,110.0
39,E-3,18.99,229/1000,72,110.0
40,C4,18.99,427/1000,70,110.0
41,G3,18.99,427/1000,70,110.0
42,B-1,19.776,28/125,55,110.0
43,B-1,20.0,73/500,55,110.0
44,D3,20.021,249/200,42,110.0
45,A3,20.021,249/200,42,110.0
46,C#4,20.042,3/25,61,110.0
47,D4,20.151,1.016,78,110.0
48,F4,20.745,651/200,73,110.0
49,G3,22.052,487/250,39,110.0
50,G2,23.464,177/1000,55,110.0
51,F#2,23.719,167/1000,53,110.0
52,F2,23.984,0.016,50,110.0
53,G3,24.0,0.188,39,110.0
54,F4,24.0,0.312,73,110.0
55,F2,24.0,833/1000,50,110.0
56,F1,24.677,0.078,66,110.0
57,F4,25.682,161/1000,102,110.0
58,G4,26.01,193/1000,88,110.0
59,G#4,26.109,193/1000,59,110.0
60,A4,26.219,1083/1000,67,110.0
61,E-3,26.656,349/1000,36,110.0
62,A3,26.656,349/1000,36,110.0
63,F2,26.656,349/1000,36,110.0
64,G4,27.458,0.203,45,110.0
65,A4,27.693,26/125,41,110.0
66,D4,27.99,1/100,42,110.0
67,D4,28.0,667/1000,42,110.0
68,B-2,28.016,237/100,46,110.0
69,F3,28.688,194/125,43,110.0
70,A3,29.635,1417/1000,47,110.0
71,D4,29.635,1.312,48,110.0
72,C4,29.635,1.312,48,110.0
73,F4,29.641,763/500,50,110.0
74,G3,31.703,0.125,43,110.0
75,D4,31.703,0.125,43,110.0
76,B-3,31.703,0.125,43,110.0
77,C2,31.703,0.125,43,110.0
78,F4,31.703,0.125,43,110.0
79,E-3,31.703,0.125,43,110.0
80,E-3,32.682,339/1000,37,110.0
81,F4,32.682,339/1000,37,110.0
82,C2,32.682,339/1000,37,110.0
83,D4,32.688,49/200,45,110.0
84,F4,32.688,49/200,45,110.0
85,B-3,32.688,49/200,45,110.0
86,G3,32.688,49/200,45,110.0
87,F2,33.776,153/125,57,110.0
88,G#4,34.0,0.156,85,110.0
89,E-3,34.005,138/125,72,110.0
90,E-4,34.016,1.016,90,110.0
91,A4,34.125,1.0,66,110.0
92,G4,35.693,28/125,95,110.0
93,C#5,36.12,0.141,85,110.0
94,D5,36.276,69/125,59,110.0
95,B-2,36.766,0.328,42,110.0
96,A3,36.766,0.328,42,110.0
97,A4,38.026,979/1000,45,110.0
98,C#4,38.026,979/1000,45,110.0
99,C4,38.031,22/25,48,110.0
100,F4,38.031,22/25,48,110.0
101,B-2,38.042,409/500,45,110.0
102,E-2,38.062,0.719,39,110.0
103,E4,39.693,307/1000,59,110.0
104,C4,39.698,151/500,42,110.0
105,D2,39.698,151/500,42,110.0
106,F3,39.698,151/500,42,110.0
107,E4,40.0,17/250,59,110.0
108,C4,40.0,0.234,42,110.0
109,D2,40.0,0.234,42,110.0
110,F3,40.0,0.234,42,110.0
111,C4,40.891,193/1000,33,110.0
112,C5,41.141,0.328,103,110.0
113,C#3,41.781,1443/1000,61,110.0
114,G4,41.781,1521/1000,75,110.0
115,C#4,42.734,0.406,50,110.0
116,E4,42.745,0.484,69,110.0
117,B-3,42.76,271/500,54,110.0
118,A4,43.698,151/500,82,110.0
119,A4,44.0,83/1000,82,110.0
120,B-4,44.099,1.016,41,110.0
121,E-4,44.661,417/1000,56,110.0
122,D4,44.661,417/1000,56,110.0
123,B-3,44.688,2.344,45,110.0
124,C3,44.688,2.344,45,110.0
125,E-4,46.661,271/500,77,110.0
126,G4,46.661,271/500,77,110.0
127,D5,46.661,271/500,77,110.0
128,G3,46.714,159/500,50,110.0
129,C5,47.073,0.219,67,110.0
130,B4,47.656,0.344,72,110.0
131,G4,47.661,339/1000,58,110.0
132,D4,47.672,0.328,58,110.0
133,B4,48.0,37/50,72,110.0
134,G4,48.0,0.812,58,110.0
135,D4,48.0,22/25,58,110.0
136,A3,48.635,2.5,48,110.0
137,E-3,48.635,2.5,48,110.0
138,F2,48.635,2.5,48,110.0
139,E-4,49.604,0.125,83,110.0
140,G4,49.974,0.5,76,110.0
141,E-5,50.521,177/1000,67,110.0
142,E5,50.589,167/1000,66,110.0
143,F5,50.688,0.672,86,110.0
144,E-5,51.615,69/250,100,110.0
145,C5,52.031,177/1000,70,110.0
146,C#5,52.031,177/1000,70,110.0
147,E-3,52.068,113/100,57,110.0
148,C2,52.083,0.984,49,110.0
149,D5,52.224,0.734,63,110.0
150,G4,54.042,99/250,62,110.0
151,E-4,54.042,99/250,62,110.0
152,B-3,54.073,401/500,62,110.0
153,F5,55.703,0.297,97,110.0
154,C5,56.062,0.594,55,110.0
155,C#5,56.594,83/1000,45,110.0
156,G3,56.646,0.578,26,110.0
157,A2,56.656,237/500,37,110.0
158,D5,56.667,317/125,73,110.0
159,G#4,57.979,151/1000,37,110.0
160,E-4,57.979,151/1000,37,110.0
161,F#3,57.979,151/1000,37,110.0
162,C4,57.979,151/1000,37,110.0
163,D3,57.979,151/1000,37,110.0
164,A4,58.969,167/1000,38,110.0
165,C4,58.969,167/1000,38,110.0
166,F#3,58.969,167/1000,38,110.0
167,E4,58.984,307/1000,43,110.0
168,D3,59.0,167/1000,36,110.0
169,F#3,59.0,167/1000,36,110.0
170,B-4,59.99,1/100,89,110.0
171,G2,59.99,1/100,46,110.0
172,F3,59.995,1/200,48,110.0
173,B-4,60.0,323/500,89,110.0
174,G2,60.0,1943/1000,46,110.0
175,F3,60.0,373/200,48,110.0
176,D4,60.005,233/250,66,110.0
177,G4,60.771,0.25,18,110.0
178,B-4,60.969,839/1000,67,110.0
179,G4,61.708,0.344,71,110.0
180,E-4,62.74,177/500,57,110.0
181,C4,62.745,417/1000,54,110.0
182,F#3,62.75,49/100,66,110.0
183,D4,63.75,0.25,42,110.0
184,G2,63.75,0.25,42,110.0
185,B-3,63.776,28/125,48,110.0
186,F3,63.781,0.219,31,110.0
187,B-3,64.0,83/1000,48,110.0
188,F3,64.0,0.281,31,110.0
189,D4,64.0,0.156,42,110.0
190,G2,64.0,0.156,42,110.0
191,G4,64.812,0.266,47,110.0
192,A4,65.057,0.734,87,110.0
193,A3,66.042,979/500,41,110.0
194,D4,66.042,979/500,27,110.0
195,B-4,66.042,67/125,99,110.0
196,B-3,66.052,487/250,46,110.0
197,A4,66.745,0.312,70,110.0
198,B-4,67.438,229/500,88,110.0
199,A3,68.0,487/250,41,110.0
200,D4,68.0,323/250,27,110.0
201,B-3,68.0,1.531,46,110.0
202,D5,68.073,583/1000,85,110.0
203,E3,68.083,237/125,49,110.0
204,G#5,68.646,0.109,79,110.0
205,A5,68.703,521/1000,73,110.0
206,B3,70.766,0.109,77,110.0
207,E-4,70.766,0.109,77,110.0
208,G4,70.766,0.109,77,110.0
209,G#2,70.766,0.109,77,110.0
210,C#2,70.844,0.078,42,110.0
211,G4,72.057,49/200,35,110.0
212,G2,72.057,49/200,35,110.0
213,C2,72.057,49/200,35,110.0
214,D4,72.057,49/200,38,110.0
215,G2,72.057,49/200,38,110.0
216,B-3,72.057,49/200,38,110.0
217,C2,72.057,49/200,38,110.0
218,C#5,73.052,13/125,62,110.0
219,D5,73.146,0.672,59,110.0
220,G4,73.719,557/1000,78,110.0
221,G5,73.719,557/1000,78,110.0
222,A3,73.729,201/200,47,110.0
223,D4,73.729,201/200,47,110.0
224,B-3,73.729,201/200,47,110.0
225,E3,73.729,201/200,47,110.0
226,G3,74.745,89/1000,43,110.0
227,F5,75.031,0.406,89,110.0
228,B-3,75.667,333/1000,60,110.0
229,C3,75.667,333/1000,60,110.0
230,C5,75.682,13/100,68,110.0
231,C#5,75.682,13/100,68,110.0
232,D5,75.818,91/500,59,110.0
233,D5,76.0,763/500,59,110.0
234,B-3,76.0,2.703,60,110.0
235,C3,76.0,2.703,60,110.0
236,C5,77.536,151/1000,31,110.0
237,B-4,77.615,0.156,78,110.0
238,G4,77.729,27/200,39,110.0
239,E-4,77.812,3/25,68,110.0
240,D4,77.932,19/25,59,110.0
241,G3,78.656,0.094,54,110.0
242,F2,80.016,263/250,47,110.0
243,E-3,80.031,1.109,34,110.0
244,C5,80.656,0.125,90,110.0
245,C#5,80.656,0.125,90,110.0
246,D5,80.766,1.422,85,110.0
247,D4,82.057,113/100,37,110.0
248,E-3,82.062,63/50,45,110.0
249,A3,82.062,1193/1000,45,110.0
250,G#4,82.719,69/250,104,110.0
251,G4,83.083,13/50,37,110.0
252,F#4,83.401,0.25,59,110.0
253,E4,83.708,73/250,66,110.0
254,E4,84.0,1/200,66,110.0
255,B-2,84.057,349/125,47,110.0
256,A3,84.057,1357/500,34,110.0
257,F4,84.073,1073/1000,45,110.0
258,C5,85.031,521/1000,84,110.0
259,A4,85.708,427/1000,63,110.0
260,F3,86.729,27/200,30,110.0
261,F4,87.641,0.359,56,110.0
262,C#4,87.641,0.359,56,110.0
263,E-4,87.641,0.359,56,110.0
264,A3,87.641,0.359,56,110.0
265,E-3,87.719,0.281,29,110.0
266,F2,87.724,69/250,31,110.0
267,E-3,88.0,427/500,29,110.0
268,F2,88.0,19/25,31,110.0
269,F4,88.0,0.703,56,110.0
270,C#4,88.0,0.703,56,110.0
271,E-4,88.0,0.703,56,110.0
272,A3,88.0,0.703,56,110.0
273,G4,89.74,49/200,78,110.0
274,E-4,90.042,323/250,88,110.0
275,A4,90.042,271/500,78,110.0
276,B3,90.047,1.359,70,110.0
277,G4,90.755,0.266,52,110.0
278,A4,91.021,51/200,54,110.0
279,A3,91.021,51/200,54,110.0
280,B2,91.021,51/200,54,110.0
281,C#4,91.995,1/200,73,110.0
282,C#4,92.0,0.109,73,110.0
283,B-2,92.021,943/1000,40,110.0
284,F3,92.021,943/1000,40,110.0
285,D4,92.078,31/50,49,110.0
286,F4,92.677,251/100,61,110.0
287,B-2,93.839,28/125,65,110.0
288,B2,94.057,0.953,34,110.0
289,G#3,94.688,0.406,48,110.0
290,B3,94.688,0.406,48,110.0
291,B1,94.724,0.266,49,110.0
292,E-4,95.661,339/1000,61,110.0
293,B-3,95.661,339/1000,61,110.0
294,G3,95.672,0.328,46,110.0
295,E-3,95.688,0.312,48,110.0
296,C2,95.714,143/500,29,110.0
297,G3,96.0,99/500,46,110.0
298,E-3,96.0,97/125,48,110.0
299,C2,96.0,56/125,29,110.0
300,E-4,96.0,0.219,61,110.0
301,B-3,96.0,0.219,61,110.0
302,F4,97.682,0.344,102,110.0
303,G4,97.964,26/125,75,110.0
304,E-3,97.969,0.938,50,110.0
305,A3,97.969,0.938,50,110.0
306,F2,97.969,0.938,50,110.0
307,G#4,98.052,161/1000,62,110.0
308,A4,98.146,127/200,70,110.0
309,G4,99.495,26/125,53,110.0
310,A4,99.703,99/500,74,110.0
311,D5,100.01,677/1000,81,110.0
312,B-1,100.01,677/1000,81,110.0
313,D3,100.667,0.688,59,110.0
314,A4,100.667,0.281,90,110.0
315,B2,101.641,177/500,61,110.0
316,E2,101.99,943/1000,62,110.0
317,D4,102.615,0.312,63,110.0
318,F#4,102.615,0.312,63,110.0
319,C#4,102.615,0.312,63,110.0
320,A4,102.615,0.312,63,110.0
321,A4,103.661,0.234,64,110.0
322,F4,103.661,0.234,64,110.0
323,C4,103.661,0.234,64,110.0
324,E-2,103.661,0.234,64,110.0
325,C#4,103.661,0.203,65,110.0
326,F4,103.661,0.203,65,110.0
327,C4,103.661,0.203,65,110.0
328,D2,104.677,0.344,57,110.0
329,C5,104.693,0.219,70,110.0
330,F3,104.693,0.219,70,110.0
331,C#4,105.635,87/100,77,110.0
332,G4,105.635,0.828,67,110.0
333,B-3,105.635,0.828,67,110.0
334,C#2,105.656,1.266,69,110.0
335,E3,106.776,0.234,50,110.0
336,C#4,107.047,349/1000,69,110.0
337,E4,107.047,349/1000,69,110.0
338,B-3,107.047,349/1000,69,110.0
339,C2,107.844,0.156,23,110.0
340,C2,108.0,0.484,23,110.0
341,E-4,108.073,443/1000,64,110.0
342,B-3,108.073,443/1000,64,110.0
343,E-3,108.073,443/1000,64,110.0
344,G3,108.083,0.594,54,110.0
345,B3,109.641,99/250,60,110.0
346,F4,109.641,99/250,60,110.0
347,G#3,109.641,99/250,60,110.0
348,D2,109.641,99/250,60,110.0
349,F3,109.641,99/250,60,110.0
350,G4,110.995,71/125,56,110.0
