,note_name,start_time,duration,velocity,tempo
0,G2,1.0,2.0,95,150.0
1,G2,3.0,1.0,47,150.0
2,G2,4.0,3.0,47,150.0
3,G4,9.0,0.25,95,150.0
4,A4,9.25,2.75,95,150.0
5,C5,13.333,333/1000,95,150.0
6,E5,13.667,333/1000,70,150.0
7,D5,14.0,1.0,95,150.0
8,D5,15.0,0.25,95,150.0
9,B4,15.25,0.25,70,150.0
10,C5,15.5,0.5,95,150.0
11,G4,16.25,1.75,95,150.0
12,F#4,18.0,2.0,95,150.0
13,F#4,20.0,0.5,47,150.0
14,E4,20.5,0.25,95,150.0
15,F#4,20.75,0.25,95,150.0
16,G4,21.0,0.25,95,150.0
17,G4,21.25,0.25,95,150.0
18,F#4,21.5,0.25,70,150.0
19,E4,21.75,0.25,95,150.0
20,F#4,22.0,0.25,95,150.0
21,E4,22.25,0.5,95,150.0
22,D4,22.75,0.75,95,150.0
23,E4,23.5,0.5,95,150.0
24,E4,24.0,1.0,47,150.0
25,C4,25.333,333/1000,95,150.0
26,D4,25.667,333/1000,95,150.0
27,B3,26.0,2.0,95,150.0
28,G#3,28.75,0.25,95,150.0
29,A3,29.0,0.25,70,150.0
30,C4,29.25,0.25,95,150.0
31,D4,29.5,0.25,95,150.0
32,E-4,29.75,0.25,95,150.0
33,E4,30.0,0.25,95,150.0
34,E-4,30.25,0.25,95,150.0
35,F#4,30.5,0.25,95,150.0
36,E4,30.75,0.25,70,150.0
37,E-4,31.0,0.25,95,150.0
38,E4,31.25,0.25,95,150.0
39,F#4,31.5,0.25,95,150.0
40,G4,31.75,0.25,95,150.0
41,A4,32.0,0.25,95,150.0
42,G4,32.25,0.25,95,150.0
43,B4,32.5,0.25,95,150.0
44,A4,32.75,0.25,70,150.0
45,C5,33.0,0.25,95,150.0
46,B4,33.25,1.0,95,150.0
47,B4,34.25,0.25,47,150.0
48,B4,34.5,0.5,47,150.0
49,C5,35.0,0.5,70,150.0
50,A4,35.5,0.5,95,150.0
51,B4,36.0,1.25,70,150.0
52,G4,37.25,0.25,95,150.0
53,E4,37.5,0.5,70,150.0
54,D3,40.5,0.25,95,150.0
