,note_name,start_time,duration,velocity,tempo
0,B1,8.0,83/40,75,88.0
1,D2,8.0,26/125,80,88.0
2,C#4,8.1,683/1000,105,88.0
3,D4,8.725,73/250,117,88.0
4,D2,8.742,26/125,30,88.0
5,A3,8.992,267/1000,46,88.0
6,D4,8.992,267/1000,46,88.0
7,D4,9.0,73/250,55,88.0
8,C#4,9.0,73/250,55,88.0
9,A3,9.0,73/250,55,88.0
10,F#4,9.0,73/250,55,88.0
11,D2,9.0,26/125,85,88.0
12,F#2,9.0,26/125,85,88.0
13,C#5,9.067,7/10,117,88.0
14,D2,9.742,26/125,90,88.0
15,G#4,9.792,276/125,112,88.0
16,F#2,10.0,2.0,66,88.0
17,D2,10.0,26/125,80,88.0
18,D2,10.742,26/125,20,88.0
19,D4,11.0,3/10,46,88.0
20,C#4,11.0,3/10,46,88.0
21,A3,11.0,3/10,46,88.0
22,F#4,11.0,3/10,46,88.0
23,D4,11.0,267/1000,59,88.0
24,A3,11.0,267/1000,59,88.0
25,D2,11.0,26/125,90,88.0
26,F#2,11.0,26/125,90,88.0
27,D2,11.742,26/125,70,88.0
28,B2,12.0,87/40,77,88.0
29,F#2,12.0,1/10,66,88.0
30,G#4,12.0,173/250,112,88.0
31,D2,12.0,26/125,80,88.0
32,F#4,12.692,683/1000,117,88.0
33,D2,12.717,26/125,30,88.0
34,D4,13.0,267/1000,46,88.0
35,C#4,13.0,267/1000,46,88.0
36,A3,13.0,267/1000,46,88.0
37,F#4,13.0,267/1000,46,88.0
38,D2,13.0,26/125,85,88.0
39,F#2,13.0,26/125,85,88.0
40,A3,13.033,267/1000,50,88.0
41,D4,13.033,267/1000,50,88.0
42,A4,13.375,329/500,117,88.0
43,D2,13.717,26/125,90,88.0
44,F#2,14.0,473/250,80,88.0
45,D2,14.0,26/125,80,88.0
46,G#4,14.025,329/500,100,88.0
47,F#4,14.717,3/5,116,88.0
48,D2,14.717,26/125,20,88.0
49,D4,15.0,267/1000,54,88.0
50,C#4,15.0,267/1000,54,88.0
51,A3,15.0,267/1000,54,88.0
52,F#4,15.0,267/1000,54,88.0
53,D2,15.0,26/125,80,88.0
54,F#2,15.0,26/125,80,88.0
55,C#2,15.0,26/125,80,88.0
56,D4,15.025,267/1000,59,88.0
57,A3,15.025,267/1000,59,88.0
58,B3,15.383,21/40,112,88.0
59,D2,15.717,26/125,70,88.0
60,B1,16.0,249/125,77,88.0
61,D2,16.0,26/125,80,88.0
62,C#4,16.017,1583/1000,115,88.0
63,D2,16.717,26/125,20,88.0
64,A3,16.992,267/1000,46,88.0
65,D4,16.992,267/1000,46,88.0
66,D4,17.0,73/250,55,88.0
67,C#4,17.0,73/250,55,88.0
68,A3,17.0,73/250,55,88.0
69,F#4,17.0,73/250,55,88.0
70,D2,17.0,26/125,85,88.0
71,F#2,17.0,26/125,85,88.0
72,D2,17.717,26/125,90,88.0
73,C#4,17.783,2217/1000,117,88.0
74,F#2,18.0,39/20,81,88.0
75,D2,18.0,26/125,80,88.0
76,D2,18.717,26/125,20,88.0
77,D4,19.0,3/10,46,88.0
78,C#4,19.0,3/10,46,88.0
79,A3,19.0,3/10,46,88.0
80,F#4,19.0,3/10,46,88.0
81,D4,19.0,267/1000,59,88.0
82,A3,19.0,267/1000,59,88.0
83,D2,19.0,26/125,80,88.0
84,F#2,19.0,26/125,80,88.0
85,C#2,19.0,26/125,80,88.0
86,D2,19.717,26/125,70,88.0
87,B1,20.0,1983/1000,77,88.0
88,C#4,20.0,7/5,117,88.0
89,D2,20.0,26/125,80,88.0
90,D2,20.717,26/125,20,88.0
91,D4,21.0,267/1000,46,88.0
92,C#4,21.0,267/1000,46,88.0
93,A3,21.0,267/1000,46,88.0
94,F#4,21.0,267/1000,46,88.0
95,D2,21.0,26/125,85,88.0
96,F#2,21.0,26/125,85,88.0
97,A3,21.033,267/1000,50,88.0
98,D4,21.033,267/1000,50,88.0
99,D2,21.717,26/125,90,88.0
100,F#2,22.0,829/500,73,88.0
101,D2,22.0,26/125,80,88.0
102,C#4,22.1,29/40,117,88.0
103,D2,22.717,26/125,20,88.0
104,B3,22.8,179/500,85,88.0
105,D4,23.0,267/1000,54,88.0
106,C#4,23.0,267/1000,54,88.0
107,A3,23.0,267/1000,54,88.0
108,F#4,23.0,267/1000,54,88.0
109,D2,23.0,26/125,80,88.0
110,F#2,23.0,26/125,80,88.0
111,C#2,23.0,26/125,80,88.0
112,D4,23.025,267/1000,59,88.0
113,A3,23.025,267/1000,59,88.0
114,F#4,23.1,173/250,116,88.0
115,B0,23.667,1/20,64,88.0
116,D2,23.717,26/125,70,88.0
117,C#4,23.817,183/1000,116,88.0
118,B1,24.0,83/40,73,88.0
119,C#4,24.0,879/500,116,88.0
120,D2,24.0,26/125,80,88.0
121,D2,24.742,26/125,30,88.0
122,A3,24.992,267/1000,46,88.0
