,note_name,start_time,duration,velocity,tempo
0,G2,0.01,2573/1000,32,90.0
1,G4,0.01,1.688,60,90.0
2,D4,0.01,151/125,64,90.0
3,G2,0.01,399/100,64,90.0
4,A3,0.01,2.438,48,90.0
5,G3,0.01,2.438,48,90.0
6,D4,0.5,1.531,56,90.0
7,D5,0.5,3.5,56,90.0
8,D4,0.5,771/1000,60,90.0
9,G3,0.75,349/500,64,90.0
10,G4,1.25,1.156,60,90.0
11,G5,1.25,2.0,48,90.0
12,G4,1.25,2.75,60,90.0
13,D4,1.5,1083/1000,60,90.0
14,D4,1.75,677/1000,48,90.0
15,A4,2.0,177/250,56,90.0
16,A5,2.0,2.0,48,90.0
17,G3,2.0,323/250,64,90.0
18,E4,2.5,149/100,56,90.0
19,B4,2.75,677/1000,60,90.0
20,B5,2.75,1.25,56,90.0
21,D4,3.25,0.75,56,90.0
22,G4,3.5,0.5,52,90.0
23,G5,3.5,0.5,48,90.0
24,G3,3.5,229/500,64,90.0
25,D4,4.0,1.219,48,90.0
26,B2,4.0,849/500,29,90.0
27,G4,4.0,73/250,52,90.0
28,B5,4.0,6/25,56,90.0
29,G5,4.0,0.438,48,90.0
30,D5,4.0,177/1000,56,90.0
31,A5,4.0,0.5,48,90.0
32,B2,4.0,4.0,64,90.0
33,G2,4.0,21/1000,64,90.0
34,G4,4.0,13/125,60,90.0
35,B3,4.0,194/125,52,90.0
36,A3,4.0,194/125,52,90.0
37,G4,4.0,194/125,52,90.0
38,D4,4.5,1073/1000,56,90.0
39,B5,4.5,1/100,16,90.0
40,D5,4.5,3.5,60,90.0
41,D4,4.5,771/1000,60,90.0
42,G3,4.75,349/500,64,90.0
43,G4,5.25,56/125,60,90.0
44,G5,5.25,901/500,48,90.0
45,G4,5.25,2.75,60,90.0
46,D4,5.5,1083/1000,60,90.0
47,D4,5.75,0.281,48,90.0
48,A4,6.0,177/250,56,90.0
49,A5,6.0,2.0,56,90.0
50,G3,6.0,323/250,64,90.0
51,E4,6.5,149/100,56,90.0
52,B4,6.75,677/1000,60,90.0
53,B5,6.75,1.25,48,90.0
54,D4,7.25,0.75,56,90.0
55,G4,7.5,0.5,52,90.0
56,G5,7.5,0.5,52,90.0
57,G3,7.5,229/500,64,90.0
58,C3,8.0,2.688,48,90.0
59,D4,8.0,1.156,56,90.0
60,G4,8.0,87/50,52,90.0
61,G4,8.0,73/250,52,90.0
62,B5,8.0,417/1000,48,90.0
63,A5,8.0,521/1000,56,90.0
64,G5,8.0,0.5,52,90.0
65,D5,8.0,6/25,60,90.0
66,C3,8.0,4.0,64,90.0
67,B2,8.0,1/100,64,90.0
68,G4,8.0,13/125,60,90.0
69,C4,8.0,249/100,48,90.0
70,E4,8.0,249/100,48,90.0
71,G3,8.0,249/100,48,90.0
72,D4,8.5,181/125,56,90.0
