,note_name,start_time,duration,velocity,tempo
0,G#2,4.0,1/200,127,92.0
1,G#2,5.0,1/200,127,92.0
2,G#2,6.0,1/200,127,92.0
3,G#2,7.0,1/200,127,92.0
4,E1,8.0,1.5,90,92.0
5,G#2,8.0,1/200,100,92.0
6,A4,8.0,1/200,64,92.0
7,A4,8.5,1/200,49,92.0
8,G#2,9.0,1/200,100,92.0
9,A4,9.0,1/200,49,92.0
10,C#2,9.5,1.0,90,92.0
11,A4,9.5,1/200,61,92.0
12,G#2,10.0,1/200,100,92.0
13,A4,10.0,1/200,49,92.0
14,B1,10.5,1.0,90,92.0
15,A4,10.5,1/200,58,92.0
16,G#2,11.0,1/200,100,92.0
17,A4,11.0,1/200,61,92.0
18,C#2,11.5,0.438,84,92.0
19,A4,11.5,1/200,49,92.0
20,E2,12.0,1.5,84,92.0
21,G#2,12.0,1/200,100,92.0
22,A4,12.0,1/200,64,92.0
23,A4,12.5,1/200,49,92.0
24,G#2,13.0,1/200,100,92.0
25,A4,13.0,1/200,49,92.0
26,C#2,13.5,0.938,84,92.0
27,A4,13.5,1/200,61,92.0
28,G#2,14.0,1/200,100,92.0
29,A4,14.0,1/200,49,92.0
30,C#2,14.5,0.5,84,92.0
31,A4,14.5,1/200,58,92.0
32,B1,15.0,0.5,84,92.0
33,G#2,15.0,1/200,100,92.0
34,A4,15.0,1/200,61,92.0
35,C#2,15.5,0.438,84,92.0
36,A4,15.5,1/200,49,92.0
37,E1,16.0,1.5,90,92.0
38,G#2,16.0,1/200,100,92.0
39,A4,16.0,1/200,64,92.0
40,A4,16.5,1/200,49,92.0
41,G#2,17.0,1/200,100,92.0
42,A4,17.0,1/200,49,92.0
43,C#2,17.5,0.938,90,92.0
44,A4,17.5,1/200,61,92.0
45,G#2,18.0,1/200,100,92.0
46,A4,18.0,1/200,49,92.0
47,B1,18.5,0.938,90,92.0
48,A4,18.5,1/200,58,92.0
49,G#2,19.0,1/200,100,92.0
50,A4,19.0,1/200,61,92.0
51,C#2,19.5,0.5,90,92.0
52,A4,19.5,1/200,49,92.0
53,E2,20.0,1.5,87,92.0
54,G#2,20.0,1/200,100,92.0
55,A4,20.0,1/200,64,92.0
56,A4,20.5,1/200,49,92.0
57,G#2,21.0,1/200,100,92.0
58,A4,21.0,1/200,49,92.0
59,B1,21.5,0.312,81,92.0
60,A4,21.5,1/200,61,92.0
61,G#2,22.0,1/200,100,92.0
62,A4,22.0,1/200,49,92.0
63,C#2,22.5,1.0,84,92.0
64,A4,22.5,1/200,58,92.0
65,G#2,23.0,1/200,100,92.0
66,A4,23.0,1/200,61,92.0
67,B1,23.5,0.5,84,92.0
68,A4,23.5,1/200,49,92.0
69,E1,24.0,1.5,90,92.0
70,B5,24.0,2.125,87,92.0
71,G#2,24.0,1/200,100,92.0
72,B1,24.0,1/200,69,92.0
73,A4,24.0,1/200,64,92.0
74,E4,24.0,4.0,56,92.0
75,B3,24.0,4.0,56,92.0
76,G#3,24.0,4.0,56,92.0
77,A4,24.5,1/200,49,92.0
78,G#2,25.0,1/200,100,92.0
79,A4,25.0,1/200,49,92.0
80,C#2,25.5,0.938,90,92.0
81,C#2,25.5,1/200,90,92.0
82,B1,25.5,1/200,64,92.0
83,A4,25.5,1/200,61,92.0
84,G#2,26.0,1/200,100,92.0
85,A4,26.0,1/200,49,92.0
86,B1,26.5,0.938,90,92.0
87,B1,26.5,1/200,64,92.0
88,A4,26.5,1/200,58,92.0
89,G#2,27.0,1/200,100,92.0
90,C#2,27.0,1/200,90,92.0
91,A4,27.0,1/200,61,92.0
92,G#1,27.5,0.5,87,92.0
93,B1,27.5,1/200,64,92.0
94,A4,27.5,1/200,49,92.0
95,A1,28.0,1.5,90,92.0
96,C#6,28.0,2.125,87,92.0
97,G#2,28.0,1/200,100,92.0
98,B1,28.0,1/200,69,92.0
99,A4,28.0,1/200,64,92.0
100,A3,28.0,4.0,56,92.0
101,C#4,28.0,4.0,56,92.0
102,E4,28.0,4.0,56,92.0
103,E4,28.5,0.25,69,92.0
104,A4,28.5,1/200,49,92.0
105,A4,29.0,0.25,78,92.0
106,G#2,29.0,1/200,100,92.0
107,C#2,29.0,1/200,87,92.0
108,A4,29.0,1/200,49,92.0
109,F#2,29.5,0.938,90,92.0
110,C#5,29.5,0.25,87,92.0
111,B1,29.5,1/200,64,92.0
112,A4,29.5,1/200,61,92.0
113,E5,30.0,0.25,93,92.0
114,G#2,30.0,1/200,100,92.0
115,A4,30.0,1/200,49,92.0
116,E2,30.5,0.938,90,92.0
117,C#2,30.5,1/200,90,92.0
118,B1,30.5,1/200,64,92.0
119,A4,30.5,1/200,58,92.0
120,G#2,31.0,1/200,100,92.0
121,A4,31.0,1/200,61,92.0
122,C#2,31.5,0.5,87,92.0
123,B1,31.5,1/200,64,92.0
124,A4,31.5,1/200,49,92.0
125,E1,32.0,1.5,87,92.0
126,B5,32.0,2.125,90,92.0
127,E5,32.0,0.25,87,92.0
128,G#2,32.0,1/200,100,92.0
129,C#2,32.0,1/200,93,92.0
130,B1,32.0,1/200,69,92.0
131,A4,32.0,1/200,64,92.0
132,G#3,32.0,4.0,56,92.0
133,B3,32.0,4.0,56,92.0
134,E4,32.0,4.0,56,92.0
135,E5,32.5,0.25,72,92.0
136,A4,32.5,1/200,49,92.0
137,C#5,33.0,0.25,93,92.0
138,G#2,33.0,1/200,100,92.0
139,A4,33.0,1/200,49,92.0
140,B1,33.5,1.0,87,92.0
141,C#5,33.5,0.25,72,92.0
142,C#2,33.5,1/200,90,92.0
143,B1,33.5,1/200,64,92.0
144,A4,33.5,1/200,61,92.0
145,B4,34.0,0.25,90,92.0
146,G#2,34.0,1/200,100,92.0
147,A4,34.0,1/200,49,92.0
148,C#2,34.5,1.0,87,92.0
149,B4,34.5,0.25,72,92.0
150,B1,34.5,1/200,64,92.0
151,A4,34.5,1/200,58,92.0
152,G#4,35.0,0.25,90,92.0
153,G#2,35.0,1/200,100,92.0
154,C#2,35.0,1/200,95,92.0
155,A4,35.0,1/200,61,92.0
156,B1,35.5,0.5,87,92.0
157,G#4,35.5,0.25,72,92.0
158,B1,35.5,1/200,64,92.0
159,A4,35.5,1/200,49,92.0
160,E2,36.0,1.5,84,92.0
161,E4,36.0,0.25,90,92.0
162,G#2,36.0,1/200,100,92.0
163,B1,36.0,1/200,69,92.0
164,A4,36.0,1/200,64,92.0
165,A4,36.5,1/200,49,92.0
166,G#2,37.0,1/200,100,92.0
167,C#2,37.0,1/200,90,92.0
168,A4,37.0,1/200,49,92.0
169,C#2,37.5,1.0,84,92.0
170,B1,37.5,1/200,64,92.0
171,A4,37.5,1/200,61,92.0
172,G#2,38.0,1/200,100,92.0
173,A4,38.0,1/200,49,92.0
174,B1,38.5,1.0,84,92.0
175,C#2,38.5,1/200,87,92.0
176,B1,38.5,1/200,64,92.0
177,A4,38.5,1/200,58,92.0
178,G#2,39.0,1/200,100,92.0
179,A4,39.0,1/200,61,92.0
180,C#2,39.5,0.5,84,92.0
181,B1,39.5,1/200,64,92.0
182,A4,39.5,1/200,49,92.0
183,E1,40.0,1.5,84,92.0
184,B5,40.0,2.125,87,92.0
185,G#2,40.0,1/200,100,92.0
186,C#2,40.0,1/200,93,92.0
187,B1,40.0,1/200,69,92.0
188,A4,40.0,1/200,64,92.0
189,G#3,40.0,4.0,56,92.0
190,B3,40.0,4.0,56,92.0
191,E4,40.0,4.0,56,92.0
192,A4,40.5,1/200,49,92.0
193,G#2,41.0,1/200,100,92.0
194,A4,41.0,1/200,49,92.0
195,C#2,41.5,1.0,84,92.0
196,C#2,41.5,1/200,90,92.0
197,B1,41.5,1/200,64,92.0
198,A4,41.5,1/200,61,92.0
199,G#2,42.0,1/200,100,92.0
200,A4,42.0,1/200,49,92.0
201,B1,42.5,1.0,81,92.0
202,B1,42.5,1/200,64,92.0
203,A4,42.5,1/200,58,92.0
204,G#2,43.0,1/200,100,92.0
205,C#2,43.0,1/200,95,92.0
206,A4,43.0,1/200,61,92.0
207,C#2,43.5,0.5,81,92.0
208,B1,43.5,1/200,64,92.0
209,A4,43.5,1/200,49,92.0
210,A1,44.0,1.5,81,92.0
211,C#6,44.0,2.125,87,92.0
212,G#2,44.0,1/200,100,92.0
213,B1,44.0,1/200,69,92.0
214,A4,44.0,1/200,64,92.0
215,E4,44.0,4.0,56,92.0
216,B3,44.0,4.0,56,92.0
217,G#3,44.0,4.0,56,92.0
218,A4,44.5,1/200,49,92.0
219,G#2,45.0,1/200,100,92.0
220,C#2,45.0,1/200,90,92.0
221,A4,45.0,1/200,49,92.0
222,F#2,45.5,1.0,81,92.0
223,B1,45.5,1/200,64,92.0
224,A4,45.5,1/200,61,92.0
225,G#2,46.0,1/200,100,92.0
226,A4,46.0,1/200,49,92.0
227,E2,46.5,1.0,78,92.0
228,C#2,46.5,1/200,87,92.0
229,B1,46.5,1/200,64,92.0
230,A4,46.5,1/200,58,92.0
231,G#2,47.0,1/200,100,92.0
232,A4,47.0,1/200,61,92.0
233,C#2,47.5,0.5,78,92.0
234,B1,47.5,1/200,64,92.0
235,A4,47.5,1/200,49,92.0
236,E1,48.0,1.5,78,92.0
237,B5,48.0,2.125,90,92.0
238,G#2,48.0,1/200,100,92.0
239,C#2,48.0,1/200,93,92.0
240,B1,48.0,1/200,69,92.0
241,A4,48.0,1/200,64,92.0
242,A3,48.0,4.0,56,92.0
243,C#4,48.0,4.0,56,92.0
244,E4,48.0,4.0,56,92.0
245,A4,48.5,1/200,49,92.0
246,G#2,49.0,1/200,100,92.0
247,A4,49.0,1/200,49,92.0
248,B1,49.5,1.0,78,92.0
249,C#2,49.5,1/200,90,92.0
250,B1,49.5,1/200,64,92.0
251,A4,49.5,1/200,61,92.0
252,G#2,50.0,1/200,100,92.0
253,A4,50.0,1/200,49,92.0
254,C#2,50.5,1.0,72,92.0
255,B1,50.5,1/200,64,92.0
256,A4,50.5,1/200,58,92.0
257,G#2,51.0,1/200,100,92.0
258,C#2,51.0,1/200,95,92.0
259,A4,51.0,1/200,61,92.0
260,B1,51.5,0.5,75,92.0
261,B1,51.5,1/200,64,92.0
262,A4,51.5,1/200,49,92.0
263,E2,52.0,1.5,78,92.0
264,G#2,52.0,1/200,100,92.0
265,B1,52.0,1/200,69,92.0
266,A4,52.0,1/200,64,92.0
267,G#3,52.0,4.0,56,92.0
268,B3,52.0,4.0,56,92.0
269,E4,52.0,4.0,56,92.0
270,A4,52.5,1/200,49,92.0
271,G#2,53.0,1/200,100,92.0
272,C#2,53.0,1/200,90,92.0
273,A4,53.0,1/200,49,92.0
274,C#2,53.5,1.0,78,92.0
275,B1,53.5,1/200,64,92.0
276,A4,53.5,1/200,61,92.0
277,G#2,54.0,1/200,100,92.0
278,A4,54.0,1/200,49,92.0
279,B1,54.5,1.0,78,92.0
280,C#2,54.5,1/200,87,92.0
281,B1,54.5,1/200,64,92.0
282,A4,54.5,1/200,58,92.0
283,G#2,55.0,1/200,100,92.0
284,A4,55.0,1/200,61,92.0
285,C#2,55.5,0.5,78,92.0
286,B1,55.5,1/200,64,92.0
287,A4,55.5,1/200,49,92.0
288,E1,56.0,1.5,78,92.0
289,B5,56.0,2.125,87,92.0
290,G#2,56.0,1/200,100,92.0
291,B1,56.0,1/200,69,92.0
292,A4,56.0,1/200,64,92.0
293,G#3,56.0,4.0,52,92.0
294,B3,56.0,4.0,52,92.0
295,A4,56.5,1/200,49,92.0
296,G#2,57.0,1/200,100,92.0
297,A4,57.0,1/200,49,92.0
298,G#1,57.5,1.0,75,92.0
299,C#2,57.5,1/200,90,92.0
300,B1,57.5,1/200,64,92.0
301,A4,57.5,1/200,61,92.0
302,G#2,58.0,1/200,100,92.0
303,A4,58.0,1/200,49,92.0
304,B1,58.5,1.0,75,92.0
305,B1,58.5,1/200,64,92.0
306,A4,58.5,1/200,58,92.0
307,G#2,59.0,1/200,100,92.0
308,C#2,59.0,1/200,90,92.0
309,A4,59.0,1/200,61,92.0
310,C2,59.5,0.5,78,92.0
311,B1,59.5,1/200,64,92.0
312,A4,59.5,1/200,49,92.0
313,C#2,60.0,1.5,81,92.0
314,C#6,60.0,2.125,87,92.0
315,G#2,60.0,1/200,100,92.0
316,B1,60.0,1/200,69,92.0
317,A4,60.0,1/200,64,92.0
318,G#3,60.0,4.0,55,92.0
319,C#4,60.0,4.0,55,92.0
320,G#3,60.0,4.0,56,92.0
321,B3,60.0,4.0,56,92.0
322,E4,60.0,4.0,56,92.0
323,A4,60.5,1/200,49,92.0
324,G#2,61.0,1/200,100,92.0
325,C#2,61.0,1/200,87,92.0
326,A4,61.0,1/200,49,92.0
327,G#1,61.5,1.0,81,92.0
328,B1,61.5,1/200,64,92.0
329,A4,61.5,1/200,61,92.0
330,G#2,62.0,1/200,100,92.0
331,A4,62.0,1/200,49,92.0
332,C#2,62.5,1.0,81,92.0
333,C#2,62.5,1/200,90,92.0
334,B1,62.5,1/200,64,92.0
335,A4,62.5,1/200,58,92.0
336,G#2,63.0,1/200,100,92.0
337,A4,63.0,1/200,61,92.0
338,B1,63.5,0.5,81,92.0
339,B1,63.5,1/200,64,92.0
340,A4,63.5,1/200,49,92.0
341,E2,64.0,1.438,81,92.0
342,B5,64.0,2.125,90,92.0
343,G#2,64.0,1/200,100,92.0
344,C#2,64.0,1/200,93,92.0
345,B1,64.0,1/200,69,92.0
346,A4,64.0,1/200,64,92.0
347,G#3,64.0,2.0,49,92.0
348,B3,64.0,2.0,49,92.0
349,G#3,64.0,4.0,55,92.0
350,B3,64.0,4.0,55,92.0
351,E4,64.0,4.0,55,92.0
352,A4,64.5,1/200,49,92.0
353,G#2,65.0,1/200,100,92.0
354,A4,65.0,1/200,49,92.0
355,F2,65.5,0.438,81,92.0
356,C#2,65.5,1/200,90,92.0
357,B1,65.5,1/200,64,92.0
358,A4,65.5,1/200,61,92.0
359,F#2,66.0,1.062,81,92.0
360,G#2,66.0,1/200,100,92.0
361,A4,66.0,1/200,49,92.0
