,note_name,start_time,duration,velocity,tempo
0,C#2,4.0,0.25,84,135.0
1,C#2,6.0,0.25,84,135.0
2,C#2,8.0,0.25,64,135.0
3,C#2,9.0,0.25,84,135.0
4,C#2,10.0,0.25,64,135.0
5,E2,10.833,83/1000,45,135.0
6,E2,10.917,83/1000,57,135.0
7,C#4,10.988,63/200,80,135.0
8,B-3,10.988,317/1000,69,135.0
9,F3,10.988,73/250,70,135.0
10,E-2,10.99,147/500,92,135.0
11,G3,10.99,319/1000,80,135.0
12,G3,10.99,73/250,76,135.0
13,F4,10.994,63/200,78,135.0
14,G4,10.994,73/250,76,135.0
15,C#4,10.994,147/500,77,135.0
16,C5,10.996,73/250,80,135.0
17,F4,10.996,73/250,84,135.0
18,E2,11.0,0.25,84,135.0
19,B1,11.0,0.25,84,135.0
20,E-5,11.002,37/125,97,135.0
21,E-3,11.004,317/1000,80,135.0
22,B-3,11.01,73/250,72,135.0
23,F#4,11.988,3/250,84,135.0
24,C#4,11.99,1/100,76,135.0
25,A4,11.99,1/100,84,135.0
26,A3,11.992,1/125,77,135.0
27,B2,11.992,1/125,78,135.0
28,C#5,11.998,1/500,86,135.0
29,F#4,11.998,1/500,48,135.0
30,E-4,11.998,1/500,48,135.0
31,A3,11.998,1/500,48,135.0
32,C#4,11.998,1/500,48,135.0
33,A3,12.0,1921/1000,77,135.0
34,C#4,12.0,1919/1000,76,135.0
35,B2,12.0,1917/1000,78,135.0
36,F#5,12.0,951/500,98,135.0
37,C#5,12.0,949/500,86,135.0
38,A4,12.0,189/100,84,135.0
39,F#4,12.0,236/125,84,135.0
40,B1,12.0,26/125,86,135.0
41,C#3,12.0,26/125,86,135.0
42,F#4,12.0,9/25,48,135.0
43,E-4,12.0,9/25,48,135.0
44,A3,12.0,9/25,48,135.0
45,C#4,12.0,9/25,48,135.0
46,E-4,12.002,951/500,80,135.0
47,F#3,12.002,951/500,73,135.0
48,E-4,12.006,77/40,80,135.0
49,F#4,12.008,77/40,75,135.0
50,B1,12.01,1329/1000,94,135.0
51,A3,12.01,19/10,70,135.0
52,C#4,12.01,19/10,76,135.0
53,F#4,12.704,327/1000,67,135.0
54,E-4,12.704,327/1000,67,135.0
55,C#4,12.704,327/1000,67,135.0
56,A3,12.704,327/1000,67,135.0
57,E-3,13.0,26/125,80,135.0
58,F#2,13.0,26/125,80,135.0
59,B1,13.004,827/1000,83,135.0
60,E-3,13.742,26/125,50,135.0
61,B1,13.742,26/125,50,135.0
62,B-1,13.992,1.094,83,135.0
63,F4,13.994,1521/1000,84,135.0
64,D4,13.996,773/500,72,135.0
65,G#3,13.996,387/250,70,135.0
66,B-2,13.996,773/500,70,135.0
67,F3,13.996,1523/1000,69,135.0
68,G5,13.998,1523/1000,97,135.0
69,F4,14.0,387/250,82,135.0
70,E-3,14.0,26/125,70,135.0
71,B1,14.0,26/125,70,135.0
72,G#3,14.002,1523/1000,80,135.0
73,C5,14.004,1523/1000,79,135.0
74,C4,14.008,773/500,80,135.0
75,G#4,14.01,1521/1000,76,135.0
76,D4,14.01,1521/1000,78,135.0
77,C4,14.01,1521/1000,75,135.0
78,D2,14.996,0.969,58,135.0
79,E-3,15.0,26/125,90,135.0
80,F#2,15.0,26/125,90,135.0
81,G4,15.654,9/40,78,135.0
82,G3,15.656,9/40,78,135.0
83,C#4,15.658,0.25,79,135.0
84,E-5,15.658,9/40,102,135.0
85,F4,15.66,0.25,86,135.0
86,C#4,15.66,9/40,82,135.0
