,note_name,start_time,duration,velocity,tempo
0,C#2,0.0,21/500,80,66.0
1,C#2,2.0,21/500,80,66.0
2,C#2,4.0,0.047,80,66.0
3,C#2,5.0,21/500,80,66.0
4,C#2,6.0,0.047,80,66.0
5,C#2,7.0,9/250,80,66.0
6,B-1,7.25,151/1000,44,66.0
7,B1,7.5,0.172,60,66.0
8,C2,7.75,73/500,71,66.0
9,F4,8.0,3.938,35,66.0
10,C#3,8.0,927/250,16,66.0
11,E-4,8.0,1.281,23,66.0
12,G#3,8.0,3.391,25,66.0
13,C#4,8.0,444/125,29,66.0
14,C#2,8.0,401/250,77,66.0
15,F4,8.0,3.938,35,66.0
16,C#3,8.0,927/250,16,66.0
17,E-4,8.0,1.281,23,66.0
18,G#3,8.0,3.391,25,66.0
19,C#4,8.0,444/125,29,66.0
20,F#2,8.0,0.047,98,66.0
21,B1,8.0,0.047,98,66.0
22,F#2,8.25,9/250,54,66.0
23,F#2,8.5,21/500,47,66.0
24,C#4,8.568,479/1000,66,66.0
25,F#2,8.75,9/250,50,66.0
26,F#2,9.0,0.047,84,66.0
27,D2,9.0,0.047,84,66.0
28,F4,9.016,0.531,68,66.0
29,F#2,9.25,21/500,50,66.0
30,F#2,9.5,21/500,54,66.0
31,G#4,9.505,0.516,60,66.0
32,B1,9.75,21/500,78,66.0
33,F#2,9.75,21/500,78,66.0
34,B-4,9.984,0.562,63,66.0
35,C#2,10.0,1521/1000,47,66.0
36,F#2,10.0,21/500,64,66.0
37,B1,10.0,21/500,64,66.0
38,F#2,10.25,21/500,49,66.0
39,G#4,10.5,0.531,63,66.0
40,F#2,10.5,9/250,82,66.0
41,B1,10.5,9/250,82,66.0
42,F#2,10.75,21/500,53,66.0
43,F#2,11.0,9/250,84,66.0
44,D2,11.0,9/250,84,66.0
45,F4,11.031,229/500,80,66.0
46,F#2,11.25,9/250,51,66.0
47,E-4,11.49,159/500,52,66.0
48,F#2,11.5,0.047,47,66.0
49,F#2,11.75,9/250,38,66.0
50,C#2,11.75,27/200,49,66.0
51,C#4,11.76,6/25,68,66.0
52,C#4,12.0,3099/1000,68,66.0
53,F#2,12.0,987/250,20,66.0
54,B-3,12.0,931/250,26,66.0
55,F#3,12.0,3589/1000,16,66.0
56,F#1,12.0,1.875,46,66.0
57,F#2,12.0,987/250,20,66.0
58,B-3,12.0,931/250,26,66.0
59,F#3,12.0,3589/1000,16,66.0
60,F#2,12.0,9/250,98,66.0
61,B1,12.0,9/250,98,66.0
62,C#4,12.0,4.0,21,66.0
63,C#3,12.0,4.0,21,66.0
64,C#4,12.0,4.0,21,66.0
65,C#3,12.0,4.0,21,66.0
66,F#2,12.25,21/500,54,66.0
67,F#2,12.5,9/250,47,66.0
68,F#2,12.75,21/500,50,66.0
69,F#2,13.0,21/500,84,66.0
70,D2,13.0,21/500,84,66.0
71,F#2,13.25,21/500,50,66.0
72,F#2,13.5,21/500,54,66.0
73,F#2,13.75,21/500,78,66.0
74,B1,13.75,21/500,78,66.0
75,F#1,14.0,1.5,38,66.0
76,B1,14.0,0.047,64,66.0
77,F#2,14.0,0.047,64,66.0
78,F#2,14.25,9/250,49,66.0
79,F#2,14.5,21/500,82,66.0
80,B1,14.5,21/500,82,66.0
81,F#2,14.75,9/250,53,66.0
82,F#2,15.0,21/500,84,66.0
83,D2,15.0,21/500,84,66.0
84,F#2,15.25,9/250,51,66.0
85,F#2,15.5,9/250,47,66.0
86,C#4,15.703,0.297,66,66.0
87,F#2,15.75,21/500,38,66.0
88,F#1,15.75,177/1000,47,66.0
89,E-4,15.99,1/100,63,66.0
90,C#4,16.0,13/500,66,66.0
91,E-4,16.0,0.328,63,66.0
92,G#1,16.0,23/200,17,66.0
93,F#2,16.0,9/250,98,66.0
94,B1,16.0,9/250,98,66.0
95,E-4,16.031,3589/1000,38,66.0
96,G#3,16.031,3589/1000,38,66.0
97,B3,16.031,3589/1000,38,66.0
98,E-3,16.031,4.0,21,66.0
99,G#2,16.031,4.0,21,66.0
100,C#4,16.031,0.031,21,66.0
101,C#3,16.031,0.031,21,66.0
102,E-4,16.031,3589/1000,38,66.0
103,G#3,16.031,3589/1000,38,66.0
104,B3,16.031,3589/1000,38,66.0
105,E-3,16.031,4.0,21,66.0
106,G#2,16.031,4.0,21,66.0
107,C#4,16.031,0.031,21,66.0
108,C#3,16.031,0.031,21,66.0
109,F#2,16.25,0.047,54,66.0
110,F#1,16.25,3/25,45,66.0
111,F#2,16.5,9/250,47,66.0
112,G#1,16.5,1.172,46,66.0
113,E-4,16.505,0.312,71,66.0
114,F#2,16.75,0.047,50,66.0
115,G#4,16.766,0.375,68,66.0
116,F#2,17.0,21/500,84,66.0
117,D2,17.0,21/500,84,66.0
118,F#2,17.25,21/500,50,66.0
119,G#4,17.255,271/500,68,66.0
120,F#2,17.5,9/250,54,66.0
121,F#2,17.75,9/250,78,66.0
122,B1,17.75,9/250,78,66.0
123,B-4,17.76,67/125,75,66.0
124,G#1,18.0,1661/1000,52,66.0
125,B1,18.0,0.047,64,66.0
126,F#2,18.0,0.047,64,66.0
127,F#2,18.25,9/250,49,66.0
128,G#4,18.281,0.484,63,66.0
129,F#2,18.5,21/500,82,66.0
130,B1,18.5,21/500,82,66.0
131,C#5,18.745,271/500,59,66.0
132,F#2,18.75,0.047,53,66.0
133,F#2,19.0,0.047,84,66.0
134,D2,19.0,0.047,84,66.0
135,F#2,19.25,21/500,51,66.0
136,B4,19.25,0.266,78,66.0
137,F#2,19.5,9/250,47,66.0
138,B-4,19.5,0.25,63,66.0
139,G#4,19.714,143/500,57,66.0
140,F#2,19.75,9/250,38,66.0
141,G#1,19.75,13/125,52,66.0
142,G#4,20.0,1/200,57,66.0
143,B-1,20.0,187/100,52,66.0
144,F#2,20.0,21/500,98,66.0
145,B1,20.0,21/500,98,66.0
146,B-4,20.005,393/500,58,66.0
147,B-4,20.068,3.625,36,66.0
