,note_name,start_time,duration,velocity,tempo
0,E1,0.0,0.25,68,92.0
1,E-4,0.0,3979/1000,48,92.0
2,G3,0.0,4.0,79,92.0
3,F5,0.0,73/500,76,92.0
4,E-4,0.0,0.062,61,92.0
5,F#4,0.0,0.062,61,92.0
6,E-3,0.0,333/1000,53,92.0
7,G#2,0.0,333/1000,53,92.0
8,F#3,0.0,333/1000,53,92.0
9,G3,0.042,1979/500,43,92.0
10,B3,0.083,3917/1000,51,92.0
11,F#4,0.083,3917/1000,51,92.0
12,B3,0.104,487/125,78,92.0
13,F#4,0.208,0.062,85,92.0
14,E-4,0.208,0.062,85,92.0
15,E-4,0.271,3729/1000,95,92.0
16,F#4,0.375,3.625,85,92.0
17,E1,0.5,13/125,66,92.0
18,E-5,0.521,0.125,68,92.0
19,F#4,0.708,0.125,94,92.0
20,E-4,0.708,0.125,94,92.0
21,E1,0.75,349/125,60,92.0
22,F#3,0.938,177/500,49,92.0
23,F5,1.0,73/500,64,92.0
24,E-3,1.0,26/125,48,92.0
25,G#2,1.0,26/125,48,92.0
26,E-4,1.25,0.062,70,92.0
27,F#4,1.25,0.062,70,92.0
28,E-5,1.271,73/500,57,92.0
29,F#4,1.729,13/125,84,92.0
30,E-4,1.729,13/125,84,92.0
31,F5,1.771,73/500,63,92.0
32,F#3,1.917,177/500,50,92.0
33,E-3,2.0,13/125,56,92.0
34,G#2,2.0,13/125,56,92.0
35,E4,2.0,13/125,56,92.0
36,E-5,2.042,26/125,49,92.0
37,E4,2.25,0.125,51,92.0
38,E-4,2.25,83/1000,72,92.0
39,F#4,2.25,83/1000,72,92.0
40,E4,2.479,13/125,59,92.0
41,F5,2.5,26/125,62,92.0
42,E-4,2.729,83/1000,69,92.0
43,E-4,2.729,73/500,94,92.0
44,F#4,2.729,73/500,94,92.0
45,E-5,2.771,0.188,60,92.0
46,F#3,2.958,333/1000,54,92.0
47,G#2,3.0,167/1000,46,92.0
48,E-3,3.0,167/1000,46,92.0
49,E-4,3.229,21/500,83,92.0
50,F#4,3.229,21/500,83,92.0
51,E-5,3.729,73/500,61,92.0
