,note_name,start_time,duration,velocity,tempo
0,G4,7.0,4/5,94,104.0
1,C2,8.0,83/40,86,104.0
2,E4,8.0,2133/1000,94,104.0
3,G4,8.0,4.0,60,104.0
4,E4,8.0,4.0,60,104.0
5,C5,8.0,4.0,60,104.0
6,C4,8.0,4.0,60,104.0
7,B1,8.0,26/125,60,104.0
8,D2,8.0,26/125,60,104.0
9,F#2,8.0,26/125,60,104.0
10,C4,9.0,9/40,60,104.0
11,E3,9.0,9/40,60,104.0
12,F#2,9.0,26/125,80,104.0
13,C#2,9.0,26/125,80,104.0
14,F#2,9.717,26/125,50,104.0
15,G2,10.0,2.0,77,104.0
16,B1,10.0,26/125,70,104.0
17,F#2,10.0,26/125,70,104.0
18,E-4,10.667,267/1000,94,104.0
19,E4,11.0,533/1000,94,104.0
20,C4,11.0,11/40,61,104.0
21,E3,11.0,11/40,61,104.0
22,F#2,11.0,26/125,85,104.0
23,C#2,11.0,26/125,85,104.0
24,E-4,11.667,267/1000,94,104.0
25,F#2,11.717,26/125,50,104.0
26,C3,12.0,87/40,88,104.0
27,G2,12.0,1/10,77,104.0
28,E4,12.0,4/5,94,104.0
29,B1,12.0,26/125,70,104.0
30,F#2,12.0,26/125,70,104.0
31,C5,13.0,4/5,94,104.0
32,C4,13.0,129/500,64,104.0
33,E3,13.0,129/500,64,104.0
34,F#2,13.0,26/125,80,104.0
35,C#2,13.0,26/125,80,104.0
36,F#2,13.725,26/125,40,104.0
37,G2,14.0,473/250,91,104.0
38,B4,14.0,533/1000,94,104.0
39,B1,14.0,26/125,70,104.0
40,F#2,14.0,26/125,70,104.0
41,A4,14.667,4/5,94,104.0
42,C4,15.0,11/40,56,104.0
43,E3,15.0,11/40,56,104.0
44,F#2,15.0,26/125,88,104.0
45,C#2,15.0,26/125,88,104.0
46,G4,15.625,3.625,60,104.0
47,E4,15.625,3.625,60,104.0
48,C5,15.625,3.625,60,104.0
49,C4,15.625,3.625,60,104.0
50,E4,15.667,333/1000,94,104.0
51,B1,15.725,26/125,50,104.0
52,F#2,15.725,26/125,50,104.0
53,B1,16.0,2.0,82,104.0
54,E4,16.0,2067/1000,94,104.0
55,B1,16.0,26/125,65,104.0
56,F#2,16.0,26/125,65,104.0
57,A3,17.0,129/500,60,104.0
58,D3,17.0,129/500,60,104.0
59,F#2,17.0,26/125,80,104.0
60,C#2,17.0,26/125,80,104.0
61,F#2,17.733,26/125,40,104.0
62,E2,18.0,2.0,82,104.0
63,B1,18.0,26/125,70,104.0
64,F#2,18.0,26/125,70,104.0
65,E-4,18.667,267/1000,94,104.0
66,E4,19.0,533/1000,94,104.0
67,G#3,19.0,129/500,60,104.0
68,D3,19.0,129/500,60,104.0
69,F#2,19.0,26/125,85,104.0
70,C#2,19.0,26/125,85,104.0
71,F#4,19.333,73/250,60,104.0
72,D4,19.333,73/250,60,104.0
73,B4,19.333,73/250,60,104.0
74,A3,19.333,73/250,60,104.0
75,F#4,19.625,1983/1000,60,104.0
76,D4,19.625,1983/1000,60,104.0
77,B4,19.625,1983/1000,60,104.0
78,A3,19.625,1983/1000,60,104.0
79,E-4,19.667,267/1000,94,104.0
80,F#2,19.733,26/125,50,104.0
81,E2,20.0,0.875,85,104.0
82,E4,20.0,4/5,94,104.0
83,B1,20.0,26/125,65,104.0
84,F#2,20.0,26/125,65,104.0
85,E2,21.0,983/1000,85,104.0
86,D5,21.0,4/5,94,104.0
87,G#3,21.0,233/1000,68,104.0
88,F#2,21.0,26/125,75,104.0
89,C#2,21.0,26/125,75,104.0
90,D4,21.625,1.625,60,104.0
91,E4,21.625,1.625,60,104.0
92,G#3,21.625,1.625,60,104.0
93,B4,21.625,1.625,60,104.0
94,F#2,21.733,26/125,40,104.0
95,D2,22.0,1.0,63,104.0
96,C5,22.0,533/1000,94,104.0
97,G#3,22.0,1/5,36,104.0
98,D3,22.0,1/5,36,104.0
99,B1,22.0,26/125,70,104.0
100,F#2,22.0,26/125,70,104.0
101,E1,22.667,3/20,46,104.0
102,B4,22.667,4/5,94,104.0
103,B1,23.0,33/40,87,104.0
104,D3,23.0,121/500,80,104.0
105,G#3,23.0,121/500,80,104.0
106,F#2,23.0,26/125,80,104.0
107,C#2,23.0,26/125,80,104.0
108,C4,23.333,73/250,60,104.0
109,G#3,23.333,73/250,60,104.0
110,F4,23.333,73/250,60,104.0
111,D4,23.333,73/250,60,104.0
112,C4,23.625,3983/1000,60,104.0
113,G#3,23.625,3983/1000,60,104.0
114,F4,23.625,3983/1000,60,104.0
115,D4,23.625,3983/1000,60,104.0
116,A4,23.667,333/1000,94,104.0
117,F#2,23.733,26/125,50,104.0
118,A1,24.0,2117/1000,76,104.0
119,A4,24.0,2067/1000,94,104.0
120,B1,24.0,26/125,65,104.0
121,F#2,24.0,26/125,65,104.0
122,G3,25.0,9/40,60,104.0
123,C#3,25.0,9/40,60,104.0
124,F#2,25.0,26/125,80,104.0
125,C#2,25.0,26/125,80,104.0
126,F#2,25.733,26/125,40,104.0
127,E2,26.0,2.0,61,104.0
128,B1,26.0,26/125,70,104.0
129,F#2,26.0,26/125,70,104.0
130,G#4,26.667,267/1000,94,104.0
131,A4,27.0,533/1000,94,104.0
132,G3,27.0,11/40,61,104.0
133,C#3,27.0,11/40,61,104.0
134,F#2,27.0,26/125,85,104.0
135,C#2,27.0,26/125,85,104.0
136,F#4,27.625,4.0,60,104.0
137,C#4,27.625,4.0,60,104.0
138,B3,27.625,4.0,60,104.0
139,G3,27.625,4.0,60,104.0
140,G#4,27.667,267/1000,94,104.0
141,B1,27.733,26/125,50,104.0
142,F#2,27.733,26/125,50,104.0
143,A2,28.0,1071/500,77,104.0
144,E2,28.0,33/1000,61,104.0
145,A4,28.0,4/5,94,104.0
146,B1,28.0,26/125,65,104.0
147,F#2,28.0,26/125,65,104.0
148,G4,29.0,4/5,94,104.0
149,G3,29.0,129/500,64,104.0
150,C#3,29.0,129/500,64,104.0
151,F#2,29.0,26/125,80,104.0
152,C#2,29.0,26/125,80,104.0
153,F#2,29.733,26/125,40,104.0
154,E2,30.0,1817/1000,68,104.0
155,F4,30.0,533/1000,94,104.0
156,B1,30.0,26/125,70,104.0
157,F#2,30.0,26/125,70,104.0
158,C#4,30.667,4/5,94,104.0
159,G3,31.0,11/40,56,104.0
160,C#3,31.0,11/40,56,104.0
161,F#2,31.0,26/125,85,104.0
162,C#2,31.0,26/125,85,104.0
163,E4,31.667,333/1000,94,104.0
164,F#2,31.733,26/125,50,104.0
165,D2,32.0,41/20,75,104.0
166,E4,32.0,4.0,94,104.0
167,B1,32.0,26/125,65,104.0
168,F#2,32.0,26/125,65,104.0
169,C4,33.0,1/5,66,104.0
170,F#3,33.0,1/5,66,104.0
171,F#2,33.0,26/125,85,104.0
172,C#2,33.0,26/125,85,104.0
173,F#2,33.717,26/125,40,104.0
174,A2,34.0,373/250,68,104.0
175,B1,34.0,26/125,65,104.0
176,F#2,34.0,26/125,65,104.0
177,C4,35.0,1/5,54,104.0
178,F#3,35.0,1/5,54,104.0
179,F#2,35.0,26/125,84,104.0
180,C#2,35.0,26/125,84,104.0
181,F#4,35.625,4.0,60,104.0
182,C#4,35.625,4.0,60,104.0
183,B3,35.625,4.0,60,104.0
184,G3,35.625,4.0,60,104.0
185,F#2,35.717,26/125,50,104.0
186,A2,35.725,0.25,64,104.0
187,D3,36.0,21/40,69,104.0
188,E4,36.0,153/40,94,104.0
189,B1,36.0,26/125,70,104.0
190,F#2,36.0,26/125,70,104.0
191,D3,36.725,7/20,69,104.0
192,A2,37.0,11/10,64,104.0
193,C4,37.0,9/40,53,104.0
194,F#3,37.0,9/40,53,104.0
195,F#2,37.0,26/125,80,104.0
196,C#2,37.0,26/125,80,104.0
197,F#2,37.725,26/125,40,104.0
198,F#2,38.0,1.0,74,104.0
199,C4,38.0,0.25,56,104.0
200,F#3,38.0,0.25,56,104.0
201,B1,38.0,26/125,70,104.0
202,F#2,38.0,26/125,70,104.0
203,C#2,38.725,26/125,90,104.0
204,D2,39.0,1.0,79,104.0
205,F#2,39.0,26/125,90,104.0
206,F#3,39.0,9/40,74,104.0
207,C4,39.0,9/40,74,104.0
208,G#3,39.625,4.0,60,104.0
209,B4,39.625,4.0,60,104.0
210,F#3,39.625,4.0,60,104.0
211,E4,39.625,4.0,60,104.0
212,C4,39.625,4.0,60,104.0
213,F#2,39.725,26/125,50,104.0
214,G2,40.0,249/125,73,104.0
215,B1,40.0,26/125,70,104.0
216,F#2,40.0,26/125,70,104.0
217,E4,41.0,4/5,94,104.0
218,B3,41.0,9/40,60,104.0
219,F3,41.0,9/40,60,104.0
220,F#2,41.0,26/125,80,104.0
221,C#2,41.0,26/125,80,104.0
222,F#2,41.725,26/125,40,104.0
223,D3,42.0,39/20,77,104.0
224,E4,42.0,4/5,94,104.0
225,B1,42.0,26/125,70,104.0
226,F#2,42.0,26/125,70,104.0
227,E4,43.0,4/5,94,104.0
228,B3,43.0,11/40,61,104.0
229,F3,43.0,11/40,61,104.0
230,F#2,43.0,26/125,88,104.0
231,C#2,43.0,26/125,88,104.0
232,F#2,43.725,26/125,50,104.0
233,G2,44.0,1983/1000,73,104.0
234,E4,44.0,533/1000,94,104.0
235,B1,44.0,26/125,70,104.0
236,F#2,44.0,26/125,70,104.0
237,D4,44.667,4/5,94,104.0
238,B3,45.0,129/500,64,104.0
239,F3,45.0,129/500,64,104.0
240,F#2,45.0,26/125,80,104.0
