,note_name,start_time,duration,velocity,tempo
0,G4,0.0,1.75,95,100.0
1,E4,0.0,1.75,95,100.0
2,C4,0.0,1.75,95,100.0
3,A3,0.0,1.75,95,100.0
4,A2,0.0,1.75,95,100.0
5,B1,0.75,0.25,95,100.0
6,D2,1.0,0.25,95,100.0
7,B1,1.25,0.25,95,100.0
8,E2,1.75,0.25,95,100.0
9,A4,1.75,1.75,95,100.0
10,F#4,1.75,1.75,95,100.0
11,E4,1.75,1.75,95,100.0
12,D4,1.75,1.75,95,100.0
13,B2,1.75,1.75,95,100.0
14,E1,2.25,0.25,95,100.0
15,E1,2.75,0.25,95,100.0
16,G1,3.0,0.25,95,100.0
17,A1,3.5,0.5,95,100.0
18,B4,3.5,0.5,95,100.0
19,G4,3.5,0.5,95,100.0
20,E4,3.5,0.5,95,100.0
21,C4,3.5,0.5,95,100.0
22,A2,3.5,0.5,95,100.0
23,A1,4.0,4.0,95,100.0
24,B4,8.0,4.0,95,100.0
25,G4,8.0,4.0,95,100.0
26,E4,8.0,4.0,95,100.0
27,C4,8.0,4.0,95,100.0
28,A2,8.0,4.0,95,100.0
29,B1,8.75,0.25,95,100.0
30,D2,9.0,0.25,95,100.0
31,B1,9.25,0.25,95,100.0
32,E2,9.75,0.25,95,100.0
33,E1,10.25,0.25,95,100.0
34,E1,10.75,0.25,95,100.0
35,G1,11.0,0.25,95,100.0
36,A1,11.5,0.5,95,100.0
37,A1,12.0,4.0,95,100.0
38,G4,12.0,1.75,95,100.0
39,E4,12.0,1.75,95,100.0
40,C4,12.0,1.75,95,100.0
41,A3,12.0,1.75,95,100.0
42,A2,12.0,1.75,95,100.0
43,A4,13.75,1.75,95,100.0
44,F#4,13.75,1.75,95,100.0
45,E4,13.75,1.75,95,100.0
46,D4,13.75,1.75,95,100.0
47,B2,13.75,1.75,95,100.0
48,B4,15.5,0.5,95,100.0
49,G4,15.5,0.5,95,100.0
50,E4,15.5,0.5,95,100.0
51,C4,15.5,0.5,95,100.0
52,A2,15.5,0.5,95,100.0
53,B1,16.75,0.25,95,100.0
54,D2,17.0,0.25,95,100.0
55,B1,17.25,0.25,95,100.0
56,E2,17.75,0.25,95,100.0
57,E1,18.25,0.25,95,100.0
58,E1,18.75,0.25,95,100.0
59,G1,19.0,0.25,95,100.0
60,A1,19.5,0.5,95,100.0
61,A1,20.0,4.0,95,100.0
62,B4,20.0,4.0,95,100.0
63,G4,20.0,4.0,95,100.0
64,E4,20.0,4.0,95,100.0
65,C4,20.0,4.0,95,100.0
66,A2,20.0,4.0,95,100.0
67,G4,24.0,1.75,95,100.0
68,E4,24.0,1.75,95,100.0
69,C4,24.0,1.75,95,100.0
70,A3,24.0,1.75,95,100.0
71,A2,24.0,1.75,95,100.0
72,B1,24.75,0.25,95,100.0
73,D2,25.0,0.25,95,100.0
74,B1,25.25,0.25,95,100.0
75,E2,25.75,0.25,95,100.0
76,A4,25.75,1.75,95,100.0
77,F#4,25.75,1.75,95,100.0
78,E4,25.75,1.75,95,100.0
79,D4,25.75,1.75,95,100.0
80,B2,25.75,1.75,95,100.0
81,E1,26.25,0.25,95,100.0
82,E1,26.75,0.25,95,100.0
83,G1,27.0,0.25,95,100.0
84,A1,27.5,0.5,95,100.0
85,B4,27.5,0.5,95,100.0
86,G4,27.5,0.5,95,100.0
87,E4,27.5,0.5,95,100.0
88,C4,27.5,0.5,95,100.0
89,A2,27.5,0.5,95,100.0
90,A1,28.0,4.0,95,100.0
91,B4,32.0,0.25,95,100.0
92,E2,32.0,0.25,95,100.0
93,B4,32.0,4.0,95,100.0
94,G4,32.0,4.0,95,100.0
95,E4,32.0,4.0,95,100.0
96,C4,32.0,4.0,95,100.0
97,A2,32.0,4.0,95,100.0
98,B4,32.0,0.25,95,100.0
99,G4,32.0,0.25,95,100.0
100,E4,32.0,0.25,95,100.0
101,G4,32.5,0.25,95,100.0
102,E4,32.75,0.25,95,100.0
103,B4,33.25,0.25,95,100.0
104,E2,33.25,0.25,95,100.0
105,B4,33.25,0.25,95,100.0
106,G4,33.25,0.25,95,100.0
107,E4,33.25,0.25,95,100.0
108,A4,33.75,0.25,95,100.0
109,B1,33.75,0.25,95,100.0
110,A4,33.75,0.25,95,100.0
111,F#4,33.75,0.25,95,100.0
112,D4,33.75,0.25,95,100.0
113,C5,34.25,0.75,95,100.0
114,G1,34.75,0.25,95,100.0
115,F#4,35.0,0.25,95,100.0
116,E1,35.0,0.25,95,100.0
117,E4,35.5,0.5,79,100.0
118,B1,35.5,0.25,95,100.0
119,E4,36.0,1.0,79,100.0
120,C2,36.0,0.25,95,100.0
121,G4,36.0,1.75,95,100.0
122,E4,36.0,1.75,95,100.0
123,C4,36.0,1.75,95,100.0
124,A3,36.0,1.75,95,100.0
125,A2,36.0,1.75,95,100.0
126,B4,36.0,0.25,84,100.0
127,C4,36.0,0.25,84,100.0
128,G3,36.0,0.25,84,100.0
129,C2,37.25,0.25,95,100.0
130,B4,37.25,0.25,84,100.0
131,C4,37.25,0.25,84,100.0
132,G3,37.25,0.25,84,100.0
133,B1,37.75,0.25,95,100.0
134,A4,37.75,1.75,95,100.0
135,F#4,37.75,1.75,95,100.0
136,E4,37.75,1.75,95,100.0
137,D4,37.75,1.75,95,100.0
138,B2,37.75,1.75,95,100.0
139,A4,37.75,1.0,95,100.0
140,D4,37.75,1.0,95,100.0
141,A3,37.75,1.0,95,100.0
142,E1,38.75,0.25,95,100.0
143,B1,39.0,0.25,95,100.0
144,E1,39.5,0.25,95,100.0
145,B4,39.5,0.5,95,100.0
146,G4,39.5,0.5,95,100.0
147,E4,39.5,0.5,95,100.0
