,note_name,start_time,duration,velocity,tempo
0,B2,2.0,1.0,95,117.0
1,B2,2.0,1.0,95,117.0
2,C#2,3.0,0.25,95,117.0
3,C#2,3.0,0.25,95,117.0
4,C#2,3.25,0.5,95,117.0
5,C#2,3.25,0.5,95,117.0
6,C#2,3.75,0.5,95,117.0
7,C#2,3.75,0.5,95,117.0
8,C#2,4.25,0.25,95,117.0
9,C#2,4.25,0.25,95,117.0
10,D2,4.5,0.5,95,117.0
11,D2,4.5,0.5,95,117.0
12,C#2,5.0,0.5,95,117.0
13,C#2,5.0,0.5,95,117.0
14,B1,5.5,0.5,95,117.0
15,B1,5.5,0.5,95,117.0
16,C#2,6.0,0.25,95,117.0
17,C#2,6.0,0.25,95,117.0
18,C#2,6.25,0.5,95,117.0
19,C#2,6.25,0.5,95,117.0
20,C#2,6.75,0.5,95,117.0
21,C#2,6.75,0.5,95,117.0
22,C#2,7.25,0.25,95,117.0
23,C#2,7.25,0.25,95,117.0
24,D2,7.5,0.25,95,117.0
25,D2,7.5,0.25,95,117.0
26,C#2,7.75,0.25,95,117.0
27,C#2,7.75,0.25,95,117.0
28,B1,8.0,0.25,95,117.0
29,B1,8.0,0.25,95,117.0
30,F#2,8.25,0.25,95,117.0
31,F#2,8.25,0.25,95,117.0
32,F2,8.5,0.25,95,117.0
33,F2,8.5,0.25,95,117.0
34,D2,8.75,0.25,95,117.0
35,D2,8.75,0.25,95,117.0
36,C#2,9.0,0.25,95,117.0
37,C#2,9.0,0.25,95,117.0
38,C#2,9.25,0.5,95,117.0
39,C#2,9.25,0.5,95,117.0
40,C#2,9.75,0.5,95,117.0
41,C#2,9.75,0.5,95,117.0
42,C#2,10.25,0.25,95,117.0
43,C#2,10.25,0.25,95,117.0
44,D2,10.5,0.5,95,117.0
45,D2,10.5,0.5,95,117.0
46,F2,11.0,0.5,95,117.0
47,F2,11.0,0.5,95,117.0
48,F#2,11.5,0.5,95,117.0
49,F#2,11.5,0.5,95,117.0
50,B1,12.0,0.25,95,117.0
51,B1,12.0,0.25,95,117.0
52,C#2,12.25,0.25,95,117.0
53,C#2,12.25,0.25,95,117.0
54,D2,12.5,0.25,95,117.0
55,D2,12.5,0.25,95,117.0
56,F#2,12.75,0.25,95,117.0
57,F#2,12.75,0.25,95,117.0
58,B2,13.0,0.25,95,117.0
59,B2,13.0,0.25,95,117.0
60,D3,13.25,0.25,95,117.0
61,D3,13.25,0.25,95,117.0
62,C#3,13.5,0.5,95,117.0
63,C#3,13.5,0.5,95,117.0
64,B1,14.0,0.5,95,117.0
65,B1,14.0,0.5,95,117.0
66,D2,14.5,0.5,95,117.0
67,D2,14.5,0.5,95,117.0
68,C#2,15.0,0.25,95,117.0
69,C#2,15.0,0.25,95,117.0
70,C#2,15.25,0.5,95,117.0
71,C#2,15.25,0.5,95,117.0
72,C#2,15.75,0.5,95,117.0
73,C#2,15.75,0.5,95,117.0
74,C#2,16.25,0.25,95,117.0
75,C#2,16.25,0.25,95,117.0
76,D2,16.5,0.5,95,117.0
77,D2,16.5,0.5,95,117.0
78,C#2,17.0,0.5,95,117.0
79,C#2,17.0,0.5,95,117.0
80,B1,17.5,0.5,95,117.0
81,B1,17.5,0.5,95,117.0
82,C#2,18.0,0.25,95,117.0
83,C#2,18.0,0.25,95,117.0
84,C#2,18.25,0.5,95,117.0
85,C#2,18.25,0.5,95,117.0
86,C#2,18.75,0.5,95,117.0
87,C#2,18.75,0.5,95,117.0
88,C#2,19.25,0.25,95,117.0
89,C#2,19.25,0.25,95,117.0
90,D2,19.5,0.25,95,117.0
91,D2,19.5,0.25,95,117.0
92,C#2,19.75,0.25,95,117.0
93,C#2,19.75,0.25,95,117.0
94,B1,20.0,0.25,95,117.0
95,B1,20.0,0.25,95,117.0
96,F#2,20.25,0.25,95,117.0
97,F#2,20.25,0.25,95,117.0
98,F2,20.5,0.25,95,117.0
99,F2,20.5,0.25,95,117.0
100,D2,20.75,0.25,95,117.0
101,D2,20.75,0.25,95,117.0
102,C#2,21.0,0.25,95,117.0
103,C#2,21.0,0.25,95,117.0
104,C#2,21.25,0.5,95,117.0
105,C#2,21.25,0.5,95,117.0
106,C#2,21.75,0.5,95,117.0
107,C#2,21.75,0.5,95,117.0
108,C#2,22.25,0.25,95,117.0
109,C#2,22.25,0.25,95,117.0
110,D2,22.5,0.5,95,117.0
111,D2,22.5,0.5,95,117.0
112,C#2,23.0,0.5,95,117.0
113,C#2,23.0,0.5,95,117.0
114,B1,23.5,0.5,95,117.0
115,B1,23.5,0.5,95,117.0
116,D3,24.0,167/1000,95,117.0
117,D3,24.0,167/1000,95,117.0
118,C#3,24.167,167/1000,95,117.0
119,C#3,24.167,167/1000,95,117.0
120,B2,24.333,167/1000,95,117.0
121,B2,24.333,167/1000,95,117.0
122,A2,24.5,0.25,95,117.0
123,A2,24.5,0.25,95,117.0
124,G#2,24.75,0.25,95,117.0
125,G#2,24.75,0.25,95,117.0
126,F#2,25.0,0.25,95,117.0
127,F#2,25.0,0.25,95,117.0
128,E2,25.25,0.25,95,117.0
129,E2,25.25,0.25,95,117.0
130,D2,25.5,0.25,95,117.0
131,D2,25.5,0.25,95,117.0
132,C#2,25.75,0.25,95,117.0
133,C#2,25.75,0.25,95,117.0
134,A2,26.0,0.25,95,117.0
135,A2,26.0,0.25,95,117.0
136,G#2,26.25,0.25,95,117.0
137,G#2,26.25,0.25,95,117.0
138,F#2,26.5,0.25,95,117.0
139,F#2,26.5,0.25,95,117.0
140,D2,26.75,0.25,95,117.0
141,D2,26.75,0.25,95,117.0
142,C#2,27.0,0.25,95,117.0
143,C#2,27.0,0.25,95,117.0
144,C#2,27.25,0.5,95,117.0
145,C#2,27.25,0.5,95,117.0
146,C#2,27.75,0.5,95,117.0
147,C#2,27.75,0.5,95,117.0
148,C#2,28.25,0.25,95,117.0
149,C#2,28.25,0.25,95,117.0
150,D2,28.5,0.5,95,117.0
151,D2,28.5,0.5,95,117.0
152,C#2,29.0,0.5,95,117.0
153,C#2,29.0,0.5,95,117.0
154,B1,29.5,0.5,95,117.0
155,B1,29.5,0.5,95,117.0
156,C#2,30.0,0.25,95,117.0
157,C#2,30.0,0.25,95,117.0
158,C#2,30.25,0.5,95,117.0
159,C#2,30.25,0.5,95,117.0
160,C#2,30.75,0.5,95,117.0
161,C#2,30.75,0.5,95,117.0
162,C#2,31.25,0.25,95,117.0
163,C#2,31.25,0.25,95,117.0
164,D2,31.5,0.25,95,117.0
165,D2,31.5,0.25,95,117.0
166,C#2,31.75,0.25,95,117.0
167,C#2,31.75,0.25,95,117.0
168,B1,32.0,0.25,95,117.0
169,B1,32.0,0.25,95,117.0
170,F#2,32.25,0.25,95,117.0
171,F#2,32.25,0.25,95,117.0
172,F2,32.5,0.25,95,117.0
173,F2,32.5,0.25,95,117.0
174,D2,32.75,0.25,95,117.0
175,D2,32.75,0.25,95,117.0
176,C#2,33.0,0.25,95,117.0
177,C#2,33.0,0.25,95,117.0
178,C#2,33.25,0.5,95,117.0
179,C#2,33.25,0.5,95,117.0
180,C#2,33.75,0.5,95,117.0
181,C#2,33.75,0.5,95,117.0
182,C#2,34.25,0.25,95,117.0
183,C#2,34.25,0.25,95,117.0
184,D2,34.5,0.5,95,117.0
185,D2,34.5,0.5,95,117.0
186,F2,35.0,0.5,95,117.0
187,F2,35.0,0.5,95,117.0
188,F#2,35.5,0.5,95,117.0
189,F#2,35.5,0.5,95,117.0
190,B1,36.0,0.25,95,117.0
191,B1,36.0,0.25,95,117.0
192,C#2,36.25,0.25,95,117.0
193,C#2,36.25,0.25,95,117.0
194,D2,36.5,0.25,95,117.0
195,D2,36.5,0.25,95,117.0
196,F#2,36.75,0.25,95,117.0
197,F#2,36.75,0.25,95,117.0
198,B2,37.0,0.25,95,117.0
199,B2,37.0,0.25,95,117.0
200,D3,37.25,0.25,95,117.0
201,D3,37.25,0.25,95,117.0
202,C#3,37.5,0.5,95,117.0
203,C#3,37.5,0.5,95,117.0
204,B1,38.0,0.5,95,117.0
205,B1,38.0,0.5,95,117.0
206,D2,38.5,0.5,95,117.0
207,D2,38.5,0.5,95,117.0
208,C#2,39.0,0.25,95,117.0
209,C#2,39.0,0.25,95,117.0
210,C#2,39.25,0.5,95,117.0
211,C#2,39.25,0.5,95,117.0
212,C#2,39.75,0.5,95,117.0
213,C#2,39.75,0.5,95,117.0
214,C#2,40.25,0.25,95,117.0
215,C#2,40.25,0.25,95,117.0
216,D2,40.5,0.5,95,117.0
217,D2,40.5,0.5,95,117.0
218,C#2,41.0,0.5,95,117.0
219,C#2,41.0,0.5,95,117.0
220,B1,41.5,0.5,95,117.0
221,B1,41.5,0.5,95,117.0
222,C#2,42.0,0.25,95,117.0
223,C#2,42.0,0.25,95,117.0
224,C#2,42.25,0.5,95,117.0
225,C#2,42.25,0.5,95,117.0
226,C#2,42.75,0.5,95,117.0
227,C#2,42.75,0.5,95,117.0
228,C#2,43.25,0.25,95,117.0
229,C#2,43.25,0.25,95,117.0
230,D2,43.5,0.25,95,117.0
231,D2,43.5,0.25,95,117.0
232,C#2,43.75,0.25,95,117.0
233,C#2,43.75,0.25,95,117.0
234,B1,44.0,0.25,95,117.0
235,B1,44.0,0.25,95,117.0
236,F#2,44.25,0.25,95,117.0
237,F#2,44.25,0.25,95,117.0
238,F2,44.5,0.25,95,117.0
239,F2,44.5,0.25,95,117.0
240,D2,44.75,0.25,95,117.0
241,D2,44.75,0.25,95,117.0
242,C#2,45.0,0.25,95,117.0
243,C#2,45.0,0.25,95,117.0
244,C#2,45.25,0.5,95,117.0
245,C#2,45.25,0.5,95,117.0
246,C#2,45.75,0.5,95,117.0
247,C#2,45.75,0.5,95,117.0
248,C#2,46.25,0.25,95,117.0
249,C#2,46.25,0.25,95,117.0
250,D2,46.5,0.5,95,117.0
251,D2,46.5,0.5,95,117.0
252,C#2,47.0,0.5,95,117.0
253,C#2,47.0,0.5,95,117.0
254,B1,47.5,0.5,95,117.0
255,B1,47.5,0.5,95,117.0
256,D3,48.0,167/1000,95,117.0
257,D3,48.0,167/1000,95,117.0
258,C#3,48.167,167/1000,95,117.0
259,C#3,48.167,167/1000,95,117.0
260,B2,48.333,167/1000,95,117.0
261,B2,48.333,167/1000,95,117.0
262,A2,48.5,0.25,95,117.0
263,A2,48.5,0.25,95,117.0
264,G#2,48.75,0.25,95,117.0
265,G#2,48.75,0.25,95,117.0
266,F#2,49.0,0.25,95,117.0
267,F#2,49.0,0.25,95,117.0
268,E2,49.25,0.25,95,117.0
269,E2,49.25,0.25,95,117.0
270,D2,49.5,0.25,95,117.0
271,D2,49.5,0.25,95,117.0
272,C#2,49.75,0.25,95,117.0
273,C#2,49.75,0.25,95,117.0
274,A2,50.0,0.25,95,117.0
275,A2,50.0,0.25,95,117.0
276,G#2,50.25,0.25,95,117.0
277,G#2,50.25,0.25,95,117.0
278,F#2,50.5,0.25,95,117.0
279,F#2,50.5,0.25,95,117.0
280,D2,50.75,0.25,95,117.0
281,D2,50.75,0.25,95,117.0
282,G#2,51.0,0.25,95,117.0
283,C#2,51.0,0.25,95,117.0
284,G#2,51.0,0.25,95,117.0
285,C#2,51.0,0.25,95,117.0
286,G#2,51.25,0.5,95,117.0
287,C#2,51.25,0.5,95,117.0
288,G#2,51.25,0.5,95,117.0
289,C#2,51.25,0.5,95,117.0
290,G#2,51.75,0.5,95,117.0
291,C#2,51.75,0.5,95,117.0
292,G#2,51.75,0.5,95,117.0
293,C#2,51.75,0.5,95,117.0
294,G#2,52.25,0.25,95,117.0
295,C#2,52.25,0.25,95,117.0
296,G#2,52.25,0.25,95,117.0
297,C#2,52.25,0.25,95,117.0
298,A2,52.5,0.5,95,117.0
299,D2,52.5,0.5,95,117.0
300,A2,52.5,0.5,95,117.0
301,D2,52.5,0.5,95,117.0
302,G#2,53.0,0.5,95,117.0
303,C#2,53.0,0.5,95,117.0
304,G#2,53.0,0.5,95,117.0
305,C#2,53.0,0.5,95,117.0
306,F#2,53.5,0.5,95,117.0
307,B1,53.5,0.5,95,117.0
308,F#2,53.5,0.5,95,117.0
309,B1,53.5,0.5,95,117.0
310,G#2,54.0,0.25,95,117.0
311,C#2,54.0,0.25,95,117.0
312,G#2,54.0,0.25,95,117.0
313,C#2,54.0,0.25,95,117.0
314,G#2,54.25,0.5,95,117.0
315,C#2,54.25,0.5,95,117.0
316,G#2,54.25,0.5,95,117.0
317,C#2,54.25,0.5,95,117.0
318,G#2,54.75,0.5,95,117.0
319,C#2,54.75,0.5,95,117.0
320,G#2,54.75,0.5,95,117.0
321,C#2,54.75,0.5,95,117.0
322,B1,55.25,0.25,95,117.0
323,B1,55.25,0.25,95,117.0
324,A2,55.5,0.25,95,117.0
325,D2,55.5,0.25,95,117.0
326,A2,55.5,0.25,95,117.0
327,D2,55.5,0.25,95,117.0
328,B2,55.75,0.25,95,117.0
329,E2,55.75,0.25,95,117.0
330,B2,55.75,0.25,95,117.0
331,E2,55.75,0.25,95,117.0
332,B1,56.0,0.25,95,117.0
333,B1,56.0,0.25,95,117.0
334,A2,56.25,0.25,95,117.0
335,D2,56.25,0.25,95,117.0
336,A2,56.25,0.25,95,117.0
337,D2,56.25,0.25,95,117.0
338,B2,56.5,0.25,95,117.0
339,E2,56.5,0.25,95,117.0
340,B2,56.5,0.25,95,117.0
341,E2,56.5,0.25,95,117.0
342,B1,56.75,0.25,95,117.0
343,B1,56.75,0.25,95,117.0
344,G#2,57.0,0.25,95,117.0
345,C#2,57.0,0.25,95,117.0
346,G#2,57.0,0.25,95,117.0
347,C#2,57.0,0.25,95,117.0
348,G#2,57.25,0.5,95,117.0
349,C#2,57.25,0.5,95,117.0
350,G#2,57.25,0.5,95,117.0
351,C#2,57.25,0.5,95,117.0
352,G#2,57.75,0.5,95,117.0
353,C#2,57.75,0.5,95,117.0
354,G#2,57.75,0.5,95,117.0
355,C#2,57.75,0.5,95,117.0
356,G#2,58.25,0.25,95,117.0
357,C#2,58.25,0.25,95,117.0
358,G#2,58.25,0.25,95,117.0
359,C#2,58.25,0.25,95,117.0
360,A2,58.5,0.5,95,117.0
361,D2,58.5,0.5,95,117.0
362,A2,58.5,0.5,95,117.0
363,D2,58.5,0.5,95,117.0
364,G#2,59.0,0.5,95,117.0
365,C#2,59.0,0.5,95,117.0
366,G#2,59.0,0.5,95,117.0
367,C#2,59.0,0.5,95,117.0
368,F#2,59.5,0.5,95,117.0
369,B1,59.5,0.5,95,117.0
370,F#2,59.5,0.5,95,117.0
371,B1,59.5,0.5,95,117.0
372,G#2,60.0,0.25,95,117.0
373,C#2,60.0,0.25,95,117.0
374,G#2,60.0,0.25,95,117.0
375,C#2,60.0,0.25,95,117.0
376,G#2,60.25,0.5,95,117.0
377,C#2,60.25,0.5,95,117.0
378,G#2,60.25,0.5,95,117.0
379,C#2,60.25,0.5,95,117.0
380,G#2,60.75,0.5,95,117.0
381,C#2,60.75,0.5,95,117.0
382,G#2,60.75,0.5,95,117.0
383,C#2,60.75,0.5,95,117.0
384,G#2,61.25,0.25,95,117.0
385,G#2,61.25,0.25,95,117.0
386,B2,61.5,0.25,95,117.0
387,B2,61.5,0.25,95,117.0
388,G2,61.75,0.25,95,117.0
389,G2,61.75,0.25,95,117.0
390,E-2,62.0,0.25,95,117.0
391,E-2,62.0,0.25,95,117.0
392,B-2,62.25,0.25,95,117.0
393,B-2,62.25,0.25,95,117.0
394,F#2,62.5,0.25,95,117.0
395,F#2,62.5,0.25,95,117.0
396,D2,62.75,0.25,95,117.0
397,D2,62.75,0.25,95,117.0
398,G#2,63.0,0.25,95,117.0
399,C#2,63.0,0.25,95,117.0
400,G#2,63.0,0.25,95,117.0
401,C#2,63.0,0.25,95,117.0
402,G#2,63.25,0.5,95,117.0
403,C#2,63.25,0.5,95,117.0
404,G#2,63.25,0.5,95,117.0
405,C#2,63.25,0.5,95,117.0
406,G#2,63.75,0.5,95,117.0
407,C#2,63.75,0.5,95,117.0
408,G#2,63.75,0.5,95,117.0
409,C#2,63.75,0.5,95,117.0
410,G#2,64.25,0.25,95,117.0
411,C#2,64.25,0.25,95,117.0
412,G#2,64.25,0.25,95,117.0
413,C#2,64.25,0.25,95,117.0
414,A2,64.5,0.5,95,117.0
415,D2,64.5,0.5,95,117.0
416,A2,64.5,0.5,95,117.0
417,D2,64.5,0.5,95,117.0
418,G#2,65.0,0.5,95,117.0
419,C#2,65.0,0.5,95,117.0
420,G#2,65.0,0.5,95,117.0
421,C#2,65.0,0.5,95,117.0
422,F#2,65.5,0.5,95,117.0
423,B1,65.5,0.5,95,117.0
424,F#2,65.5,0.5,95,117.0
425,B1,65.5,0.5,95,117.0
426,G#2,66.0,0.25,95,117.0
427,C#2,66.0,0.25,95,117.0
428,G#2,66.0,0.25,95,117.0
429,C#2,66.0,0.25,95,117.0
430,G#2,66.25,0.5,95,117.0
431,C#2,66.25,0.5,95,117.0
432,G#2,66.25,0.5,95,117.0
433,C#2,66.25,0.5,95,117.0
