,note_name,start_time,duration,velocity,tempo
0,E4,2.5,0.5,68,134.0
1,B3,2.5,0.5,68,134.0
2,G#3,2.5,0.5,68,134.0
3,E4,3.0,0.5,68,134.0
4,B3,3.0,0.5,68,134.0
5,A3,3.0,0.5,68,134.0
6,E4,3.5,0.5,68,134.0
7,B3,3.5,0.5,68,134.0
8,B-3,3.5,0.5,68,134.0
9,B-3,4.0,0.25,79,134.0
10,B2,4.0,0.5,95,134.0
11,E2,4.0,1.0,111,134.0
12,B1,4.0,0.25,63,134.0
13,B3,4.25,0.25,95,134.0
14,A4,4.25,0.25,39,134.0
15,B1,4.25,0.25,39,134.0
16,B3,4.5,0.25,79,134.0
17,E3,4.5,19/40,83,134.0
18,G#3,4.5,19/40,83,134.0
19,B3,4.5,19/40,83,134.0
20,E4,4.5,19/40,83,134.0
21,E2,4.5,0.25,71,134.0
22,G#2,4.5,0.25,71,134.0
23,E4,4.75,0.25,79,134.0
24,A4,4.75,0.25,63,134.0
25,B3,5.0,0.25,95,134.0
26,E2,5.0,0.25,95,134.0
27,B1,5.0,1.0,111,134.0
28,B1,5.0,0.25,63,134.0
29,B3,5.25,0.25,79,134.0
30,B3,5.25,121/500,79,134.0
31,G#3,5.25,121/500,79,134.0
32,E3,5.25,121/500,79,134.0
33,A4,5.25,0.25,39,134.0
34,B1,5.25,0.25,39,134.0
35,E4,5.5,0.25,79,134.0
36,G#3,5.5,121/500,90,134.0
37,B3,5.5,121/500,90,134.0
38,E4,5.5,121/500,90,134.0
39,E2,5.5,0.25,71,134.0
40,G#2,5.5,0.25,71,134.0
41,B3,5.75,0.25,95,134.0
42,A4,5.75,0.25,63,134.0
43,G#3,5.75,123/500,95,134.0
44,E3,5.75,123/500,95,134.0
45,B-3,6.0,0.25,79,134.0
46,B2,6.0,0.5,95,134.0
47,E2,6.0,1.0,111,134.0
48,B1,6.0,0.25,63,134.0
49,B3,6.25,0.25,95,134.0
50,A4,6.25,0.25,39,134.0
51,B1,6.25,0.25,39,134.0
52,B3,6.5,0.25,79,134.0
53,E3,6.5,19/40,83,134.0
54,G#3,6.5,19/40,83,134.0
55,B3,6.5,19/40,83,134.0
56,E4,6.5,19/40,83,134.0
57,E2,6.5,0.25,71,134.0
58,G#2,6.5,0.25,71,134.0
59,E4,6.75,0.25,79,134.0
60,A4,6.75,0.25,63,134.0
61,B3,7.0,0.25,95,134.0
62,E2,7.0,0.25,95,134.0
63,B1,7.0,0.5,111,134.0
64,B1,7.0,0.25,63,134.0
65,B3,7.25,0.25,79,134.0
66,B3,7.25,121/500,79,134.0
67,G#3,7.25,121/500,79,134.0
68,E3,7.25,121/500,79,134.0
69,A4,7.25,0.25,39,134.0
70,B1,7.25,0.25,39,134.0
71,E4,7.5,0.25,79,134.0
72,C#2,7.5,0.5,111,134.0
73,G#3,7.5,121/500,90,134.0
74,B3,7.5,121/500,90,134.0
75,E4,7.5,121/500,90,134.0
76,E2,7.5,0.25,71,134.0
77,G#2,7.5,0.25,71,134.0
78,B3,7.75,0.25,95,134.0
79,A4,7.75,0.25,63,134.0
80,G#3,7.75,123/500,95,134.0
81,E3,7.75,123/500,95,134.0
82,B-3,8.0,0.25,79,134.0
83,B2,8.0,0.5,95,134.0
84,E2,8.0,1.0,111,134.0
85,B1,8.0,0.25,63,134.0
86,B3,8.25,0.25,95,134.0
87,A4,8.25,0.25,39,134.0
88,B1,8.25,0.25,39,134.0
89,B3,8.5,0.25,79,134.0
90,E3,8.5,19/40,83,134.0
91,G#3,8.5,19/40,83,134.0
92,B3,8.5,19/40,83,134.0
93,E4,8.5,19/40,83,134.0
94,E2,8.5,0.25,71,134.0
95,G#2,8.5,0.25,71,134.0
96,E4,8.75,0.25,79,134.0
97,A4,8.75,0.25,63,134.0
98,B3,9.0,0.25,79,134.0
99,E2,9.0,0.25,95,134.0
100,B1,9.0,1.0,111,134.0
101,B1,9.0,0.25,63,134.0
102,B3,9.25,0.25,95,134.0
103,B3,9.25,121/500,79,134.0
104,G#3,9.25,121/500,79,134.0
105,E3,9.25,121/500,79,134.0
106,A4,9.25,0.25,39,134.0
107,B1,9.25,0.25,39,134.0
108,G3,9.5,0.25,95,134.0
109,G#3,9.5,121/500,90,134.0
110,B3,9.5,121/500,90,134.0
111,E4,9.5,121/500,90,134.0
112,E2,9.5,0.25,71,134.0
113,G#2,9.5,0.25,71,134.0
114,G#3,9.75,0.25,70,134.0
115,A4,9.75,0.25,63,134.0
116,G#3,9.75,123/500,95,134.0
117,E3,9.75,123/500,95,134.0
118,E3,10.0,0.5,95,134.0
119,B2,10.0,0.5,95,134.0
120,E2,10.0,1.0,111,134.0
121,B1,10.0,0.25,63,134.0
122,A4,10.25,0.25,39,134.0
123,B1,10.25,0.25,39,134.0
124,E4,10.5,0.5,68,134.0
125,B3,10.5,0.5,68,134.0
126,G#3,10.5,0.5,68,134.0
127,E3,10.5,19/40,83,134.0
128,G#3,10.5,19/40,83,134.0
129,B3,10.5,19/40,83,134.0
130,E4,10.5,19/40,83,134.0
131,E2,10.5,0.25,71,134.0
132,G#2,10.5,0.25,71,134.0
133,A4,10.75,0.25,63,134.0
134,E3,11.0,0.5,95,134.0
135,E2,11.0,0.25,95,134.0
136,B1,11.0,0.5,111,134.0
137,B1,11.0,0.25,63,134.0
138,B3,11.25,121/500,79,134.0
139,G#3,11.25,121/500,79,134.0
140,E3,11.25,121/500,79,134.0
141,A4,11.25,0.25,39,134.0
142,B1,11.25,0.25,39,134.0
143,E4,11.5,0.5,79,134.0
144,C#2,11.5,0.5,111,134.0
145,B3,11.5,0.5,55,134.0
146,G#3,11.5,0.5,55,134.0
147,E3,11.5,119/500,91,134.0
148,G#3,11.5,119/500,91,134.0
149,B3,11.5,119/500,91,134.0
150,E4,11.5,119/500,91,134.0
151,E2,11.5,0.25,71,134.0
152,G#2,11.5,0.25,71,134.0
153,A4,11.75,0.25,63,134.0
154,G#3,11.75,123/500,95,134.0
155,E3,11.75,123/500,95,134.0
156,B3,12.0,0.25,95,134.0
157,E4,12.0,0.25,79,134.0
158,B2,12.0,0.5,95,134.0
159,E2,12.0,1.0,111,134.0
160,B1,12.0,0.25,63,134.0
161,B3,12.25,0.25,79,134.0
162,A4,12.25,0.25,39,134.0
163,B1,12.25,0.25,39,134.0
164,C#4,12.5,0.25,95,134.0
165,E3,12.5,19/40,83,134.0
166,G#3,12.5,19/40,83,134.0
167,B3,12.5,19/40,83,134.0
168,E4,12.5,19/40,83,134.0
169,E2,12.5,0.25,71,134.0
170,G#2,12.5,0.25,71,134.0
171,E4,12.75,0.25,79,134.0
172,A4,12.75,0.25,63,134.0
173,D4,13.0,0.25,95,134.0
174,E2,13.0,0.25,95,134.0
175,B1,13.0,1.0,111,134.0
176,B1,13.0,0.25,63,134.0
177,C#4,13.25,0.25,95,134.0
178,B3,13.25,121/500,79,134.0
179,G#3,13.25,121/500,79,134.0
180,E3,13.25,121/500,79,134.0
181,A4,13.25,0.25,39,134.0
182,B1,13.25,0.25,39,134.0
183,E4,13.5,0.25,79,134.0
184,G#3,13.5,121/500,90,134.0
185,B3,13.5,121/500,90,134.0
186,E4,13.5,121/500,90,134.0
187,E2,13.5,0.25,71,134.0
188,G#2,13.5,0.25,71,134.0
189,B3,13.75,0.25,95,134.0
190,A4,13.75,0.25,63,134.0
191,G#3,13.75,123/500,95,134.0
192,E3,13.75,123/500,95,134.0
193,B3,14.0,0.25,63,134.0
194,B2,14.0,0.5,95,134.0
195,E2,14.0,1.0,111,134.0
196,B1,14.0,0.25,63,134.0
197,B3,14.25,0.25,95,134.0
198,A4,14.25,0.25,39,134.0
199,B1,14.25,0.25,39,134.0
200,B-3,14.5,0.25,95,134.0
201,E-3,14.5,19/40,83,134.0
202,A3,14.5,19/40,83,134.0
203,B3,14.5,19/40,83,134.0
204,F#4,14.5,19/40,83,134.0
205,E2,14.5,0.25,71,134.0
206,G#2,14.5,0.25,71,134.0
207,A4,14.75,0.25,63,134.0
208,E4,14.75,0.25,79,134.0
