,note_name,start_time,duration,velocity,tempo
0,F#4,0.0,4.0,100,106.0
1,D4,0.0,4.0,100,106.0
2,A3,0.0,4.0,100,106.0
3,D2,0.0,4.0,100,106.0
4,F#4,8.0,4.0,100,106.0
5,D4,8.0,4.0,100,106.0
6,A3,8.0,4.0,100,106.0
7,D2,8.0,4.0,100,106.0
8,F#5,11.0,1.0,100,106.0
9,F#5,12.0,1.5,100,106.0
10,F#4,12.0,4.0,100,106.0
11,E4,12.0,4.0,100,106.0
12,C#4,12.0,4.0,100,106.0
13,A3,12.0,4.0,100,106.0
14,F#2,12.0,4.0,100,106.0
15,E5,13.5,0.25,100,106.0
16,D5,13.75,0.25,100,106.0
17,E5,14.0,1.5,100,106.0
18,F#5,15.5,0.5,100,106.0
19,E5,15.875,0.125,100,106.0
20,F#5,16.0,2.0,100,106.0
21,G5,18.0,71/500,100,106.0
22,F#5,18.142,71/500,100,106.0
23,E5,18.283,71/500,100,106.0
24,D5,18.425,71/500,100,106.0
25,B4,18.567,71/500,100,106.0
26,A4,18.708,71/500,100,106.0
27,G4,18.85,71/500,100,106.0
28,F#4,19.0,0.5,100,106.0
29,E4,19.5,0.5,100,106.0
30,D4,20.0,3.0,100,106.0
31,F#4,20.0,4.0,100,106.0
32,E4,20.0,4.0,100,106.0
33,C#4,20.0,4.0,100,106.0
34,A3,20.0,4.0,100,106.0
35,F#2,20.0,4.0,100,106.0
36,E2,24.0,4.0,100,106.0
37,G3,24.0,4.0,100,106.0
38,B3,24.0,4.0,100,106.0
39,D4,24.0,4.0,100,106.0
40,G4,24.0,4.0,100,106.0
41,A4,25.0,0.125,100,106.0
42,B4,25.125,0.125,100,106.0
43,A4,25.25,0.125,100,106.0
44,F#4,25.375,0.125,100,106.0
45,G4,25.5,0.125,100,106.0
46,F#4,25.625,0.125,100,106.0
47,E4,25.75,0.125,100,106.0
48,D4,25.875,0.125,100,106.0
49,E4,26.0,0.125,100,106.0
50,F#4,26.125,0.125,100,106.0
51,G4,26.25,0.125,100,106.0
52,A4,26.375,0.125,100,106.0
53,B4,26.5,0.125,100,106.0
54,A4,26.625,0.125,100,106.0
55,G4,26.75,0.125,100,106.0
56,A4,26.875,0.125,100,106.0
57,B4,27.0,0.125,100,106.0
58,D5,27.125,0.125,100,106.0
59,E5,27.25,0.125,100,106.0
60,D5,27.375,0.125,100,106.0
61,B4,27.5,0.125,100,106.0
62,A4,27.625,0.125,100,106.0
63,B4,27.75,0.125,100,106.0
64,D5,27.875,0.125,100,106.0
65,E5,28.0,0.125,100,106.0
66,G5,28.125,0.125,100,106.0
67,A5,28.25,0.125,100,106.0
68,B5,28.375,0.125,100,106.0
69,A5,28.5,3.5,100,106.0
70,A5,32.0,1.0,100,106.0
71,D2,32.0,1.5,100,106.0
72,C2,32.0,1.0,100,106.0
73,C#3,32.0,2.0,100,106.0
74,F#2,32.0,0.5,100,106.0
75,F#3,32.0,4.0,100,106.0
76,A3,32.0,4.0,100,106.0
77,D4,32.0,4.0,100,106.0
78,D4,32.5,0.25,100,106.0
79,F#2,32.5,0.25,100,106.0
80,D4,32.75,0.25,100,106.0
81,F#2,32.75,0.25,100,106.0
82,D4,33.0,0.5,100,106.0
83,F#2,33.0,0.5,100,106.0
84,C#2,33.0,0.5,100,106.0
85,D4,33.5,0.5,100,106.0
86,D2,33.5,0.5,100,106.0
87,C2,33.5,0.5,100,106.0
88,F#2,33.5,0.5,100,106.0
89,F#2,34.5,0.5,100,106.0
90,A1,35.0,0.5,100,106.0
91,F#2,35.0,0.5,100,106.0
92,C#2,35.0,0.5,100,106.0
93,B1,35.5,0.5,100,106.0
94,C2,35.5,0.5,100,106.0
95,F#2,35.5,0.5,100,106.0
96,D2,36.0,1.5,100,106.0
97,C2,36.0,1.0,100,106.0
98,F#2,36.0,0.5,100,106.0
99,A3,36.0,4.0,100,106.0
100,G3,36.0,4.0,100,106.0
101,D4,36.0,4.0,100,106.0
102,D4,36.5,0.25,100,106.0
103,F#2,36.5,0.25,100,106.0
104,D4,36.75,0.25,100,106.0
105,F#2,36.75,0.25,100,106.0
106,D4,37.0,0.5,100,106.0
107,F#2,37.0,0.5,100,106.0
108,C#2,37.0,0.5,100,106.0
109,D4,37.5,0.5,100,106.0
110,D2,37.5,0.5,100,106.0
111,C2,37.5,0.5,100,106.0
112,F#2,37.5,0.5,100,106.0
113,F#2,38.5,0.5,100,106.0
114,A1,39.0,0.5,100,106.0
115,F#2,39.0,0.5,100,106.0
116,C#2,39.0,0.5,100,106.0
117,B1,39.5,0.5,100,106.0
118,C2,39.5,0.5,100,106.0
119,B-2,39.5,0.5,100,106.0
120,E2,40.0,4.0,100,106.0
121,D2,40.0,1.5,100,106.0
122,C2,40.0,1.0,100,106.0
123,F#2,40.0,0.5,100,106.0
124,G3,40.0,4.0,100,106.0
125,B3,40.0,4.0,100,106.0
126,D4,40.0,4.0,100,106.0
127,G4,40.0,4.0,100,106.0
128,F#3,40.0,4.0,100,106.0
129,A3,40.0,4.0,100,106.0
130,D4,40.0,4.0,100,106.0
131,D4,40.5,0.25,100,106.0
132,F#2,40.5,0.25,100,106.0
133,D4,40.75,0.25,100,106.0
134,F#2,40.75,0.25,100,106.0
135,D4,41.0,0.5,100,106.0
136,F#2,41.0,0.5,100,106.0
137,C#2,41.0,0.5,100,106.0
138,D4,41.5,0.5,100,106.0
139,D2,41.5,1.25,100,106.0
140,F#2,41.5,0.5,100,106.0
141,C2,41.5,0.5,100,106.0
142,F#2,42.5,0.5,100,106.0
143,D2,42.75,0.25,100,106.0
144,A1,43.0,0.5,100,106.0
145,F#2,43.0,0.5,100,106.0
146,C#2,43.0,0.5,100,106.0
147,B1,43.5,0.5,100,106.0
148,C2,43.5,0.5,100,106.0
149,F#2,43.5,0.5,100,106.0
150,A2,44.0,4.0,100,106.0
151,D2,44.0,1.5,100,106.0
152,C2,44.0,1.0,100,106.0
153,F#2,44.0,0.5,100,106.0
154,G3,44.0,4.0,100,106.0
155,B3,44.0,4.0,100,106.0
156,D4,44.0,4.0,100,106.0
157,G4,44.0,4.0,100,106.0
158,G3,44.0,4.0,100,106.0
159,A3,44.0,4.0,100,106.0
160,D4,44.0,4.0,100,106.0
161,D4,44.5,0.25,100,106.0
