,note_name,start_time,duration,velocity,tempo
0,A3,0.0,2.0,64,176.0
1,A1,0.0,1.0,64,176.0
2,E-3,0.0,1.0,64,176.0
3,F2,0.0,1.0,64,176.0
4,A4,0.667,0.333,64,176.0
5,A4,0.667,0.033,64,176.0
6,A4,0.667,0.333,64,176.0
7,D3,0.667,0.333,64,176.0
8,A4,0.667,0.333,64,176.0
9,A4,0.667,0.333,64,176.0
10,A3,0.667,0.333,64,176.0
11,A4,0.667,0.333,64,176.0
12,G2,1.0,1.0,64,176.0
13,C#2,1.0,1.0,64,176.0
14,B6,1.0,0.75,64,176.0
15,E-3,1.0,0.75,64,176.0
16,A3,1.667,0.333,64,176.0
17,A3,1.667,0.033,64,176.0
18,A3,1.667,0.333,64,176.0
19,A2,1.667,0.333,64,176.0
20,A3,1.667,0.333,64,176.0
21,A3,1.667,0.333,64,176.0
22,A2,1.667,0.333,64,176.0
23,A3,1.667,0.333,64,176.0
24,E-3,1.75,0.25,64,176.0
25,E2,2.0,1.0,64,176.0
26,E-3,2.0,1.0,64,176.0
27,A2,2.0,1.0,64,176.0
28,A4,2.667,0.333,64,176.0
29,A4,2.667,0.333,64,176.0
30,A4,2.667,0.333,64,176.0
31,C3,2.667,0.333,64,176.0
32,A4,2.667,0.333,64,176.0
33,A4,2.667,0.333,64,176.0
34,A3,2.667,0.333,64,176.0
35,A4,2.667,0.333,64,176.0
36,F#4,3.0,0.667,64,176.0
37,F#4,3.0,0.667,64,176.0
38,F#4,3.0,0.667,64,176.0
39,B2,3.0,0.667,64,176.0
40,B2,3.0,1.0,64,176.0
41,F#2,3.0,1.0,64,176.0
42,F#4,3.0,0.667,64,176.0
43,F#4,3.0,0.667,64,176.0
44,F#3,3.0,0.667,64,176.0
45,F#4,3.0,0.667,64,176.0
46,B6,3.0,0.75,64,176.0
47,E-3,3.0,0.75,64,176.0
48,E4,3.667,0.333,64,176.0
49,E4,3.667,0.033,64,176.0
50,E4,3.667,0.333,64,176.0
51,A2,3.667,0.333,64,176.0
52,E4,3.667,0.333,64,176.0
53,E4,3.667,0.333,64,176.0
54,E3,3.667,0.333,64,176.0
55,E4,3.667,0.333,64,176.0
56,E-3,3.75,0.25,64,176.0
57,G2,4.0,1.0,64,176.0
58,E-3,4.0,1.0,64,176.0
59,B2,4.0,1.0,64,176.0
60,A4,4.667,0.333,64,176.0
61,A4,4.667,0.033,64,176.0
62,A4,4.667,0.333,64,176.0
63,D3,4.667,0.333,64,176.0
64,A4,4.667,0.333,64,176.0
65,A4,4.667,0.333,64,176.0
66,A3,4.667,0.333,64,176.0
67,A4,4.667,0.333,64,176.0
68,A2,5.0,1.0,64,176.0
69,F#2,5.0,1.0,64,176.0
70,B6,5.0,0.75,64,176.0
71,E-3,5.0,0.75,64,176.0
72,A3,5.667,0.333,64,176.0
73,A3,5.667,0.033,64,176.0
74,A3,5.667,0.333,64,176.0
75,A2,5.667,0.333,64,176.0
76,A3,5.667,0.333,64,176.0
77,A3,5.667,0.333,64,176.0
78,A2,5.667,0.333,64,176.0
79,A3,5.667,0.333,64,176.0
80,E-3,5.75,0.25,64,176.0
81,E2,6.0,1.0,64,176.0
82,E-3,6.0,1.0,64,176.0
83,G2,6.0,1.0,64,176.0
84,A4,6.667,0.333,64,176.0
85,A4,6.667,0.333,64,176.0
86,A4,6.667,0.333,64,176.0
87,C3,6.667,0.333,64,176.0
88,A4,6.667,0.333,64,176.0
89,A4,6.667,0.333,64,176.0
90,A3,6.667,0.333,64,176.0
91,A4,6.667,0.333,64,176.0
92,F#4,7.0,0.667,64,176.0
93,F#4,7.0,0.667,64,176.0
94,F#4,7.0,0.667,64,176.0
95,B2,7.0,0.667,64,176.0
96,F2,7.0,1.0,64,176.0
97,C#2,7.0,1.0,64,176.0
98,F#4,7.0,0.667,64,176.0
99,F#4,7.0,0.667,64,176.0
100,F#3,7.0,0.667,64,176.0
101,F#4,7.0,0.667,64,176.0
102,B6,7.0,0.75,64,176.0
103,E-3,7.0,0.75,64,176.0
104,E4,7.667,0.333,64,176.0
105,E4,7.667,0.033,64,176.0
106,E4,7.667,0.333,64,176.0
107,A2,7.667,0.333,64,176.0
108,E4,7.667,0.333,64,176.0
109,E4,7.667,0.333,64,176.0
110,E3,7.667,0.333,64,176.0
111,E4,7.667,0.333,64,176.0
112,E-3,7.75,0.25,64,176.0
113,A1,8.0,1.0,64,176.0
114,E-3,8.0,1.0,64,176.0
115,F2,8.0,1.0,64,176.0
116,A4,8.667,0.333,64,176.0
117,A4,8.667,0.033,64,176.0
118,A4,8.667,0.333,64,176.0
119,D3,8.667,0.333,64,176.0
120,A4,8.667,0.333,64,176.0
121,A4,8.667,0.333,64,176.0
122,A3,8.667,0.333,64,176.0
123,A4,8.667,0.333,64,176.0
124,G2,9.0,1.0,64,176.0
125,C#2,9.0,1.0,64,176.0
126,B6,9.0,0.75,64,176.0
127,E-3,9.0,0.75,64,176.0
128,A3,9.667,0.333,64,176.0
129,A3,9.667,0.033,64,176.0
130,A3,9.667,0.333,64,176.0
131,A2,9.667,0.333,64,176.0
132,A3,9.667,0.333,64,176.0
133,A3,9.667,0.333,64,176.0
134,A2,9.667,0.333,64,176.0
135,A3,9.667,0.333,64,176.0
136,E-3,9.75,0.25,64,176.0
137,E2,10.0,1.0,64,176.0
138,E-3,10.0,1.0,64,176.0
139,A2,10.0,1.0,64,176.0
140,A4,10.667,0.333,64,176.0
141,A4,10.667,0.333,64,176.0
142,A4,10.667,0.333,64,176.0
143,C3,10.667,0.333,64,176.0
144,A4,10.667,0.333,64,176.0
145,A4,10.667,0.333,64,176.0
146,A3,10.667,0.333,64,176.0
147,A4,10.667,0.333,64,176.0
148,F#4,11.0,0.667,64,176.0
149,F#4,11.0,0.667,64,176.0
150,F#4,11.0,0.667,64,176.0
151,B2,11.0,0.667,64,176.0
152,B2,11.0,1.0,64,176.0
153,F#2,11.0,1.0,64,176.0
154,F#4,11.0,0.667,64,176.0
155,F#4,11.0,0.667,64,176.0
156,F#3,11.0,0.667,64,176.0
157,F#4,11.0,0.667,64,176.0
158,B6,11.0,0.75,64,176.0
159,E-3,11.0,0.75,64,176.0
160,E4,11.667,0.333,64,176.0
161,E4,11.667,0.033,64,176.0
162,E4,11.667,0.333,64,176.0
163,A2,11.667,0.333,64,176.0
164,E4,11.667,0.333,64,176.0
165,E4,11.667,0.333,64,176.0
166,E3,11.667,0.333,64,176.0
167,E4,11.667,0.333,64,176.0
168,E-3,11.75,0.25,64,176.0
169,G2,12.0,1.0,64,176.0
170,E-3,12.0,1.0,64,176.0
171,B2,12.0,1.0,64,176.0
172,A4,12.667,0.333,64,176.0
173,A4,12.667,0.033,64,176.0
174,A4,12.667,0.333,64,176.0
175,D3,12.667,0.333,64,176.0
176,A4,12.667,0.333,64,176.0
177,A4,12.667,0.333,64,176.0
178,A3,12.667,0.333,64,176.0
179,A4,12.667,0.333,64,176.0
180,A2,13.0,1.0,64,176.0
181,F#2,13.0,1.0,64,176.0
182,B6,13.0,0.75,64,176.0
183,E-3,13.0,0.75,64,176.0
184,A3,13.667,0.333,64,176.0
185,A3,13.667,0.033,64,176.0
186,A3,13.667,0.333,64,176.0
187,A2,13.667,0.333,64,176.0
188,A3,13.667,0.333,64,176.0
189,A3,13.667,0.333,64,176.0
190,A2,13.667,0.333,64,176.0
191,A3,13.667,0.333,64,176.0
192,E-3,13.75,0.25,64,176.0
193,E2,14.0,1.0,64,176.0
194,E-3,14.0,1.0,64,176.0
