,note_name,start_time,duration,velocity,tempo
0,E3,0.0,1.75,110,100.0
1,C2,2.0,833/1000,110,100.0
2,F#2,2.0,61/125,110,100.0
3,G3,2.0,167/1000,75,100.0
4,G3,2.0,61/125,110,100.0
5,B-3,2.0,61/125,110,100.0
6,F#2,2.5,61/125,110,100.0
7,F3,2.5,83/1000,75,100.0
8,G3,2.5,833/1000,110,100.0
9,B-3,2.5,833/1000,110,100.0
10,F3,2.75,83/1000,75,100.0
11,E2,3.0,369/500,110,100.0
12,F#2,3.0,61/125,110,100.0
13,G3,3.0,167/1000,75,100.0
14,F#2,3.5,61/125,110,100.0
15,F3,3.5,83/1000,75,100.0
16,G3,3.5,61/125,110,100.0
17,B-3,3.5,61/125,110,100.0
18,C2,3.75,119/500,110,100.0
19,F3,3.75,83/1000,75,100.0
20,G4,3.812,1/20,110,100.0
21,G3,3.812,1/20,110,100.0
22,G2,3.812,1/20,110,100.0
23,B-4,3.875,1/20,110,100.0
24,B-3,3.875,1/20,110,100.0
25,B-2,3.875,1/20,110,100.0
26,D5,3.938,1/20,110,100.0
27,D4,3.938,1/20,110,100.0
28,D3,3.938,1/20,110,100.0
29,G5,4.0,0.25,110,100.0
30,G4,4.0,0.25,110,100.0
31,G3,4.0,0.25,110,100.0
32,C2,4.0,833/1000,110,100.0
33,F#2,4.0,61/125,110,100.0
34,G3,4.0,167/1000,75,100.0
35,A3,4.0,1.75,110,100.0
36,C4,4.0,1.75,110,100.0
37,G3,4.25,167/1000,75,100.0
38,F#2,4.5,61/125,110,100.0
39,G3,4.5,167/1000,75,100.0
40,G4,4.812,1/20,110,100.0
41,G3,4.812,1/20,110,100.0
42,G2,4.812,1/20,110,100.0
43,B-4,4.875,1/20,110,100.0
44,B-3,4.875,1/20,110,100.0
45,B-2,4.875,1/20,110,100.0
46,D5,4.938,1/20,110,100.0
47,D4,4.938,1/20,110,100.0
48,D3,4.938,1/20,110,100.0
49,G5,5.0,0.25,110,100.0
50,G4,5.0,0.25,110,100.0
51,G3,5.0,0.25,110,100.0
52,E2,5.0,369/500,110,100.0
53,F#2,5.0,61/125,110,100.0
54,G3,5.0,167/1000,75,100.0
55,F#2,5.5,61/125,110,100.0
56,F3,5.5,83/1000,75,100.0
57,C2,5.75,119/500,110,100.0
