,note_name,start_time,duration,velocity,tempo
0,B-2,4.0,83/1000,103,120
1,E3,4.0,83/1000,103,120
2,C4,4.008,501/500,103,120
3,C2,4.021,189/125,111,120
4,E-5,4.231,47/200,74,120
5,E-4,4.298,217/1000,82,120
6,G5,4.504,32/125,66,120
7,G4,4.504,32/125,66,120
8,D5,4.746,231/1000,55,120
9,D4,4.769,147/500,95,120
10,B-2,4.975,11/125,119,120
11,E-5,4.987,61/250,70,120
12,E-4,5.013,73/250,79,120
13,C4,5.106,581/1000,9,120
14,G5,5.246,1/5,57,120
15,G4,5.246,1/5,57,120
16,G2,5.498,77/200,83,120
17,D5,5.508,26/125,39,120
18,D4,5.515,269/1000,57,120
19,E-5,5.74,13/50,64,120
20,E-4,5.74,13/50,64,120
21,C3,5.954,1721/1000,101,120
22,B-2,5.958,0.094,116,120
23,C4,5.981,371/500,92,120
24,C5,6.015,123/500,60,120
25,E-4,6.225,217/1000,66,120
26,E-5,6.225,217/1000,66,120
27,G4,6.469,9/40,55,120
28,G5,6.469,9/40,55,120
29,D4,6.71,6/25,64,120
30,D5,6.71,6/25,64,120
31,B-2,6.904,12/125,121,120
32,E-4,6.935,127/500,74,120
33,E-5,7.002,6/25,72,120
34,G4,7.196,221/1000,54,120
35,G5,7.252,63/250,66,120
36,D4,7.438,233/1000,56,120
37,D5,7.533,181/1000,42,120
38,E-4,7.681,1/5,69,120
39,G2,7.681,1/5,69,120
40,E-5,7.744,231/1000,56,120
41,B-2,7.9,1/10,118,120
42,C4,7.921,79/1000,64,120
43,C5,7.992,1/125,66,120
44,C2,7.996,1/250,89,120
45,C5,8.0,129/500,66,120
46,C4,8.0,153/250,64,120
47,C2,8.0,881/500,89,120
48,E-4,8.19,47/200,67,120
49,E-5,8.19,47/200,67,120
50,G4,8.45,9/40,58,120
51,G5,8.45,9/40,58,120
52,D4,8.69,231/1000,57,120
53,D5,8.69,231/1000,57,120
54,B-2,8.919,49/500,119,120
55,E-4,8.948,61/250,66,120
56,E-5,8.948,61/250,66,120
57,G4,9.194,223/1000,60,120
58,G5,9.194,223/1000,60,120
59,D4,9.463,26/125,48,120
60,D5,9.463,26/125,48,120
61,E-4,9.702,0.25,60,120
62,E-5,9.702,0.25,60,120
63,G2,9.702,0.25,60,120
64,B-2,9.906,79/1000,120,120
65,C4,9.981,379/500,83,120
66,C3,10.006,213/125,103,120
67,C5,10.015,123/500,60,120
68,E-5,10.254,223/1000,64,120
69,E-4,10.254,223/1000,64,120
70,G5,10.517,269/1000,46,120
71,G4,10.517,269/1000,46,120
72,D5,10.76,61/250,70,120
73,D4,10.76,61/250,70,120
74,B-2,10.988,11/125,118,120
75,E-5,11.002,123/500,68,120
76,E-4,11.002,123/500,68,120
77,G5,11.252,53/250,61,120
78,G4,11.252,53/250,61,120
79,D4,11.525,181/1000,48,120
80,D5,11.525,181/1000,48,120
81,E-5,11.744,127/1000,66,120
82,E-4,11.744,127/1000,66,120
83,C2,11.744,127/1000,66,120
84,C5,11.992,1/125,66,120
85,C4,11.992,1/125,66,120
86,C5,12.0,129/500,66,120
87,C4,12.0,129/500,66,120
88,B-2,12.002,81/1000,115,120
89,E-5,12.017,347/200,88,120
90,G4,12.021,199/125,78,120
91,C2,12.021,199/125,78,120
92,B-4,12.029,373/200,64,120
93,F4,12.04,649/500,51,120
94,E-5,12.231,47/200,74,120
95,E-4,12.231,47/200,74,120
96,G5,12.504,9/40,49,120
97,G4,12.504,9/40,49,120
98,D5,12.746,231/1000,55,120
99,D4,12.746,231/1000,55,120
100,E-5,12.988,61/250,70,120
101,E-4,12.988,61/250,70,120
102,B-2,12.998,12/125,117,120
103,G5,13.246,223/1000,54,120
104,G4,13.246,223/1000,54,120
105,D5,13.508,26/125,39,120
106,D4,13.508,26/125,39,120
107,C2,13.729,18/125,92,120
108,E-5,13.74,0.25,57,120
109,E-4,13.74,0.25,57,120
110,C2,13.969,181/100,78,120
111,D5,13.99,119/125,53,120
112,B-4,13.99,119/125,53,120
113,G4,13.99,119/125,53,120
114,C5,14.015,123/500,60,120
115,C4,14.015,123/500,60,120
116,B-2,14.037,17/200,120,120
117,E-4,14.058,481/500,19,120
118,E-5,14.254,217/1000,68,120
119,E-4,14.254,217/1000,68,120
120,G5,14.517,9/40,46,120
121,G4,14.517,9/40,46,120
122,D5,14.76,6/25,59,120
123,D4,14.76,6/25,59,120
124,E-5,15.002,6/25,72,120
125,E-4,15.002,6/25,72,120
126,B-2,15.031,1/10,115,120
127,G5,15.252,63/250,66,120
128,G4,15.252,63/250,66,120
129,D5,15.533,181/1000,42,120
130,D4,15.533,181/1000,42,120
131,E-5,15.744,51/250,72,120
132,E-4,15.744,51/250,72,120
133,G2,15.744,51/250,72,120
134,B-4,15.971,29/1000,47,120
135,G4,15.971,29/1000,47,120
136,E-4,15.971,29/1000,47,120
137,D4,15.992,1/125,29,120
138,C5,15.992,1/125,66,120
139,C4,15.992,1/125,66,120
140,D4,16.0,1.969,29,120
141,B-4,16.0,2779/1000,47,120
142,G4,16.0,2779/1000,47,120
143,E-4,16.0,2779/1000,47,120
144,C5,16.0,129/500,66,120
145,C4,16.0,129/500,66,120
146,B-2,16.023,12/125,118,120
147,C2,16.033,1733/1000,109,120
148,E-5,16.231,47/200,74,120
149,E-4,16.231,47/200,74,120
150,G5,16.504,9/40,49,120
151,G4,16.504,9/40,49,120
152,D5,16.746,231/1000,55,120
153,D4,16.746,231/1000,55,120
154,E-5,16.988,61/250,70,120
155,E-4,16.988,61/250,70,120
156,B-2,17.046,81/1000,118,120
157,G5,17.246,223/1000,54,120
158,G4,17.246,223/1000,54,120
159,D5,17.508,26/125,39,120
160,D4,17.508,26/125,39,120
161,E-5,17.74,9/40,59,120
162,E-4,17.74,9/40,59,120
163,G2,17.74,9/40,59,120
164,C4,17.981,21/20,34,120
165,C3,18.004,721/500,73,120
166,C5,18.015,123/500,60,120
167,C4,18.015,123/500,60,120
168,B-2,18.021,12/125,119,120
169,E-5,18.254,217/1000,68,120
170,E-4,18.254,217/1000,68,120
171,G5,18.517,9/40,46,120
172,G4,18.517,9/40,46,120
173,D5,18.76,6/25,59,120
174,D4,18.76,6/25,59,120
175,E-5,19.002,6/25,72,120
176,E-4,19.002,6/25,72,120
177,B-2,19.027,49/500,119,120
178,G5,19.252,63/250,66,120
179,G4,19.252,63/250,66,120
180,G2,19.477,523/1000,81,120
181,D5,19.533,181/1000,42,120
182,D4,19.533,181/1000,42,120
183,E3,19.735,49/500,65,120
184,E-5,19.744,231/1000,56,120
185,E-4,19.744,231/1000,56,120
186,E-5,19.956,11/250,85,120
187,B-4,19.96,1/25,83,120
188,C2,19.96,1/25,83,120
189,G4,19.969,0.031,74,120
190,C2,19.969,0.031,74,120
191,E3,19.99,1/100,94,120
192,B-2,19.99,1/100,94,120
193,C5,19.992,1/125,66,120
194,C4,19.992,1/125,66,120
195,E-5,20.0,1679/1000,85,120
196,E3,20.0,71/1000,94,120
197,B-2,20.0,71/1000,94,120
198,B-4,20.0,1.719,83,120
199,C2,20.0,1.719,83,120
200,G4,20.0,1727/1000,74,120
201,C2,20.0,1727/1000,74,120
202,C5,20.0,129/500,66,120
203,C4,20.0,129/500,66,120
204,E-5,20.231,47/200,74,120
205,E-4,20.231,47/200,74,120
206,G5,20.504,9/40,49,120
207,G4,20.504,9/40,49,120
208,D5,20.746,231/1000,55,120
209,D4,20.746,231/1000,55,120
210,E-5,20.988,61/250,70,120
211,E-4,20.988,61/250,70,120
212,B-2,20.996,17/200,116,120
213,G5,21.246,223/1000,54,120
214,G4,21.246,223/1000,54,120
215,D5,21.508,26/125,39,120
216,D4,21.508,26/125,39,120
217,E-5,21.74,0.25,57,120
218,E-4,21.74,0.25,57,120
219,G2,21.794,119/1000,92,120
220,D5,21.933,201/250,68,120
221,F4,21.96,1119/1000,49,120
222,G#4,21.962,353/500,57,120
