,note_name,start_time,duration,velocity,tempo
0,G#4,7.0,0.25,88,85.0
1,G#4,7.0,0.25,80,85.0
2,G4,7.25,0.25,88,85.0
3,G4,7.25,0.25,80,85.0
4,E-4,7.5,0.5,88,85.0
5,E-4,7.5,0.5,80,85.0
6,G3,8.0,221/500,57,85.0
7,B-3,8.0,883/1000,46,85.0
8,G#2,8.0,4.0,89,85.0
9,E-4,8.0,2.0,56,85.0
10,G4,8.0,2.0,56,85.0
11,G3,8.0,0.75,88,85.0
12,E-4,8.0,0.75,88,85.0
13,B-3,8.0,0.75,88,85.0
14,B1,8.0,1/125,86,85.0
15,F#2,8.0,1/125,86,85.0
16,G3,8.0,0.75,80,85.0
17,E-4,8.0,0.75,80,85.0
18,B-3,8.0,0.75,80,85.0
19,G#1,8.025,73/250,69,85.0
20,G#1,8.658,233/1000,69,85.0
21,G3,8.667,1.25,62,85.0
22,F#2,8.667,1/125,60,85.0
23,G3,8.75,0.75,88,85.0
24,B-3,8.75,0.75,88,85.0
25,E-4,8.75,0.75,88,85.0
26,G3,8.75,0.75,80,85.0
27,B-3,8.75,0.75,80,85.0
28,E-4,8.75,0.75,80,85.0
29,B-4,9.0,79/500,43,85.0
30,G4,9.0,26/125,60,85.0
31,E-5,9.0,26/125,60,85.0
32,D2,9.0,1/125,86,85.0
33,F#2,9.0,1/125,86,85.0
34,G#1,9.025,317/1000,71,85.0
35,B-3,9.333,667/1000,56,85.0
36,G#3,9.5,2.0,88,85.0
37,C4,9.5,2.0,88,85.0
38,E-4,9.5,2.0,88,85.0
39,G#3,9.5,2.0,80,85.0
40,C4,9.5,2.0,80,85.0
41,E-4,9.5,2.0,80,85.0
42,B1,9.667,1/125,64,85.0
43,F#2,9.667,1/125,64,85.0
44,G#1,9.683,267/1000,90,85.0
45,C5,10.0,133/1000,61,85.0
46,G#5,10.0,133/1000,61,85.0
47,E-5,10.0,133/1000,61,85.0
48,B1,10.0,1/125,86,85.0
49,F#2,10.0,1/125,86,85.0
50,G#1,10.033,9/40,75,85.0
51,G#1,10.658,9/40,71,85.0
52,C5,10.667,13/10,61,85.0
53,F#2,10.667,1/125,60,85.0
54,C4,10.667,49/40,55,85.0
55,G#4,10.667,49/40,55,85.0
56,E-4,10.667,49/40,55,85.0
57,D2,11.0,1/125,86,85.0
58,F#2,11.0,1/125,86,85.0
59,G#1,11.017,3/10,79,85.0
60,B-3,11.5,0.25,88,85.0
61,B-3,11.5,0.25,80,85.0
62,B-2,11.667,1/125,67,85.0
63,C5,11.667,7/40,61,85.0
64,G#5,11.667,7/40,61,85.0
65,E-5,11.667,7/40,61,85.0
66,G#3,11.75,0.25,88,85.0
67,G#3,11.75,0.25,80,85.0
68,F2,12.0,3.5,89,85.0
69,G4,12.0,133/1000,61,85.0
70,E-5,12.0,133/1000,61,85.0
71,B-4,12.0,133/1000,61,85.0
72,G3,12.0,1.5,88,85.0
73,B-3,12.0,1.5,88,85.0
74,E-4,12.0,1.5,88,85.0
75,B1,12.0,1/125,86,85.0
76,F#2,12.0,1/125,86,85.0
77,G3,12.0,1.5,80,85.0
78,B-3,12.0,1.5,80,85.0
79,E-4,12.0,1.5,80,85.0
80,F1,12.042,77/250,79,85.0
81,G4,12.667,13/10,61,85.0
82,F#2,12.667,1/125,60,85.0
83,G3,12.667,49/40,55,85.0
84,E-4,12.667,49/40,55,85.0
85,B-3,12.667,49/40,55,85.0
86,F1,12.708,183/1000,86,85.0
87,D2,13.0,1/125,86,85.0
88,F#2,13.0,1/125,86,85.0
89,F1,13.05,283/1000,86,85.0
90,G#3,13.5,2.0,88,85.0
91,C4,13.5,2.0,88,85.0
92,E-4,13.5,2.0,88,85.0
93,G#3,13.5,2.0,80,85.0
94,C4,13.5,2.0,80,85.0
95,E-4,13.5,2.0,80,85.0
96,G4,13.667,7/40,61,85.0
97,E-5,13.667,7/40,61,85.0
98,B-4,13.667,7/40,61,85.0
99,B1,13.667,1/125,64,85.0
100,F#2,13.667,1/125,64,85.0
101,F1,13.692,183/1000,86,85.0
102,G#4,14.0,133/1000,61,85.0
103,E-5,14.0,133/1000,61,85.0
104,C5,14.0,133/1000,61,85.0
105,B1,14.0,1/125,86,85.0
106,F#2,14.0,1/125,86,85.0
107,F1,14.033,9/40,75,85.0
108,F1,14.658,9/40,71,85.0
109,F4,14.667,13/10,61,85.0
110,F#2,14.667,1/125,60,85.0
111,G#3,14.667,49/40,55,85.0
112,E-4,14.667,49/40,55,85.0
113,C4,14.667,49/40,55,85.0
114,D2,15.0,1/125,86,85.0
115,F#2,15.0,1/125,86,85.0
116,F1,15.017,3/10,79,85.0
117,F3,15.5,0.25,88,85.0
118,E-2,15.5,0.5,89,85.0
119,F3,15.5,0.25,80,85.0
120,G#4,15.667,7/40,61,85.0
121,E-5,15.667,7/40,61,85.0
122,C5,15.667,7/40,61,85.0
123,B1,15.667,1/125,64,85.0
124,F#2,15.667,1/125,64,85.0
125,G3,15.75,0.25,88,85.0
126,G3,15.75,0.25,80,85.0
127,C#2,16.0,4.0,89,85.0
128,G3,16.0,0.75,88,85.0
129,B-3,16.0,0.75,88,85.0
130,E-4,16.0,0.75,88,85.0
131,B1,16.0,1/125,86,85.0
132,F#2,16.0,1/125,86,85.0
133,G3,16.0,0.75,80,85.0
134,B-3,16.0,0.75,80,85.0
135,E-4,16.0,0.75,80,85.0
136,C#2,16.033,9/40,75,85.0
137,C#2,16.658,9/40,71,85.0
138,G4,16.667,13/10,61,85.0
139,F#2,16.667,1/125,97,85.0
140,G3,16.667,49/40,55,85.0
141,E-4,16.667,49/40,55,85.0
142,B-3,16.667,49/40,55,85.0
143,G3,16.75,0.75,88,85.0
144,B-3,16.75,0.75,88,85.0
145,E-4,16.75,0.75,88,85.0
