,note_name,start_time,duration,velocity,tempo
0,C2,4.0,0.062,120,86.0
1,F#2,4.0,0.062,80,86.0
2,D3,4.0,19/100,100,86.0
3,D3,4.0,19/100,109,86.0
4,D2,4.0,379/1000,107,86.0
5,D2,4.0,4.0,70,86.0
6,D3,4.0,4.0,70,86.0
7,F#2,4.5,0.062,80,86.0
8,C2,4.75,0.062,120,86.0
9,E3,4.75,77/500,100,86.0
10,E3,4.75,77/500,107,86.0
11,F#2,5.0,0.062,80,86.0
12,E2,5.0,0.062,120,86.0
13,C2,5.5,0.062,120,86.0
14,F#2,5.5,0.062,80,86.0
15,F3,5.5,53/250,100,86.0
16,F3,5.5,53/250,108,86.0
17,C2,6.0,0.062,120,86.0
18,F#2,6.0,0.062,80,86.0
19,E3,6.0,19/100,100,86.0
20,E3,6.0,19/100,110,86.0
21,F#2,6.5,0.062,80,86.0
22,C2,6.75,0.062,120,86.0
23,F3,6.75,77/500,100,86.0
24,F3,6.75,77/500,106,86.0
25,F#2,7.0,0.062,80,86.0
26,E2,7.0,0.062,120,86.0
27,C2,7.5,0.062,120,86.0
28,F#2,7.5,0.062,80,86.0
29,G3,7.5,53/250,100,86.0
30,G3,7.5,53/250,117,86.0
31,C2,8.0,0.062,120,86.0
32,F#2,8.0,0.062,80,86.0
33,F3,8.0,19/100,100,86.0
34,F3,8.0,19/100,109,86.0
35,D2,8.0,4.0,70,86.0
36,D3,8.0,4.0,70,86.0
37,F#2,8.5,0.062,80,86.0
38,C2,8.75,0.062,120,86.0
39,G3,8.75,77/500,100,86.0
40,G3,8.75,77/500,102,86.0
41,F#2,9.0,0.062,80,86.0
42,E2,9.0,0.062,120,86.0
43,C2,9.5,0.062,120,86.0
44,F#2,9.5,0.062,80,86.0
45,A3,9.5,53/250,100,86.0
46,A3,9.5,53/250,109,86.0
47,C2,10.0,0.062,120,86.0
48,F#2,10.0,0.062,80,86.0
49,G3,10.0,19/100,100,86.0
50,G3,10.0,19/100,114,86.0
51,F#2,10.5,0.062,80,86.0
52,B-2,10.5,1.5,50,86.0
53,B-3,10.5,1.5,50,86.0
54,C2,10.75,0.062,120,86.0
