,note_name,start_time,duration,velocity,tempo
0,G#4,4.0,0.25,127,118.0
1,G#4,4.0,12/5,127,118.0
2,F4,4.0,12/5,127,118.0
3,C5,4.0,12/5,127,118.0
4,G#4,4.5,0.25,127,118.0
5,G#4,5.0,0.25,127,118.0
6,G#4,5.5,983/1000,127,118.0
7,F4,6.5,0.5,127,118.0
8,C4,7.0,567/1000,127,118.0
9,E-4,7.5,0.5,127,118.0
10,B-2,8.0,2317/1000,127,118.0
11,E-4,8.0,567/1000,127,118.0
12,C#4,8.0,2167/1000,127,118.0
13,F4,8.0,2167/1000,127,118.0
14,C#4,8.5,2483/1000,127,118.0
15,G3,12.0,527/250,127,118.0
16,G4,12.0,0.25,127,118.0
17,B-4,12.0,0.125,127,118.0
18,E-2,12.0,2167/1000,127,118.0
19,C#4,12.0,2167/1000,127,118.0
20,G4,12.5,233/1000,127,118.0
21,B-4,12.5,3/20,127,118.0
22,G4,13.0,0.25,127,118.0
23,B-4,13.0,24/125,127,118.0
24,G4,13.5,1067/1000,127,118.0
25,B-4,13.5,13/20,127,118.0
26,E-4,14.5,21/40,127,118.0
27,B-4,14.5,26/125,127,118.0
28,B-3,15.0,271/500,127,118.0
29,B-4,15.0,0.5,127,118.0
30,C4,15.5,0.5,127,118.0
31,G#4,15.5,0.5,127,118.0
32,G#2,16.0,2733/1000,127,118.0
33,C4,16.0,2983/1000,127,118.0
34,G#4,16.0,2417/1000,127,118.0
35,G3,16.0,2917/1000,127,118.0
36,C4,16.0,2917/1000,127,118.0
37,E-4,16.0,2917/1000,127,118.0
38,G2,19.5,0.5,127,118.0
39,F2,20.0,1271/500,127,118.0
40,G2,20.0,67/1000,127,118.0
41,C4,20.0,26/125,127,118.0
42,C4,20.0,2.25,127,118.0
43,G#4,20.0,2.25,127,118.0
44,C5,20.0,2.25,127,118.0
45,F4,20.0,2.25,127,118.0
46,F4,20.0,0.125,127,118.0
47,G#4,20.0,0.125,127,118.0
48,C4,20.5,24/125,127,118.0
49,G#4,20.5,24/125,127,118.0
50,F4,20.5,24/125,127,118.0
51,C4,21.0,26/125,127,118.0
52,G#4,21.0,167/1000,127,118.0
53,F4,21.0,167/1000,127,118.0
54,C4,21.5,41/40,127,118.0
55,G#4,21.5,0.625,127,118.0
56,F4,21.5,0.625,127,118.0
57,F4,22.5,21/40,127,118.0
58,G#4,22.5,167/1000,127,118.0
59,F4,22.5,167/1000,127,118.0
60,G#4,23.0,583/1000,127,118.0
61,E-4,23.0,24/125,127,118.0
62,G#4,23.0,24/125,127,118.0
63,G4,23.5,0.5,127,118.0
64,G#4,23.5,26/125,127,118.0
65,E-4,23.5,11/40,127,118.0
66,D2,24.0,2417/1000,127,118.0
67,B-2,24.0,2583/1000,127,118.0
68,F4,24.0,91/40,127,118.0
69,G4,24.0,21/40,127,118.0
70,D4,24.0,0.125,127,118.0
71,G#4,24.0,21/500,127,118.0
72,G#3,24.0,2167/1000,127,118.0
73,B-3,24.0,2167/1000,127,118.0
74,F4,24.5,1.125,127,118.0
75,G#4,24.5,471/500,127,118.0
76,D4,24.5,471/500,127,118.0
77,B-4,26.0,24/125,127,118.0
78,G#4,26.0,24/125,127,118.0
79,D4,26.0,24/125,127,118.0
80,B-4,26.5,0.25,127,118.0
81,G#4,26.5,24/125,127,118.0
82,D4,26.5,24/125,127,118.0
83,B-4,27.0,567/1000,127,118.0
84,D4,27.0,233/1000,127,118.0
85,G#4,27.0,167/1000,127,118.0
86,G#4,27.5,0.5,127,118.0
87,G#4,27.5,0.5,127,118.0
88,D4,27.5,0.5,127,118.0
89,G#4,28.0,567/1000,127,118.0
90,E-2,28.0,1021/500,127,118.0
91,E-4,28.0,1021/500,127,118.0
92,G4,28.0,1021/500,127,118.0
93,E-3,28.0,1021/500,127,118.0
94,B-3,28.0,1021/500,127,118.0
95,E-3,28.0,1021/500,127,118.0
96,B-4,28.0,26/125,127,118.0
97,E-4,28.0,26/125,127,118.0
98,G#4,28.0,83/1000,127,118.0
99,D4,28.0,83/1000,127,118.0
100,G4,28.5,1.75,127,118.0
101,B-4,28.5,1333/1000,127,118.0
102,E-4,28.5,1333/1000,127,118.0
103,E-4,31.0,483/1000,127,118.0
104,B-4,31.0,167/1000,127,118.0
105,E-4,31.0,0.5,127,118.0
106,G4,31.5,0.5,127,118.0
107,B-4,31.5,0.5,127,118.0
108,C4,31.5,0.5,127,118.0
109,C#3,32.0,2317/1000,127,118.0
110,G4,32.0,483/1000,127,118.0
111,B-4,32.0,11/40,127,118.0
112,C4,32.0,417/1000,127,118.0
113,C#4,32.0,276/125,127,118.0
114,G#4,32.0,276/125,127,118.0
115,C#2,32.0,276/125,127,118.0
116,F4,32.0,276/125,127,118.0
117,F4,32.5,1167/1000,127,118.0
118,C#4,32.5,479/500,127,118.0
119,G#4,32.5,479/500,127,118.0
120,F4,34.0,24/125,127,118.0
121,G#4,34.0,24/125,127,118.0
122,C#4,34.0,24/125,127,118.0
123,F4,34.5,26/125,127,118.0
124,C#4,34.5,24/125,127,118.0
125,G#4,34.5,24/125,127,118.0
126,F4,35.0,24/125,127,118.0
127,C#4,35.0,24/125,127,118.0
128,G#4,35.0,24/125,127,118.0
129,F4,35.5,0.5,127,118.0
130,G#4,35.5,0.5,127,118.0
131,G#3,35.5,0.5,127,118.0
132,G#2,36.0,2317/1000,127,118.0
133,E-4,36.0,233/1000,127,118.0
134,F4,36.0,1/40,127,118.0
135,C4,36.0,11/40,127,118.0
136,G#4,36.0,0.25,127,118.0
137,G#3,36.0,317/1000,127,118.0
138,G#4,36.0,527/250,127,118.0
139,G#3,36.0,527/250,127,118.0
140,E-4,36.0,527/250,127,118.0
141,C4,36.0,527/250,127,118.0
142,E-4,36.0,527/250,127,118.0
143,E-4,36.5,929/500,127,118.0
144,G#3,36.5,1333/1000,127,118.0
145,C4,36.5,1333/1000,127,118.0
146,G#4,36.5,1333/1000,127,118.0
147,G#3,39.0,483/1000,127,118.0
148,G#4,39.0,27/250,127,118.0
149,C4,39.0,27/250,127,118.0
150,G#3,39.0,27/250,127,118.0
151,E-4,39.5,0.5,127,118.0
152,G#4,39.5,0.5,127,118.0
153,C4,39.5,0.5,127,118.0
154,G#3,39.5,0.5,127,118.0
155,C4,39.5,0.5,127,118.0
156,E-4,40.0,271/500,127,118.0
157,C#4,40.0,2333/1000,127,118.0
158,C#2,40.0,2333/1000,127,118.0
159,B-3,40.0,2333/1000,127,118.0
160,F3,40.0,2333/1000,127,118.0
161,G#4,40.0,333/1000,127,118.0
162,C4,40.0,333/1000,127,118.0
163,G#3,40.0,333/1000,127,118.0
164,C4,40.0,333/1000,127,118.0
165,C#4,40.5,1233/1000,127,118.0
166,B-3,40.5,41/40,127,118.0
167,F4,40.5,471/500,127,118.0
168,C#4,42.0,21/40,127,118.0
169,F4,42.0,24/125,127,118.0
170,B-3,42.0,24/125,127,118.0
171,C4,42.5,233/1000,127,118.0
172,B-3,42.5,173/250,127,118.0
173,F4,42.5,0.25,127,118.0
174,C4,43.0,233/1000,127,118.0
175,G#3,43.0,233/1000,127,118.0
176,F4,43.0,233/1000,127,118.0
177,C4,43.5,0.5,127,118.0
