,note_name,start_time,duration,velocity,tempo
0,A2,0.0,0.5,100,127.0
1,C3,0.5,0.5,100,127.0
2,D3,1.0,0.5,100,127.0
3,A2,1.5,1.0,100,127.0
4,A2,2.5,0.5,100,127.0
5,C3,3.0,0.5,100,127.0
6,D3,3.5,0.5,100,127.0
7,F3,4.0,0.5,100,127.0
8,G3,4.5,0.5,100,127.0
9,F#2,5.0,1.0,100,127.0
10,A2,6.0,0.5,100,127.0
11,C3,6.5,0.5,100,127.0
12,D3,7.0,0.5,100,127.0
13,F2,7.5,0.5,100,127.0
14,F2,8.0,203/200,100,127.0
15,C3,8.5,103/200,85,127.0
16,E2,9.0,297/200,100,127.0
17,C3,10.0,97/200,85,127.0
18,F2,10.5,1.5,100,127.0
19,C3,11.5,0.5,85,127.0
20,F2,12.0,3/200,100,127.0
21,G2,12.0,4.0,75,127.0
22,D3,12.0,4.0,75,127.0
23,G3,12.0,4.0,75,127.0
24,D4,12.0,4.0,75,127.0
25,G4,12.0,4.0,75,127.0
26,A2,16.0,0.5,100,127.0
27,A1,16.0,0.5,100,127.0
28,C3,16.5,0.5,100,127.0
29,C2,16.5,0.5,100,127.0
30,D3,17.0,0.5,100,127.0
31,D2,17.0,0.5,100,127.0
32,A2,17.5,1.0,100,127.0
33,A1,17.5,1.0,100,127.0
34,A2,18.5,0.5,100,127.0
35,A1,18.5,0.5,100,127.0
36,C3,19.0,0.5,100,127.0
37,C2,19.0,0.5,100,127.0
38,D3,19.5,0.5,100,127.0
39,D2,19.5,0.5,100,127.0
40,G3,20.0,0.5,100,127.0
41,G2,20.0,0.5,100,127.0
42,F#3,20.5,0.5,100,127.0
43,F#2,20.5,0.5,100,127.0
44,F#2,21.0,1.0,100,127.0
45,F#1,21.0,1.0,100,127.0
46,A2,22.0,0.5,100,127.0
47,A1,22.0,0.5,100,127.0
48,C3,22.5,0.5,100,127.0
49,C2,22.5,0.5,100,127.0
50,D3,23.0,0.5,100,127.0
51,D2,23.0,0.5,100,127.0
52,F2,23.5,0.5,100,127.0
53,F1,23.5,0.5,100,127.0
54,F2,24.0,203/200,100,127.0
55,F1,24.0,0.5,100,127.0
56,C3,24.5,103/200,70,127.0
57,C2,24.5,0.5,100,127.0
58,E2,25.0,297/200,100,127.0
59,E1,25.0,1.0,100,127.0
60,C3,26.0,0.5,70,127.0
61,C2,26.0,0.5,100,127.0
62,F2,26.5,1.5,100,127.0
63,F1,26.5,1.5,100,127.0
64,C3,28.0,0.5,100,127.0
65,F2,28.0,3/200,100,127.0
66,C2,28.0,0.5,100,127.0
67,E2,28.0,83/1000,100,127.0
68,E2,28.083,83/1000,100,127.0
69,G1,28.5,3.5,100,127.0
70,G2,28.5,3.5,100,127.0
71,D3,28.5,3.5,100,127.0
72,C#3,28.5,0.5,100,127.0
73,C2,28.5,0.5,100,127.0
74,C2,29.5,0.5,100,127.0
75,E2,30.0,0.5,100,127.0
76,G3,30.0,0.5,100,127.0
77,E2,30.5,0.25,100,127.0
78,E2,30.75,0.25,100,127.0
79,E2,31.0,0.25,100,127.0
80,E2,31.25,0.25,100,127.0
81,E2,31.5,0.25,100,127.0
82,E2,31.75,0.25,100,127.0
83,A2,32.0,0.5,100,127.0
84,A1,32.0,0.5,100,127.0
85,C2,32.0,0.5,100,127.0
86,C#3,32.0,1.0,100,127.0
87,G2,32.0,3/200,100,127.0
88,D3,32.0,3/200,100,127.0
89,C3,32.5,0.5,100,127.0
90,C2,32.5,0.5,100,127.0
91,C2,32.5,0.5,100,127.0
92,D3,33.0,0.5,100,127.0
93,D2,33.0,0.5,100,127.0
94,E2,33.0,0.5,100,127.0
95,B-2,33.0,1.0,100,127.0
96,A2,33.5,1.0,100,127.0
97,A1,33.5,1.0,100,127.0
98,C2,33.5,1.0,100,127.0
99,B-2,34.0,1.0,100,127.0
100,A2,34.5,0.5,100,127.0
101,A1,34.5,0.5,100,127.0
102,C2,34.5,0.5,100,127.0
103,C3,35.0,0.5,100,127.0
104,C2,35.0,0.5,100,127.0
105,E2,35.0,0.5,100,127.0
106,B-2,35.0,1.0,100,127.0
107,D3,35.5,0.5,100,127.0
108,D2,35.5,0.5,100,127.0
109,C2,35.5,0.5,100,127.0
110,F3,36.0,0.5,100,127.0
111,F2,36.0,0.5,100,127.0
112,C2,36.0,0.5,100,127.0
113,B-2,36.0,1.0,100,127.0
114,G3,36.5,0.5,100,127.0
115,G2,36.5,0.5,100,127.0
116,C2,36.5,0.5,100,127.0
117,F#2,37.0,1.0,100,127.0
118,F#1,37.0,1.0,100,127.0
119,B-2,37.0,1.0,100,127.0
120,E2,37.0,1.0,100,127.0
121,A2,38.0,0.5,100,127.0
122,A1,38.0,0.5,100,127.0
123,C2,38.0,0.5,100,127.0
124,B-2,38.0,1.0,100,127.0
125,C3,38.5,0.5,100,127.0
126,C2,38.5,0.5,100,127.0
127,C2,38.5,0.5,100,127.0
128,D3,39.0,0.5,100,127.0
129,D2,39.0,0.5,100,127.0
130,E2,39.0,0.5,100,127.0
131,B-2,39.0,1.0,100,127.0
132,F2,39.5,0.5,100,127.0
133,F1,39.5,0.5,100,127.0
134,C2,39.5,0.5,100,127.0
135,F2,40.0,203/200,100,127.0
136,F1,40.0,203/200,100,127.0
137,B-2,40.0,1.0,100,127.0
138,C2,40.0,0.5,100,127.0
139,C3,40.5,103/200,70,127.0
140,C2,40.5,103/200,70,127.0
141,C2,40.5,0.5,100,127.0
142,E2,41.0,297/200,100,127.0
143,E1,41.0,297/200,100,127.0
144,B-2,41.0,1.0,100,127.0
145,E2,41.0,297/200,100,127.0
146,C3,42.0,0.5,70,127.0
147,C2,42.0,0.5,70,127.0
148,B-2,42.0,1.0,100,127.0
149,F2,42.5,1.5,100,127.0
150,F1,42.5,1.0,100,127.0
151,C2,42.5,0.5,100,127.0
152,B-2,43.0,1.0,100,127.0
153,E2,43.0,1.0,100,127.0
154,C3,43.5,0.5,70,127.0
155,C2,43.5,0.5,70,127.0
156,F2,44.0,3/200,100,127.0
157,G1,44.0,4.0,100,127.0
158,C2,44.0,0.5,100,127.0
159,B-2,44.0,1.0,100,127.0
160,G2,44.0,4.0,85,127.0
161,D3,44.0,4.0,85,127.0
162,C2,44.5,0.5,100,127.0
163,E2,45.0,0.5,100,127.0
164,B-2,45.0,1.0,100,127.0
165,C2,45.5,1.0,100,127.0
166,B-2,46.0,1.0,100,127.0
167,C2,46.5,0.5,100,127.0
168,E2,47.0,0.5,100,127.0
169,B-2,47.0,1.0,100,127.0
170,E2,47.5,0.25,100,127.0
171,E2,47.75,0.25,100,127.0
172,A2,48.0,0.5,100,127.0
173,A1,48.0,0.5,100,127.0
174,C#3,48.0,1.0,100,127.0
175,C2,48.0,0.5,100,127.0
176,C3,48.5,0.5,100,127.0
177,C2,48.5,0.5,100,127.0
178,C2,48.5,0.5,100,127.0
179,D3,49.0,0.5,100,127.0
180,D2,49.0,0.5,100,127.0
181,E2,49.0,0.5,100,127.0
182,B-2,49.0,1.0,100,127.0
183,A2,49.5,1.0,100,127.0
184,A1,49.5,1.0,100,127.0
185,C2,49.5,1.0,100,127.0
186,B-2,50.0,1.0,100,127.0
187,A2,50.5,0.5,100,127.0
188,A1,50.5,0.5,100,127.0
189,C2,50.5,0.5,100,127.0
190,C3,51.0,0.5,100,127.0
191,C2,51.0,0.5,100,127.0
192,E2,51.0,0.5,100,127.0
193,B-2,51.0,1.0,100,127.0
194,D3,51.5,0.5,100,127.0
195,D2,51.5,0.5,100,127.0
196,C2,51.5,0.5,100,127.0
197,G3,52.0,0.5,100,127.0
198,G2,52.0,0.5,100,127.0
199,E2,52.0,0.5,100,127.0
200,B-2,52.0,1.0,100,127.0
201,F#3,52.5,0.5,100,127.0
202,F#2,52.5,0.5,100,127.0
203,E2,52.5,0.5,100,127.0
204,F#2,53.0,1.0,100,127.0
205,F#1,53.0,1.0,100,127.0
206,C#3,53.0,1.0,100,127.0
207,C2,53.0,1.0,100,127.0
208,A2,54.0,0.5,100,127.0
209,A1,54.0,0.5,100,127.0
210,E2,54.0,61/125,100,127.0
211,B-2,54.0,1.0,100,127.0
212,C3,54.5,0.5,100,127.0
213,C2,54.5,0.5,100,127.0
214,C2,54.5,0.5,100,127.0
215,D3,55.0,0.5,100,127.0
216,D2,55.0,0.5,100,127.0
217,E2,55.0,0.5,100,127.0
218,F2,55.5,0.5,100,127.0
219,F1,55.5,0.5,100,127.0
220,C#3,55.5,0.5,100,127.0
221,C2,55.5,0.5,100,127.0
222,F2,56.0,203/200,100,127.0
223,F1,56.0,203/200,100,127.0
224,B-2,56.0,1.0,100,127.0
225,C2,56.0,0.5,100,127.0
226,C3,56.5,103/200,70,127.0
227,C2,56.5,103/200,70,127.0
228,C2,56.5,0.5,100,127.0
229,E2,57.0,297/200,100,127.0
230,E1,57.0,297/200,100,127.0
231,B-2,57.0,1.0,100,127.0
232,E2,57.0,297/200,100,127.0
233,C3,58.0,0.5,70,127.0
234,C2,58.0,0.5,70,127.0
235,B-2,58.0,1.0,100,127.0
236,F2,58.5,1.5,100,127.0
237,F1,58.5,1.5,100,127.0
238,C2,58.5,0.5,100,127.0
239,E2,59.0,1.0,100,127.0
240,B-2,59.0,1.0,100,127.0
241,F3,59.5,0.062,100,127.0
242,G3,59.562,0.062,100,127.0
243,A3,59.625,0.062,100,127.0
244,B3,59.688,0.062,100,127.0
245,C4,59.75,0.062,100,127.0
246,D4,59.812,0.062,100,127.0
247,E4,59.875,0.062,100,127.0
248,F4,59.938,0.062,100,127.0
249,C3,60.0,0.5,70,127.0
250,F2,60.0,3/200,100,127.0
251,C2,60.0,0.5,70,127.0
252,F1,60.0,3/200,100,127.0
253,D6,60.0,0.5,100,127.0
254,G5,60.0,0.5,100,127.0
255,D5,60.0,0.5,100,127.0
256,G4,60.0,0.5,100,127.0
257,C#3,60.0,0.5,100,127.0
258,C2,60.0,0.5,100,127.0
259,G1,60.5,3.5,100,127.0
260,G2,60.5,3.5,100,127.0
261,D3,60.5,3.5,100,127.0
262,G5,60.5,3.5,100,127.0
263,D5,60.5,3.5,100,127.0
264,G4,60.5,3.5,100,127.0
265,D6,60.5,3.5,100,127.0
266,A3,60.5,0.5,100,127.0
267,C2,60.5,0.5,100,127.0
268,E2,61.0,729/1000,100,127.0
269,B-2,61.0,729/1000,100,127.0
270,E2,61.75,0.25,100,127.0
271,E2,62.0,97/200,100,127.0
272,E2,62.5,103/200,100,127.0
273,E2,63.0,0.25,100,127.0
274,E2,63.25,0.25,100,127.0
275,E2,63.5,0.25,100,127.0
276,E2,63.75,0.25,100,127.0
277,C2,64.0,0.5,100,127.0
278,G1,64.0,3/200,100,127.0
279,C2,64.0,0.25,100,127.0
280,C3,64.0,0.5,100,127.0
281,G3,64.0,0.5,100,127.0
282,G2,64.0,3/200,100,127.0
283,D3,64.0,3/200,100,127.0
284,E2,64.0,1.0,100,127.0
285,G2,64.0,1.0,100,127.0
286,C6,64.015,0.5,100,127.0
287,F5,64.015,0.5,100,127.0
288,C5,64.015,0.5,100,127.0
289,G5,64.015,3/200,100,127.0
290,D5,64.015,3/200,100,127.0
291,G4,64.015,3/200,100,127.0
292,D6,64.015,3/200,100,127.0
293,C2,64.25,0.25,100,127.0
294,D2,64.5,0.5,100,127.0
295,C2,64.5,0.25,100,127.0
296,D3,64.5,0.5,100,127.0
297,A3,64.5,0.5,100,127.0
298,D6,64.515,0.5,100,127.0
299,D5,64.515,0.5,100,127.0
300,A5,64.515,0.5,100,127.0
301,C2,64.75,0.25,100,127.0
302,C2,65.0,0.25,100,127.0
303,C2,65.25,0.25,100,127.0
304,F1,65.5,0.5,100,127.0
305,C2,65.5,0.25,100,127.0
306,C4,65.5,0.5,100,127.0
307,F3,65.5,0.5,100,127.0
308,C5,65.5,0.5,100,127.0
309,C6,65.5,0.5,100,127.0
310,F5,65.5,0.5,100,127.0
311,E2,65.5,1.0,100,127.0
312,G2,65.5,1.0,100,127.0
313,C2,65.75,0.25,100,127.0
314,C2,66.0,0.25,100,127.0
315,C2,66.25,0.25,100,127.0
316,C2,66.5,0.25,100,127.0
317,C2,66.75,0.25,100,127.0
318,G1,67.0,1.0,100,127.0
319,C2,67.0,0.25,100,127.0
320,D3,67.0,1.0,100,127.0
321,G2,67.0,1.0,100,127.0
322,G3,67.0,1.0,100,127.0
323,E2,67.0,1.0,100,127.0
324,C#3,67.0,1.0,100,127.0
325,G6,67.015,1.0,100,127.0
326,D6,67.015,1.0,100,127.0
327,G5,67.015,1.0,100,127.0
328,G4,67.015,1.0,100,127.0
329,G3,67.015,1.0,100,127.0
330,C2,67.25,0.25,100,127.0
331,C2,67.5,0.25,100,127.0
332,C2,67.75,0.25,100,127.0
333,G1,68.0,4.0,100,127.0
334,C2,68.0,0.25,100,127.0
335,D3,68.0,4.0,100,127.0
336,G2,68.0,4.0,100,127.0
337,G3,68.0,4.0,100,127.0
