,note_name,start_time,duration,velocity,tempo
0,C#2,4.0,3/250,64,112.0
1,C#2,5.0,3/250,64,112.0
2,C#2,6.0,3/250,64,112.0
3,C#2,7.0,3/250,64,112.0
4,C#3,8.0,3/250,96,112.0
5,C2,8.0,3/250,96,112.0
6,E-4,8.0,77/500,107,112.0
7,B-3,8.0,77/500,107,112.0
8,C4,8.0,77/500,107,112.0
9,E-4,8.5,179/1000,107,112.0
10,B-3,8.5,179/1000,107,112.0
11,C4,8.5,179/1000,107,112.0
12,F#2,9.0,3/250,119,112.0
13,E-2,9.0,3/250,119,112.0
14,C2,9.0,3/250,119,112.0
15,E-4,9.0,171/1000,107,112.0
16,B-3,9.0,171/1000,107,112.0
17,C4,9.0,171/1000,107,112.0
18,E-4,9.5,179/1000,107,112.0
19,B-3,9.5,179/1000,107,112.0
20,C4,9.5,179/1000,107,112.0
21,C2,10.0,3/250,127,112.0
22,E-4,10.0,167/1000,107,112.0
23,B-3,10.0,167/1000,107,112.0
24,C4,10.0,167/1000,107,112.0
25,C4,10.5,167/1000,107,112.0
26,E-4,10.5,14/125,107,112.0
27,B-3,10.5,14/125,107,112.0
28,F#2,11.0,3/250,116,112.0
29,E-2,11.0,3/250,116,112.0
30,C2,11.0,3/250,116,112.0
31,E-4,11.0,79/500,107,112.0
32,B-3,11.0,79/500,107,112.0
33,C4,11.0,79/500,107,112.0
34,E-4,11.5,7/40,107,112.0
35,B-3,11.5,7/40,107,112.0
36,C4,11.5,7/40,107,112.0
37,C2,12.0,3/250,127,112.0
38,A3,12.0,133/1000,107,112.0
39,E-4,12.0,133/1000,107,112.0
40,C4,12.0,133/1000,107,112.0
41,E-4,12.5,167/1000,107,112.0
42,A3,12.5,167/1000,107,112.0
43,C4,12.5,167/1000,107,112.0
44,F#2,13.0,3/250,114,112.0
45,E-2,13.0,3/250,114,112.0
46,C2,13.0,3/250,114,112.0
47,E-4,13.0,69/500,107,112.0
48,C4,13.0,69/500,107,112.0
49,A3,13.0,69/500,107,112.0
50,E-4,13.5,0.188,107,112.0
51,A3,13.5,0.188,107,112.0
52,C4,13.5,0.188,107,112.0
53,C2,14.0,3/250,127,112.0
54,A3,14.0,77/500,107,112.0
55,E-4,14.0,77/500,107,112.0
56,C4,14.0,77/500,107,112.0
57,E-4,14.5,179/1000,107,112.0
58,A3,14.5,179/1000,107,112.0
59,C4,14.5,179/1000,107,112.0
60,E-2,14.75,3/250,110,112.0
61,F#2,15.0,3/250,101,112.0
62,E-2,15.0,3/250,101,112.0
63,C2,15.0,3/250,101,112.0
64,E-4,15.0,79/500,107,112.0
65,A3,15.0,79/500,107,112.0
66,C4,15.0,79/500,107,112.0
67,F#2,15.5,3/250,96,112.0
68,E-2,15.5,3/250,96,112.0
69,E-4,15.5,171/1000,107,112.0
70,A3,15.5,171/1000,107,112.0
71,C4,15.5,171/1000,107,112.0
72,F#2,15.75,3/250,93,112.0
73,C2,16.0,3/250,127,112.0
74,B-3,16.0,0.188,107,112.0
75,E-4,16.0,0.188,107,112.0
76,C4,16.0,0.188,107,112.0
77,E-4,16.5,167/1000,107,112.0
78,B-3,16.5,167/1000,107,112.0
79,C4,16.5,167/1000,107,112.0
80,F#2,17.0,3/250,116,112.0
81,E-2,17.0,3/250,116,112.0
82,C2,17.0,3/250,116,112.0
83,E-4,17.0,73/500,107,112.0
84,C4,17.0,73/500,107,112.0
85,B-3,17.0,73/500,107,112.0
86,E-4,17.5,7/40,107,112.0
87,B-3,17.5,7/40,107,112.0
88,C4,17.5,7/40,107,112.0
89,C2,18.0,3/250,127,112.0
90,E-4,18.0,3/20,107,112.0
91,B-3,18.0,3/20,107,112.0
92,C4,18.0,3/20,107,112.0
93,E-4,18.5,129/1000,107,112.0
94,C4,18.5,129/1000,107,112.0
95,B-3,18.5,129/1000,107,112.0
96,F#2,19.0,3/250,116,112.0
97,E-2,19.0,3/250,116,112.0
98,C2,19.0,3/250,116,112.0
99,E-4,19.0,167/1000,107,112.0
100,B-3,19.0,167/1000,107,112.0
101,C4,19.0,167/1000,107,112.0
102,E-4,19.5,171/1000,107,112.0
103,B-3,19.5,171/1000,107,112.0
104,C4,19.5,171/1000,107,112.0
105,C2,20.0,3/250,127,112.0
106,E-4,20.0,171/1000,107,112.0
107,A3,20.0,171/1000,107,112.0
108,C4,20.0,171/1000,107,112.0
109,E-4,20.5,3/20,107,112.0
110,A3,20.5,3/20,107,112.0
111,C4,20.5,3/20,107,112.0
112,F#2,21.0,3/250,116,112.0
113,E-2,21.0,3/250,116,112.0
114,C2,21.0,3/250,116,112.0
115,E-4,21.0,79/500,107,112.0
116,A3,21.0,79/500,107,112.0
117,C4,21.0,79/500,107,112.0
118,E-4,21.5,7/40,107,112.0
119,A3,21.5,7/40,107,112.0
120,C4,21.5,7/40,107,112.0
121,C2,22.0,3/250,122,112.0
122,E-4,22.0,129/1000,107,112.0
123,C4,22.0,129/1000,107,112.0
124,A3,22.0,129/1000,107,112.0
125,E-4,22.5,77/500,107,112.0
126,A3,22.5,77/500,107,112.0
127,C4,22.5,77/500,107,112.0
128,E-2,22.75,3/250,110,112.0
129,F#2,23.0,3/250,103,112.0
130,E-2,23.0,3/250,103,112.0
131,C2,23.0,3/250,103,112.0
132,E-4,23.0,77/500,107,112.0
133,A3,23.0,77/500,107,112.0
134,C4,23.0,77/500,107,112.0
135,F#2,23.5,3/250,90,112.0
136,E-2,23.5,3/250,90,112.0
137,A3,23.5,73/500,107,112.0
138,E-4,23.5,73/500,107,112.0
139,C4,23.5,73/500,107,112.0
140,F#2,23.75,3/250,71,112.0
141,B-3,24.0,4.0,99,112.0
142,G4,24.0,2.688,127,112.0
143,C#3,24.0,3/250,96,112.0
144,C2,24.0,3/250,96,112.0
145,E-4,24.0,77/500,107,112.0
146,B-3,24.0,77/500,107,112.0
147,C4,24.0,77/500,107,112.0
148,E-4,24.0,4.0,99,112.0
149,G4,24.0,4.0,99,112.0
150,C5,24.0,4.0,99,112.0
151,E-4,24.5,179/1000,107,112.0
152,B-3,24.5,179/1000,107,112.0
153,C4,24.5,179/1000,107,112.0
154,F#2,25.0,3/250,119,112.0
155,E-2,25.0,3/250,119,112.0
156,C2,25.0,3/250,119,112.0
157,E-4,25.0,171/1000,107,112.0
158,B-3,25.0,171/1000,107,112.0
159,C4,25.0,171/1000,107,112.0
160,E-4,25.5,179/1000,107,112.0
161,B-3,25.5,179/1000,107,112.0
162,C4,25.5,179/1000,107,112.0
163,C2,26.0,3/250,127,112.0
164,E-4,26.0,167/1000,107,112.0
165,B-3,26.0,167/1000,107,112.0
166,C4,26.0,167/1000,107,112.0
167,C4,26.5,167/1000,107,112.0
168,E-4,26.5,14/125,107,112.0
169,B-3,26.5,14/125,107,112.0
170,G4,27.0,123/250,126,112.0
171,F#2,27.0,3/250,116,112.0
172,E-2,27.0,3/250,116,112.0
173,C2,27.0,3/250,116,112.0
174,E-4,27.0,79/500,107,112.0
175,B-3,27.0,79/500,107,112.0
176,C4,27.0,79/500,107,112.0
177,E-4,27.5,3/40,98,112.0
178,E-4,27.5,7/40,107,112.0
179,B-3,27.5,7/40,107,112.0
180,C4,27.5,7/40,107,112.0
181,C2,28.0,3/250,127,112.0
182,F4,28.0,9/20,127,112.0
183,A3,28.0,133/1000,107,112.0
184,E-4,28.0,133/1000,107,112.0
185,C4,28.0,133/1000,107,112.0
186,E-4,28.5,3/40,101,112.0
187,E-4,28.5,167/1000,107,112.0
188,A3,28.5,167/1000,107,112.0
189,C4,28.5,167/1000,107,112.0
190,C4,29.0,1321/1000,126,112.0
191,F#2,29.0,3/250,114,112.0
192,E-2,29.0,3/250,114,112.0
193,C2,29.0,3/250,114,112.0
194,E-4,29.0,69/500,107,112.0
195,C4,29.0,69/500,107,112.0
196,A3,29.0,69/500,107,112.0
197,E-4,29.5,0.188,107,112.0
198,A3,29.5,0.188,107,112.0
199,C4,29.5,0.188,107,112.0
200,C2,30.0,3/250,127,112.0
201,A3,30.0,77/500,107,112.0
202,E-4,30.0,77/500,107,112.0
203,C4,30.0,77/500,107,112.0
204,B-3,30.5,23/250,105,112.0
205,E-4,30.5,179/1000,107,112.0
206,A3,30.5,179/1000,107,112.0
207,C4,30.5,179/1000,107,112.0
208,E-2,30.75,3/250,110,112.0
209,C4,31.0,179/500,127,112.0
210,F#2,31.0,3/250,101,112.0
211,E-2,31.0,3/250,101,112.0
212,C2,31.0,3/250,101,112.0
213,E-4,31.0,79/500,107,112.0
214,A3,31.0,79/500,107,112.0
215,C4,31.0,79/500,107,112.0
216,C4,31.5,71/1000,97,112.0
217,F#2,31.5,3/250,96,112.0
218,E-2,31.5,3/250,96,112.0
219,E-4,31.5,171/1000,107,112.0
220,A3,31.5,171/1000,107,112.0
221,C4,31.5,171/1000,107,112.0
222,F#2,31.75,3/250,93,112.0
223,C4,31.75,13/125,114,112.0
224,C2,32.0,3/250,127,112.0
225,B-3,32.0,0.188,107,112.0
226,E-4,32.0,0.188,107,112.0
227,C4,32.0,0.188,107,112.0
228,E-4,32.5,167/1000,107,112.0
229,B-3,32.5,167/1000,107,112.0
230,C4,32.5,167/1000,107,112.0
231,F#2,33.0,3/250,116,112.0
232,E-2,33.0,3/250,116,112.0
233,C2,33.0,3/250,116,112.0
234,E-4,33.0,73/500,107,112.0
235,C4,33.0,73/500,107,112.0
236,B-3,33.0,73/500,107,112.0
237,E-4,33.5,7/40,107,112.0
238,B-3,33.5,7/40,107,112.0
239,C4,33.5,7/40,107,112.0
240,C2,34.0,3/250,127,112.0
241,E-4,34.0,3/20,107,112.0
242,B-3,34.0,3/20,107,112.0
243,C4,34.0,3/20,107,112.0
244,E-4,34.5,129/1000,107,112.0
245,C4,34.5,129/1000,107,112.0
246,B-3,34.5,129/1000,107,112.0
247,F#2,35.0,3/250,116,112.0
248,E-2,35.0,3/250,116,112.0
249,C2,35.0,3/250,116,112.0
250,E-4,35.0,167/1000,107,112.0
251,B-3,35.0,167/1000,107,112.0
252,C4,35.0,167/1000,107,112.0
253,E-4,35.5,171/1000,107,112.0
254,B-3,35.5,171/1000,107,112.0
255,C4,35.5,171/1000,107,112.0
256,C2,36.0,3/250,127,112.0
257,E-4,36.0,171/1000,107,112.0
258,A3,36.0,171/1000,107,112.0
259,C4,36.0,171/1000,107,112.0
260,E-4,36.5,3/20,107,112.0
261,A3,36.5,3/20,107,112.0
262,C4,36.5,3/20,107,112.0
263,F#2,37.0,3/250,116,112.0
264,E-2,37.0,3/250,116,112.0
265,C2,37.0,3/250,116,112.0
266,E-4,37.0,79/500,107,112.0
267,A3,37.0,79/500,107,112.0
268,C4,37.0,79/500,107,112.0
269,E-4,37.5,7/40,107,112.0
270,A3,37.5,7/40,107,112.0
271,C4,37.5,7/40,107,112.0
272,C2,38.0,3/250,122,112.0
273,E-4,38.0,129/1000,107,112.0
274,C4,38.0,129/1000,107,112.0
275,A3,38.0,129/1000,107,112.0
276,E-4,38.5,77/500,107,112.0
277,A3,38.5,77/500,107,112.0
278,C4,38.5,77/500,107,112.0
279,E-2,38.75,3/250,110,112.0
280,A3,39.0,4.0,99,112.0
281,B-3,39.0,1/250,99,112.0
282,C6,39.0,383/1000,99,112.0
283,F#2,39.0,3/250,103,112.0
284,E-2,39.0,3/250,103,112.0
285,C2,39.0,3/250,103,112.0
286,E-4,39.0,77/500,107,112.0
287,A3,39.0,77/500,107,112.0
288,C4,39.0,77/500,107,112.0
289,E-4,39.0,4.0,99,112.0
290,G4,39.0,4.0,99,112.0
291,C5,39.0,4.0,99,112.0
292,C5,39.004,223/500,99,112.0
293,F#2,39.5,3/250,90,112.0
294,E-2,39.5,3/250,90,112.0
295,A3,39.5,73/500,107,112.0
296,E-4,39.5,73/500,107,112.0
297,C4,39.5,73/500,107,112.0
298,F#2,39.75,3/250,71,112.0
299,C2,40.0,0.812,120,112.0
300,C#3,40.0,3/250,118,112.0
301,C2,40.0,3/250,118,112.0
302,E-4,40.0,77/500,107,112.0
303,B-3,40.0,77/500,107,112.0
304,C4,40.0,77/500,107,112.0
305,F#2,40.5,3/250,71,112.0
306,E-4,40.5,179/1000,107,112.0
307,B-3,40.5,179/1000,107,112.0
308,C4,40.5,179/1000,107,112.0
309,E-2,41.0,0.688,120,112.0
310,F#2,41.0,3/250,108,112.0
311,E-2,41.0,3/250,108,112.0
312,D2,41.0,3/250,108,112.0
313,C2,41.0,3/250,108,112.0
314,E-4,41.0,171/1000,107,112.0
315,B-3,41.0,171/1000,107,112.0
316,C4,41.0,171/1000,107,112.0
317,F#2,41.5,3/250,39,112.0
318,E-4,41.5,179/1000,107,112.0
319,B-3,41.5,179/1000,107,112.0
320,C4,41.5,179/1000,107,112.0
321,F2,42.0,667/1000,120,112.0
322,F#2,42.0,3/250,118,112.0
323,C2,42.0,3/250,118,112.0
324,E-4,42.0,167/1000,107,112.0
325,B-3,42.0,167/1000,107,112.0
326,C4,42.0,167/1000,107,112.0
327,F#2,42.5,3/250,71,112.0
328,C4,42.5,167/1000,107,112.0
329,E-4,42.5,14/125,107,112.0
330,B-3,42.5,14/125,107,112.0
331,G2,42.75,3/10,120,112.0
332,B-3,43.0,4.0,99,112.0
333,F#2,43.0,3/250,116,112.0
334,E-2,43.0,3/250,116,112.0
335,D2,43.0,3/250,116,112.0
336,C2,43.0,3/250,116,112.0
337,E-4,43.0,79/500,107,112.0
338,B-3,43.0,79/500,107,112.0
339,C4,43.0,79/500,107,112.0
340,E-4,43.0,4.0,99,112.0
341,G4,43.0,4.0,99,112.0
342,C5,43.0,4.0,99,112.0
343,F#2,43.5,3/250,58,112.0
344,B-1,43.5,479/1000,120,112.0
345,E-4,43.5,7/40,107,112.0
346,B-3,43.5,7/40,107,112.0
347,C4,43.5,7/40,107,112.0
348,C2,44.0,24/125,120,112.0
349,F#2,44.0,3/250,110,112.0
350,C2,44.0,3/250,110,112.0
351,A3,44.0,133/1000,107,112.0
352,E-4,44.0,133/1000,107,112.0
353,C4,44.0,133/1000,107,112.0
354,F#2,44.5,3/250,54,112.0
355,C2,44.5,417/1000,120,112.0
356,E-4,44.5,167/1000,107,112.0
357,A3,44.5,167/1000,107,112.0
358,C4,44.5,167/1000,107,112.0
359,E-2,45.0,49/250,120,112.0
360,F#2,45.0,3/250,116,112.0
361,E-2,45.0,3/250,116,112.0
362,D2,45.0,3/250,116,112.0
363,C2,45.0,3/250,116,112.0
364,E-4,45.0,69/500,107,112.0
365,C4,45.0,69/500,107,112.0
366,A3,45.0,69/500,107,112.0
367,F#2,45.5,3/250,50,112.0
368,E-2,45.5,221/1000,120,112.0
369,E-4,45.5,0.188,107,112.0
370,A3,45.5,0.188,107,112.0
371,C4,45.5,0.188,107,112.0
372,F2,45.75,283/1000,120,112.0
373,F#2,46.0,3/250,118,112.0
374,C2,46.0,3/250,118,112.0
375,A3,46.0,77/500,107,112.0
376,E-4,46.0,77/500,107,112.0
377,C4,46.0,77/500,107,112.0
378,F#2,46.5,3/250,50,112.0
379,E-4,46.5,179/1000,107,112.0
380,A3,46.5,179/1000,107,112.0
381,C4,46.5,179/1000,107,112.0
382,E-2,46.75,3/250,110,112.0
383,A3,47.0,3.0,99,112.0
384,F#2,47.0,3/250,116,112.0
385,E-2,47.0,3/250,116,112.0
386,D2,47.0,3/250,116,112.0
387,C2,47.0,3/250,116,112.0
388,E-4,47.0,79/500,107,112.0
389,A3,47.0,79/500,107,112.0
390,C4,47.0,79/500,107,112.0
391,E-4,47.0,3.0,99,112.0
392,G4,47.0,3.0,99,112.0
393,C5,47.0,3.0,99,112.0
394,C6,47.0,51/125,99,112.0
395,C5,47.0,51/125,99,112.0
396,B-1,47.5,223/500,120,112.0
397,F#2,47.5,3/250,84,112.0
398,E-2,47.5,3/250,84,112.0
399,E-4,47.5,171/1000,107,112.0
400,A3,47.5,171/1000,107,112.0
401,C4,47.5,171/1000,107,112.0
402,C2,48.0,0.812,120,112.0
403,F#2,48.0,3/250,118,112.0
404,C2,48.0,3/250,118,112.0
405,B-3,48.0,0.188,107,112.0
406,E-4,48.0,0.188,107,112.0
407,C4,48.0,0.188,107,112.0
408,F#2,48.5,3/250,58,112.0
409,E-4,48.5,167/1000,107,112.0
410,B-3,48.5,167/1000,107,112.0
411,C4,48.5,167/1000,107,112.0
412,E-2,49.0,0.688,120,112.0
413,F#2,49.0,3/250,116,112.0
414,E-2,49.0,3/250,116,112.0
415,D2,49.0,3/250,116,112.0
416,C2,49.0,3/250,116,112.0
417,E-4,49.0,73/500,107,112.0
418,C4,49.0,73/500,107,112.0
419,B-3,49.0,73/500,107,112.0
420,F#2,49.5,3/250,50,112.0
421,E-4,49.5,7/40,107,112.0
422,B-3,49.5,7/40,107,112.0
423,C4,49.5,7/40,107,112.0
424,F2,50.0,667/1000,120,112.0
425,F#2,50.0,3/250,118,112.0
426,C2,50.0,3/250,118,112.0
427,E-4,50.0,3/20,107,112.0
428,B-3,50.0,3/20,107,112.0
429,C4,50.0,3/20,107,112.0
430,F#2,50.5,3/250,46,112.0
431,E-4,50.5,129/1000,107,112.0
432,C4,50.5,129/1000,107,112.0
433,B-3,50.5,129/1000,107,112.0
434,G2,50.75,3/10,120,112.0
435,F#2,51.0,3/250,116,112.0
436,E-2,51.0,3/250,116,112.0
437,D2,51.0,3/250,116,112.0
438,C2,51.0,3/250,116,112.0
439,E-4,51.0,167/1000,107,112.0
440,B-3,51.0,167/1000,107,112.0
441,C4,51.0,167/1000,107,112.0
442,F#2,51.5,3/250,64,112.0
443,B-1,51.5,479/1000,120,112.0
444,E-4,51.5,171/1000,107,112.0
445,B-3,51.5,171/1000,107,112.0
446,C4,51.5,171/1000,107,112.0
447,C2,52.0,24/125,120,112.0
448,F#2,52.0,3/250,104,112.0
449,C2,52.0,3/250,104,112.0
450,E-4,52.0,171/1000,107,112.0
451,A3,52.0,171/1000,107,112.0
452,C4,52.0,171/1000,107,112.0
453,B-2,52.5,3/250,126,112.0
454,C2,52.5,417/1000,120,112.0
455,E-4,52.5,3/20,107,112.0
456,A3,52.5,3/20,107,112.0
457,C4,52.5,3/20,107,112.0
458,E-2,53.0,49/250,120,112.0
459,F#2,53.0,3/250,116,112.0
460,E-2,53.0,3/250,116,112.0
461,D2,53.0,3/250,116,112.0
462,C2,53.0,3/250,116,112.0
463,E-4,53.0,79/500,107,112.0
464,A3,53.0,79/500,107,112.0
465,C4,53.0,79/500,107,112.0
466,F#2,53.5,3/250,54,112.0
467,E-2,53.5,221/1000,120,112.0
468,E-4,53.5,7/40,107,112.0
469,A3,53.5,7/40,107,112.0
470,C4,53.5,7/40,107,112.0
471,F2,53.75,283/1000,120,112.0
472,F#2,54.0,3/250,118,112.0
473,C2,54.0,3/250,118,112.0
474,E-4,54.0,129/1000,107,112.0
475,C4,54.0,129/1000,107,112.0
476,A3,54.0,129/1000,107,112.0
477,F#2,54.5,3/250,54,112.0
478,E-4,54.5,77/500,107,112.0
479,A3,54.5,77/500,107,112.0
480,C4,54.5,77/500,107,112.0
481,E-2,54.75,3/250,110,112.0
482,F#2,55.0,3/250,116,112.0
483,E-2,55.0,3/250,116,112.0
484,D2,55.0,3/250,116,112.0
485,C2,55.0,3/250,116,112.0
486,E-4,55.0,77/500,107,112.0
487,A3,55.0,77/500,107,112.0
488,C4,55.0,77/500,107,112.0
489,B-1,55.5,223/500,120,112.0
490,F#2,55.5,3/250,86,112.0
491,E-2,55.5,3/250,86,112.0
492,C2,55.5,3/250,86,112.0
493,A3,55.5,73/500,107,112.0
494,E-4,55.5,73/500,107,112.0
495,C4,55.5,73/500,107,112.0
496,C2,56.0,0.812,120,112.0
497,C#3,56.0,3/250,118,112.0
498,C2,56.0,3/250,118,112.0
499,E-4,56.0,77/500,107,112.0
500,B-3,56.0,77/500,107,112.0
501,C4,56.0,77/500,107,112.0
502,F#2,56.5,3/250,71,112.0
503,E-4,56.5,179/1000,107,112.0
504,B-3,56.5,179/1000,107,112.0
505,C4,56.5,179/1000,107,112.0
506,F5,56.5,0.125,99,112.0
507,G4,56.5,0.125,99,112.0
508,C5,56.5,0.125,99,112.0
509,B-4,56.5,0.125,99,112.0
510,G4,56.75,0.125,99,112.0
511,B-4,56.75,0.125,99,112.0
512,F5,56.75,0.125,99,112.0
513,C5,56.75,0.125,99,112.0
514,E-2,57.0,0.688,120,112.0
515,F#2,57.0,3/250,108,112.0
516,E-2,57.0,3/250,108,112.0
517,D2,57.0,3/250,108,112.0
518,C2,57.0,3/250,108,112.0
519,E-4,57.0,171/1000,107,112.0
520,B-3,57.0,171/1000,107,112.0
521,C4,57.0,171/1000,107,112.0
522,G4,57.0,0.125,99,112.0
523,F5,57.0,0.125,99,112.0
524,B-4,57.0,0.125,99,112.0
525,C5,57.0,0.125,99,112.0
526,F5,57.25,0.625,99,112.0
527,B-4,57.25,0.625,99,112.0
528,G4,57.25,0.625,99,112.0
529,C5,57.25,0.625,99,112.0
530,F#2,57.5,3/250,39,112.0
531,E-4,57.5,179/1000,107,112.0
532,B-3,57.5,179/1000,107,112.0
533,C4,57.5,179/1000,107,112.0
534,F2,58.0,667/1000,120,112.0
535,F#2,58.0,3/250,118,112.0
536,C2,58.0,3/250,118,112.0
537,E-4,58.0,167/1000,107,112.0
538,B-3,58.0,167/1000,107,112.0
539,C4,58.0,167/1000,107,112.0
540,B-4,58.0,0.125,99,112.0
541,G4,58.0,0.125,99,112.0
542,F5,58.0,0.125,99,112.0
543,C5,58.0,0.125,99,112.0
544,F5,58.25,0.125,99,112.0
545,G4,58.25,0.125,99,112.0
546,B-4,58.25,0.125,99,112.0
547,C5,58.25,0.125,99,112.0
548,F#2,58.5,3/250,71,112.0
549,C4,58.5,167/1000,107,112.0
550,E-4,58.5,14/125,107,112.0
551,B-3,58.5,14/125,107,112.0
552,B-4,58.5,0.125,99,112.0
553,G4,58.5,0.125,99,112.0
554,F5,58.5,0.125,99,112.0
555,C5,58.5,0.125,99,112.0
556,G2,58.75,3/10,120,112.0
557,F5,58.75,1.0,99,112.0
558,B-4,58.75,1.0,99,112.0
559,G4,58.75,1.0,99,112.0
560,C5,58.75,1.0,99,112.0
561,F#2,59.0,3/250,116,112.0
562,E-2,59.0,3/250,116,112.0
563,D2,59.0,3/250,116,112.0
564,C2,59.0,3/250,116,112.0
565,E-4,59.0,79/500,107,112.0
566,B-3,59.0,79/500,107,112.0
567,C4,59.0,79/500,107,112.0
568,F#2,59.5,3/250,58,112.0
569,B-1,59.5,479/1000,120,112.0
570,E-4,59.5,7/40,107,112.0
571,B-3,59.5,7/40,107,112.0
572,C4,59.5,7/40,107,112.0
573,C2,60.0,24/125,120,112.0
574,F#2,60.0,3/250,110,112.0
575,C2,60.0,3/250,110,112.0
576,A3,60.0,133/1000,107,112.0
577,E-4,60.0,133/1000,107,112.0
578,C4,60.0,133/1000,107,112.0
579,G4,60.0,0.125,99,112.0
580,F5,60.0,0.125,99,112.0
581,A4,60.0,0.125,99,112.0
582,C5,60.0,0.125,99,112.0
583,F#2,60.5,3/250,54,112.0
584,C2,60.5,417/1000,120,112.0
585,E-4,60.5,167/1000,107,112.0
586,A3,60.5,167/1000,107,112.0
587,C4,60.5,167/1000,107,112.0
588,G4,60.5,0.125,99,112.0
589,F5,60.5,0.125,99,112.0
590,A4,60.5,0.125,99,112.0
591,C5,60.5,0.125,99,112.0
592,E-2,61.0,49/250,120,112.0
593,F#2,61.0,3/250,116,112.0
594,E-2,61.0,3/250,116,112.0
595,D2,61.0,3/250,116,112.0
596,C2,61.0,3/250,116,112.0
597,E-4,61.0,69/500,107,112.0
598,C4,61.0,69/500,107,112.0
599,A3,61.0,69/500,107,112.0
600,G4,61.0,0.125,99,112.0
601,F5,61.0,0.125,99,112.0
602,A4,61.0,0.125,99,112.0
603,C5,61.0,0.125,99,112.0
604,F#2,61.5,3/250,50,112.0
605,E-2,61.5,221/1000,120,112.0
606,E-4,61.5,0.188,107,112.0
607,A3,61.5,0.188,107,112.0
608,C4,61.5,0.188,107,112.0
609,G4,61.5,0.188,99,112.0
610,F5,61.5,0.188,99,112.0
611,A4,61.5,0.188,99,112.0
612,C5,61.5,0.188,99,112.0
613,F2,61.75,283/1000,120,112.0
614,G4,61.75,0.125,99,112.0
615,F5,61.75,0.125,99,112.0
616,A4,61.75,0.125,99,112.0
617,C5,61.75,0.125,99,112.0
618,F#2,62.0,3/250,118,112.0
619,C2,62.0,3/250,118,112.0
620,A3,62.0,77/500,107,112.0
621,E-4,62.0,77/500,107,112.0
622,C4,62.0,77/500,107,112.0
623,F#2,62.5,3/250,50,112.0
624,E-4,62.5,179/1000,107,112.0
625,A3,62.5,179/1000,107,112.0
626,C4,62.5,179/1000,107,112.0
627,E-2,62.75,3/250,110,112.0
628,F#2,63.0,3/250,116,112.0
629,E-2,63.0,3/250,116,112.0
630,D2,63.0,3/250,116,112.0
631,C2,63.0,3/250,116,112.0
632,E-4,63.0,79/500,107,112.0
633,A3,63.0,79/500,107,112.0
634,C4,63.0,79/500,107,112.0
635,B-1,63.5,223/500,120,112.0
636,F#2,63.5,3/250,84,112.0
637,E-2,63.5,3/250,84,112.0
638,E-4,63.5,171/1000,107,112.0
639,A3,63.5,171/1000,107,112.0
640,C4,63.5,171/1000,107,112.0
641,C2,64.0,0.812,120,112.0
642,F#2,64.0,3/250,118,112.0
643,C2,64.0,3/250,118,112.0
644,B-3,64.0,0.188,107,112.0
645,E-4,64.0,0.188,107,112.0
646,C4,64.0,0.188,107,112.0
647,F#2,64.5,3/250,58,112.0
648,E-4,64.5,167/1000,107,112.0
649,B-3,64.5,167/1000,107,112.0
650,C4,64.5,167/1000,107,112.0
651,F5,64.5,0.125,99,112.0
652,G4,64.5,0.125,99,112.0
653,C5,64.5,0.125,99,112.0
