,note_name,start_time,duration,velocity,tempo
0,F#4,8.65,24/125,120,120.0
1,G4,8.767,579/500,127,120.0
2,F#4,10.042,2/5,125,120.0
3,A4,10.992,9/20,127,120.0
4,F3,12.0,733/1000,104,120.0
5,B2,12.0,2.0,116,120.0
6,D4,12.0,2.0,116,120.0
7,F3,12.0,2.0,116,120.0
8,A3,12.0,2.0,116,120.0
9,D4,12.0,2.0,112,120.0
10,A3,12.0,2.0,112,120.0
11,B1,12.0,26/125,85,120.0
12,B-2,12.0,26/125,85,120.0
13,F2,12.008,833/1000,120,120.0
14,D3,12.017,133/1000,118,120.0
15,F3,12.017,133/1000,118,120.0
16,A3,12.017,133/1000,118,120.0
17,F4,12.033,417/1000,127,120.0
18,E4,12.575,26/125,114,120.0
19,D4,12.717,26/125,106,120.0
20,F4,12.758,183/1000,116,120.0
21,F4,12.875,8/5,127,120.0
22,D2,13.0,26/125,112,120.0
23,F#2,13.0,26/125,112,120.0
24,E-4,13.0,26/125,112,120.0
25,F4,13.008,124/125,120,120.0
26,E2,13.042,101/125,120,120.0
27,B1,13.717,26/125,101,120.0
28,F#2,13.717,26/125,101,120.0
29,E-4,13.717,26/125,101,120.0
30,G#3,13.725,51/125,118,120.0
31,B3,13.725,51/125,118,120.0
32,D4,13.725,51/125,118,120.0
33,B3,14.0,733/1000,104,120.0
34,B-2,14.0,26/125,100,120.0
35,D4,14.0,2.0,116,120.0
36,B3,14.0,2.0,116,120.0
37,G#4,14.0,2.0,116,120.0
38,E3,14.0,2.0,116,120.0
39,D4,14.0,2.0,112,120.0
40,G#4,14.0,2.0,112,120.0
41,B1,14.008,21/40,118,120.0
42,A4,14.575,26/125,114,120.0
43,E1,14.683,79/500,90,120.0
44,D2,14.717,26/125,109,120.0
45,D4,14.717,26/125,109,120.0
46,B-4,14.758,183/1000,116,120.0
47,F4,14.8,967/1000,127,120.0
48,B1,15.0,26/125,109,120.0
49,F#2,15.0,26/125,109,120.0
50,E-4,15.0,26/125,109,120.0
51,C2,15.008,833/1000,120,120.0
52,B4,15.008,124/125,120,120.0
53,G#3,15.642,83/1000,103,120.0
54,B3,15.642,83/1000,103,120.0
55,D4,15.642,83/1000,103,120.0
56,D2,15.717,26/125,115,120.0
57,E-4,15.717,26/125,115,120.0
58,B1,16.0,26/125,85,120.0
59,B-2,16.0,26/125,85,120.0
60,A1,16.008,421/500,116,120.0
61,E4,16.042,177/250,125,120.0
62,G4,16.675,183/1000,122,120.0
63,A3,16.675,183/1000,122,120.0
64,E3,16.675,183/1000,122,120.0
65,C4,16.675,183/1000,122,120.0
66,E3,16.692,1/10,121,120.0
67,C4,16.692,1/10,121,120.0
68,G3,16.692,1/10,121,120.0
69,C5,16.7,23/250,117,120.0
70,G4,16.7,23/250,117,120.0
71,B3,16.7,23/250,117,120.0
72,E4,16.7,23/250,112,120.0
73,B3,16.7,23/250,112,120.0
74,D4,16.717,26/125,106,120.0
75,C4,16.783,2083/1000,106,120.0
76,C2,17.0,21/40,114,120.0
77,D2,17.0,26/125,112,120.0
78,F#2,17.0,26/125,112,120.0
79,E-4,17.0,26/125,112,120.0
80,A1,17.683,167/1000,90,120.0
81,B1,17.717,26/125,101,120.0
82,F#2,17.717,26/125,101,120.0
83,E-4,17.717,26/125,101,120.0
84,B-2,18.0,26/125,100,120.0
85,D2,18.008,421/500,118,120.0
86,G3,18.008,51/125,119,120.0
87,E3,18.008,51/125,119,120.0
88,B3,18.008,51/125,118,120.0
89,E3,18.008,51/125,118,120.0
90,B3,18.017,117/1000,116,120.0
91,G4,18.017,117/1000,116,120.0
92,C5,18.017,117/1000,116,120.0
93,E4,18.017,117/1000,116,120.0
94,C3,18.617,183/1000,120,120.0
95,G3,18.617,183/1000,120,120.0
96,E3,18.617,183/1000,120,120.0
97,E4,18.617,183/1000,120,120.0
98,C4,18.683,1/10,117,120.0
99,E3,18.683,1/10,117,120.0
100,G3,18.683,1/10,117,120.0
101,D2,18.717,26/125,109,120.0
102,D4,18.717,26/125,109,120.0
103,E4,18.992,11/20,127,120.0
104,B1,19.0,26/125,109,120.0
105,F#2,19.0,26/125,109,120.0
106,E-4,19.0,26/125,109,120.0
107,E-2,19.008,833/1000,116,120.0
108,B3,19.65,23/250,116,120.0
109,C5,19.65,23/250,116,120.0
110,E4,19.65,23/250,116,120.0
111,G4,19.65,23/250,116,120.0
112,D2,19.717,26/125,115,120.0
113,E-4,19.717,26/125,115,120.0
114,F#4,19.758,121/500,125,120.0
115,F#4,20.0,4.0,125,120.0
116,B1,20.0,26/125,85,120.0
117,B-2,20.0,26/125,85,120.0
118,A2,20.008,833/1000,116,120.0
119,A3,20.008,7/40,120,120.0
120,C4,20.008,7/40,120,120.0
121,F#4,20.008,7/40,120,120.0
122,D3,20.008,7/40,120,120.0
123,F#3,20.017,133/1000,118,120.0
124,A3,20.017,133/1000,118,120.0
125,C4,20.017,133/1000,118,120.0
126,D4,20.717,26/125,106,120.0
127,D2,21.0,26/125,112,120.0
128,F#2,21.0,26/125,112,120.0
129,E-4,21.0,26/125,112,120.0
130,G2,21.033,127/250,116,120.0
