,note_name,start_time,duration,velocity,tempo
0,A2,0.0,1.0,95,106.0
1,A3,1.0,1.0,95,106.0
2,E3,1.0,1.0,95,106.0
3,B3,2.0,1.0,95,106.0
4,C4,3.0,1.0,95,106.0
5,F4,4.0,1.0,95,106.0
6,G2,4.0,1.0,95,106.0
7,C4,5.0,1.0,95,106.0
8,A3,5.0,1.0,95,106.0
9,F3,5.0,1.0,95,106.0
10,F4,6.0,1.0,95,106.0
11,C4,7.0,1.0,95,106.0
12,A3,7.0,1.0,95,106.0
13,F3,7.0,1.0,95,106.0
14,B3,8.0,1.0,95,106.0
15,G3,8.0,1.0,95,106.0
16,G2,8.0,1.0,95,106.0
17,G3,9.0,1.0,95,106.0
18,F3,9.0,1.0,95,106.0
19,A3,10.0,1.0,95,106.0
20,B3,11.0,1.0,95,106.0
21,E4,12.0,1.0,95,106.0
22,C3,12.0,1.0,95,106.0
23,C4,13.0,1.0,95,106.0
24,G3,13.0,1.0,95,106.0
25,E4,14.0,1.0,95,106.0
26,F#2,14.0,1.0,95,106.0
27,B-3,15.0,1.0,95,106.0
28,E3,15.0,1.0,95,106.0
29,F2,16.0,0.5,95,106.0
30,A3,16.5,167/1000,95,106.0
31,C4,16.667,167/1000,95,106.0
32,E4,16.833,167/1000,95,106.0
33,F4,17.0,0.5,95,106.0
34,E4,17.5,0.5,95,106.0
35,D4,18.0,1.0,95,106.0
36,C4,19.0,1.0,95,106.0
37,D4,20.0,1.0,95,106.0
38,B2,20.0,1.0,95,106.0
39,A3,21.0,1.0,95,106.0
40,F3,21.0,1.0,95,106.0
41,F2,22.0,1.0,95,106.0
42,A3,23.0,1.0,95,106.0
43,F3,23.0,1.0,95,106.0
44,E2,24.0,1.0,95,106.0
45,D3,25.0,167/1000,95,106.0
46,G#3,25.167,167/1000,95,106.0
47,B3,25.333,167/1000,95,106.0
48,D4,26.0,1.0,95,106.0
49,C4,27.0,1.0,95,106.0
50,A2,28.0,0.969,95,106.0
51,E3,28.0,0.969,95,106.0
52,A3,28.0,0.969,95,106.0
53,A2,29.0,167/1000,95,106.0
54,A3,29.167,167/1000,95,106.0
55,C4,29.333,167/1000,95,106.0
56,E4,29.5,167/1000,95,106.0
57,C4,29.667,167/1000,95,106.0
